title,cost,description,img_src,photo_desc_str,category
Cargador Wallbox Copper SB 22kW,"1.126,99"," Cargador Wallbox Copper SB 22kW Ficha técnica del Cargador Wallbox Copper SB 22kW Descargar Ficha
Técnica del Cargador Wallbox Copper SB 22kW Descripción Cargador Wallbox Copper SB 22kW Copper SB es
un sistema de carga de vehículos eléctricos e híbridos enchufables práctico, inteligente y perfecto
que se adapta a usos comerciales y semipúblicos. El diseño de la gama Copper SB permite una máxima
flexibilidad ya que su enchufe es universal por lo que es adecuado para los conectores de vehículos
de tipo 1 y tipo 2.Algunas funcionalidades destacadas son: - El conector hembra lo aceptan todos los
tipos de vehículos enchufables.- La validación de los diferentes usuarios se puede hacer mediante la
aplicación y RFID.- Es capaz de equilibrar la potencia de carga entre los distintos cargadores
gracias a Power Sharing Smart A través del portal myWallbox se puede configurar, monitorizar y
gestionar el cargador y hacerlo de forma remota mediante la aplicación móvil o la plataforma web. Se
puede configurar tanto para uso privado como para empresa. MyWallbox ofrece información y gestión en
tiempo real, informes periódicos y configuración remota. Con Wallbox App en nuestro smartphone se
puede gestionar los ajustes de Copper SB desde el móvil o tablet. Actúa de enlace entre el cargador
y el portal myWallbox gracias al Bluetooth, configura el dispositivo y conoce el consumo, bloquea o
desbloquea cargadores para evitar un uso indebido, etc. Características Cargador Wallbox Copper SB
22kW Cuenta con unas características perfectas para instalar el dispositivo Copper SB en empresas.
Está disponible con 22 kW de potencia y con enchufe de carga de tipo 1 y tipo 2. - Power Boost. Se
puede medir la cantidad de electricidad que se utiliza y suministrar la sobrante al coche
eléctrico.. - Conectividad móvil. Se puede comunicar a través de la plataforma de gestión de carga
MyWallbox a través de redes 3G o 4G y así obtener datos actualizados en tiempo real. - Asistencia de
WB. Se puede ampliar la garantía uno o tres años (con sobrecoste). Aspectos técnicos Cargador
Wallbox Copper SB 22kW Especificaciones generales: - Cargador: AC- Conector: Tipo 2 (shutter
adicional)- Modo de recarga: Modo 3- Dimensiones (sin conector):260x192x113 mm- Peso:2 kg
Especificaciones eléctricas: - Potencia Máxima: 7,4 kW (monofásico) / 22 kW (trifásico)- Corriente
máxima (por fase): 7,4 kW 32 A (1P) / 11 kW 16 A (3P) / 22 kW 32 A (3P)- Corriente ajustable: de 6A
a 32A",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-wallbox-copper-sb-22kw_thumb_main.jpg,,Cargador_coche_electrico
"Cargador coche eléctrico 7,4kW Orbis Viaris UNI BT2 Tipo 2 - WiFi","919,82"," Cargador coche eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi Ficha técnica del Cargador coche
eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi Ficha técnica del Cargador coche eléctrico 7,4kW Viaris
UNI BT2 Tipo 2 - WiFi Manual del Cargador coche eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi
Descripción del Cargador coche eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi El Cargador coche
eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi es un cargador inteligente monofásico de 7,4kW apto
para coches, motos y bicicletas eléctricas o híbridos enchufables. Cuenta con una salida mediante
manguera de Tipo 2 con obturador. El cargador cuenta con un modulador de carga que tendrá en cuenta
el consumo de la vivienda y ajustará la demanda de potencia para conseguir la mayor recarga en el
menor tiempo posible sin sobrepasar la demanda contratada. Tiene un diseño muy atractivo y muy fácil
de utilizar, además la instalación se realiza en unos pasos muy sencillos y sirve tanto para garajes
residenciales como del sector terciario. Gracias a la aplicación móvil e-VIARIS es posible
monitorizar el cargador y controlar la potencia demandada, consultar el historial de consumo,
programar la duración y planificar horarios de carga para aprovechar las tarifas con discriminación
horaria. En la ficha técnica y el manual podrás encontrar más características acerca de este tipo de
cargadores. Aspectos técnicos del Cargador coche eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi
Tensión nominal: 230V Frecuencia: 50Hz Temperatura de funcionamiento: -30ºC a 55ºC Peso: 3kg
Dimensiones: 470 x 224 x 150 mm Grado de protección: IP54 Comunicación WiFi: Sí Indicador luminoso:
Sí, estado del cargador y carga del vehículo Ficha técnica del Cargador coche eléctrico 7,4kW Viaris
UNI BT2 Tipo 2 - WiFi Ficha técnica del Cargador coche eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi
Manual del Cargador coche eléctrico 7,4kW Viaris UNI BT2 Tipo 2 - WiFi",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-coche-electrico-74kw-orbis-viaris-uni-bt2-tipo-2-wifi_thumb_main.jpg,,Cargador_coche_electrico
Cargador coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi,"1.069,47"," Cargador coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi Ficha técnica del Cargador
coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi Ficha técnica del Cargador coche
eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi Manual Cargador coche eléctrico 22kW Orbis
Viaris UNI Tipo2 cable 5m - WiFi Descripción del Cargador coche eléctrico 22kW Orbis Viaris UNI
Tipo2 cable 5m - WiFi El Cargador coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi es un
cargador inteligente trifásico de 7,4kW apto para coches, motos y bicicletas eléctricas o híbridos
enchufables. Cuenta con una salida mediante manguera de Tipo 1 o Tipo 2. El cargador cuenta con un
modulador de carga que permite optimizar la recarga en el menor tiempo posible pero sin sobrepasar
la potencia contratada en la vivienda. Así pues tendrá en cuenta el consumo de la vivienda y se
ajustará a la demanda que haya en cada momento. Cuenta con un diseño muy atractivo y es muy fácil de
manejar, además la instalación se realiza en unos pasos muy sencillos y sirve tanto para garajes
residenciales como del sector terciario. Gracias a la aplicación móvil e-VIARIS es posible
monitorizar el cargador y controlar la potencia demandada, consultar el historial de consumo,
programar la duración y planificar horarios de carga para aprovechar las tarifas con discriminación
horaria. En la ficha técnica y el manual podrás encontrar más características acerca de este tipo de
cargadores. Aspectos técnicos del Cargador coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m -
WiFi Tensión nominal: 230V Frecuencia: 50Hz Temperatura de funcionamiento: -30ºC a 50ºC Longitud
cable de conexión: 5 m Peso: 4 kg Dimensiones: 224 x 150 x 332 mm Grado de protección: IP54
Comunicación WiFi: sí Indicador luminoso: sí, estado del cargador y carga del vehículo Ficha técnica
del Cargador coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi Ficha técnica del Cargador
coche eléctrico 22kW Orbis Viaris UNI Tipo2 cable 5m - WiFi Manual Cargador coche eléctrico 22kW
Viaris UNI Tipo 2 cable 5m - WiFi",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-coche-electrico-22kw-orbis-viaris-uni-tipo2-cable-5m-wifi_thumb_main.jpg,,Cargador_coche_electrico
Cargador portátil vehículo CTEK NJORD GO 11kW,"952,22"," Cargador portátil vehículo CTEK NJORD GO 11kW Ficha Técnica y manual del Cargador portátil vehículo
CTEK NJORD GO 11kW Descargar Ficha Técnica Cargador portátil vehículo CTEK NJORD GO 11kW Descargar
Manual Cargador portátil vehículo CTEK NJORD GO 11kW Descripción Cargador portátil vehículo CTEK
NJORD GO 11kW El Cargador portátil vehículo CTEK NJORD GO 11kW es un cargador portátil para coches
eléctricos de 11 kW capaz de brindar una carga rápida y fiable de vehículos eléctricos en el hogar,
o incluso, cuando estás fuera de casa. El cargador se puede utilizar con la aplicación CTEK a través
de bluetooth para visualizar y monitorizar de manera completa la corriente de carga y la
programación, también se puede utilizar con wifi lo que se traduce en una mayor flexibilidad. Este
cargador eléctrico es un dispositivo duradero, ligero y portátil todo en uno disponible con
conectores de tipo 2, con una capacidad de carga de hasta 11 kW. Además, viene con un cable de
alimentación fijo de alta resistencia de 1,5 metros de largo y cable de carga del coche de 5 metros,
por lo que no requiere de ninguna instalación. Simplemente hay que enchufar la unidad en su hogar o
en cargadores disponibles para ello y listo. Respecto a la visualización y monitorización del
cargador, la interfaz de usuario indica claramente el estado de la carga y descargándose la
aplicación CTEK de manera gratuita obtendrá un control total sobre la carga y programación de cargas
directamente desde su Android o IOS teléfono móvil a través de BLUETOOTH® y Wi-Fi. A través de la
app podrá programar la carga a cualquier hora del día y durante cualquier período de tiempo, reducir
o aumentar la potencia fácilmente para equilibrar la carga en momentos de alto consumo eléctrico
doméstico, iniciar, pausar o detener automáticamente la carga de forma remota y ver su historial de
carga, entre otras muchas funciones. Está fabricado con tecnología natural de última generación.
Incluye tecnología de enfriamiento por convección, para que pueda cargar a alta energía incluso
cuando la temperatura ambiente es alta. Asimismo, se trata de un dispositivo pequeño, liviano y
portátil que se puede usar en múltiples ubicaciones. Tiene una carcasa duradera y resistente a los
impactos y funciones de seguridad integradas para su protección y tranquilidad. Características
Técnicas Cargador portátil vehículo CTEK NJORD GO 11kW Tensión: 380 VAC ± 10%Potencia máxima de
salida: 11 KwTipo de conector de carga: Tipo 2Corriente de carga: 6-16AFrecuencia: 50 hzN.º de
fases: 3 fases (soporta 1 y 2 fases de carga)Grado de protección: IP65Soporte App: CTEK app para
Android y IOSConector principal: CEE 16 A/400 V 5PPeso: 5 KgDimensiones: 195x295x70 mm Garantía
Cargador portátil vehículo CTEK NJORD GO 11kW CTEK es un fabricante reconocido mundialmente por su
implicación con la calidad, seguridad, simplicidad y flexibilidad de sus productos. Por ello, este
cargador cuenta con una garantía de 2 años. Si tiene alguna pregunta sobre nuestros productos o
desea obtener más información sobre la carga de vehículos eléctricos, póngase en contacto con
nuestro ingenieros técnicos, estarán encantados de atenderle. Ficha Técnica y manual del Cargador
portátil vehículo CTEK NJORD GO 11kW Descargar Ficha Técnica Cargador portátil vehículo CTEK NJORD
GO 11kW Descargar Manual Cargador portátil vehículo CTEK NJORD GO 11kW",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-portatil-vehiculo-ctek-njord-go-11kw_thumb_main.jpg,,Cargador_coche_electrico
Cargador vehículo Fronius Wattpilot Home 11J,"1.174,24"," Cargador vehículo Fronius Wattpilot Home 11J Ficha Técnica Cargador vehículo Fronius Wattpilot Home
11J Descargar Ficha Técnica Cargador coche eléctrico Fronius Wattpilot Home 11J Descripción Cargador
vehículo Fronius Wattpilot Home 11J El Fronius Wattpilot HOME 11J es la nueva solución de carga
inteligente para coches eléctricos. Los conductores de coches eléctricos podrán decidir cómo cargar
su vehículo. Es muy fácil de instalar y es uno de los pocos productos del mercado capaz de cambiar
automáticamente entre la carga de excedente monofásica y trifásica para obtener la máxima energía
posible de la instalación. • Proceso de carga dinámica El proceso de carga dinámica de excedentes
garantiza el uso óptimo de la energía fotovoltaica que nos sobra en nuestra instalación y evita la
carga desde la red. Mediante el uso de la base de carga inteligente Fronius WattPilot, incluso las
cantidades más pequeñas de excedentes se pueden utilizar para cargar el vehículo eléctrico. •
Excedente FV • Coche eléctrico El proceso de carga se inicia automáticamente cuando hay un mínimo
excedente de energía y se adapta a la cantidad de energía sobrante en cada momento. Después de una
correcta configuración por parte del instalador esta solución garantiza que el vehículo eléctrico se
cargue automáticamente con la energía solar que nos sobra durante el día en lugar de volcarla a la
red. A través de la app Solar.wattpilot, el cliente puede seleccionar en el modo Eco cuál es la
cantidad máxima de energía con la que quiere cargar su coche eléctrico. Posteriormente, el Wattpilot
realiza la carga cuando el precio actual está por debajo o alcanza el valor definido.
Características Cargador vehículo Fronius Wattpilot Home 11J - Carga rentable con tarifas eléctricas
verdes variables: El coche eléctrico se puede cargar de forma muy rentable con energía de la red
mediante el uso de tarifas de electricidad verde variables, especialmente por la noche durante
períodos en los que la tarifa es baja. - App Solar.wattpilot: Los propietarios de coches eléctricos
tienen a su disposición la aplicación Solar.wattpilot (disponible para iOS y Android) para poner en
funcionamiento el Wattpilot, hacer ajustes de carga y visualizar los procesos de carga, con unos
pocos clics. - Carga dinámica con excedentes FV: La carga dinámica con excedentes FV se puede
utilizar para cargar el coche eléctrico, en pasos de amperio a amperio y con una conmutación
automática monofásica/trifásica. Esto da como resultado mayores tasas de autoconsumo y una
amortización más rápida del sistema fotovoltaico. - Dos modos de carga: Eco y Next Trip Dependiendo
de las preferencias del cliente, el coche eléctrico se puede cargar de una manera más respetuosa con
el medio ambiente o adaptada al próximo viaje. - Conexión a internet a través de WLAN Aspectos
Técnicos Cargador vehículo Fronius Wattpilot Home 11J - Potencia de carga máxima: 11kW- Tensión
nominal: 230V (monofásico) - 400V(trifásico)- Corriente nominal (configurable): 6-16A- Frecuencia:
50Hz- Longitud cable de conexión: 200 cm- Peso: 1.9 kg- Dimensiones: 25,1 x 14,6 x 9,6 cm- Grado de
protección: IP54 Ficha Técnica Cargador vehículo Fronius Wattpilot Home 11J Descargar Ficha Técnica
Cargador coche eléctrico Fronius Wattpilot Home 11J",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-vehiculo-fronius-wattpilot-home-11j_thumb_main.jpg,,Cargador_coche_electrico
Soporte pared NJORD GO,"24,53"," Soporte pared NJORD GO Manual Cargador portátil vehículo CTEK NJORD GO 11kW Descargar Manual
Cargador portátil vehículo CTEK NJORD GO 11kW Descripción Soporte pared NJORD GO El Soporte de pared
NJORD GO es una estructura perfecta para soportar el cargador portátil vehículo CTEK NJORD GO 11kW
en paredes o muros. De tamaño reducido es ideal para sujetar el cargador en la pared. Manual
Cargador portátil vehículo CTEK NJORD GO 11kW Descargar Manual Cargador portátil vehículo CTEK NJORD
GO 11kW",https://cdn.autosolar.es/images/cargador-coche-electrico/soporte-pared-njord-go_thumb_main.jpg,,Cargador_coche_electrico
"Cargador coche eléctrico 7,4kW Orbis Viaris UNI Tipo 2 cable 10m - WiFi","1.322,22"," Cargador coche eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m - WiFi Ficha técnica del Cargador coche
eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m - WiFi Ficha técnica del Cargador coche eléctrico 7,4kW
Viaris UNI Tipo 2 cable 10m - WiFi Manual Cargador coche eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m
- WiFi Descripción del Cargador coche eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m - WiFi El Cargador
coche eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m - WiFi es un cargador inteligente monofásico de
7,4kW apto para coches, motos y bicicletas eléctricas o híbridos enchufables. Cuenta con una salida
mediante manguera de Tipo 1 o Tipo 2. El cargador cuenta con un modulador de carga que permite
optimizar la recarga en el menor tiempo posible pero sin sobrepasar la potencia contratada en la
vivienda. Así pues tendrá en cuenta el consumo de la vivienda y se ajustará a la demanda que haya en
cada momento. Cuenta con un diseño muy atractivo y es muy fácil de manejar, además la instalación se
realiza en unos pasos muy sencillos y sirve tanto para garajes residenciales como del sector
terciario. Gracias a la aplicación móvil e-VIARIS es posible monitorizar el cargador y controlar la
potencia demandada, consultar el historial de consumo, programar la duración y planificar horarios
de carga para aprovechar las tarifas con discriminación horaria. En la ficha técnica y el manual
podrás encontrar más características acerca de este tipo de cargadores. Aspectos técnicos del
Cargador coche eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m - WiFi Tensión nominal: 230V Frecuencia:
50Hz Temperatura de funcionamiento: -30ºC a 50ºC Longitud cable de conexión: 10 m Peso: 4 kg
Dimensiones: 224 x 150 x 332 mm Grado de protección: IP54 Comunicación WiFi: sí Indicador luminoso:
sí, estado del cargador y carga del vehículo Ficha técnica del Cargador coche eléctrico 7,4kW Viaris
UNI Tipo 2 cable 10m - WiFi Ficha técnica del Cargador coche eléctrico 7,4kW Viaris UNI Tipo 2 cable
10m - WiFi Manual Cargador coche eléctrico 7,4kW Viaris UNI Tipo 2 cable 10m - WiFi",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-coche-electrico-74kw-orbis-viaris-uni-tipo-2-cable-10m-wifi_thumb_main.jpg,,Cargador_coche_electrico
Cargador coche eléctrico 22kW Orbis Viaris Combi Plus Tipo 2 cable 5m - WiFi,"1.863,78"," Cargador coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m - WiFi Ficha Técnica del Cargador
coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m - WiFi Ficha técnica del Cargador coche
eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m - WiFi Manual del Cargador coche eléctrico 22kW
Viaris Combi Plus Tipo 2 cable 5m - WiFi Descripción del Cargador coche eléctrico 22kW Viaris Combi
Plus Tipo 2 cable 5m - WiFi El Cargador coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m -
WiFi es un cargador doméstico trifásico de 22kW apto para coches, motos y bicicletas eléctricas o
híbridos enchufables. Con la potencia de este cargador es posible realizar la carga de un coche
eléctrico en unas 4 horas, o de 2 coches eléctricos de forma simultanea en unas 8 horas. Este modelo
permite realizar la carga del vehículo eléctrico en un garaje de una vivienda unifamiliar,
comunitario u oficinas. Esto se debe a que los modelos llevan incorporado un cable de conexión o
base de toma de corriente. Además, este cargador cuenta con un limitador de corriente máxima que se
puede realizar a través del selector. En este cargador se incluyen 2 cables manguera de 5 metros con
conector Tipo 1 o Tipo 2 según EN 62196. Otras características destacables de el cargador de coche
eléctrico son: - Comunicación WiFi - Con la app Viaris Combi se puede controlar la potencia,
consultar el histórico de consumo, programar la duración y planificar horarios de carga para
aprovechar las tarifas eléctricas. - Señalización LED de estado En la ficha técnica y el manual
podrás encontrar más características acerca de este tipo de cargadores. Aspectos técnicos del
Cargador coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m - WiFi Tensión nominal: 3x230/400V
Frecuencia: 50Hz Temperatura de funcionamiento: -30ºC a 50ºC Peso: de 2 a 6 kg Dimensiones: 436.2 x
209.7 x 161.3 mm Grado de protección: IP54 Comunicación WiFi: sí Indicador luminoso: sí, estado del
cargador y carga del vehículo Carga de 2 vehículos: sí, permite cargar hasta 2 vehículos
simultaneamente Ficha Técnica del Cargador coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m -
WiFi Ficha técnica del Cargador coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m - WiFi Manual
del Cargador coche eléctrico 22kW Viaris Combi Plus Tipo 2 cable 5m - WiFi",https://cdn.autosolar.es/images/cargador-coche-electrico/cargador-coche-electrico-22kw-orbis-viaris-combi-plus-tipo-2-cable-5m-wifi_thumb_main.jpg,,Cargador_coche_electrico
WallBox Power Boost Clamp monofásico,"113,84"," WallBox Power Boost Clamp monofásico Manual del WallBox Power Boost Clamp monofásico Descargar
Manual del WallBox Power Boost Clamp monofásico Descripción WallBox Power Boost Clamp monofásico El
WallBox Power Boost Clamp monofásico se trata de un medidor eléctrico de la cantidad de energía que
es utilizada durante la carga del coche eléctrico. Gracias a esto es posible conocer cuál es la
carga necesaria en función de la energía que se haya utilizado en cada sesión de carga. Este medidor
eléctrico cuenta con certificado MID. Manual del WallBox Power Boost Clamp monofásico Descargar
Manual del WallBox Power Boost Clamp monofásico",https://cdn.autosolar.es/images/cargador-coche-electrico/wallbox-power-boost-clamp-monofasico_thumb_main.jpg,,Cargador_coche_electrico
Modem USB conectividad 3G-4G,"112,70"," Modem USB conectividad 3G-4G Ficha técnica del Modem USB conectividad 3G-4G Descargar Ficha técnica
del Modem USB conectividad 3G-4G Descripción Modem USB conectividad 3G-4G El Modem USB conectividad
3G-4G permite que los dispositivos Wallbox se comuniquen con la plataforma myWallbox a través de
redes 3G o 4G. De esta forma se obtienen datos actualizados y sincronizados en tiempo real. El modem
es compatible con tarjetas mini SIM que no van incluidas. Ficha técnica del Modem USB conectividad
3G-4G Descargar Ficha técnica del Modem USB conectividad 3G-4G",https://cdn.autosolar.es/images/cargador-coche-electrico/modem-usb-conectividad-3g-4g_thumb_main.jpg,,Cargador_coche_electrico
