title,cost,description,img_src,photo_desc_str,category
Generador Inverter SC8000iY Tensite,"1.481,40"," Generador Inverter SC8000iY Tensite Ficha técnica y manual del Generador Inverter SC8000iY Tensite
Ficha técnica del Generador Inverter SC8000iY Tensite Manual del Generador Inverter SC8000iY Tensite
Características Generador Inverter SC8000iY Tensite El generador Inverter SC8000iY es un generador
con tecnología Inverter del fabricante Tensite con una potencia máxima pico de 7500W. Se trata de un
generador eficiente y de gran fiabilidad que tiene un arranque fácil y automático. Se puede arrancar
también eléctricamente con llave o de forma manual con una cuerda para poder seguir haciendo uso en
caso de fallar la batería. Son ideales para construcción, industria, aplicaciones domésticas,
agrícolas y en cualquier lugar donde se requiera un generador de alta calidad. Este modelo
proporciona una potencia de salida continua de 7000W en corriente monofásica. Dispone de un motor
1.1L SAE10w30, con distribución OHV y refrigerado por aire.Su motor de arranque adopta un diseño
vertical que aumenta la entrada de aire y prolonga la vida útil del motor. Dispone de arranque
manual por tirador y función de inicio automático de estabilización, una carrocería silenciosa que
permite el desplazamiento del equipo de forma extremadamente cómoda y un bajo nivel sonoro. Gracias
a su potente motor de 4 tiempos, podemos obtener el máximo rendimiento y autonomía mientras
obtenemos un voltaje estable. Para ofrecer una mayor seguridad durante el uso, dispone de protección
contra sobrecarga y sobrecorriente. Datos técnicos Generador Inverter SC8000iY Tensite Voltaje y
Frecuencia: 230V y 50Hz. Potencia de salida continua: 7000W. Modelo de motor: SC460. Cilindrada:
459cc. Tipo de motor: Gasolina, OHV refrigerado por aire. Nivel presión acústica media 7mts: 73dB
(ralenti-nominal). Tipo de Arranque: Manual.Eléctrico/Automático/ por señal contacto NA como
respaldo del sistema solar Capacidad depósito combustible: 34 Litros. Autonomía al 50-75% de carga:
13-8h Capacidad y tipo de aceite: 1.1L SAE10w30 Dimensiones: 708x560x585mm. Peso: 83Kg. Ficha
técnica y manual del Generador Inverter SC8000iY Tensite Ficha técnica del Generador Inverter
SC8000iY Tensite Manual del Generador Inverter SC8000iY Tensite",https://cdn.autosolar.es/images/generadores/generador-inverter-sc8000iy-tensite_thumb_main.jpg,,Generadores
Generador Gas Pramac 10KW GA10000,"7.275,32"," Generador Gas Pramac 10KW GA10000 Ficha técnica del Generador Gas Pramac 10KW GA10000 Ficha técnica
del Generador Gas Pramac 10KW GA10000 Características del Generador Gas Pramac 10KW GA10000 El
Generador Gas Pramac 10 KW GA10000 está formado por un motor y un generador. Concretamente se trata
de un Motor Generac G-Force con una gran capacidad de respiranción, lo que proporciona una mejora
del rendimiento del combustible, disminuye el consumo de aceite y alarga su vida útil. Por otra
parte, el generador tiene un diseño más compacto que hace que tenga un 25% más de rendimeinto que un
grupo electrógeno inducido. Motor: El diseño Generac G-Force optimiza la entrada de aire al motor
para lograr un mayor rendimiento del combustible. El pulido riguroso de las paredes del cilindro y
la aleación de los segmentos mejoran la refrigeración del motor, reducen el consumo de aceite y
prolongan su vida útil. Las paredes del cilindro están construidas con hierro fundido, lo que
aumenta la durabilidad del motor. El encendido electrónico y el avance del encendido aseguran un
arranque suave. La lubricación a presión de todos los rodamientos principales proporciona un mejor
rendimiento, menos mantenimiento y una vida útil del motor más prolongada, con un intervalo de
cambio de aceite de hasta 2 años o 200 horas. El sistema de parada del motor en caso de baja presión
de aceite protege el motor contra daños catastróficos y la parada por sobretemperatura evita daños
por sobrecalentamiento. Generador: El diseño de campo giratorio permite que el equipo sea más
compacto y opere con un 25% más de eficiencia que un grupo electrógeno inducido. El estator
inclinado produce una onda sinusoidal fluida que permite la compatibilidad con equipos electrónicos.
La excitación de fase desplazada maximiza la capacidad de arranque del motor. La regulación
automática de la tensión regula la tensión de salida a ±1% y evita los picos de tensión. La
tecnología True Power™ garantiza una distorsión armónica total (THD) inferior al 5%. Sus
características incluyen: • Motor ohv generac g-force• Combustible: funcionamiento con gas natural o
GLP• Regulador de velocidad electrónico• Carrocería insonorizada de aluminio• Tecnología eléctrica
true power™• Controlador evolution™ digital multilingüe lcd de dos líneas• Indicadores LED del
estado del sistema y de intervalos de mantenimiento• Conector de combustible flexible• Conexión
wi-fi incluida• Seguimiento remoto con wi-fi a través de la app mobile link™ Ficha técnica del
Generador Gas Pramac 10KW GA10000 Ficha técnica del Generador Gas Pramac 10KW GA10000",https://cdn.autosolar.es/images/generadores/generador-gas-pramac-10kw-ga10000_thumb_main.jpg,,Generadores
Generador Eléctrico 3300W Genergy Estrela,"560,69"," Generador Eléctrico 3300W Genergy Estrela Ficha técnica del Generador Eléctrico 3300W Genergy
Estrela Ver la Ficha Técnica del Generador Eléctrico 3300W Genergy Estrela Aplicaciones del
Generador Eléctrico 3300W Genergy Estrela El Generador Eléctrico 3300W Genergy Estrela es un grupo
electrógeno de gasolina perteneciente a la gama CUBE del fabricante español Genergy. Su cometido es
proporcionar energía eléctrica gracias al alternador integrado cuando se arranca el motor. Muy
frecuentes en sitios remotos o aislados de la red eléctrica, el Generador Eléctrico 3300W Genergy
Estrela es un gran aliado cuando se necesita un suministro de emergencia con las mejores garantías
de fiabilidad y durabilidad. Se recomienda que un generador de gasolina esté sobredimensionado al
consumo que va a tener que abastecer, de este modo el funcionamiento es mucho más eficiente y la
durabilidad también es muy superior. Características del Generador Eléctrico 3300W Genergy Estrela
Este modelo de la gama CUBE del fabricante Genergy, proporciona una potencia máxima de 3300W en
corriente monofásica. Dispone de un motor, modelo SGB225PRO de 4 tiempos, con distribución OHV y
refrigerado por aire. Su motor cumple con la normativa europea de emisiones Euro V y el bobinado del
alternador es de cobre de alta calidad. Dispone de arranque manual por tirador y estabilización
electrónica AVR para proporcionar una señal eléctrica libre de oscilaciones que puedan perjudicar el
funcionamiento de los dispositivos eléctricos que le conectemos. La gama CUBE va montada sobre un
chasis tubular con 2 ruedas de 8 pulgadas. Esto facilita el transporte del Generador Eléctrico 3300W
Genergy Estrela gracias a su diseño Zero gravity. Panel delantero del Generador Eléctrico 3300W
Genergy Estrela El Generador Eléctrico 3300W Genergy Estrela tiene un display inteligente que
notifica cuando es necesaria una labor de mantenimiento. Además muestra el voltaje de salida, los
hercios y las horas de funcionamiento. Dispone de 2 tomacorrientes con protección IP44 y de 16A
Datos técnicos del Generador Eléctrico 3300W Genergy Estrela Estabilizacion: Sí, electrónica de tipo
AVR.Voltaje y Frecuencia: 230V y 50Hz.Potencia máxima: 3300W.Modelo de motor: SGB225PRO.Cilindrada:
224cc.Tipo de motor: Gasolina, OHV refrigerado por aire.Nivel presión acústica media 7mts: 66dB-74dB
(ralenti-nominal).Tipo de Arranque: Manual.Capacidad depósito combustible: 13 Litros.Autonomía al
25-50-75% de carga: 14.4H – 13.8H – 9.3HCapacidad y tipo de aceite: 0.6L SAE10W40.Dimensiones: 632 x
577 x 563 mm.Peso: 54Kg. Ficha técnica del Generador Eléctrico 3300W Genergy Estrela Ver la Ficha
Técnica del Generador Eléctrico 3300W Genergy Estrela",https://cdn.autosolar.es/images/generadores/generador-electrico-3300w-genergy-estrela_thumb_main.jpg,,Generadores
Generador Eléctrico 3300W Genergy Jaca,"632,27"," Generador Eléctrico 3300W Genergy Jaca Ficha técnica del Generador Eléctrico 3300W Genergy Jaca Ver
la Ficha Técnica del Generador Eléctrico 3300W Genergy Jaca Aplicaciones del Generador Eléctrico
3300W Genergy Jaca El Generador Eléctrico 3300W Genergy Jaca es un grupo electrógeno de gasolina
perteneciente a la gama PROFESIONAL del fabricante español Genergy. Su cometido es proporcionar
energía eléctrica gracias al alternador integrado cuando se arranca el motor. Especialmente enfocado
a un uso profesional donde se requiere de un equipo fiable y duradero, al mismo tiempo que ofrezca
ligereza, buena portabilidad y un mantenimiento sencillo. El Generador Eléctrico 3300W Genergy Jaca
es un gran aliado donde se necesita disponer de electricidad con las mejores garantías de fiabilidad
y durabilidad. Se recomienda que un generador de gasolina esté sobredimensionado al consumo que va a
tener que abastecer, de este modo el funcionamiento es mucho más eficiente y la durabilidad también
es muy superior. La gama Profesional de Genergy a la que pertenece este Generador Eléctrico 3300W
Genergy Jaca dispone de una serie de mejoras como un bastidor más envolvente y reforzado, unido a
unos silentblock sobredimensionados para evitar al máximo los daños por colisión. El interruptor de
encendido y apagado es un botón de emergencia para que cualquiera pueda apagarlo con seguridad en
caso de ser necesario. Además, toda la gama Profesional de Genergy dispone de arranque eléctrico,
incluso en las versiones de inferior potencia. Características del Generador Eléctrico 3300W Genergy
Jaca Este modelo de la gama Profesional del fabricante Genergy, proporciona una potencia máxima de
3300W en corriente monofásica. Dispone de un motor, modelo SGB225PRO de 4 tiempos, con distribución
OHV y refrigerado por aire. Su motor cumple con la normativa europea de emisiones Euro V y el
bobinado del alternador es de cobre de alta calidad. Dispone de arranque manual por tirador y
también eléctrico. Incorpora estabilización electrónica SVR de última tecnología para proporcionar
una señal eléctrica libre de oscilaciones que puedan perjudicar el funcionamiento de los
dispositivos eléctricos que le conectemos. La estabilización SVR además permite el arranque de
motores protegiendo el alternador de sobrecargas. La gama Profesional va montada sobre un bastidor
tubular con 2 ruedas de 8 o 10 pulgadas en función del modelo. La mancera está integrada para no
sobresalir del bastidor reduciendo el espacio de almacenaje, esto además facilita el transporte del
Generador Eléctrico 3300W Genergy Jaca. Panel delantero del Generador Eléctrico 3300W Genergy Jaca
El Generador Eléctrico 3300W Genergy Jaca tiene en su panel de control delantero lo siguiente: Botón
de emergencia. Display inteligente que notifica cuando es necesaria una labor de mantenimiento.
Además muestra el voltaje de salida, los hercios y las horas de funcionamiento. Toma de tierra.
Pulsador de arranque eléctrico. Disyuntor general. 2 Tomacorrientes de 16A con protección IP44 Datos
técnicos del Generador Eléctrico 3300W Genergy Jaca Estabilizacion: Sí, electrónica de tipo
SVR.Voltaje y Frecuencia: 230V y 50Hz.Potencia máxima: 3300W.Modelo de motor: SGB225PRO.Cilindrada:
224cc.Tipo de motor: Gasolina, OHV refrigerado por aire.Nivel presión acústica media 7mts: 64dB-73dB
(ralenti-nominal).Tipo de Arranque: Manual y eléctrico.Capacidad depósito combustible: 2.6
Litros.Autonomía al 25-50-75% de carga: 3.25H – 2.6H – 1.85HCapacidad y tipo de aceite: 0.6L
SAE10W40.Dimensiones: 710 x 517 x 527 mm.Peso: 57Kg. Ficha técnica del Generador Eléctrico 3300W
Genergy Jaca Ver la Ficha Técnica del Generador Eléctrico 3300W Genergy Jaca",https://cdn.autosolar.es/images/generadores/generador-electrico-3300w-genergy-jaca_thumb_main.jpg,,Generadores
Generador Inverter TS4200iF-Y 3.8kW Tensite,"755,08"," Generador Inverter TS4200iF-Y 3.8kW Tensite Ficha técnica del Generador Inverter TS4200iF-Y 3.8kW
Tensite Ficha técnica del Generador Inverter TS4200iF-Y 3.8kW Tensite Características del Generador
Inverter TS4200iF-Y 3.8kW Tensite El Generador Inverter TS4200iF-Y 3.8kW Tensite es un grupo
electrógeno de gasolina del fabricante Tensite diseñado para altas exigencias y potencias. Su
cometido es proporcionar energía eléctrica gracias al alternador integrado cuando se arranca el
motor. Se adapta a cualquier lugar de trabajo entregando energía limpia y un rendimiento eficiente.
Son ideales para construcción, industria, aplicaciones domésticas, agrícolas y en cualquier lugar
donde se requiera un generador de alta calidad. Este tipo de generador es un gran aliado cuando se
necesita un suministro de emergencia con las mejores garantías de seguridad y durabilidad. Es
recomendable dimensionar el generador correctamente al consumo que se va a abastecer para obtener el
máximo rendimiento y alargar también la vida útil del generador. Sin duda alguna la mejor
alternativa precio - calidad a la hora de elegir un equipo fiable. Este modelo proporciona una
potencia máxima pico de 4200W en corriente monofásica. Dispone de un motor EURO V OHV SV230, con
distribución OHV y refrigerado por aire. Su motor de arranque adopta un diseño vertical que aumenta
la entrada de aire y prolonga la vida útil del motor. Dispone de arranque manual por tirador y
función de inicio automático de estabilización, una carrocería silenciosa que permite el
desplazamiento del equipo de forma extremadamente cómoda y un bajo nivel sonoro. Gracias a su
potente motor de 4 tiempos, podemos obtener el máximo rendimiento y autonomía mientras obtenemos un
voltaje estable. Integra protección contra sobrecarga y sobrecorriente, más seguridad durante el
uso. Datos técnicos del Generador Inverter TS4200iF-Y 3.8kW Tensite Voltaje y Frecuencia: 230V y
50Hz. Potencia de salida continua: 3800W. Modelo de motor: SV230. Cilindrada: 223cc. Tipo de motor:
Gasolina, OHV refrigerado por aire. Nivel presión acústica media 7mts: 72dB (ralenti-nominal). Tipo
de Arranque: Manual.Eléctrico/Automático/por señal contacto NA como respaldo del sistema solar
Capacidad depósito combustible: 15 Litros. Autonomía al 50-75% de carga: 9-5h Capacidad y tipo de
aceite: 0.6L SAE10w30 Dimensiones: 540 x 470 x 470 mm. Peso: 41Kg. Ficha técnica del Generador
Inverter TS4200iF-Y 3.8kW Tensite Ficha técnica del Generador Inverter TS4200iF-Y 3.8kW Tensite",https://cdn.autosolar.es/images/generadores/generador-inverter-ts4200if-y-38kw-tensite_thumb_main.jpg,,Generadores
Generador gasolina Pramac 5800W WX6200 CONN,"917,46"," Generador gasolina Pramac 5800W WX6200 CONN Ficha Técnica y Manual Generador gasolina Pramac 5800W
WX6200 CONN Ver Ficha Técnica Generador gasolina Pramac 5800W WX6200 CONN Ver Manual Generador
gasolina Pramac 5800W WX6200 CONN Descripción Generador gasolina Pramac 5800W WX6200 CONN El
Generador gasolina Pramac 5800W WX6200 CONN de arranque manual o eléctrico y motor de gasolina
Pramac OHV tiene una potencia máxima de 5,8 kW de potencia máxima LTP y 5,3 kW de potencia en uso
continuado, perfecto para uso recreativo o como sistema auxiliar para tu vivienda, ya que suministra
electricidad donde y cuando la necesites. Además, también incorpora un sistema de regulación
electrónica de voltaje (AVR) para conectar equipos electrónicos. Y una toma incorporada (CONN) para
conexión automática por fallo de red (ATS) y conector CONN para AMF(cuadro automático para fallo de
red). Con protección térmica y apagado automático por nivel bajo de aceite para proteger el motor.
Dispone de 2 tomas Schuko 230V con índice de protección IP44 (protección ante salpicaduras),
voltímetro, cuenta-horas, frecuencímetro e indicador de nivel de combustible. El cuadro de
transferencia automático (ATS), opcional, ofrece la comodidad de un inicio rápido en caso de
interrupción. Incluye botella de aceite, asas y ruedas para el transporte. Este equipo permite todos
los sistemas de arranque gracias a los cuadros AMF exclusivos de Pramac (fallo red, arranque por
contacto externo, arranque por señal remoto), lo que le hace uno de los más versátiles del mercado
pudiendo transformarse en cualquier momento desde un equipo convencional a un equipo integrado en
una instalación eléctrica de cualquier índole. Características Generador gasolina Pramac 5800W
WX6200 CONN Velocidad de funcionamiento nominal: 3000 rpm Combustible: Gasolina Depósito de aceite:
01.1 Dimensiones: 810 x 625 x 607 mm Peso: 89 Kg Capacidad de tanque de combustible: 26 litros Nivel
sonoro garantizado: 97 dBA Ficha Técnica y Manual Generador gasolina Pramac 5800W WX6200 CONN Ver
Ficha Técnica Generador gasolina Pramac 5800W WX6200 CONN Ver Manual Generador gasolina Pramac 5800W
WX6200 CONN",https://cdn.autosolar.es/images/generadores/generador-gasolina-pramac-5800w-wx6200-conn_thumb_main.jpg,,Generadores
Generador Eléctrico 7000W Genergy Mulhacén,"1.132,11"," Generador Eléctrico 7000W Genergy Mulhacén Ficha técnica del Generador Eléctrico 7000W Genergy
Mulhacén Ver la Ficha Técnica del Generador Eléctrico 7000W Genergy Mulhacén Aplicaciones del
Generador Eléctrico 7000W Genergy Mulhacén El Generador Eléctrico 7000W Genergy Mulhacén es un grupo
electrógeno de gasolina perteneciente a la gama CUBE del fabricante español Genergy. Su cometido es
proporcionar energía eléctrica gracias al alternador integrado cuando se arranca el motor. Muy
frecuentes en sitios remotos o aislados de la red eléctrica, el Generador Eléctrico 7000W Genergy
Mulhacén es un gran aliado cuando se necesita un suministro de emergencia con las mejores garantías
de fiabilidad y durabilidad. Se recomienda que un generador de gasolina esté sobredimensionado al
consumo que va a tener que abastecer, de este modo el funcionamiento es mucho más eficiente y la
durabilidad también es muy superior. Características del Generador Eléctrico 7000W Genergy Mulhacén
Este modelo de la gama CUBE del fabricante Genergy, proporciona una potencia máxima de 7000W en
corriente monofásica. Dispone de un motor, modelo SGB420PRO de 4 tiempos, con distribución OHV y
refrigerado por aire. Su motor cumple con la normativa europea de emisiones Euro V y el bobinado del
alternador es de cobre de alta calidad. Dispone de arranque manual por tirador y estabilización
electrónica AVR para proporcionar una señal eléctrica libre de oscilaciones que puedan perjudicar el
funcionamiento de los dispositivos eléctricos que le conectemos. La gama CUBE va montada sobre un
chasis tubular con 2 ruedas de 8 pulgadas. Esto facilita el transporte del Generador Eléctrico 7000W
Genergy Mulhacén gracias a su diseño Zero gravity. Panel delantero del Generador Eléctrico 7000W
Genergy Mulhacén El Generador Eléctrico 7000W Genergy Mulhacén tiene en su panel de control
delantero lo siguiente: Display inteligente que notifica cuando es necesaria una labor de
mantenimiento. Además muestra el voltaje de salida, los hercios y las horas de funcionamiento.
Tomacorrientes de 16A con disyuntor y protección IP44 Tomacorrientes de 32A con protección IP44
Disyuntor general. Toma de tierra. Datos técnicos del Generador Eléctrico 7000W Genergy Mulhacén
Estabilizacion: Sí, electrónica de tipo AVR.Voltaje y Frecuencia: 230V y 50Hz.Potencia máxima:
7000W.Modelo de motor: SGB420PRO.Cilindrada: 420cc.Tipo de motor: Gasolina, OHV refrigerado por
aire.Nivel presión acústica media 7mts: 68dB-74dB (ralenti-nominal).Tipo de Arranque:
Manual.Capacidad depósito combustible: 28 Litros.Autonomía al 25-50-75% de carga: 14H – 10.7H –
9.3HCapacidad y tipo de aceite: 1.1L SAE10W40.Dimensiones: 745 x 680 x 669 mm.Peso: 85Kg. Ficha
técnica del Generador Eléctrico 7000W Genergy Mulhacén Ver la Ficha Técnica del Generador Eléctrico
7000W Genergy Mulhacén",https://cdn.autosolar.es/images/generadores/generador-electrico-7000w-genergy-mulhacen_thumb_main.jpg,,Generadores
Generador Inverter 7500W Genergy Creta SOL,"1.788,25"," Generador Inverter 7500W Creta SOL Ficha técnica Generador Inverter 7500W Creta SOL Ficha técnica
del Generador Inverter 7500W Creta SOL Manual del Generador Inverter 7500W Creta SOL Características
del Generador Inverter 7500W Creta SOL El Generador Inverter 7500W Creta SOL es un generador con
tecnología Inverter del fabricante Genergy. Su objetivo es proporcionar energía eléctrica con una
calidad de onda superior para poder alimentar los consumos. Se trata de un generador eficiente y de
gran fiabilidad que tiene un arranque fácil y automático. Además, su mantenimiento es sencillo. Este
dispositivo es muy útil en lugares donde se necesita disponer de la electricidad en lugares donde no
hay acceso directo a la red eléctrica. Este modelo SOL dispone de arranque por contactos. Gracias a
ello cuando se conecta a un inversor cargador en una instalación solar aislada, puede interpretar la
señal que le envía el inversor para que se ponga en marcha en caso de necesidad. Esto permite una
mayor automatización ya que ante unas baterías con baja carga, el generador puede recargarlas a
través del inversor que le ha ordenado ponerse en marcha. Además, se destacan algunas de sus
características: - Bajas emisiones y excelente rendimiento.- Fiabilidad y durabilidad aseguradas.-
Pantalla digital: muestra voltaje, frecuencia, horas de trabajo, combustible e indicador de carga
conectada/disponible.- Salida de emergencia procesada mediante proceso inverter.- Alta calidad de
corriente con baja distorsión de armónicos.- Ultra compacto y ligero. Hasta un 30% menos de volumen
y peso que otros generadores de potencia similar.- Se puede arrancar también eléctricamente con
llave o de forma manual con una cuerda para poder seguir haciendo uso en caso de fallar la batería.
Panel de control del Generador Inverter 7500W Creta SOL Datos técnicos del Generador Inverter 7500W
Creta SOL Sistema de estabilización: Inverter.Voltaje y frecuencia: 230V a 50Hz.Potencia máxima:
7500W.Modelo de motor: SGB460PRO.Cilindrada: 459cc.Tipo de motor: Gasolina, 4 tiempos OHV
refrigerado por aire.Nivel presión acústica media 7mts: 68dB-74dB.Tipo de Arranque: Contacto NA,
eléctrico y manual/Remote (50M).Capacidad depósito combustible: 25 Litros.Autonomía al 25-50-75% de
carga: 15H – 10,8H – 7.5H.Capacidad y tipo de aceite: 1.1L SAE10W40.Dimensiones: 634 x 545 x 566
mm.Peso: 70Kg Ficha técnica Generador Inverter 7500W Creta SOL Ficha técnica del Generador Inverter
7500W Creta SOL Manual del Generador Inverter 7500W Creta SOL",https://cdn.autosolar.es/images/generadores/generador-inverter-7500w-genergy-creta-sol_thumb_main.jpg,,Generadores
Generador Eléctrico 2800W Genergy Gorbea,"471,22"," Generador Eléctrico 2800W Genergy Gorbea Ficha técnica del Generador Eléctrico 2800W Genergy Gorbea
Ver la Ficha Técnica del Generador Eléctrico 2800W Genergy Gorbea Aplicaciones del Generador
Eléctrico 2800W Genergy Gorbea El Generador Eléctrico 2800W Genergy Gorbea es un grupo electrógeno
de gasolina perteneciente a la gama CUBE del fabricante español Genergy. Su cometido es proporcionar
energía eléctrica gracias al alternador integrado cuando se arranca el motor. Muy frecuentes en
sitios remotos o aislados de la red eléctrica, el Generador Eléctrico 2800W Genergy Gorbea es un
gran aliado cuando se necesita un suministro de emergencia con las mejores garantías de fiabilidad y
durabilidad. Se recomienda que un generador de gasolina esté sobredimensionado al consumo que va a
tener que abastecer, de este modo el funcionamiento es mucho más eficiente y la durabilidad también
es muy superior. Características del Generador Eléctrico 2800W Genergy Gorbea Este modelo de acceso
de la gama CUBE del fabricante Genergy, proporciona una potencia máxima de 2800W en corriente
monofásica. Dispone de un motor, modelo SGB210PRO de 4 tiempos, con distribución OHV y refrigerado
por aire. Su motor cumple con la normativa europea de emisiones Euro V y el bobinado del alternador
es de cobre de alta calidad. Dispone de arranque manual por tirador y estabilización electrónica AVR
para proporcionar una señal eléctrica libre de oscilaciones que puedan perjudicar el funcionamiento
de los dispositivos eléctricos que le conectemos. La gama CUBE va montada sobre un chasis tubular
con 2 ruedas de 8 pulgadas. Esto facilita el transporte del Generador Eléctrico 2800W Genergy Gorbea
gracias a su diseño Zero gravity. Panel delantero del Generador Eléctrico 2800W Genergy Gorbea El
Generador Eléctrico 2800W Genergy Gorbea tiene un display inteligente que notifica cuando es
necesaria una labor de mantenimiento. Además muestra el voltaje de salida, los hercios y las horas
de funcionamiento. Dispone de 2 tomacorrientes con protección IP44 y de 16A Datos técnicos del
Generador Eléctrico 2800W Genergy Gorbea Estabilizacion: Sí, electrónica de tipo AVR.Voltaje y
Frecuencia: 230V y 50Hz.Potencia máxima: 2800W.Modelo de motor: SGB210PRO.Cilindrada: 208cc.Tipo de
motor: Gasolina, OHV refrigerado por aire.Nivel presión acústica media 7mts: 64dB-73dB
(ralenti-nominal).Tipo de Arranque: Manual.Capacidad depósito combustible: 13 Litros.Autonomía al
25-50-75% de carga: 17.3H – 13H – 11.1HCapacidad y tipo de aceite: 0.6L SAE10W40.Dimensiones: 632 x
577 x 563 mm.Peso: 49Kg. Ficha técnica del Generador Eléctrico 2800W Genergy Gorbea Ver la Ficha
Técnica del Generador Eléctrico 2800W Genergy Gorbea",https://cdn.autosolar.es/images/generadores/generador-electrico-2800w-genergy-gorbea_thumb_main.jpg,,Generadores
Generador Inverter 1000W Genergy Ibiza II,"523,71"," Generador Inverter 1000W Genergy Ibiza Ficha técnica del Generador Inverter 1000W Genergy Ibiza Ver
la Ficha Técnica del Generador Inverter 1000W Genergy Ibiza Aplicaciones del Generador Inverter
1000W Genergy Ibiza El Generador Eléctrico 1000W Genergy Ibiza es un grupo electrógeno de gasolina
perteneciente a la gama INVERTER del fabricante español Genergy. Su cometido es proporcionar energía
eléctrica con una calidad de onda superior, para poder alimentar los consumos más sensibles que no
toleren una distorsión elevada. Especialmente enfocado a un uso profesional donde se requiere de un
equipo que genere una red eléctrica de calidad superior, gracias al procesamiento de la energía a
través del inversor. El voltaje es totalmente estable y la onda eléctrica extremadamente limpia para
todo tipo de aparatos sensibles. Al mismo tiempo ofrece ligereza, buena portabilidad y un
mantenimiento sencillo. El Generador Inverter 1000W Genergy Ibiza es un gran aliado donde se
necesita disponer de electricidad con las mejores garantías. Se recomienda que un generador de
gasolina esté sobredimensionado al consumo que va a tener que abastecer, de este modo el
funcionamiento es mucho más eficiente y la durabilidad también es muy superior. Estos modelos
ofrecen un modo ECO que reduce el consumo hasta en un 25% ajustando las revoluciones del motor a la
carga conectada. La gama Inverter de Genergy a la que pertenece este Generador Eléctrico 1000W
Genergy Ibiza está disponible desde los 1000 a los 7500W e incorporan una serie de mejoras como
modelos con control remoto inalámbrico, una mejor compacidad y ligereza. Características del
Generador Inverter 1000W Genergy Ibiza Este modelo de la gama INVERTER del fabricante Genergy,
proporciona una potencia máxima de 1000W en corriente monofásica. Dispone de un motor, modelo SGE20
de 4 tiempos, con distribución OHV y refrigerado por aire. Toda la gama de motores de los
generadores Inverter de Genergy cumplen con la normativa europea Euro V de emisiones. Dispone de
arranque manual por tirador. Incorpora estabilización mediante proceso inverter para una distorsión
de armónicos inferior al 3% THD. La corriente, el voltaje y la frecuencia son estables para
alimentar todo tipo de consumos sensibles. Esta gama Inverter Compacta lleva un carenado exterior
plástico que cubre un bastidor interior metálica de alta resistencia. De este modo se ofrece una
protección adicional y se reduce el nivel sonoro. Su construcción ligera no incluye kit de
transporte gracias a su ligereza inferior a 15Kg, esto además facilita el transporte del Generador
Inverter 1000W Genergy Ibiza. Panel lateral del Generador Inverter 1000W Genergy Ibiza El Generador
Inverter 1000W Genergy Ibiza tiene en su panel de control lateral lo siguiente: Válvula de gasolina.
Tirador de arranque manual. Tomacorriente de 12V. Disyuntor de la toma de 12V. Toma de tierra. Modo
ECO. Interruptor del motor. Pilotos de falta de aceite, de sobrecarga de consumo y de la salida de
230V. Tomacorriente de 16A con protección IP44. Datos técnicos del Generador Inverter 1000W Genergy
Ibiza Estabilizacion: Sí, de tipo inverter.Voltaje y Frecuencia: 230V a 50Hz.Potencia máxima:
1000W.Modelo de motor: SGE20.Cilindrada: 50cc.Tipo de motor: Gasolina, OHV refrigerado por
aire.Nivel presión acústica media 7mts: 58dB-69dB (ralenti-nominal).Tipo de Arranque:
Manual.Capacidad depósito combustible: 2.8 Litros.Autonomía al 25-50-75% de carga: 10.1H – 6.8H –
5.1HCapacidad y tipo de aceite: 0.32L SAE10W40.Dimensiones: 480 x 280 x 400 mm.Peso: 14.9Kg. Ficha
técnica del Generador Inverter 1000W Genergy Ibiza Ver la Ficha Técnica del Generador Inverter 1000W
Genergy Ibiza",https://cdn.autosolar.es/images/generadores/generador-inverter-1000w-genergy-ibiza-ii_thumb_main.jpg,,Generadores
