title,cost,description,img_src,photo_desc_str,category
"Puntera hueca aislada corta APF - 1,5mm2","0,04"," Puntera hueca aislada corta APF - 1,5mm2 Una punta hueca aislada es un tipo de conectores
eléctricos que se utilizan para unir cables eléctricos de manera segura y duradera. La punta hueca
aislada corta de 1,5 mm2 es una opción adecuada para cables de sección transversal de 1,5 mm2 o
menos. Estos conectores están diseñados para ser fáciles de usar y proporcionar una conexión segura
y fiable en una amplia variedad de aplicaciones eléctricas. Las punteras huecas APF están fabricadas
en tubo capilar de cobre electrolítico con un acabado plateado estañado para mejorar el contacto
eléctrico. La parte aislante está hecha de polipropileno (PP). Tienen un acabado plateado estañado
para la mejora del contacto eléctrico. Diseñados para conexionado y montaje en cuadros eléctricos y
tableros eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-aislada-corta-apf-15mm2_thumb_main.jpg,,Material_electrico
Puntera hueca aislada corta SP-IKY - 4mm2,"0,04"," Puntera hueca aislada corta SP-IKY - 4mm2 La puntera hueca aislada corta SP-IKY con una capacidad
de 4mm2, es un tipo de conector eléctrico, específicamente para unir dos cables eléctricos mediante
la presión de su mecanismo de fijación. Es aislada para asegurar la seguridad eléctrica y previene
las posibles conexiones inadecuadas. Es una herramienta comúnmente utilizada en la industria
eléctrica para instalaciones eléctricas en edificios y maquinaria. Las punteras huecas APF están
fabricadas en tubo capilar de cobre electrolítico con un acabado plateado estañado para mejorar el
contacto eléctrico. La parte aislante está hecha de polipropileno (PP). Tienen un acabado plateado
estañado para la mejora del contacto eléctrico. Diseñados para conexionado y montaje en cuadros
eléctricos y tableros eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-aislada-corta-sp-iky-4mm2_thumb_main.jpg,,Material_electrico
"Puntera hueca aislada corta APF - 1,5mm2 doble","0,06"," Puntera hueca aislada corta APF - 1,5mm2 doble Una punta hueca aislada corta doble de 1,5 mm2 es un
conector eléctrico que tiene dos terminales en lugar de uno. Esto permite que se conecten dos cables
eléctricos en lugar de uno, lo que puede ser útil en algunas aplicaciones. Las puntas huecas
aisladas dobles suelen utilizarse en instalaciones eléctricas y electrónicas para unir dos cables de
forma segura y duradera. Al igual que las puntas huecas aisladas simples, las dobles también están
diseñadas para ser fáciles de usar y proporcionar una conexión segura y fiable en una amplia
variedad de aplicaciones. Las punteras huecas APF están fabricadas en tubo capilar de cobre
electrolítico con un acabado plateado estañado para mejorar el contacto eléctrico. La parte aislante
está hecha de polipropileno (PP). Tienen un acabado plateado estañado para la mejora del contacto
eléctrico. Diseñados para conexionado y montaje en cuadros eléctricos y tableros eléctricos.",https://cdn.autosolar.es/images/material-instalacion/puntera-hueca-aislada-corta-apf-15mm2-doble_thumb_main.jpg,,Material_electrico
Puntera hueca aislada corta SP-IKY - 10mm2,"0,08"," Puntera hueca aislada corta SP-IKY - 10mm2 La puntera hueca aislada corta SP-IKY con una capacidad
de 10mm², es un tipo de conector eléctrico diseñado para unir dos cables eléctricos mediante la
presión de su mecanismo de fijación. Es aislada, para asegurar la seguridad eléctrica y prevenir las
posibles conexiones inadecuadas. Es una herramienta comúnmente utilizada en la industria eléctrica
para instalaciones eléctricas en edificios y maquinaria. Con una capacidad mayor a la del puntero
SP-IKY 6mm², esta puntera puede soportar una mayor carga y estar utilizada en aplicaciones con un
mayor consumo eléctrico, como iluminación, electrodomésticos, motores y cargas industriales. Las
punteras huecas APF están fabricadas en tubo capilar de cobre electrolítico con un acabado plateado
estañado para mejorar el contacto eléctrico. La parte aislante está hecha de polipropileno (PP).
Tienen un acabado plateado estañado para la mejora del contacto eléctrico. Diseñados para
conexionado y montaje en cuadros eléctricos y tableros eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-aislada-corta-sp-iky-10mm2_thumb_main.jpg,,Material_electrico
Puntera hueca ailada corta SP-IKY - 6mm2,"0,08"," Puntera hueca ailada corta SP-IKY - 6mm2 La puntera hueca aislada corta SP-IKY con una capacidad de
6mm² es un tipo de conector eléctrico, específicamente para unir dos cables eléctricos mediante la
presión de su mecanismo de fijación. Es aislada, para asegurar la seguridad eléctrica y previene las
posibles conexiones inadecuadas. Es una herramienta comúnmente utilizada en la industria eléctrica
para instalaciones eléctricas en edificios y maquinaria. Con una capacidad mayor a la del puntero
SP-IKY 4mm², esta puntera puede soportar una mayor carga y estar utilizada en aplicaciones con un
mayor consumo eléctrico. Las punteras huecas APF están fabricadas en tubo capilar de cobre
electrolítico con un acabado plateado estañado para mejorar el contacto eléctrico. La parte aislante
está hecha de polipropileno (PP). Tienen un acabado plateado estañado para la mejora del contacto
eléctrico. Diseñados para conexionado y montaje en cuadros eléctricos y tableros eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-ailada-corta-sp-iky-6mm2_thumb_main.jpg,,Material_electrico
Puntera hueca aislada corta APF - 16mm2,"0,11"," Puntera hueca aislada corta APF - 16mm2 La puntera hueca aislada corta APF con una capacidad de
16mm² es un tipo de conector eléctrico, específicamente diseñado para unir dos cables eléctricos
mediante la presión de su mecanismo de fijación. Es aislada para asegurar la seguridad eléctrica y
previene las posibles conexiones inadecuadas. Es una herramienta comúnmente utilizada en la
industria eléctrica para instalaciones eléctricas en edificios y maquinaria. Con una capacidad mayor
a la del puntero APF 10mm², esta puntera puede soportar una mayor carga y estar utilizada en
aplicaciones con un mayor consumo eléctrico. Es comúnmente utilizada en aplicaciones con un consumo
de corriente eléctrica alto, como la iluminación, electrodomésticos, motores y cargas industriales.
Las punteras huecas APF están fabricadas en tubo capilar de cobre electrolítico con un acabado
plateado estañado para mejorar el contacto eléctrico. La parte aislante está hecha de polipropileno
(PP). Tienen un acabado plateado estañado para la mejora del contacto eléctrico. Diseñados para
conexionado y montaje en cuadros eléctricos y tableros eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-aislada-corta-apf-16mm2_thumb_main.jpg,,Material_electrico
"Terminal de Ojo - Cable 2,5mm ojo de 8mm","0,16"," Terminal de Ojo Cable 2,5mm - Ojo 8mm El Terminal de Ojo Cable 2,5mm - Ojo 8mm sirve para crimpar
cableado de 2,5mm de sección y hacer la conexión sobre un tornillo de 8mm de diámetro. Se trata de
un terminal de ojo duradero y preparado para poder soportar altas temperaturas, erosión y humedad.
Su gran ventaja es ofrecer el mejor contacto eléctrico para hacer una unión que resista cualquier
condición. Asegúrese de crimparlo correctamente, pelar el recubrimiento suficiente del cable para
poder introducir todo el cobre del cable hasta el fondo y posteriormente cubrirlo con una funda
termoretráctil. El terminal de ojo es un elemento necesario para la correcta conexión de multitud de
dispositivos, en concreto, en el sector fotovoltaico el uso más habitual de los terminales de ojo es
la conexión de las baterías",https://cdn.autosolar.es/images/accesorios-electricos/terminal-de-ojo-cable-25mm-ojo-de-8mm_thumb_main.jpg,,Material_electrico
Puntera hueca aislada corta APF - 35mm2,"0,24"," Puntera hueca aislada corta APF - 35mm2 Una punta hueca aislada corta de 35 mm2 es un conector
eléctrico diseñado para cables de sección transversal de 35 mm2 o menos. Este tipo de conector es
utilizado para unir cables eléctricos de manera segura y duradera. Es más pequeño que las puntas
huecas aisladas de mayor tamaño como el 50mm2, pero es adecuado para corrientes eléctricas y
voltajes moderados. Estos conectores son comúnmente utilizados en aplicaciones industriales y
comerciales, donde se requiere conectar equipos y maquinaria de forma segura y fiable. Al igual que
otros tipos de puntas huecas aisladas, estos conectores están diseñados para proporcionar una
conexión segura y fiable en una amplia variedad de aplicaciones eléctricas. Las punteras huecas APF
están fabricadas en tubo capilar de cobre electrolítico con un acabado plateado estañado para
mejorar el contacto eléctrico. La parte aislante está hecha de polipropileno (PP). Tienen un acabado
plateado estañado para la mejora del contacto eléctrico. Diseñados para conexionado y montaje en
cuadros eléctricos y tableros eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-aislada-corta-apf-35mm2_thumb_main.jpg,,Material_electrico
Terminal de Ojo Cable 10mm - Ojo 8mm,"0,33"," Terminal de Ojo Cable 10mm - Ojo 8mm El Terminal de Ojo Cable 10mm - Ojo 8mm está preparado para
usarse con cableado de 10 mm de sección y para un tornillo de 8 mm de diámetro. Se trata de un
terminal de ojo duradero y preparado para poder soportar altas temperaturas, erosión y humedad. Su
gran ventaja es ofrecer el mejor contacto eléctrico para hacer una unión que resista cualquier
condición. Asegurarse de crimparlo correctamente, pelar el recubrimiento suficiente del cable para
poder introducir todo el cobre del cable hasta el fondo y posteriormente cubrirlo con una funda
termoretráctil.",https://cdn.autosolar.es/images/accesorios-electricos/terminal-de-ojo-cable-10mm-ojo-8mm_thumb_main.jpg,,Material_electrico
Puntera hueca aislada corta APF - 50mm2,"0,40"," Puntera hueca aislada corta APF - 50mm2 Una punta hueca aislada corta de 50 mm2 es un conector
eléctrico específico para cables de sección transversal de 50 mm2 o menos. Estos conectores son un
poco más grandes que las puntas huecas aisladas de menor tamaño y están diseñadas para manejar
mayores corrientes eléctricas y voltajes. Las puntas huecas aisladas cortas de 50 mm2 son comúnmente
utilizadas en aplicaciones industriales y comerciales, donde se requieren conexiones eléctricas de
alta potencia y seguridad. Al igual que otros tipos de puntas huecas aisladas, estos conectores son
diseñados para proporcionar una conexión segura y fiable en una amplia variedad de aplicaciones
eléctricas. Sin embargo, es importante asegurarse de que estas puntas huecas aisladas cortas cumplan
con las normativas y estándares eléctricos aplicables en tu país o zona, así como que estén
homologadas por la autoridad reguladora. Las punteras huecas APF están fabricadas en tubo capilar de
cobre electrolítico con un acabado plateado estañado para mejorar el contacto eléctrico. La parte
aislante está hecha de polipropileno (PP). Tienen un acabado plateado estañado para la mejora del
contacto eléctrico. Diseñados para conexionado y montaje en cuadros eléctricos y tableros
eléctricos.",https://cdn.autosolar.es/images/accesorios-electricos/puntera-hueca-aislada-corta-apf-50mm2_thumb_main.jpg,,Material_electrico
