title,price,photo_url,description
NINJA 3G DOUBLE VISOR,"1,935.00",https://ridersarena.com/cdn/shop/products/MATT_BLACK34.png?v=1664563965&width=1946,"Ninja 3G Double Visor is a flip up full face helmet having two visors with quick release main visor and other product features like higher impact outer shell and UV resistant paint, regulated density EPS, hypoallergenic liner and replaceable liner and quick release chin strap. Ninja 3G Double Visor comes in various sizes and colour options."
Putoline Matt Wax 500 ML,799.00,https://ridersarena.com/cdn/shop/products/putoline-matt-wax-500-ml-100919_1024x1024_7012d448-8ea2-4033-803b-699763bbaf19.webp?v=1678097224&width=1946,"Matt Wax is an advanced, water-based wax. Its special composition makes it suitable for matt paint, metal, aluminium, titanium, carbon and plastic. It provides excellent protection and intensifies the original colour. Application Apply a thin layer of Matt Wax. Rub it out with a soft, lint-free cloth. Shake well before use. Do not use in direct sunlight or on hot surfaces, this may cause staining. Vanilla scented."
Yamaha R15 v3 Brake Pads (Ceramic),"1,424.00",https://ridersarena.com/cdn/shop/products/ktm-rc200-brake-pads-ceramic-711203_1024x1024_8b74c74b-b836-4036-b664-7c593849fb8b.webp?v=1666946198&width=1946,"Vesrah’s high performance brake pads match or exceed OEM products. Whether you choose sintered or ceramic pads, you will enjoy the fruits of more than seven decades of careful attention to precision dimensions and material composition. Ceramic pads consist of aramid fiber, metallic fiber, ceramic powder, abrasives and lubricants. These materials are mixed with formulations of phenolic resin to form the brake pad. This is where 70 years of our accumulated know-how and experience comes into play."
"APOLLO 140/70 R17 TRAMPLR XR (Rear, Tubeless)","3,930.00",https://ridersarena.com/cdn/shop/files/0002973_tramplr-xr_550.png?v=1691496149&width=1946,Please Note : Shipping costs will be communicated as per actuals after order confirmation. Suitable For : Suzuki Gixxer Bike Tyres Suzuki Gixxer SF Carburettor ABS Bike Tyres Suzuki Gixxer SF FI Bike Tyres Suzuki Gixxer SF Fuel Injected ABS Bike Tyres Suzuki Gixxer SF SP FI and ABS Bike Tyres suzuki Gixxer SP Bike Tyres Suzuki Intruder 150 Bike Tyres Yamaha Fazer F1 version 2.0 Bike Tyres Kawasaki Z250 Bike Tyres Mahindra Mojo UT 300 Bike Tyres Kawasaki Ninja 300 Bike Tyres Honda CBR 250R Bike Tyres Honda CBR 250R ABS Bike Tyres Honda CB Hornet 160R CBS Bike Tyres Yamaha FZ Version 2.0 Bike Tyres Yamaha YZF-R15 V3 Bike Tyres Yamaha Fazer 25 Bike Tyres Yamaha FZ 25 Bike Tyres Yamaha FZ S Version 2.0 Bike Tyres Honda CB Hornet 160R Bike Tyres
RRP HIMALAYAN VERTEX,"8,999.00",https://ridersarena.com/cdn/shop/products/image_8062bc2f-803b-4dc8-b006-499200072180.jpg?v=1676791867&width=1946,The Red Rooster Performance Nemesis Exhaust For Royal Enfield Himalayan bikes is carefully designed and extensively tested for providing your bike free-flow exhaust and 20% gain in performance. This sturdy exhaust is made with SS304 – which is the highest grade of commercially available stainless steel and this rust free exhaust is packed with ceramic wool that has a higher thermal resistance than glass wool. The Red Rooster Performance Exhaust also comes with lifetime material warranty. By replacing your factory fitted exhaust with this new one you will enjoy your rides now more than ever before.
C50 - BluArmor,"15,499.00",https://ridersarena.com/cdn/shop/files/C50_Box.webp?v=1740403771&width=1946,"Easier Controls 3 Button Modular Interface HD Audio ""Tuned by BLU™"" Signature Sound Speakers Seamless Connectivity RIDEGRID™ 2.0 Mesh Intercom Technology eRIDEGRID Easy Mounting ClickDock Behind the helmet mounting to reduce wind drag All our regular features like 1.1 Km Line of Sight Self Healing Mesh IP67 Rating 16+ Hours Battery Life Over the Air Firmware Updates 360° App What's in the box 1 C50 Unit, 1 ClickDock Full Kit, 1 Speaker Kit with Harness, 1 Boom Mic, 1 Button Mic, 1 3 Button Module, 1 Charging Cable RIDEGRID™ 2.0 True HD voice clarity and improved realiability"
ProBiker Motorcycle Gloves,399.00,https://ridersarena.com/cdn/shop/products/image_64e3b6c7-e7cf-442d-a837-057db47d2258.jpg?v=1678045274&width=1946,"Pro Biker - Bike Gloves have a special ergonomic design with hard shell protection, taking into account aesthetics and security. The pre-curved fingers fit riding style and the gloves are made of a synthetic breathable mesh fabric with silicon dots, air vents, TPU finger armour secured by velcro fasteners. These gloves are not winter/water-proof. Silicon dots The Motorcycle Gloves have a silicon dotted design that provides grip and traction when you are riding. These are anti-slip and will facilitate your hands while driving. TPU finger armour These motorcycle gloves have a TPU knuckles and fingers protector designed to keep your hands protected. The additional knuckle protection provides outstanding protection against falls, slides or slips. Air vents The gloves have high quality air vents on the knuckles and sides of the thumb for better air flow so that you can wear them in summer as well as in winter. Velcro fasteners The gloves are extremely easy to put on and take off. All you have to do is peel back the velcro fastener on the wrist."
MT15 V1.0 & V2.0 Crash Guard with Metal Sliders (Black),"2,499.00",https://ridersarena.com/cdn/shop/files/MT-15-GG-1-scaled.jpg?v=1703947338&width=1946,"High quality Crash guards fits MT-15 bike for crash protectors with stylish look. product is also mentioned as Crash guards, engine guards."
Foot Step for Activa 6G,399.00,https://ridersarena.com/cdn/shop/products/image_d6ac6a5b-ba79-47d7-a357-ffbc5c24bf31.jpg?v=1678903083&width=1946,Material: iron Chrome plating and heavy duty Compatible with Activa 6G
MOTUL - CHAIN CLEAN,255.00,https://ridersarena.com/cdn/shop/files/51SNd_J7weL._SX522.jpg?v=1693053412&width=1946,Не найдено
