Title,Cost,Description,Photos,Brand,Сategory,id
Naked Sunshine Body Mist Spray 250 ML, 525.00,"Bryan & Candy, New York’s Naked Sunshine Body Mist is a sensual feminine fragrance inspired by delicately poised peonies and silly Lilies. A perfect blend of rich White Musk, Hibiscus, Magnolia and Cassis. In a matter of moments, this fragrance will transform your mood towards the freshness valley with a variety of flowers.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06319_1080_1024x.jpg?v=1681448267
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06977_1080_1024x.jpg?v=1681448270
https://bryanandcandy.com/cdn/shop/products/71tEtPL9Q2L._SL1500_1024x.jpg?v=1681448272",Bryan & Candy,Women's Perfume,3577562926
Urban Desire Body Mist Spray 250 ML, 525.00,"Quantity: 250 ML, Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06361_1080_1024x.jpg?v=1657003026
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06948_1080_1024x.jpg?v=1657003026
https://bryanandcandy.com/cdn/shop/products/71YTtvKx9-L._SL1500_1024x.jpg?v=1657003026",Bryan & Candy,Women's Perfume,2246469101
Urban Scandal Body Mist 250 ML, 525.00,"Bryan and Candy Urban Desire Body Mist is a delightful blend of White Musk, Neroli, Rose and Black Currant. Bryan & Candy, New York’s Urban Desire Fragrance Mist will give you the essence of an abstract personality with wild living, full of desire, dreams, and fantasies. A fragrance that’ll help boost your lucid dream life.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06332_1024x.jpg?v=1652186262
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06507_1024x.jpg?v=1657003201
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06230-Edit_1024x.jpg?v=1657003201",Bryan & Candy,Women's Perfume,2406261470
Tropical Fling Body Mist Spray 250 ML, 525.00,"Bryan & Candy, New York’s Tropical Fling Body Mist is a sparkling and breezy fragrance with vibrant fruity-floral scent with clean and crisp elements of wild Orchids & Wormwood, which evokes the spirit of sun-kissed sand and beachy adventures. Bryan & Candy, Tropical Fling Fragrance Body Mist, gives you the confidence to slay with a look and steal someone’s heart with a smile.","https://bryanandcandy.com/cdn/shop/products/DSC06580_1080_1024x.jpg?v=1657002457
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06461_1024x.jpg?v=1657002457
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06878_1024x.jpg?v=1657002457",Bryan & Candy,Women's Perfume,9681307929
Wild Salsa Body Mist 250 ML, 525.00,"Bryan & Candy’s Wild Salsa Fragrance Body Mist is an ecstatic like a bottle of sparkling champagne. A refreshing vibrant breezy smell infused with Lemon in the top note, Cassis and Lilies in the heart and Amber in the aquatic base note. Perfect to captivate attention at dance parties and to get red-carpet ready wildness.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06320_1080_1024x.jpg?v=1657003421
https://bryanandcandy.com/cdn/shop/products/CopyofDSC03965_1024x.jpg?v=1657003421
https://bryanandcandy.com/cdn/shop/products/71Ks9IUg-fL._SL1500_1024x.jpg?v=1657003421",Bryan & Candy,Women's Perfume,7219060585
My Escapade And Urban Scandal Duo Body Mist Spray," 1,050.00","Brand


BRYAN & CANDY




Scent


My Escapade & Urban Scandal




Item Form


Spray




Item Volume


2*250 Millilitres







Quantity: 250 ML ( Pack of 2) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06333_1024x.jpg?v=1652187108
https://bryanandcandy.com/cdn/shop/products/20220308-DSC04008_33b350b9-a61f-45b9-ba77-10c7c0a61f49_1024x.jpg?v=1653284382
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06895_1024x.jpg?v=1653284382",Bryan & Candy,Women's Perfume,2187621477
Trendy Trio Body Mist Spray (Pack of 3), 735.00,"Brand


BRYAN & CANDY




Scent


Urban Desire, My Escapade, Floral Splash




Item Form


Spray




Item Weight


0.5 Kilograms




Item Volume


3*115 Millilitres







Quantity: 115 ML ( Pack of 3) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC06809_1024x.jpg?v=1672050938
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04071_1024x.jpg?v=1674630072
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06343_daeecc97-5f63-416f-816b-ac15e0eb5d1f_1024x.jpg?v=1674630072",Bryan & Candy,Women's Perfume,3782490355
Terrific Trio BODY MIST SPRAY (PACK OF 3), 735.00,"Brand


BRYAN & CANDY




Scent


Wild Salsa, Urban Scandal, Nottie Berries




Item Form


Spray




Item Weight


0.5 Kilograms




Item Volume


3*115 Millilitres







Quantity: 115 ML ( Pack of 3) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_1_1024x.jpg?v=1672123009
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_6_1024x.jpg?v=1674630066
https://bryanandcandy.com/cdn/shop/products/Terrific_Trio_2_1024x.jpg?v=1674630066",Bryan & Candy,Women's Perfume,0511660789
Tempting Trio Body Mist Spray (PACK OF 3), 735.00,"Brand


BRYAN & CANDY




Scent


Tropical Fling, Delicate Rose, Naked Sunshine




Item Form


Spray




Item Weight


0.5 Kilograms




Item Volume


3*115 Milliliters







Quantity: 115 ML ( Pack of 3) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_1_1024x.jpg?v=1672140983
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_6_1024x.jpg?v=1674630080
https://bryanandcandy.com/cdn/shop/products/Tempting_Trio_2_1024x.jpg?v=1674630080",Bryan & Candy,Women's Perfume,1715802262
Fab Five Body Mist Spray (Pack of 5)," 1,225.00","Brand


BRYAN & CANDY




Scent


Wild Salsa, Nottie Berries, Urban scandal, Naked Sunshine, Tropical Fling




Ingredients


Ethyl Alcohol (Extra Neutral Alcohol) (95% v/v), Perfume, Diethyl Phthalate, PEG – 40 (Hydrogenated Castor Oil), C.I 42090, C.I19140, Aqua. Alcohol Content: 65%v/vEthyl Alcohol (Extra Neutral Alcohol) (95% v/v), Perfume, Diethyl Phthalate, PEG – 40 (Hydrogenated Castor Oil), C.I 42090, C.I19140, Aqua. Alcohol Content: 65%v/v




Item Form


Spray




Item Weight


0.75 Kilograms







Quantity: 115 ML ( Pack of 5) , Item Form: Spray
Body Mist with long aroma for whole day long. Safe to be sprayed directly on skin for long lasting freshness
Convenient travel friendly pack. Helps you to have aromatherapy on the go any time anywhere
Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self
Usage: Give it a good hard shake first to make sure all the ingredients are mixed together before you spray it. You should hold the can approximately 15cm from your body or clothes as you spray it.","https://bryanandcandy.com/cdn/shop/products/01_MistPackof_5_1024x.jpg?v=1674643666
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04126_1024x.jpg?v=1674643666
https://bryanandcandy.com/cdn/shop/products/CopyofDSC07022_1080_1024x.jpg?v=1674643666",Bryan & Candy,Women's Perfume,7550094194
