Product ID,Brand,Category,Title,Description,Usage,Packaging,Image URLs
ETEDAYIT,Everest,Blended Spices,Garam Masala,"A select blend of 13 spices go into this grand old universal taste enhancer. Being chilli based, it
provides an exotic red gravy to dishes.

It is widely used all over India on account of its being a less pungent garam masala. Fennel,
Tejpatta (Cinnamon leaves) and Trifala imparts a cooling effect to this blend.","It is used essentially for preparing vegetarian dishes requiring a gravy. Gujaratis and Marwaris normally use it in lentils (dal) and for filling in snacks such as samosa, usal, patra, farsan etc.",15 gms / 25 gms / 50 gms / 100 gms / 200  gms / Jar 1 kg,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/sabji-masala.png
4AR1TJNW,Everest,Blended Spices,Sabji Masala,"A subtle blend of spice specially combined to enhance the taste of vegetable dishes. Everest Sabji
Masala is virtually the fast-food equivalent in the range of Everest blended spices. It gives
vegetable dishes a mildly resonant flavour and the appetising colour so characteristic of vegetarian
fare.","If you need to rustle up a quick vegetable curry, all you need is your favourite vegetable/s and Everest Sabji Masala, the 'one-stop' masala. That's right, you do not need any other spice to make your dishes tempting and irresistible. Everest Sabji Masala is just the right handy must-have for all those who simply don't have the time for elaborate cooking, but would like to prepare delicious, appetising vegetable dishes all the same.",50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
ARZ5IXNY,Everest,Blended Spices,Royal Garam Masala,"It blends black pepper, cumin, black cardamom, pepper long and dry ginger among other spices to
create a robust blend of Garam Masala. This gives a rich and vigorous flavour to any delicacy. It
also heightens the texture of a dish.Enliven the robust flavours and aromas of North Indian Cuisine.","Everest Royal Garam Masala is added to delicacies for a robust flavour, royal aroma and rich texture. The only way to sum up its effect on a dish is by saying Bon Appetit!",15 gms / 50 gms / 100 gms / 500 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
SQY4CD6K,Everest,Blended Spices,Shahi Garam Masala,"Garam Masala is an integral part of the Indian cuisine. It is a blend of many spices, among which
cassia, cardamoms and cloves form the basic ingredients. But innumerable combinations and
permutations of Garam Masala exist in different regions, often leading to confusion and even
frustration.To make matters easier and tastier, Everest Spices has created the Shahi Garam Masala!
It captures the more subtle flavours of the all-purpose Indian masala blend with pure and handpicked
spices. Cassia, cloves, cardamoms, nutmeg and mace give this spice its complex aroma. It follows a
time tested recipe that adds flavour and texture.Subtle aromas of Bengali delicacies are best
enhanced with this unique blend.",Everest Shahi Garam Masala can be added to any vegetable dish while preparing it to give it a royal touch of well balanced aromas.,50 gms / 100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
7ADM2HDM,Everest,Blended Spices,Chhole Masala,"An exquisite blend of 24 pure spices, this is perhaps the most elaborate blend in the Everest
repertoire. This blend is evenly balanced for taste and flavour and imparts a rare character to
chhole, made from chickpeas.","Used almost invariably in a variety of preparations involving chickpeas - chhole being the most popular. Served hot with rotis or fluffy bhaturas, chhole is a regular fare for lunch and dinner in North India.",15 gms / 50 gms / 100 gms / 200  gms / 500 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
0T246UY8,Everest,Blended Spices,Pav Bhaji Masala,"Pav Bhaji Masala is the blend that took Mumbai by storm. ‘Pav’ means a bun shaped home made bread.
‘Bhaji’ means mashed vegetables.

From its humble origins in the by-lanes of Mumbai, it has become a ‘must’ on menus in 5-STAR
restaurants and celebrity weddings. Dished out in the far-flung corners of the country, it has
acquired the status of a foremost vegetarian recipe.

Equally popular as a snack or a meal, this easy-to-cook dish enjoys a special place in the hearts of
house wives.","In Pavbhaji, and other crushed and mashed veg. cuisine that uses potatoes, tomatoes and capsicums.",15 gms / 25 gms / 50 gms / 100 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
19DV4UUE,Everest,Blended Spices,Shahi Biryani Masala,"Largely a combination of flavouring spices used along with taste-agents like black pepper & chilli
to impart a pleasantly textured flavour to ordinary rice.

The origins of this blend can be traced back to the Mughal era.","Biryani/Pulav can either be a Veg. or a Non-Veg. preparation usually made during special occassions. It is a whole meal by itself, and is almost always the centre-piece of most Indian dinner parties. Is usually served with curry and raita (curd spiked with fresh green herbs)",25 gms / 50 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
8PN2K3J3,Everest,Blended Spices,Jiralu Powder,"This ready-to-use dry ‘chutney’ powder blend is a rare example of simplicity yet exquisite taste.
Besides adding an extra taste and flavour dimension to food, it also happens to be an ideal
accompaniment with fresh fruits, juices etc.","A pinch of Everest Jiralu Powder makes an excellent taste enricher on buttered Khakras, Bhakhris, Bajra-Ka-roti and hot Buttered Toasts. Everest Jiralu Powder sprinkled on Curd, Curd-Rice, Jeera Rice, Raita, Dahivada, French Fries, Fresh Fruits & Juices gives them a unique taste.",100 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
QMVTS4AR,Everest,Blended Spices,Kanda Lasun Masala,"Kanda (Onion) Lasun (Garlic) Masala (Spice Blend) originated from Kolhapur in Maharashtra and has
greatly influenced the local cuisine there. An exemplary taste that would remind you of a homemade
Maharashtrian food.","Everest Kanda Lasun Masala is used in preparation of spicy vegetable with or without curry like stuffed brinjal, shev-bhaji, misal, chicken, mutton, fish and egg curry etc. or used as a dry masala with snacks like usal, missal, Vada Pav, Thalipeeth, Pakoda.","",https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
X8N0JJ3T,Everest,Blended Spices,Kitchen King Masala,"Explore the ‘Curry’ experience with this classic blend that gives vegetable curries a lordly taste
and a mild, subdued flavour. Being coriander and turmeric based, the blend gives curry an appetising
golden hue. It is the recommended blend to prepare India’s much loved vegetarian dish – Home-bred
Cheese in fresh green peas: Mattar Paneer.Paneer curries and light gravies are enhanced with the
fragrance and taste of Everest Kitchen King.",Ideal for vegetable & paneer dishes with mild curry.,15 gms / 50 gms / 100 gms / 500 gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
LWHSQPGE,Everest,Blended Spices,Sambhar Masala,"Sambhar is a wonder recipe from the South of India and can be aptly described as a ‘designer health
food’. The various dals, vegatables, spices and condiments that go into a typical Sambhar gives all
the nutrients the body needs.

Sambhar can be had with rice as a South Indian does it almost everyday, or with Idlis, Wadas, Potato
Wadas etc. Sambhar, especially with Idlis has gained universal acceptance in India, and is
considered as an excellent diet food.","Even in South India, Sambhar is prepared differently from region to region. This Everest blend is suited to all the various Sambhar preparations.",15 gms / 50 gms / 100 gms / 200  gms,https://www.everestfoods.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2021/09/garam-masala.png
