title,price,description,category,image_urls,name_variations,values_variations,price_variations
Brass Carved Bhumpa,1538.08," Size chart S 6"" M 7"" L 8"" XL 9"" *approximately NOTE: Sizes are for height",Bhumpas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-BrassCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7in_h8in_h9.5in_Price-250_350_450_550HSN-7418_GST-12_Quantity-10_Category-Bumba-01-01_1024x1024.jpg?v=1603511997,Size,S,1538.08
Brass Carved Bhumpa,2922.35," Size chart S 6"" M 7"" L 8"" XL 9"" *approximately NOTE: Sizes are for height",Bhumpas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-BrassCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7in_h8in_h9.5in_Price-250_350_450_550HSN-7418_GST-12_Quantity-10_Category-Bumba-01-01_1024x1024.jpg?v=1603511997,Size,M,2922.35
Brass Carved Bhumpa,3706.77," Size chart S 6"" M 7"" L 8"" XL 9"" *approximately NOTE: Sizes are for height",Bhumpas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-BrassCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7in_h8in_h9.5in_Price-250_350_450_550HSN-7418_GST-12_Quantity-10_Category-Bumba-01-01_1024x1024.jpg?v=1603511997,Size,L,3706.77
Brass Carved Bhumpa,4874.17," Size chart S 6"" M 7"" L 8"" XL 9"" *approximately NOTE: Sizes are for height",Bhumpas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-BrassCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7in_h8in_h9.5in_Price-250_350_450_550HSN-7418_GST-12_Quantity-10_Category-Bumba-01-01_1024x1024.jpg?v=1603511997,Size,XL,4874.17
Copper and Brass Namgyal Bhumpa,1153.08," Size chart Small 5"" Medium 6"" Large 7"" *approximately NOTE: Sizes are for height",Bhumpas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Namgyal_Bhumpa_1024x1024.jpg?v=1662305634, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Namgyal_Bhumpa_2_1024x1024.jpg?v=1662305634",Size,Small,1153.08
Copper and Brass Namgyal Bhumpa,2190.85," Size chart Small 5"" Medium 6"" Large 7"" *approximately NOTE: Sizes are for height",Bhumpas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Namgyal_Bhumpa_1024x1024.jpg?v=1662305634, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Namgyal_Bhumpa_2_1024x1024.jpg?v=1662305634",Size,Medium,2190.85
Copper and Brass Namgyal Bhumpa,2778.92," Size chart Small 5"" Medium 6"" Large 7"" *approximately NOTE: Sizes are for height",Bhumpas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Namgyal_Bhumpa_1024x1024.jpg?v=1662305634, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Namgyal_Bhumpa_2_1024x1024.jpg?v=1662305634",Size,Large,2778.92
Fine Copper and Brass Bhumpa,2019.33," Size chart S 5"" M 6"" L 7"" XL 8"" *approximately NOTE: Sizes are for height",Bhumpas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Fine_Copper_and_Brass_Bumba_with_-_5_6_7_inches-01-01_63c1cd67-709e-43d0-92c9-9b4e8a790a7a_1024x1024.jpg?v=1612195782, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-CopperFineCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7.5in_h8in_h9.5in_Price-350_400_550_650HSN-7418_GST-12_Quantity-10_Category-Bumba-01_1024x1024.jpg?v=1612195782",Size,S,2019.33
Fine Copper and Brass Bhumpa,3836.73," Size chart S 5"" M 6"" L 7"" XL 8"" *approximately NOTE: Sizes are for height",Bhumpas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Fine_Copper_and_Brass_Bumba_with_-_5_6_7_inches-01-01_63c1cd67-709e-43d0-92c9-9b4e8a790a7a_1024x1024.jpg?v=1612195782, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-CopperFineCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7.5in_h8in_h9.5in_Price-350_400_550_650HSN-7418_GST-12_Quantity-10_Category-Bumba-01_1024x1024.jpg?v=1612195782",Size,M,3836.73
Fine Copper and Brass Bhumpa,4866.59," Size chart S 5"" M 6"" L 7"" XL 8"" *approximately NOTE: Sizes are for height",Bhumpas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Fine_Copper_and_Brass_Bumba_with_-_5_6_7_inches-01-01_63c1cd67-709e-43d0-92c9-9b4e8a790a7a_1024x1024.jpg?v=1612195782, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Name-CopperFineCarvedBumba_Filter-4Sizes_Dimension-_h6in_h7.5in_h8in_h9.5in_Price-350_400_550_650HSN-7418_GST-12_Quantity-10_Category-Bumba-01_1024x1024.jpg?v=1612195782",Size,L,4866.59
