identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
cd81c07953805cd0008fa40de35559a36e188dfcba1ad84966e9a8b4da90a21d,Handmade Wooden Painted Dhangro (Nga Drum) with Foldable Handles & Sung Inside,24498.25," This type of drum is a little bigger and a rounded version of the Damaru. It comes with a holder
hence it a little comfortable to hold comparatively. Nga (རྔ་) or drums are used widely in Bhutan as
musical instruments for religious rituals or for folk music and performances. Made with Sisam wood
Size chart (Diameter, Height) Small 16"" 5.5"" Large 20"" 7"" *approximately For custom sizes, please
reach us at our Customer Service. https://folkbazar.com/pages/contact-us",Dhangro & Damaru,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/HandmadeWoodenPaintedDhangroWithFoldableHandles_withSungInside_-18_20_22_30inches-C-01_1024x1024.jpg?v=1600767902, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/HandmadeWoodenPaintedDhangroWithFoldableHandles_withSungInside_-18_20_22_30inches-B-01_1024x1024.jpg?v=1600767902",Size,Small   ,24498.25,36292477091997
cd81c07953805cd0008fa40de35559a36e188dfcba1ad84966e9a8b4da90a21d,Handmade Wooden Painted Dhangro (Nga Drum) with Foldable Handles & Sung Inside,27123.25," This type of drum is a little bigger and a rounded version of the Damaru. It comes with a holder
hence it a little comfortable to hold comparatively. Nga (རྔ་) or drums are used widely in Bhutan as
musical instruments for religious rituals or for folk music and performances. Made with Sisam wood
Size chart (Diameter, Height) Small 16"" 5.5"" Large 20"" 7"" *approximately For custom sizes, please
reach us at our Customer Service. https://folkbazar.com/pages/contact-us",Dhangro & Damaru,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/HandmadeWoodenPaintedDhangroWithFoldableHandles_withSungInside_-18_20_22_30inches-C-01_1024x1024.jpg?v=1600767902, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/HandmadeWoodenPaintedDhangroWithFoldableHandles_withSungInside_-18_20_22_30inches-B-01_1024x1024.jpg?v=1600767902",,Medium   ,27123.25,36292477124765
5a6c52c918499c7b0317f445915e0e87a584430dcde9e9591542d98f87f3e040,White Fibre Damaru (Damru) Bone look with Chopens and Cover,2098.25," Size chart (Edge to Edge) Small 3.9"" Medium 4.7"" *approximately",Dhangro & Damaru,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/White_Fibre_Damru_Bone_look_with_Chopens_Cover_1_1024x1024.jpg?v=1655968342, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DhangroDamaru_1024x1024.jpg?v=1655968342",Size,Small   ,2098.25,39284104200349
5a6c52c918499c7b0317f445915e0e87a584430dcde9e9591542d98f87f3e040,White Fibre Damaru (Damru) Bone look with Chopens and Cover,2360.75," Size chart (Edge to Edge) Small 3.9"" Medium 4.7"" *approximately",Dhangro & Damaru,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/White_Fibre_Damru_Bone_look_with_Chopens_Cover_1_1024x1024.jpg?v=1655968342, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DhangroDamaru_1024x1024.jpg?v=1655968342",,Medium   ,2360.75,39284104233117
efa44ad03058d88e1445adcac8df7444e3e856a8eedbe7b14efe24e72f60b90d,Round Damru Cover with Chopens,1310.75," Size chart (Diameter) Small 8"" Medium 9"" Large 10"" *approximately",Dhangro & Damaru,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220303-WA0022-01_1024x1024.jpg?v=1646319874,Size,Small   ,1310.75,42648321884406
efa44ad03058d88e1445adcac8df7444e3e856a8eedbe7b14efe24e72f60b90d,Round Damru Cover with Chopens,1485.75," Size chart (Diameter) Small 8"" Medium 9"" Large 10"" *approximately",Dhangro & Damaru,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220303-WA0022-01_1024x1024.jpg?v=1646319874,,Medium   ,1485.75,42648321917174
efa44ad03058d88e1445adcac8df7444e3e856a8eedbe7b14efe24e72f60b90d,Round Damru Cover with Chopens,1660.75," Size chart (Diameter) Small 8"" Medium 9"" Large 10"" *approximately",Dhangro & Damaru,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220303-WA0022-01_1024x1024.jpg?v=1646319874,,Large   ,1660.75,42648321949942
019f5241ec5107bae337119e7d19e177fbbc305af4f89f882b210e207d841ce8,3 sided Damru Cover with Chopens,698.25," Size chart (Diameter) Small 3"" Medium 4"" Large 5"" *approximately",Dhangro & Damaru,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220303-WA0021-01_1024x1024.jpg?v=1646319649,Size,Small   ,698.25,42648315363574
019f5241ec5107bae337119e7d19e177fbbc305af4f89f882b210e207d841ce8,3 sided Damru Cover with Chopens,785.75," Size chart (Diameter) Small 3"" Medium 4"" Large 5"" *approximately",Dhangro & Damaru,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220303-WA0021-01_1024x1024.jpg?v=1646319649,,Medium   ,785.75,42648315396342
019f5241ec5107bae337119e7d19e177fbbc305af4f89f882b210e207d841ce8,3 sided Damru Cover with Chopens,873.25," Size chart (Diameter) Small 3"" Medium 4"" Large 5"" *approximately",Dhangro & Damaru,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220303-WA0021-01_1024x1024.jpg?v=1646319649,,Large   ,873.25,42648315429110
235c3b5c944c1be1ffbcf908d1310da22370fcda701ce8bc113c2443aa0f3fd1,Nepal handmade Wooden Painted Dhangro (Nga Drum) with cover,30623.25," This type of drum is a little bigger and a rounded version of the Damaru. It comes with a holder
hence it a little comfortable to hold comparatively. Nga (རྔ་) or drums are used widely in Bhutan as
musical instruments for religious rituals or for folk music and performances. Body Sisam wood Made
in Nepal Includes cover Size chart (Diameter) Small 12.5 inches Medium 16.5 inches Large 20 inches
*approximately",Dhangro & Damaru,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/dhangro_4_1024x1024.jpg?v=1664796885, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/dhangro_3_1024x1024.jpg?v=1664796885, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/dhangro_5_1024x1024.jpg?v=1664796875",Size,Small   ,30623.25,44481667825910
