identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
51507bdd7a9a229302bbf9688b301504ff45c77860b866a5e55661b01091777b,Velvet Om mani padme hum printed Prayer Flags (Combo - for Car & Bike),Default Title -  138.25," Looking for flags for your Home/Car/Bike. Grace them with our combo saver. Small ~ 18"" Large ~ 1m
Om - Syllable mostly used in various Indian religions Mani - Jewel or Bead Padme - Lotus Hum -
Spirit of enlightenment",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Velvet_Om_mani_padme_hum_printed_Prayer_Car_Flag_1024x1024.jpg?v=1664390106, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Velvet_Om_mani_padme_hum_printed_Prayer_Bike_Flag_1024x1024.jpg?v=1664390106",,Default Title  ,138.25,37380425711773
11358622540b707a6f28b368b9897ee0d426ad023bcc44793228f259c2766246,Multi Coloured Dhambla Vertical Prayer Flag (Set of 5),"Joined -  1,923.25"," Length x Breadth of a single flag ~ 35"" x 29"" (approximately)",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DablaPrayerFlag_Setof5_-joined_notjoined_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03731-01_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03732-01_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03733-01_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03735-01_1024x1024.jpg?v=1647096011",Style,Joined  ,"1,923.25",36476253831325
11358622540b707a6f28b368b9897ee0d426ad023bcc44793228f259c2766246,Multi Coloured Dhambla Vertical Prayer Flag (Set of 5),"Seperated -  1,923.25"," Length x Breadth of a single flag ~ 35"" x 29"" (approximately)",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DablaPrayerFlag_Setof5_-joined_notjoined_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03731-01_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03732-01_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03733-01_1024x1024.jpg?v=1647096011, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03735-01_1024x1024.jpg?v=1647096011",Style,Seperated  ,"1,923.25",36476253864093
002ef36cc017b07d5829ab8fc62f4830811ae6645d8bd2f29d5d38d4d3febb99,Velvet Om mani padme hum printed Prayer Flag (for Car/ Doors),Default Title -  103.25," Length ~ 1m Om - Syllable mostly used in various Indian religions Mani - Jewel or Bead Padme -
Lotus Hum - Spirit of enlightenment Please note: The color combination may vary from the image.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/CarFlag_1_1024x1024.jpg?v=1647095694, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/CarPrayerFlags_adf962e2-82cb-4e39-8890-c3ffc046ff38_1024x1024.jpg?v=1647095694",,Default Title  ,103.25,36247882498205
587ac3b056c450e76a1d423ca149358ba2b7507ab2b6274ed69fee3bceff11db,Dori Lungta Premium (Prayer flag bundle pack),"Default Title -  1,310.75"," One roll comes with 10 flags. One bundle contains 5 rolls. Made in Nepal Size (per flag) ~ 8"" x
6.6"" (*approximately)",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Prayer_Flag_2_1024x1024.jpg?v=1673421654, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Prayer_Flag_1024x1024.jpg?v=1673421654",,Default Title  ,"1,310.75",37753363824797
25ca2c142f368043dedb1b8d6cbd49b6edeecffb973d8f46e9cae059233db884,Meekha Vertical Prayer Flags,Joined -  610.75," Length x Breadth of a single color ~ 33"" x 22"" (approximately) Joined - Single flag Separated -
Five flags",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/MeekhaDhanduPrayerFlag-White_Greeen_Red_Blue_Yellow_Mixed-01_1024x1024.jpg?v=1601211722, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03442-01_1024x1024.jpg?v=1601211723, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03440-01_1024x1024.jpg?v=1601211723, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03439-01_1024x1024.jpg?v=1601211723, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03441-01_1024x1024.jpg?v=1601211723",Color,Joined  ,610.75,36392478834845
25ca2c142f368043dedb1b8d6cbd49b6edeecffb973d8f46e9cae059233db884,Meekha Vertical Prayer Flags,Separated -  523.25," Length x Breadth of a single color ~ 33"" x 22"" (approximately) Joined - Single flag Separated -
Five flags",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/MeekhaDhanduPrayerFlag-White_Greeen_Red_Blue_Yellow_Mixed-01_1024x1024.jpg?v=1601211722, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03442-01_1024x1024.jpg?v=1601211723, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03440-01_1024x1024.jpg?v=1601211723, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03439-01_1024x1024.jpg?v=1601211723, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/DSC03441-01_1024x1024.jpg?v=1601211723",Color,Separated  ,523.25,36392478867613
ae6a6449e4e0876d3ed9622af9c75557d2026eecce7e3ef8e26e2e2019bfdeb1,Swiss Satin Buddhist Flag,Small -  173.25," Size chart Small 14"" x 11"" Medium 23"" x 17"" Large 34"" x 26"" *approximately",Prayer Flags,http://cdn.shopify.com/s/files/1/0481/5326/4285/files/Swiss_Cotton_Buddhist_Flag_1024x1024.jpg?v=1683798870,Size,Small  ,173.25,36392494694557
ae6a6449e4e0876d3ed9622af9c75557d2026eecce7e3ef8e26e2e2019bfdeb1,Swiss Satin Buddhist Flag,Medium -  260.75," Size chart Small 14"" x 11"" Medium 23"" x 17"" Large 34"" x 26"" *approximately",Prayer Flags,http://cdn.shopify.com/s/files/1/0481/5326/4285/files/Swiss_Cotton_Buddhist_Flag_1024x1024.jpg?v=1683798870,Style,Medium  ,260.75,36392494727325
ae6a6449e4e0876d3ed9622af9c75557d2026eecce7e3ef8e26e2e2019bfdeb1,Swiss Satin Buddhist Flag,Large -  348.25," Size chart Small 14"" x 11"" Medium 23"" x 17"" Large 34"" x 26"" *approximately",Prayer Flags,http://cdn.shopify.com/s/files/1/0481/5326/4285/files/Swiss_Cotton_Buddhist_Flag_1024x1024.jpg?v=1683798870,Style,Large  ,348.25,36392494760093
a17b4d150618096de4da03e82c9793b42b807321f695b17b046971dfc2ca98e3,Tibetan Cotton Horizontal Prayer Flags,Set of 10 flags -  173.25," Size chart (per flag) ~ 12"" x 10"" *approximately Note: The first image is for illustration purposes
only",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/CottonPrayerFlags_1024x1024.jpg?v=1647095281, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Horizontal_Prayer_Flags_-_Cotton_Satan_-_Small_Medium_Big_-_No._of_Flags_5_10_15_25_1024x1024.jpg?v=1647095281",No. of Flags,Set of 10 flags  ,173.25,36239534784669
a17b4d150618096de4da03e82c9793b42b807321f695b17b046971dfc2ca98e3,Tibetan Cotton Horizontal Prayer Flags,Set of 25 flags -  348.25," Size chart (per flag) ~ 12"" x 10"" *approximately Note: The first image is for illustration purposes
only",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/CottonPrayerFlags_1024x1024.jpg?v=1647095281, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Horizontal_Prayer_Flags_-_Cotton_Satan_-_Small_Medium_Big_-_No._of_Flags_5_10_15_25_1024x1024.jpg?v=1647095281",No. of Flags,Set of 25 flags  ,348.25,37435141914781
a54c0ff27a488c665cc6ab23b5d1c5de5fa3dc99dc5e7494f6dd981329b1fe52,Gyalgen,Rotto -  120.75," Length x Breadth ~ 17"" x 11"" (approximately)",Prayer Flags,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gyalgen-Rotto_Polyester_Satan_1024x1024.jpg?v=1647095958,Material,Rotto  ,120.75,36392455012509
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Red / Cotton -  225.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Mantra,Lungda  Red  Cotton  ,225.75,37816755585181
d66e523dfbd12ac1dd4f459b3bc06982f75a38da969da08c04c5ce2590343e33,Tibetan Vertical Prayer Flags (for Bamboo),Lungda / Red / Satin -  610.75," Mantra can be selected from dropdown. Prices mentioned are for a single flag on a bamboo. Height ~
15 ft Images 2 and 3 are for illustration purposes.",Prayer Flags,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Tibetan_Vertical_Prayer_Flags_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0012_1024x1024.jpg?v=1675496360, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210207-WA0004_1024x1024.jpg?v=1675496360",Color,Lungda  Red  Satin  ,610.75,37816755617949
