identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
f5e0ad5ce6d4451e1a0ec437809268b758a2913713f972acf51882d304e7ef0c,Handmande Peace Incense Sticks (20 sticks per pack),Single pack -  173.25," When burnt produces a rich and pure aroma to assist, soothe, and calm a restless mind, purify the
environment and help in meditation and relaxation. These have a characteristic ""earthy"" scent to
them. Not bambooless",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/PeaceIncenseSticks_1024x1024.jpg?v=1670826614,Quantity,Single pack  ,173.25,42050077393142
f5e0ad5ce6d4451e1a0ec437809268b758a2913713f972acf51882d304e7ef0c,Handmande Peace Incense Sticks (20 sticks per pack),"Pack of 10 -  1,660.75"," When burnt produces a rich and pure aroma to assist, soothe, and calm a restless mind, purify the
environment and help in meditation and relaxation. These have a characteristic ""earthy"" scent to
them. Not bambooless",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/PeaceIncenseSticks_1024x1024.jpg?v=1670826614,Quantity,Pack of 10  ,"1,660.75",42050077425910
20e86df5da5d0ff5df3507a41a809fac52e88bc1b94ae40a106c7e2223fa99c9,Shakyamuni Buddha Statue,"Small -  6,123.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 15"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ShakyamuniStatue_1024x1024.jpg?v=1647096216, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ShakyamuniStatue_1_1024x1024.jpg?v=1647096322",Size,Small  ,"6,123.25",36320429965469
20e86df5da5d0ff5df3507a41a809fac52e88bc1b94ae40a106c7e2223fa99c9,Shakyamuni Buddha Statue,"Medium -  12,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 15"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ShakyamuniStatue_1024x1024.jpg?v=1647096216, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ShakyamuniStatue_1_1024x1024.jpg?v=1647096322",Size,Medium  ,"12,248.25",36320429998237
20e86df5da5d0ff5df3507a41a809fac52e88bc1b94ae40a106c7e2223fa99c9,Shakyamuni Buddha Statue,"Large -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 15"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ShakyamuniStatue_1024x1024.jpg?v=1647096216, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ShakyamuniStatue_1_1024x1024.jpg?v=1647096322",Size,Large  ,"15,748.25",36320430031005
618abac18651bd97390df13676b2ce43afedc860ea2fd78d4d7c451da5927199,Aparmita (Chepame) Statue,"Small -  6,123.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-16-01_1024x1024.png?v=1600887702,Size,Small  ,"6,123.25",36320777830557
618abac18651bd97390df13676b2ce43afedc860ea2fd78d4d7c451da5927199,Aparmita (Chepame) Statue,"Medium -  12,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-16-01_1024x1024.png?v=1600887702,Size,Medium  ,"12,248.25",36320777863325
618abac18651bd97390df13676b2ce43afedc860ea2fd78d4d7c451da5927199,Aparmita (Chepame) Statue,"Large -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-16-01_1024x1024.png?v=1600887702,Size,Large  ,"15,748.25",36320777896093
48491c3e1e7a733e6216696d0f5b713f61f33838a33dfe173ad1931f48cdaa84,Chenrezig Statue,"Small -  6,123.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chengrezi_1024x1024.jpg?v=1647098205, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chengrezi_1_1024x1024.jpg?v=1647098241",Size,Small  ,"6,123.25",36320533414045
48491c3e1e7a733e6216696d0f5b713f61f33838a33dfe173ad1931f48cdaa84,Chenrezig Statue,"Medium -  12,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chengrezi_1024x1024.jpg?v=1647098205, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chengrezi_1_1024x1024.jpg?v=1647098241",Size,Medium  ,"12,248.25",36320533446813
48491c3e1e7a733e6216696d0f5b713f61f33838a33dfe173ad1931f48cdaa84,Chenrezig Statue,"Large -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chengrezi_1024x1024.jpg?v=1647098205, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chengrezi_1_1024x1024.jpg?v=1647098241",Size,Large  ,"15,748.25",36320533479581
bb9af55fb0225cbfc92e391a987585127311c52b41460af11f33ad11ab13575e,Fine Chana Dorjee (Goddess of Fire) Statue,"Small -  26,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 6"" Medium 8"" Large 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ChanaDorjee_1024x1024.jpg?v=1647665563,Size,Small  ,"26,248.25",42794001039606
bb9af55fb0225cbfc92e391a987585127311c52b41460af11f33ad11ab13575e,Fine Chana Dorjee (Goddess of Fire) Statue,"Medium -  38,498.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 6"" Medium 8"" Large 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ChanaDorjee_1024x1024.jpg?v=1647665563,Size,Medium  ,"38,498.25",42794001072374
bb9af55fb0225cbfc92e391a987585127311c52b41460af11f33ad11ab13575e,Fine Chana Dorjee (Goddess of Fire) Statue,"Large -  50,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 6"" Medium 8"" Large 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ChanaDorjee_1024x1024.jpg?v=1647665563,Size,Large  ,"50,748.25",42794045178102
d31d10a3c9bcad1fcb6ccc3a87e85346669072a7270f12c354e849472a71a727,White Doma Statue,"Small -  6,123.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220312-WA0000-01_1024x1024.jpg?v=1647087010,Size,Small  ,"6,123.25",42716263710966
d31d10a3c9bcad1fcb6ccc3a87e85346669072a7270f12c354e849472a71a727,White Doma Statue,"Medium -  12,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220312-WA0000-01_1024x1024.jpg?v=1647087010,Size,Medium  ,"12,248.25",42716263743734
d31d10a3c9bcad1fcb6ccc3a87e85346669072a7270f12c354e849472a71a727,White Doma Statue,"Large -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220312-WA0000-01_1024x1024.jpg?v=1647087010,Size,Large  ,"15,748.25",42716263776502
2eb743e064054ef341d8b5d2fcbc945dc7bd3cb5f2c504ae148147adfd4a5c19,Chana Dorjee (Goddess of Fire) Statue,"Small -  6,123.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 6"" Medium 8"" Large 12""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-11-01_1024x1024.png?v=1600887204,Size,Small  ,"6,123.25",36320664944797
2eb743e064054ef341d8b5d2fcbc945dc7bd3cb5f2c504ae148147adfd4a5c19,Chana Dorjee (Goddess of Fire) Statue,"Medium -  12,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 6"" Medium 8"" Large 12""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-11-01_1024x1024.png?v=1600887204,Size,Medium  ,"12,248.25",36320664977565
2eb743e064054ef341d8b5d2fcbc945dc7bd3cb5f2c504ae148147adfd4a5c19,Chana Dorjee (Goddess of Fire) Statue,"Large -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 6"" Medium 8"" Large 12""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-11-01_1024x1024.png?v=1600887204,Size,Large  ,"15,748.25",36320665010333
df4cab31f11bccc70748e54db40bacabd0630a2cf95ca5d25a9ac512d4aa8097,Fine Buddha Statue,"Small -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 9"" Medium 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Buddha_1024x1024.jpg?v=1647665368,Size,Small  ,"15,748.25",42793986228470
df4cab31f11bccc70748e54db40bacabd0630a2cf95ca5d25a9ac512d4aa8097,Fine Buddha Statue,"Medium -  27,998.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 9"" Medium 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Buddha_1024x1024.jpg?v=1647665368,Size,Medium  ,"27,998.25",42793986261238
54a51da5729c678a007c997b37a324f6bdf396165c516bcc93932780763938e5,Fine White Tara Statue,"Small -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 9"" Medium 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Statue_2_1024x1024.jpg?v=1647361690,Size,Small  ,"15,748.25",42751154323702
54a51da5729c678a007c997b37a324f6bdf396165c516bcc93932780763938e5,Fine White Tara Statue,"Medium -  27,998.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 9"" Medium 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Statue_2_1024x1024.jpg?v=1647361690,Size,Medium  ,"27,998.25",42751154356470
fceee6e9fa9b4fb2af29ed64b7023f2d12d31914a8f7aa64c3cb5a83ff48ef0a,Fine Chepame Statue,"Small -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 9"" Medium 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chepame_1024x1024.jpg?v=1647665491,Size,Small  ,"15,748.25",42793994879222
fceee6e9fa9b4fb2af29ed64b7023f2d12d31914a8f7aa64c3cb5a83ff48ef0a,Fine Chepame Statue,"Medium -  27,998.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Bronze. Size chart Small 9"" Medium 12""
*approximately NOTE: Sizes are for height",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Chepame_1024x1024.jpg?v=1647665491,Size,Medium  ,"27,998.25",42793994911990
a60004d3938f652d3b794e621f236561001d11956154db3437501216985de5ab,Namza for (Guru/ Chana Dorjee) Statue,"Small (for 9"") -  348.25", Buy Namza for statue,Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/files/Namza_3_1024x1024.jpg?v=1683831172,Size,Small for 9  ,348.25,42478719697142
a60004d3938f652d3b794e621f236561001d11956154db3437501216985de5ab,Namza for (Guru/ Chana Dorjee) Statue,"Medium (for 12"") -  523.25", Buy Namza for statue,Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/files/Namza_3_1024x1024.jpg?v=1683831172,Size,Medium for 12  ,523.25,42478719729910
a60004d3938f652d3b794e621f236561001d11956154db3437501216985de5ab,Namza for (Guru/ Chana Dorjee) Statue,"Large (for 15"") -  698.25", Buy Namza for statue,Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/files/Namza_3_1024x1024.jpg?v=1683831172,Size,Large for 15  ,698.25,42478719762678
72cb0a40ca45bea38047a6ad342994bbf9f2787c6d7e21fe996ccf5e71c19c65,Jambhala (God of wealth) Statue,"Small -  6,123.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-6-1-01_1024x1024.png?v=1600887075,Size,Small  ,"6,123.25",36320645283997
72cb0a40ca45bea38047a6ad342994bbf9f2787c6d7e21fe996ccf5e71c19c65,Jambhala (God of wealth) Statue,"Medium -  12,248.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-6-1-01_1024x1024.png?v=1600887075,Size,Medium  ,"12,248.25",36320645316765
72cb0a40ca45bea38047a6ad342994bbf9f2787c6d7e21fe996ccf5e71c19c65,Jambhala (God of wealth) Statue,"Large -  15,748.25"," Comes with Jung, Sung, Clothes (Namzas). Made from Brass Size chart Small 9"" Medium 12"" Large 15""
*approximately NOTE: Sizes are for height Please note, image is of 12"" statue. Painted colors may be
different from the depicted images. Larger the size, better the carving quality.",Statues,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/RS-1-6-1-01_1024x1024.png?v=1600887075,Size,Large  ,"15,748.25",36320645349533
