identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
357b96bf3cef7a2d74da21dd482ac1bb22c0bc9fefc979094fc2c68a811ccec6,Gautama Buddha - Brocade Computer Canvas Printed Thangka,"Large -  2,185.75"," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us Please note: Image with black background is for small variant
and white for large",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gautama_Buddha_Large_4b349b65-de9c-4b5b-92b8-9bd3379cc38b_1024x1024.jpg?v=1654963979, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gautama_Buddha_Small_db0e5339-a021-475d-8f63-3298d2ffd168_1024x1024.jpg?v=1655013056",Size,Large  ,"2,185.75",43894632382710
357b96bf3cef7a2d74da21dd482ac1bb22c0bc9fefc979094fc2c68a811ccec6,Gautama Buddha - Brocade Computer Canvas Printed Thangka,Small -  435.75," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us Please note: Image with black background is for small variant
and white for large",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gautama_Buddha_Large_4b349b65-de9c-4b5b-92b8-9bd3379cc38b_1024x1024.jpg?v=1654963979, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gautama_Buddha_Small_db0e5339-a021-475d-8f63-3298d2ffd168_1024x1024.jpg?v=1655013056",Size,Small  ,435.75,43894632349942
357b96bf3cef7a2d74da21dd482ac1bb22c0bc9fefc979094fc2c68a811ccec6,Gautama Buddha - Brocade Computer Canvas Printed Thangka,"Large (Premium) -  3,935.75"," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us Please note: Image with black background is for small variant
and white for large",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gautama_Buddha_Large_4b349b65-de9c-4b5b-92b8-9bd3379cc38b_1024x1024.jpg?v=1654963979, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Gautama_Buddha_Small_db0e5339-a021-475d-8f63-3298d2ffd168_1024x1024.jpg?v=1655013056",Size,Large Premium  ,"3,935.75",43894632415478
ffe27cf6f43cd477d10f572d201477fcde780f1e35b3dc95a800b950753d9388,Zambhala - Brocade Computer Canvas Printed Thangka,"Large -  2,185.75"," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Thangka_1024x1024.png?v=1654975037, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210814-WA0047-01_1024x1024.jpg?v=1654975037",Size,Large  ,"2,185.75",36490531963037
ffe27cf6f43cd477d10f572d201477fcde780f1e35b3dc95a800b950753d9388,Zambhala - Brocade Computer Canvas Printed Thangka,Small -  435.75," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Thangka_1024x1024.png?v=1654975037, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210814-WA0047-01_1024x1024.jpg?v=1654975037",Size,Small  ,435.75,36490531897501
ffe27cf6f43cd477d10f572d201477fcde780f1e35b3dc95a800b950753d9388,Zambhala - Brocade Computer Canvas Printed Thangka,"Large (Premium) -  3,935.75"," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Thangka_1024x1024.png?v=1654975037, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210814-WA0047-01_1024x1024.jpg?v=1654975037",Size,Large Premium  ,"3,935.75",37705963798685
5fed60caf332a79b94662a53aaea76220e0339755e5ae64c9da2fc8c2132f251,21 White Doma - Brocade Computer Canvas Printed Thangka,"Large -  2,185.75"," Image depicted is of large Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20
inch Large (Premium) 38 inch x 21 inch *approximately For custom sizes, please reach us at our
Customer Service. https://folkbazar.com/pages/contact-us",Thangkas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Thangka_3_1024x1024.png?v=1654975004,Size,Large  ,"2,185.75",36490533437597
5fed60caf332a79b94662a53aaea76220e0339755e5ae64c9da2fc8c2132f251,21 White Doma - Brocade Computer Canvas Printed Thangka,Small -  435.75," Image depicted is of large Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20
inch Large (Premium) 38 inch x 21 inch *approximately For custom sizes, please reach us at our
Customer Service. https://folkbazar.com/pages/contact-us",Thangkas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Thangka_3_1024x1024.png?v=1654975004,Size,Small  ,435.75,36490533404829
5fed60caf332a79b94662a53aaea76220e0339755e5ae64c9da2fc8c2132f251,21 White Doma - Brocade Computer Canvas Printed Thangka,"Large (Premium) -  3,935.75"," Image depicted is of large Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20
inch Large (Premium) 38 inch x 21 inch *approximately For custom sizes, please reach us at our
Customer Service. https://folkbazar.com/pages/contact-us",Thangkas,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Thangka_3_1024x1024.png?v=1654975004,Size,Large Premium  ,"3,935.75",37705950789789
1d55e1deb5f59abf84e76dc1037923471e5e0eda8f78083c87b17764dc87baf3,21 Buddha - Brocade Computer Canvas Printed Thangka,"Large -  2,185.75"," Size chart (Length x Breadth) Small 16 inch x 12 inch Large 36 inch x 20 inch Large (Premium) 38
inch x 21 inch *approximately For custom sizes, please reach us at our Customer Service.
https://folkbazar.com/pages/contact-us",Thangkas,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Untitleddesign_2_1024x1024.png?v=1634575418, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20211030-WA0028-01_1024x1024.jpg?v=1635581715",Size,Large  ,"2,185.75",41241584730269
