title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Off White Striped Jacquard Textured Premium Giza Cotton Kurta,"3,997",Frenchcrown," Story Complete your ethnic look with this textured kurta from the house of French Crown. Get a
comfortably chic look for your next family occasion or any family outing. Comfortable and breathable
material which is specially designed for your skin and will give you a trendy and elegant look. Grab
this kurta and style your look with mojari or jutti.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT003_1_360x.jpg?v=1664533566, https://frenchcrown.in/cdn/shop/products/KT003_1_800x.jpg?v=1664533566, https://frenchcrown.in/cdn/shop/products/KT003_2_800x.jpg?v=1664533640, https://frenchcrown.in/cdn/shop/products/KT003_4_800x.jpg?v=1664533640, https://frenchcrown.in/cdn/shop/products/KT003_5_800x.jpg?v=1664533640, https://frenchcrown.in/cdn/shop/products/KT003_6_800x.jpg?v=1664533640, https://frenchcrown.in/cdn/shop/products/KT003_7_800x.jpg?v=1664533640",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Complete your ethnic look with this textured kurta from the house of French Crown. Get a comfortably
chic look for your next family occasion or any family outing. Comfortable and breathable material
which is specially designed for your skin and will give you a trendy and elegant look. Grab this
kurta and style your look with mojari or jutti.Fabric:100% Premium Cotton. Jacquard Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533566
Bright White with colorful Leaves Jacquard Textured Premium Giza Cotton Kurta,"2,797",Frenchcrown," Story Complete your ethnic look with this leaves textured kurta from the house of French Crown. Get
a comfortably chic look for your next family occasion or any family outing. Comfortable and
breathable material which is specially designed for your skin which will give you a trendy and
elegant look. Grab this kurta and style your look with mojari or jutti.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT010_1_360x.jpg?v=1664533590, https://frenchcrown.in/cdn/shop/products/KT010_1_800x.jpg?v=1664533590, https://frenchcrown.in/cdn/shop/products/KT010_2_800x.jpg?v=1664533589, https://frenchcrown.in/cdn/shop/products/KT010_4_800x.jpg?v=1664533590, https://frenchcrown.in/cdn/shop/products/KT010_5_800x.jpg?v=1664533731, https://frenchcrown.in/cdn/shop/products/KT010_6_800x.jpg?v=1664533731, https://frenchcrown.in/cdn/shop/products/KT010_7_800x.jpg?v=1664533731",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Complete your ethnic look with this leaves textured kurta from the house of French Crown. Get a
comfortably chic look for your next family occasion or any family outing. Comfortable and breathable
material which is specially designed for your skin which will give you a trendy and elegant look.
Grab this kurta and style your look with mojari or jutti.Fabric:100% Premium Cotton. Jacquard Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533590
Cosmos Pink Leaves Textured Jacquard Premium Giza Cotton Kurta,"2,397",Frenchcrown," Story Complete your ethnic look with this leaves textured kurta from the house of French Crown. Get
a comfortably chic look for your next family occasion or any family outing. Comfortable and
breathable material which is specially designed for your skin which will give you a trendy and
elegant look. Grab this kurta and style your look with mojari or jutti.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT007_1_360x.jpg?v=1664533575, https://frenchcrown.in/cdn/shop/products/KT007_1_800x.jpg?v=1664533575, https://frenchcrown.in/cdn/shop/products/KT007_2_800x.jpg?v=1664533576, https://frenchcrown.in/cdn/shop/products/KT007_4_800x.jpg?v=1664533575, https://frenchcrown.in/cdn/shop/products/KT007_5_800x.jpg?v=1664533575, https://frenchcrown.in/cdn/shop/products/KT007_6_800x.jpg?v=1664533577, https://frenchcrown.in/cdn/shop/products/KT007_7_800x.jpg?v=1664533577",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Complete your ethnic look with this leaves textured kurta from the house of French Crown. Get a
comfortably chic look for your next family occasion or any family outing. Comfortable and breathable
material which is specially designed for your skin which will give you a trendy and elegant look.
Grab this kurta and style your look with mojari or jutti.Fabric:100% Premium Cotton. Jacquard Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533575
Off White colorful and silver Jacquard Textured Premium Giza Cotton Kurta,"2,197",Frenchcrown," Story Complete your ethnic look with this textured kurta from the house of French Crown. Get a
comfortably chic look for your next family occasion or any family outing. Comfortable and breathable
material which is specially designed for your skin and will give you a trendy and elegant look. Grab
this kurta and style your look with mojari or jutti.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT004_1_360x.jpg?v=1664533563, https://frenchcrown.in/cdn/shop/products/KT004_1_800x.jpg?v=1664533563, https://frenchcrown.in/cdn/shop/products/KT004_2_800x.jpg?v=1664533566, https://frenchcrown.in/cdn/shop/products/KT004_4_800x.jpg?v=1664533565, https://frenchcrown.in/cdn/shop/products/KT004_5_800x.jpg?v=1664533564, https://frenchcrown.in/cdn/shop/products/KT004_6_800x.jpg?v=1664533565, https://frenchcrown.in/cdn/shop/products/KT004_7_800x.jpg?v=1664533564",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Complete your ethnic look with this textured kurta from the house of French Crown. Get a comfortably
chic look for your next family occasion or any family outing. Comfortable and breathable material
which is specially designed for your skin and will give you a trendy and elegant look. Grab this
kurta and style your look with mojari or jutti.Fabric:100% Premium Cotton. Jacquard Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533563
Hampton Cream Jacquard Textured Premium Giza Cotton Kurta,"2,097",Frenchcrown," Story Bring an element of style to your traditional dressing with our Hampton cream textured kurta.
Featuring a mandarin collar, 4-button placket and zigzag like textured pattern, Style this kurta
with churidar pyjama and stylish leather sandals for a perfect ethnic look.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT013_1_360x.jpg?v=1664533615, https://frenchcrown.in/cdn/shop/products/KT013_1_800x.jpg?v=1664533615, https://frenchcrown.in/cdn/shop/products/KT013_2_800x.jpg?v=1664533613, https://frenchcrown.in/cdn/shop/products/KT013_4_800x.jpg?v=1664533617, https://frenchcrown.in/cdn/shop/products/KT013_5_800x.jpg?v=1664533614, https://frenchcrown.in/cdn/shop/products/KT013_6_800x.jpg?v=1664533615, https://frenchcrown.in/cdn/shop/products/KT013_7_800x.jpg?v=1664533614",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Bring an element of style to your traditional dressing with our Hampton cream textured kurta.
Featuring a mandarin collar, 4-button placket and zigzag like textured pattern, Style this kurta
with churidar pyjama and stylish leather sandals for a perfect ethnic look.Fabric:100% Premium Cotton. Jacquard Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533615
Golden Sand Green Arrow-Like Texture Jacquard Textured Premium Giza Cotton Kurta,"2,097",Frenchcrown," Story Bring an element of style to your traditional dressing with our arrow-like textured kurta.
Featuring a mandarin collar, 4-button placket and zigzag-like textured pattern, Style this kurta
with churidar pajama and stylish leather sandals for a perfect ethnic look.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT012_1_360x.jpg?v=1664533608, https://frenchcrown.in/cdn/shop/products/KT012_1_800x.jpg?v=1664533608, https://frenchcrown.in/cdn/shop/products/KT012_2_800x.jpg?v=1664533611, https://frenchcrown.in/cdn/shop/products/KT012_4_800x.jpg?v=1664533609, https://frenchcrown.in/cdn/shop/products/KT012_5_800x.jpg?v=1664533609, https://frenchcrown.in/cdn/shop/products/KT012_6_800x.jpg?v=1664533609, https://frenchcrown.in/cdn/shop/products/KT012_7_800x.jpg?v=1664533610",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Bring an element of style to your traditional dressing with our arrow-like textured kurta. Featuring
a mandarin collar, 4-button placket and zigzag-like textured pattern, Style this kurta with churidar
pajama and stylish leather sandals for a perfect ethnic look.Fabric:100% Premium Cotton. Jacquard Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533608
Flamingo Pink Geometric Dobby Textured Premium Giza Cotton Kurta,"2,197",Frenchcrown," Story Add a timeless, unique, item to your ethnic wear collection with this kurta. The style
details include a 4-button placket, a mandarin collared neck, geometric textured, and full sleeves.
Constructed from premium Giza cotton, this kurta offers a beautiful feeling that is complete bliss
to wear, thanks to its breathable and comfort factor.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT011_1_360x.jpg?v=1664533599, https://frenchcrown.in/cdn/shop/products/KT011_1_800x.jpg?v=1664533599, https://frenchcrown.in/cdn/shop/products/KT011_2_800x.jpg?v=1664533601, https://frenchcrown.in/cdn/shop/products/KT011_4_800x.jpg?v=1664533602, https://frenchcrown.in/cdn/shop/products/KT011_5_800x.jpg?v=1664533600, https://frenchcrown.in/cdn/shop/products/KT011_6_800x.jpg?v=1664533601, https://frenchcrown.in/cdn/shop/products/KT011_7_800x.jpg?v=1664533600",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Add a timeless, unique, item to your ethnic wear collection with this kurta. The style details
include a 4-button placket,  a mandarin collared neck, geometric textured, and full sleeves.
Constructed from premium Giza cotton, this kurta offers a beautiful feeling that is complete bliss
to wear, thanks to its breathable and comfort factor.Fabric:100% Premium Cotton. Dobby Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533599
Dust Storm Brown Dobby Textured Premium Giza Cotton Kurta,"2,197",Frenchcrown," Story Add a timeless, unique, item to your ethnic wear collection with this kurta. The style
details include a 4-button placket, a mandarin collared neck, and full sleeves. Constructed from
premium Giza cotton, this kurta offers a beautiful feeling that is complete bliss to wear, thanks to
its breathable and comfort factor.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT009_1_360x.jpg?v=1664533588, https://frenchcrown.in/cdn/shop/products/KT009_1_800x.jpg?v=1664533588, https://frenchcrown.in/cdn/shop/products/KT009_2_800x.jpg?v=1664533584, https://frenchcrown.in/cdn/shop/products/KT009_4_800x.jpg?v=1664533713, https://frenchcrown.in/cdn/shop/products/KT009_5_800x.jpg?v=1664533713, https://frenchcrown.in/cdn/shop/products/KT009_6_800x.jpg?v=1664533712, https://frenchcrown.in/cdn/shop/products/KT009_7_800x.jpg?v=1664533711",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Add a timeless, unique, item to your ethnic wear collection with this kurta. The style details
include a 4-button placket,  a mandarin collared neck, and full sleeves. Constructed from premium
Giza cotton, this kurta offers a beautiful feeling that is complete bliss to wear, thanks to its
breathable and comfort factor.Fabric:100% Premium Cotton. Dobby Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533588
Glacier Blue Dobby Textured Premium Giza Cotton Kurta,"2,797",Frenchcrown," Story French Crown fosters a sustainable lifestyle. This kurta is handcrafted and made to show off
the Indian aesthetics blended with the new era of fashion. Tailored using premium Giza cotton, this
kurta features a mandarin collar, striped-like texture and full sleeves.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT008_1_360x.jpg?v=1664533579, https://frenchcrown.in/cdn/shop/products/KT008_1_800x.jpg?v=1664533579, https://frenchcrown.in/cdn/shop/products/KT008_2_800x.jpg?v=1664533580, https://frenchcrown.in/cdn/shop/products/KT008_4_800x.jpg?v=1664533580, https://frenchcrown.in/cdn/shop/products/KT008_5_800x.jpg?v=1664533580, https://frenchcrown.in/cdn/shop/products/KT008_6_800x.jpg?v=1664533581, https://frenchcrown.in/cdn/shop/products/KT008_7_800x.jpg?v=1664533581",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"French Crown fosters a sustainable lifestyle. This kurta is handcrafted and made to show off the
Indian aesthetics blended with the new era of fashion. Tailored using premium Giza cotton, this
kurta features a mandarin collar, striped-like texture and full sleeves.Fabric:100% Premium Cotton. Dobby Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533579
Geraldine Pink Dobby Textured Premium Giza Cotton Kurta,"2,197",Frenchcrown," Story Add a timeless, unique, item to your ethnic wear collection with this kurta. The style
details include a 4-button placket, a mandarin collared neck, and full sleeves. Constructed from
premium Giza cotton, this kurta offers a beautiful feeling that is complete bliss to wear, thanks to
its breathable and comfort factor.",Men’s,Men’s Kurtas,"https://frenchcrown.in/cdn/shop/products/KT006_1_360x.jpg?v=1664533571, https://frenchcrown.in/cdn/shop/products/KT006_1_800x.jpg?v=1664533571, https://frenchcrown.in/cdn/shop/products/KT006_2_800x.jpg?v=1664533573, https://frenchcrown.in/cdn/shop/products/KT006_4_800x.jpg?v=1664533574, https://frenchcrown.in/cdn/shop/products/KT006_5_800x.jpg?v=1664533573, https://frenchcrown.in/cdn/shop/products/KT006_6_800x.jpg?v=1664533572, https://frenchcrown.in/cdn/shop/products/KT006_7_800x.jpg?v=1664533572",Select Size,39 / S|40 / M|42 / L|44 / XL|46 / XXL,"Add a timeless, unique, item to your ethnic wear collection with this kurta. The style details
include a 4-button placket, a mandarin collared neck, and full sleeves. Constructed from premium
Giza cotton, this kurta offers a beautiful feeling that is complete bliss to wear, thanks to its
breathable and comfort factor.Fabric:100% Premium Cotton. Dobby Weave.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Medium weight fabric. Made for all climates.",1664533571
