title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Black Giza Cotton and Black Premium Linen Boxers,"1,447"," Story Black Giza cotton Boxer: Our most luxurious white Giza Cotton, and this one is as good as it
gets. Made with ultra-premium certified West Indian Sea Island Cotton from Barbados, it has the
perfect combination of durability, super soft handful, vibrant white color, and silky luster. Known
to many as the cashmere of cotton, Sea Island cotton represents just .0004% of the extra-long staple
length cotton produced each year. Black Linen Boxer: The structure and durability of cotton blended
with the lightweight, breathable comfort of linen. This breathes incredibly well. You get the
benefit of both in one cloth. The cotton yarns add a suitable amount of body and crease-resistant
properties which keeps the propensity of linen to crease in check. Better than a pure linen, it’s
more durable, useable and responds so much better to pressing.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX250_1_77e30a38-80ea-4f60-8227-9f3b30fa56d3_360x.jpg?v=1656504797, https://frenchcrown.in/cdn/shop/products/BX250_1_77e30a38-80ea-4f60-8227-9f3b30fa56d3_800x.jpg?v=1656504797, https://frenchcrown.in/cdn/shop/products/BX250_1_800x.jpg?v=1631628475, https://frenchcrown.in/cdn/shop/products/BX250_2_800x.jpg?v=1631628474, https://frenchcrown.in/cdn/shop/products/BX250_3_800x.jpg?v=1631628474, https://frenchcrown.in/cdn/shop/products/BX250_4_800x.jpg?v=1631628474, https://frenchcrown.in/cdn/shop/products/BX250_5_800x.jpg?v=1631628475, https://frenchcrown.in/cdn/shop/products/BX250_6_800x.jpg?v=1631628474, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg2_624f2c45-7961-4800-a2cf-9a42ec8f29bc_800x.jpg?v=1648545046, https://frenchcrown.in/cdn/shop/products/boxer_74d7ec0c-abfb-4236-ac05-ee2443c10e3e_800x.jpg?v=1671871720",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Black Giza cotton Boxer:Our most luxurious white Giza Cotton, and this one is as good as it gets.
Made with ultra-premium certified West Indian Sea Island Cotton from Barbados, it has the perfect
combination of durability, super soft handful, vibrant white color, and silky luster. Known to many
as the cashmere of cotton, Sea Island cotton represents just .0004% of the extra-long staple length
cotton produced each year.Black Linen Boxer:The structure and durability of cotton blended with the
lightweight, breathable comfort of linen. This breathes incredibly well. You get the benefit of both
in one cloth. The cotton yarns add a suitable amount of body and crease-resistant properties which
keeps the propensity of linen to crease in check. Better than a pure linen, it’s more durable,
useable and responds so much better to pressing.",1656504797
Jade Black Funky Printed Luxurious Linen Boxers,997," Story Upgrade your leisurewear collection with our Jade Black Funky Printed Luxurious Linen Boxers!
Crafted from premium linen fabric blended with pure cotton, these boxers provide ultimate comfort
and a touch of luxury. With their eye-catching prints and breathable fabric, you'll feel cool and
confident all day long. Make a stylish statement with these unique and oh-so-comfy boxers.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/files/BX510-RPRT-017_1_360x.jpg?v=1686810132, https://frenchcrown.in/cdn/shop/files/BX510-RPRT-017_1_800x.jpg?v=1686810132, https://frenchcrown.in/cdn/shop/files/BX510-RPRT-017_2_800x.jpg?v=1686810133, https://frenchcrown.in/cdn/shop/files/BX510-RPRT-017_4_800x.jpg?v=1686810133, https://frenchcrown.in/cdn/shop/files/BX510-RPRT-017_5_800x.jpg?v=1686810134, https://frenchcrown.in/cdn/shop/files/BX510-RPRT-017_6_800x.jpg?v=1686810134",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Upgrade your leisurewear collection with our Jade Black Funky Printed Luxurious Linen Boxers!
Crafted from premium linen fabric blended with pure cotton, these boxers provide ultimate comfort
and a touch of luxury. With their eye-catching prints and breathable fabric, you'll feel cool and
confident all day long. Make a stylish statement with these unique and oh-so-comfy boxers.",1686810132
Two White Premium Linen Boxers,"1,497"," Story The structure and durability of cotton blended with the lightweight, breathable comfort of
linen. This breathes incredibly well. You get the benefit of both in one cloth. The cotton yarns add
a suitable amount of body and crease-resistant properties which keeps the propensity of linen to
crease in check. Better than a pure linen, it’s more durable, useable and responds so much better to
pressing.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX45_1_copy_360x.jpg?v=1656504746, https://frenchcrown.in/cdn/shop/products/BX45_1_copy_800x.jpg?v=1656504746, https://frenchcrown.in/cdn/shop/products/BX45_3_copy_800x.jpg?v=1631162308, https://frenchcrown.in/cdn/shop/products/BX45_4_copy_800x.jpg?v=1631162308, https://frenchcrown.in/cdn/shop/products/BX45_2_copy_800x.jpg?v=1631162307, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg_7bfeccbe-21d3-45ff-80da-9ecdfc441286_800x.jpg?v=1598332433",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"The structure and durability of cotton blended with the lightweight, breathable comfort of linen.
This breathes incredibly well. You get the benefit of both in one cloth. The cotton yarns add a
suitable amount of body and crease-resistant properties which keeps the propensity of linen to
crease in check. Better than a pure linen, it’s more durable, useable and responds so much better to
pressing.",1656504746
Mercury Peach Premium Cotton Boxers,697," Story Our Premium Cotton Boxers are a type of men's underwear, made of high-quality pure cotton
material, known for its softness, durability, and breathability. These solid peach boxers are
designed to provide maximum comfort and support to the wearer, while also offering a stylish and
fashionable look. These solid pattern are unique and attractive which enhances the overall
appearance of the garment. So, whether you're reading a book, binge-watching your favorite series,
or just relaxing at home, these Boxers are the perfect choice to enhance your leisure experience.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX476_1_360x.jpg?v=1679997214, https://frenchcrown.in/cdn/shop/products/BX476_1_800x.jpg?v=1679997214, https://frenchcrown.in/cdn/shop/products/BX476_2_800x.jpg?v=1679997215, https://frenchcrown.in/cdn/shop/products/BX476_4_800x.jpg?v=1679997215, https://frenchcrown.in/cdn/shop/products/BX476_5_800x.jpg?v=1679997214, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg2_4737d938-1182-41b8-aa28-033558a56b80_800x.jpg?v=1682146018",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Our Premium Cotton Boxers are a type of men's underwear, made of high-quality pure cotton material,
known for its softness, durability, and breathability. These solid peach boxers are designed to
provide maximum comfort and support to the wearer, while also offering a stylish and fashionable
look. These solid pattern are unique and attractive which enhances the overall appearance of the
garment. So, whether you're reading a book, binge-watching your favorite series, or just relaxing at
home, these Boxers are the perfect choice to enhance your leisure experience.",1679997214
Beauty Bush Beige and Rudy Red Floral Printed Premium Cotton Boxers,947," Story Introducing these Floral Printed Premium Cotton Boxers from the French Crown - the ultimate
addition to your loungewear collection. Made from high-quality pure cotton fabrics, these boxers
offer both style and comfort. The amazing floral printed design is sure to turn heads, while the
soft and breathable cotton material will keep you cool and comfortable during those warm summer
months. Don't settle for ordinary loungewear - upgrade your collection with these stylish Boxers
from the French Crown today!",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX478_1_360x.jpg?v=1679997238, https://frenchcrown.in/cdn/shop/products/BX478_1_800x.jpg?v=1679997238, https://frenchcrown.in/cdn/shop/products/BX478_2_800x.jpg?v=1679997239, https://frenchcrown.in/cdn/shop/products/BX478_4_800x.jpg?v=1679997238, https://frenchcrown.in/cdn/shop/products/BX478_5_800x.jpg?v=1679997239, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg2_6dc6675c-2253-4f94-9972-076e2c85a683_800x.jpg?v=1682146043",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Introducing these Floral Printed Premium Cotton Boxers from the French Crown - the ultimate addition
to your loungewear collection. Made from high-quality pure cotton fabrics, these boxers offer both
style and comfort. The amazing floral printed design is sure to turn heads, while the soft and
breathable cotton material will keep you cool and comfortable during those warm summer months. Don't
settle for ordinary loungewear - upgrade your collection with these stylish Boxers from the French
Crown today!",1679997238
Chambray Blue with Byzantium Pink Rose Printed Twill Premium Cotton Boxers and Chantilly Pink Printed Premium Cotton Boxers Combo,"1,647"," Story Chambray Blue with Byzantium Pink Rose Printed and Chantilly pink printed Premium Cotton
Boxers combo is a comfortable and stylish addition to any wardrobe. Made from high-quality pure
cotton fabric, these boxers are soft to the touch and breathable for all-day wear. The printed
design adds a pop of personality to your look while the classic regular cut ensures a comfortable
fit. These boxers are perfect for everyday wear or special occasions.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX467-BX468_1_360x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_1_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_2_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_3_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_4_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_5_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_6_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_7_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_8_800x.jpg?v=1680077997, https://frenchcrown.in/cdn/shop/products/BX467-BX468_9_800x.jpg?v=1680077997",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Chambray Blue with Byzantium Pink Rose Printed and Chantilly pink printed Premium Cotton Boxers
combo is a comfortable and stylish addition to any wardrobe. Made from high-quality pure cotton
fabric, these boxers are soft to the touch and breathable for all-day wear. The printed design adds
a pop of personality to your look while the classic regular cut ensures a comfortable fit. These
boxers are perfect for everyday wear or special occasions.",1680077997
Chambray Blue with Byzantium Pink Rose Printed Twill Premium Cotton Boxers,997," Story Chambray Blue with Byzantium Pink Rose Printed Premium Cotton Boxers are a comfortable and
stylish addition to any wardrobe. Made from high-quality pure cotton fabric, these boxers are soft
to the touch and breathable for all-day wear. The rose-printed design adds a pop of personality to
your undergarments, while the classic regular cut ensures a comfortable fit. These boxers are
perfect for everyday wear or special occasions.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX467_1_360x.jpg?v=1679994133, https://frenchcrown.in/cdn/shop/products/BX467_1_800x.jpg?v=1679994133, https://frenchcrown.in/cdn/shop/products/BX467_2_800x.jpg?v=1679994133, https://frenchcrown.in/cdn/shop/products/BX467_4_800x.jpg?v=1679994133, https://frenchcrown.in/cdn/shop/products/BX467_5_800x.jpg?v=1679994134, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg2_8b485fa7-884e-4186-b671-7ab82e960e48_800x.jpg?v=1682146144",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Chambray Blue with Byzantium Pink Rose Printed Premium Cotton Boxers are a comfortable and stylish
addition to any wardrobe. Made from high-quality pure cotton fabric, these boxers are soft to the
touch and breathable for all-day wear. The rose-printed design adds a pop of personality to your
undergarments, while the classic regular cut ensures a comfortable fit. These boxers are perfect for
everyday wear or special occasions.",1679994133
Two Black Premium Linen Boxers,"1,647"," Story The structure and durability of cotton blended with the lightweight, breathable comfort of
linen. This breathes incredibly well. You get the benefit of both in one cloth. The cotton yarns add
a suitable amount of body and crease-resistant properties which keeps the propensity of linen to
crease in check. Better than a pure linen, it’s more durable, useable and responds so much better to
pressing.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/1_2b723bbd-37fc-4360-a99f-e34694e6b24d_360x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/1_2b723bbd-37fc-4360-a99f-e34694e6b24d_800x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/BX46_1_800x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/BX46_2_copy_800x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/BX46_3_copy_800x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/BX46_4_copy_800x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/BLACKboxers_800x.jpg?v=1671870901, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg_d6e20ac1-c1ac-47b4-a0a7-b40568b769b4_800x.jpg?v=1671715459",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"The structure and durability of cotton blended with the lightweight, breathable comfort of linen.
This breathes incredibly well. You get the benefit of both in one cloth. The cotton yarns add a
suitable amount of body and crease-resistant properties which keeps the propensity of linen to
crease in check. Better than a pure linen, it’s more durable, useable and responds so much better to
pressing.",1671870901
Two Black Solid Premium Cotton Boxers,"1,697"," Story Featuring basic texture all over for unique charm is this Black Boxer. A smart wardrobe
must-have, this Boxer is made from cotton dobby that makes it extremely comfortable to wear all day
long.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX44_1_360x.jpg?v=1656504744, https://frenchcrown.in/cdn/shop/products/BX44_1_800x.jpg?v=1656504744, https://frenchcrown.in/cdn/shop/products/BX44_2_800x.jpg?v=1631162234, https://frenchcrown.in/cdn/shop/products/BX44_3_800x.jpg?v=1631162233, https://frenchcrown.in/cdn/shop/products/BX44_4_800x.jpg?v=1631162234, https://frenchcrown.in/cdn/shop/products/BLACKboxers_f3fd2cd5-a667-4cd3-8548-ea494ed21be8_800x.jpg?v=1600946971, https://frenchcrown.in/cdn/shop/products/boxer_a2c667cd-efb3-409a-ade6-d61ace39d6dd_800x.jpg?v=1679025791, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg_a3576e75-0e6e-4d67-a9de-787bee730bfa_800x.jpg?v=1679025791",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Featuring basic texture all over for unique charm is this Black Boxer. A smart wardrobe must-have,
this Boxer is made from cotton dobby that makes it extremely comfortable to wear all day long.",1656504744
Jade Black Solid Premium Cotton Boxers,897," Story Featuring basic texture all over for unique charm is this Black Boxer. A smart wardrobe
must-have, this Boxer is made from cotton dobby that makes it extremely comfortable to wear all day
long.",Men’s,Men’s Boxers,"https://frenchcrown.in/cdn/shop/products/BX470-BLACKCOTTON_1_360x.jpg?v=1679372137, https://frenchcrown.in/cdn/shop/products/BX470-BLACKCOTTON_1_800x.jpg?v=1679372137, https://frenchcrown.in/cdn/shop/products/BX470-BLACKCOTTON_2_800x.jpg?v=1679372137, https://frenchcrown.in/cdn/shop/products/BX470-BLACKCOTTON_4_800x.jpg?v=1679372137, https://frenchcrown.in/cdn/shop/products/BoxerCoralimg2_8f103291-4e22-49c1-b642-ffd87ddd01eb_800x.jpg?v=1682146431",Select Size,28 / XS|30 / S|32 / M|34 / L|36 / XL|38 / XXL|40 / 3XL|42 / 4XL|44 / 5XL,"Featuring basic texture all over for unique charm is this Black Boxer. A smart wardrobe must-have,
this Boxer is made from cotton dobby that makes it extremely comfortable to wear all day long.",1679372137
