title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Jade Black with Artisanal Aari Embroidery Work Super Soft Premium Cotton Designer Shirt,"2,997"," Story Discover the epitome of style and luxury with our Jade Black Designer Shirt. Made from super
soft premium cotton, this exquisite shirt boasts artisanal Aari embroidery, meticulously crafted by
skilled artisans. The intricate details and handcrafted embellishments add a touch of elegance and
sophistication, making it a true statement piece for any occasion. Experience unparalleled comfort
and impeccable craftsmanship as you indulge in the luxurious feel of the fabric against your skin.
With its timeless appeal and exceptional quality, this Jade Black Designer Shirt is a must-have
addition to your wardrobe. Shop now and elevate your style to new heights.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_1_360x.jpg?v=1688984003, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_1_800x.jpg?v=1688984003, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_2_800x.jpg?v=1688984004, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_4_800x.jpg?v=1688984004, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_5_800x.jpg?v=1688984003, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_6_800x.jpg?v=1688984005, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_7_800x.jpg?v=1688984005, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_8_800x.jpg?v=1688984004, https://frenchcrown.in/cdn/shop/files/10251-BLK-E107_9_800x.jpg?v=1688984002",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Discover the epitome of style and luxury with our Jade Black Designer Shirt. Made from super soft
premium cotton, this exquisite shirt boasts artisanal Aari embroidery, meticulously crafted by
skilled artisans. The intricate details and handcrafted embellishments add a touch of elegance and
sophistication, making it a true statement piece for any occasion. Experience unparalleled comfort
and impeccable craftsmanship as you indulge in the luxurious feel of the fabric against your skin.
With its timeless appeal and exceptional quality, this Jade Black Designer Shirt is a must-have
addition to your wardrobe. Shop now and elevate your style to new heights.100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Satin weave: A type of textile weave, Satin is somewhat shinier than the average Poplin weave. The
fabric thus created is more lustrous and gives an exclusive look to the shirt.
Medium weight fabric, ideal for all climates.",1688984003
Jade Black with Tropical Blue Multicolour Striped Premium Tencel Shirt,"1,997"," Story Strut in style in this tropical tencel shirt from French Crown. Pure tencel twill fabric
gives this classic shirt a luxurious feel. Regular fit, with a button-down front leading from the
collared neck with long cuffed sleeves for a smart finish. This unique bright colourful striped
shirt from French Crown comes out for grabs while stocks last.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/files/8752-2_360x.jpg?v=1689418641, https://frenchcrown.in/cdn/shop/files/8752-2_800x.jpg?v=1689418641, https://frenchcrown.in/cdn/shop/files/8752-BLK_2_99ec53d8-dc27-43d5-a928-9bde8d9212f6_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-1_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/products/8752-BLK_5_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/products/8752-BLK_6_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/products/8752-BLK_7_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_1_0ce64716-9d8b-400a-8279-7792639995d2_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_2_0359b79e-0e30-4bc0-8d04-09245ace7764_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_4_e74fb8ad-4743-4712-8faa-1b2905ed1b25_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_5_a81ab3e2-26c9-4d9b-b23a-ff3f956bc8b8_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_6_0c19eabf-a0d1-4edd-95ff-c67af0971da0_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_7_533a4c03-0673-472f-86a7-a6d2b75c4c5e_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_8_3bad7535-a142-4152-94da-69d3aa960ae9_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/files/8752-BLK_9_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/products/8752-BLK_8_800x.jpg?v=1689667338, https://frenchcrown.in/cdn/shop/products/ShirtCorel_463212a7-f720-4dfc-b411-3eaea985b41b_800x.jpg?v=1689667338",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Strut in style in this tropical tencel shirt from French Crown. Pure tencel twill fabric gives this
classic shirt a luxurious feel. Regular fit, with a button-down front leading from the collared neck
with long cuffed sleeves for a smart finish. This unique bright colourful striped shirt from French
Crown comes out for grabs while stocks last.Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and
then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from
sustainable sources and therefore it is biodegradable. It can be blended with other fabrics.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile
Medium weight fabric. Made for all climates.",1689418641
Reddish with Black Multicolour Chessboard Pattern Super Soft Premium Cotton Shirt,"2,797"," Story Revamp your style with the mesmerizing charm of our Reddish with Black Multicolour Chessboard
Pattern Super Soft Premium Cotton Shirt. This shirt from French Crown exudes sophistication with its
eye-catching chessboard pattern prints. The slight sheen fabric adds a touch of elegance to your
ensemble. With a regular fit, full sleeves, and a spread collar, it's designed to enhance your
silhouette flawlessly. Pair it with jeans and sneakers for an impeccable look that effortlessly
combines comfort and style. Elevate your fashion game and make a statement wherever you go.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/files/9910-1_360x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-1_800x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-BLK_2_800x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-2_800x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-BLK_5_800x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-BLK_6_800x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-BLK_7_800x.jpg?v=1689419327, https://frenchcrown.in/cdn/shop/files/9910-BLK_8_800x.jpg?v=1689419327",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Revamp your style with the mesmerizing charm of our Reddish with Black Multicolour Chessboard
Pattern Super Soft Premium Cotton Shirt. This shirt from French Crown exudes sophistication with its
eye-catching chessboard pattern prints. The slight sheen fabric adds a touch of elegance to your
ensemble. With a regular fit, full sleeves, and a spread collar, it's designed to enhance your
silhouette flawlessly. Pair it with jeans and sneakers for an impeccable look that effortlessly
combines comfort and style. Elevate your fashion game and make a statement wherever you go.100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Satin weave: A type of textile weave, Satin is somewhat shinier than the average Poplin weave. The
fabric thus created is more lustrous and gives an exclusive look to the shirt.
Medium weight fabric, ideal for all climates.",1689419327
Haiti Black and Amarnath Red Honeycomb Printed Super Soft Premium Cotton Shirt,"2,497"," Story Revamp your style with the mesmerising charm of our Haiti Black and Amarnath red Honeycomb
Printed Super Soft Premium Cotton Shirt. This shirt from French Crown exudes sophistication with its
eye-catching honeycomb prints. The slight sheen fabric adds a touch of elegance to your ensemble.
With a regular fit, full sleeves, and a spread collar, it's designed to enhance your silhouette
flawlessly. Pair it with jeans and sneakers for an impeccable look that effortlessly combines
comfort and style. Elevate your fashion game and make a statement wherever you go.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/files/9875-a_df11809b-c3d9-47e0-a900-5735857c75a9_360x.jpg?v=1689419023, https://frenchcrown.in/cdn/shop/files/9875-a_df11809b-c3d9-47e0-a900-5735857c75a9_800x.jpg?v=1689419023, https://frenchcrown.in/cdn/shop/files/9875-BLK_2_800x.jpg?v=1689419023, https://frenchcrown.in/cdn/shop/files/9875-a_800x.jpg?v=1689419023, https://frenchcrown.in/cdn/shop/files/9875-BLK_5_800x.jpg?v=1689419022, https://frenchcrown.in/cdn/shop/files/9875-BLK_6_800x.jpg?v=1689419022, https://frenchcrown.in/cdn/shop/files/9875-BLK_7_800x.jpg?v=1689419022, https://frenchcrown.in/cdn/shop/files/9875-BLK_8_800x.jpg?v=1689419022",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Revamp your style with the mesmerising charm of our Haiti Black and Amarnath red Honeycomb Printed
Super Soft Premium Cotton Shirt. This shirt from French Crown exudes sophistication with its eye-
catching honeycomb prints. The slight sheen fabric adds a touch of elegance to your ensemble. With a
regular fit, full sleeves, and a spread collar, it's designed to enhance your silhouette flawlessly.
Pair it with jeans and sneakers for an impeccable look that effortlessly combines comfort and style.
Elevate your fashion game and make a statement wherever you go.100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Satin weave: A type of textile weave, Satin is somewhat shinier than the average Poplin weave. The
fabric thus created is more lustrous and gives an exclusive look to the shirt.
Medium weight fabric, ideal for all climates.",1689419023
Indigo Blue Super Soft Premium Cotton Shirt,"2,497"," Story Never underestimate the value of a stylish yet comfortable shirt from French Crown. Get
yourself this solid blue shirt and complete your wardrobe by adding this unique piece. The superior
quality slight sheen fabric and modern cut away collar blended with a regular fit provide you an
outstanding comfortable wear. Pair it with light gray chinos and polished black loafers for a smart
look",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/products/8562_1_360x.jpg?v=1673842978, https://frenchcrown.in/cdn/shop/products/8562_1_800x.jpg?v=1673842978, https://frenchcrown.in/cdn/shop/products/8562_2_800x.jpg?v=1673842977, https://frenchcrown.in/cdn/shop/products/8562_4_800x.jpg?v=1674110083, https://frenchcrown.in/cdn/shop/products/8562_5_800x.jpg?v=1674110083, https://frenchcrown.in/cdn/shop/products/8562_6_800x.jpg?v=1674110083, https://frenchcrown.in/cdn/shop/products/8562_7_800x.jpg?v=1674110083, https://frenchcrown.in/cdn/shop/products/8562_8_800x.jpg?v=1674110083, https://frenchcrown.in/cdn/shop/products/ShirtCorel-CA_870f5409-d36f-4794-a647-086688b373bb_800x.jpg?v=1674110083",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Never underestimate the value of a stylish yet comfortable shirt from French Crown. Get yourself
this solid blue shirt and complete your wardrobe by adding this unique piece. The superior quality
slight sheen fabric and modern cut away collar blended with a regular fit provide you an outstanding
comfortable wear. Pair it with light gray chinos and polished black loafers for a smart look100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Satin weave: A type of textile weave, Satin is somewhat shinier than the average Poplin weave. The
fabric thus created is more lustrous and gives an exclusive look to the shirt.
Medium weight fabric, ideal for all climates.",1673842978
Bright White Subtle Sheen Tuxedo Super Soft Giza Cotton Shirt,"2,997"," Story Our most luxurious white Giza Cotton, and this one is as good as it gets. Made with
ultra-premium certified West Indian Sea Island Cotton from Barbados, it has the perfect combination
of durability, super soft handful, vibrant white color, and silky luster. Known to many as the
cashmere of cotton, Sea Island cotton represents just .0004% of the extra-long staple length cotton
produced each year.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/products/1314-TXD-BLK_1_a19ae637-71ef-4ede-b213-c7ba1d3b8c5f_360x.jpg?v=1687596151, https://frenchcrown.in/cdn/shop/products/1314-TXD-BLK_1_a19ae637-71ef-4ede-b213-c7ba1d3b8c5f_800x.jpg?v=1687596151, https://frenchcrown.in/cdn/shop/products/1314-TXD-BLK_3_ad50a405-4bcb-4b07-83ce-5b58b7aef587_800x.jpg?v=1687596151, https://frenchcrown.in/cdn/shop/products/1314-TXD-BLK_2_4aa8e55b-7d3c-4d88-9a18-3992a1b07468_800x.jpg?v=1689776765, https://frenchcrown.in/cdn/shop/products/1314-TXD-BLK_5_800x.jpg?v=1689776765, https://frenchcrown.in/cdn/shop/products/1314_800x.jpg?v=1689776765, https://frenchcrown.in/cdn/shop/files/1314-TXD-BLK_6_800x.jpg?v=1689776765, https://frenchcrown.in/cdn/shop/products/1314-TXD-BLK_7_800x.jpg?v=1689776765, https://frenchcrown.in/cdn/shop/products/ShirtCorel_5f367e2f-ed16-4d4b-b855-85bf6bd787c8_800x.jpg?v=1687596151",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Our most luxurious white Giza Cotton, and this one is as good as it gets. Made with ultra-premium
certified West Indian Sea Island Cotton from Barbados, it has the perfect combination of durability,
super soft handful, vibrant white color, and silky luster. Known to many as the cashmere of cotton,
Sea Island cotton represents just .0004% of the extra-long staple length cotton produced each year.100 % Premium Cotton; Comfortable soft hand, Good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Twill:soft and fluffy feeling, especially after washing them.
Medium weight fabric, ideal for all climates.",1687596151
Bright White Subtle Sheen Super Soft Black Button Premium Cotton Shirt,"2,997"," Story Our most luxurious white Giza Cotton, and this one is as good as it gets. Made with
ultra-premium certified West Indian Sea Island Cotton from Barbados, it has the perfect combination
of durability, super soft handful, vibrant white color, and silky luster. Known to many as the
cashmere of cotton, Sea Island cotton represents just .0004% of the extra-long staple length cotton
produced each year",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/products/1062-BLK_1_360x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_1_800x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_2_800x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_4_800x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_5_800x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_6_800x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_7_800x.jpg?v=1674037844, https://frenchcrown.in/cdn/shop/products/1062-BLK_8_800x.jpg?v=1687585689, https://frenchcrown.in/cdn/shop/products/1062-BLK_10_800x.jpg?v=1687585689, https://frenchcrown.in/cdn/shop/products/1062-BLK_9_800x.jpg?v=1687585689, https://frenchcrown.in/cdn/shop/products/04_22757bd8-5371-4cd5-bc0b-d22c81e969f2_800x.jpg?v=1687585689, https://frenchcrown.in/cdn/shop/products/1062-BLK_8_fa69d6e0-ee73-41ca-a6a3-6fd77babe3ad_800x.jpg?v=1687585689, https://frenchcrown.in/cdn/shop/products/ShirtCorel_b2a20923-974d-4057-ba01-7346a4cbc33d_800x.jpg?v=1687585689",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Our most luxurious white Giza Cotton, and this one is as good as it gets. Made with ultra-premium
certified West Indian Sea Island Cotton from Barbados, it has the perfect combination of durability,
super soft handful, vibrant white color, and silky luster. Known to many as the cashmere of cotton,
Sea Island cotton represents just .0004% of the extra-long staple length cotton produced each year100 % Premium Cotton; Comfortable soft hand, Good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Twill:soft and fluffy feeling, especially after washing them.
Medium weight fabric, ideal for all climates.",1674037844
Jade Black premium Cotton Tuxedo Shirt,"2,797"," Story This unique pin-tuxed shirt from French Crown is a must-have for men looking for a truly
comfortable, trendy piece and at the same time want to get noticed by people. Wear it with your
favourite chinos or jeans depending on the occasion and you are all set to rock the event.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_5_360x.jpg?v=1673247376, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_5_800x.jpg?v=1673247376, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_2_800x.jpg?v=1673247376, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_4_800x.jpg?v=1673247376, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_6_800x.jpg?v=1673247376, https://frenchcrown.in/cdn/shop/products/8521_800x.jpg?v=1680245985, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_1_800x.jpg?v=1680245985, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_7_800x.jpg?v=1680245985, https://frenchcrown.in/cdn/shop/products/8521_1_800x.jpg?v=1680245985, https://frenchcrown.in/cdn/shop/products/8521_2_800x.jpg?v=1680245985, https://frenchcrown.in/cdn/shop/products/8521-BLK-TXD_9_800x.jpg?v=1680245985, https://frenchcrown.in/cdn/shop/products/ShirtCorel_710e3677-ac05-4156-8f96-da9448b5ff08_800x.jpg?v=1680245985",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"This unique pin-tuxed shirt from French Crown is a must-have for men looking for a truly
comfortable, trendy piece and at the same time want to get noticed by people. Wear it with your
favourite chinos or jeans depending on the occasion and you are all set to rock the event.100 % Premium Giza Cotton:  Long staple, smother, resistant to pilling,  greater resistance to
abrasion and stretching, brighter and more precisely defined with a soft and silky texture and
considerable resistance over time.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttonsPoplin weave:  Tightly woven fabric with a very simple over-under
weave and very little sheen, which makes it nice and professional. Poplins are great for guys
looking for as little texture as possible in their fabrics. They are generally a thinner, lighter
and Breathable fabric.Medium weight fabric, Made for all climates.
Poplin weave:  Tightly woven fabric with a very simple over-under weave and very little sheen, which
makes it nice and professional. Poplins are great for guys looking for as little texture as possible
in their fabrics. They are generally a thinner, lighter and Breathable fabric.
Medium weight fabric, Made for all climates.",1673247376
Jade Black Super soft Giza Cotton Shirt,"2,997"," Story Our most luxurious Black Giza Cotton, and this one is as good as it gets. Made with
ultra-premium certified West Indian Sea Island Cotton from Barbados, it has the perfect combination
of durability, super soft handful, vibrant white color, and silky luster. Known to many as the
cashmere of cotton, Sea Island cotton represents just .0004% of the extra-long staple length cotton
produced each year.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/products/1312-BLK_1_360x.jpg?v=1674038435, https://frenchcrown.in/cdn/shop/products/1312-BLK_1_800x.jpg?v=1674038435, https://frenchcrown.in/cdn/shop/products/1312BLK_2_800x.jpg?v=1674038435, https://frenchcrown.in/cdn/shop/products/1312BLK_4_800x.jpg?v=1674038435, https://frenchcrown.in/cdn/shop/products/1312BLK_5_800x.jpg?v=1674038435, https://frenchcrown.in/cdn/shop/products/1312BLK_6_800x.jpg?v=1674038435, https://frenchcrown.in/cdn/shop/products/1312BLK_7_800x.jpg?v=1677062859, https://frenchcrown.in/cdn/shop/products/1312_BLACKSATIN_1_800x.jpg?v=1677062859, https://frenchcrown.in/cdn/shop/products/1312_BLACKSATIN_2_800x.jpg?v=1677062859, https://frenchcrown.in/cdn/shop/products/1312_BLACKSATIN_3_800x.jpg?v=1677062859, https://frenchcrown.in/cdn/shop/products/1312_BLACKSATIN_4_800x.jpg?v=1687265764, https://frenchcrown.in/cdn/shop/products/1312_BLACKSATIN_5_800x.jpg?v=1687265765, https://frenchcrown.in/cdn/shop/products/1312-BLK_8_c5440006-e616-48f4-a53c-10f8dd1ef4a5_800x.jpg?v=1687265765, https://frenchcrown.in/cdn/shop/products/ShirtCorel_f76abe5d-66f5-41e0-9987-c0a767b8877c_800x.jpg?v=1687265765",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Our most luxurious Black Giza Cotton, and this one is as good as it gets. Made with ultra-premium
certified West Indian Sea Island Cotton from Barbados, it has the perfect combination of durability,
super soft handful, vibrant white color, and silky luster. Known to many as the cashmere of cotton,
Sea Island cotton represents just .0004% of the extra-long staple length cotton produced each year.100 % Premium Cotton; Comfortable soft hand, Good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Twill:soft and fluffy feeling, especially after washing them.
Medium weight fabric, ideal for all climates.",1674038435
Zodiac Blue With Multicolour Subtle Sheen Tom and Jerry Embroidered Super Soft Premium Cotton Shirt,"2,797"," Story Update your off-duty wardrobe with this tom and jerry embroidered shirt from the house of
French Crown. Easy regular fit, with multicolour tom and jerry embroidered design, this shirt is
tailored using slight sheen fabric blended with top-notch cotton for true comfort and durability.
Get ready instantly by layering over a casual jacket with chinos and polished loafers for a smart
look.",Men’s Shirts,Men’s Shirts,"https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_1_360x.jpg?v=1676872944, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_1_800x.jpg?v=1676872944, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_2_800x.jpg?v=1676872943, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_4_800x.jpg?v=1676872947, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_5_800x.jpg?v=1676872946, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_6_800x.jpg?v=1676872948, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_7_800x.jpg?v=1676872945, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_8_800x.jpg?v=1676872944, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_9_800x.jpg?v=1676872949, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_10_800x.jpg?v=1676872943, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_11_800x.jpg?v=1676872946, https://frenchcrown.in/cdn/shop/products/8958_1_800x.jpg?v=1678701090, https://frenchcrown.in/cdn/shop/products/8958_2_800x.jpg?v=1678701090, https://frenchcrown.in/cdn/shop/products/8958-BLK-P568_13_800x.jpg?v=1678701090",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Update your off-duty wardrobe with this tom and jerry embroidered shirt from the house of French
Crown. Easy regular fit, with multicolour tom and jerry embroidered design, this shirt is tailored
using slight sheen fabric blended with top-notch cotton for true comfort and durability. Get ready
instantly by layering over a casual jacket with chinos and polished loafers for a smart look.100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttons
Satin weave: A type of textile weave, Satin is somewhat shinier than the average Poplin weave. The
fabric thus created is more lustrous and gives an exclusive look to the shirt.
Medium weight fabric, ideal for all climates.",1676872944
