title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Gunsmoke Gray Premium Cotton A-Line Palazzo,"1,897",Frenchcrown," Story Make your evening more special by donning these stylish premium cotton palazzo from French
Crown. These gray palazzos make an elegant pick to club with your traditional attires. Team these
palazzos with a basic kurta or top to complete the look.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WOT016_1_360x.jpg?v=1675512655, https://frenchcrown.in/cdn/shop/products/WOT016_1_800x.jpg?v=1675512655, https://frenchcrown.in/cdn/shop/products/WOT016_2_800x.jpg?v=1679377624, https://frenchcrown.in/cdn/shop/products/WOT016_4_800x.jpg?v=1679377624, https://frenchcrown.in/cdn/shop/products/WOT016_5_800x.jpg?v=1679377624",Select Size,XS / 24|S / 26|M / 28|L / 30|XL / 32|XXL / 34,"Make your evening more special by donning these stylish premium cotton palazzo from French Crown.
These gray palazzos make an elegant pick to club with your traditional attires. Team these palazzos
with a basic kurta or top to complete the look.",1675512655
Gunsmoke Gray Printed Premium Cotton Top,"1,197",Frenchcrown," Story This full sleeve printed top is made from premium cotton, ensuring maximum comfort and
breathability. The soft and lightweight fabric drapes beautifully on the skin, making it a versatile
addition to your wardrobe. The classic gray colour goes well with any outfit and can be dressed up
or down for any occasion. With its flattering and stylish fit, this top is perfect for wearing on
its own or layering under jackets and blazers. Featuring coconut shell button closure and full
sleeve, Invest in this premium cotton crop top for a comfortable and stylish staple that you'll
reach for time and time again.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WTP032_1_360x.jpg?v=1679387098, https://frenchcrown.in/cdn/shop/products/WTP032_1_800x.jpg?v=1679387098, https://frenchcrown.in/cdn/shop/products/WTP032_2_800x.jpg?v=1679387100, https://frenchcrown.in/cdn/shop/products/WTP032_4_800x.jpg?v=1679387098, https://frenchcrown.in/cdn/shop/products/WTP032_5_800x.jpg?v=1679387100, https://frenchcrown.in/cdn/shop/products/WTP032_6_800x.jpg?v=1679387100, https://frenchcrown.in/cdn/shop/products/WTP032_7_800x.jpg?v=1679387099, https://frenchcrown.in/cdn/shop/products/WTP032_8_800x.jpg?v=1679387099, https://frenchcrown.in/cdn/shop/products/WTP032_9_800x.jpg?v=1679387098, https://frenchcrown.in/cdn/shop/products/WTP032_10_800x.jpg?v=1679387101, https://frenchcrown.in/cdn/shop/products/WTP032_11_800x.jpg?v=1679387098",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This full sleeve printed top is made from premium cotton, ensuring maximum comfort and
breathability. The soft and lightweight fabric drapes beautifully on the skin, making it a versatile
addition to your wardrobe. The classic gray colour goes well with any outfit and can be dressed up
or down for any occasion. With its flattering and stylish fit, this top is perfect for wearing on
its own or layering under jackets and blazers. Featuring coconut shell button closure and full
sleeve, Invest in this premium cotton crop top for a comfortable and stylish staple that you'll
reach for time and time again.",1679387098
Sandrift and Woodrush Brown Zebra Printed Viscose Pants,"1,577",Frenchcrown," Story Make hot work days more relaxed and cozy with these zebra stripes printed chic Pants for
women from the French Crown. Tailored using top notch breathable fabric, these gorgeous pants can
upgrade your after-six collection.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WOT014_1_360x.jpg?v=1675512455, https://frenchcrown.in/cdn/shop/products/WOT014_1_800x.jpg?v=1675512455, https://frenchcrown.in/cdn/shop/products/WOT014_2_800x.jpg?v=1679377619, https://frenchcrown.in/cdn/shop/products/WOT014_4_800x.jpg?v=1679377619, https://frenchcrown.in/cdn/shop/products/WOT014_5_800x.jpg?v=1679377619",Select Size,XS / 24|S / 26|M / 28|L / 30|XL / 32|XXL / 34,"Make hot work days more relaxed and cozy with these zebra stripes printed chic Pants for women from
the French Crown. Tailored using top notch breathable fabric, these gorgeous pants can upgrade your
after-six collection.",1675512455
Jade Black with Timberwolf Cream Ditsy Printed Premium Cotton Shirt,"1,397",Frenchcrown," Story Plans or no plans, either way, this ditsy printed shirt will be your BFF! Ultra-soft, light,
this women's shirt from French Crown will elevate your look. What else can we say? It also got a
regular collar with button-through fastening.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS002_1_360x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_1_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_2_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_4_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_5_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_6_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_1_f110991f-667f-48cd-94bd-e98c21241aab_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_2_bd4cacc8-09eb-4a91-9633-b483682d023d_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_4_a7f6c4da-5380-4a3a-9905-e13ea078587c_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_5_6ee9cb01-b927-414d-b387-cd0024c31bd6_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_6_222c07b3-406c-432d-9dd0-d050f66a697f_800x.jpg?v=1679389045, https://frenchcrown.in/cdn/shop/products/WS002_7_800x.jpg?v=1679389045",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Plans or no plans, either way, this ditsy printed shirt will be your BFF! Ultra-soft, light, this
women's shirt from French Crown will elevate your look. What else can we say? It also got a regular
collar with button-through fastening.",1679389045
Gravel with Pumice Green Flared Dress,"2,597",Frenchcrown," Story Make a statement everywhere you head as you flaunt this stylish flared dress from French
Crown. This dress is both durable and low maintenance, making it an excellent choice for those who
want a fashionable dress that is easy to care for. Perfect for a variety of occasions, Style it with
minimal jewellery and a pair of heels to look stunning.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WD031_1_360x.jpg?v=1679379880, https://frenchcrown.in/cdn/shop/products/WD031_1_800x.jpg?v=1679379880, https://frenchcrown.in/cdn/shop/products/WD031_2_800x.jpg?v=1679379879, https://frenchcrown.in/cdn/shop/products/WD031_4_800x.jpg?v=1679379880, https://frenchcrown.in/cdn/shop/products/WD031_5_800x.jpg?v=1679379882, https://frenchcrown.in/cdn/shop/products/WD031_6_800x.jpg?v=1679379881, https://frenchcrown.in/cdn/shop/products/WD031_7_800x.jpg?v=1679379880, https://frenchcrown.in/cdn/shop/products/WD031_8_800x.jpg?v=1679379881, https://frenchcrown.in/cdn/shop/products/WD031_9_800x.jpg?v=1679379881",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Make a statement everywhere you head as you flaunt this stylish flared dress from French Crown. This
dress is both durable and low maintenance, making it an excellent choice for those who want a
fashionable dress that is easy to care for. Perfect for a variety of occasions, Style it with
minimal jewellery and a pair of heels to look stunning.",1679379880
Hazelnut Cream Subtle Sheen with Black Lapel Single Breasted Women's Suit,"8,497",Frenchcrown," Story This suit from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with a black lapel collar that adds a touch of exclusivity to its design.
Tailored using premium quality fabric, this suit is made using regular fit and is extremely
comfortable to wear.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_1_360x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_1_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_2_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_4_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_5_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_6_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_7_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST-11-BKL_CREAM_8_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST011-BKL_CREAM_9_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST011-BKL_CREAM_10_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST011-BKL_CREAM_11_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST011-BKL_CREAM_12_800x.jpg?v=1679115676, https://frenchcrown.in/cdn/shop/products/WST011-BKL_CREAM_13_800x.jpg?v=1679115676",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This suit from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with a black lapel collar that adds a touch of exclusivity to its design.
Tailored using premium quality fabric, this suit is made using regular fit and is extremely
comfortable to wear.",1679115676
Hazelnut Cream Subtle Sheen with Black Lapel Single Breasted Women's Blazer,"5,997",Frenchcrown," Story This blazer from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with a black lapel collar that adds a touch of exclusivity to its design.
Tailored using premium quality fabric, this blazer is made using regular fit and is extremely
comfortable to wear.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_1_360x.jpg?v=1679134771, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_1_800x.jpg?v=1679134771, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_2_800x.jpg?v=1679134770, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_4_800x.jpg?v=1679134771, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_5_800x.jpg?v=1679134769, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_6_800x.jpg?v=1679134770, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_7_800x.jpg?v=1679134770, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_8_800x.jpg?v=1679134769, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_9_800x.jpg?v=1679134769, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_10_800x.jpg?v=1679134768, https://frenchcrown.in/cdn/shop/products/WBL011-BKL_CREAM_11_800x.jpg?v=1679134768",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This blazer from the house of French Crown will for sure be on the wish list of any fashion
connoisseur. It comes with a black lapel collar that adds a touch of exclusivity to its design.
Tailored using premium quality fabric, this blazer is made using regular fit and is extremely
comfortable to wear.",1679134771
Camelot Pink Banjara Patchwork Printed Premium Cotton Shirt,"2,397",Frenchcrown," Story This women's cotton printed shirt is a great way to add a touch of style to any outfit. This
multiple print shirt from French Crown is tailored in 100% pure cotton. Women's printed shirts are
perfect for both casual and formal events, and can be dressed up or down depending on the occasion.
They look great with jeans, shorts, skirts, and dress pants, and can be paired with a variety of
accessories to complete the look. Cotton is a breathable, lightweight fabric that is comfortable to
wear year-round. It is also a great fabric for layering, allowing you to easily transition from one
season to the next.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS026-CC_1_360x.jpg?v=1679387278, https://frenchcrown.in/cdn/shop/products/WS026-CC_1_800x.jpg?v=1679387278, https://frenchcrown.in/cdn/shop/products/WS026-CC_2_800x.jpg?v=1679387278, https://frenchcrown.in/cdn/shop/products/WS026-CC_4_800x.jpg?v=1679387278, https://frenchcrown.in/cdn/shop/products/WS026-CC_5_800x.jpg?v=1679387278, https://frenchcrown.in/cdn/shop/products/WS026-CC_6_800x.jpg?v=1679387278, https://frenchcrown.in/cdn/shop/products/WS026-CC_7_800x.jpg?v=1679387277, https://frenchcrown.in/cdn/shop/products/WS026-CC_1_3525342e-67e3-40c1-99f7-ee25eb2fe82b_800x.jpg?v=1679387277, https://frenchcrown.in/cdn/shop/products/WS026-CC_2_032efcca-4839-4f08-a795-5294e792e2b9_800x.jpg?v=1679387277, https://frenchcrown.in/cdn/shop/products/WS026-CC_4_9a5a282a-59db-462f-93a0-1ee1ae6d16f4_800x.jpg?v=1679387277, https://frenchcrown.in/cdn/shop/products/WS026-CC_5_99787780-436b-4a01-9183-94dc18333792_800x.jpg?v=1679387277, https://frenchcrown.in/cdn/shop/products/WS026-CC_6_d10b271a-a86f-4a6f-8cd4-b7ff39466c55_800x.jpg?v=1679387277, https://frenchcrown.in/cdn/shop/products/WS026-CC_8_800x.jpg?v=1679387277",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"This women's cotton printed shirt is a great way to add a touch of style to any outfit. This
multiple print shirt from French Crown is tailored in 100% pure cotton. Women's printed shirts are
perfect for both casual and formal events, and can be dressed up or down depending on the occasion.
They look great with jeans, shorts, skirts, and dress pants, and can be paired with a variety of
accessories to complete the look. Cotton is a breathable, lightweight fabric that is comfortable to
wear year-round. It is also a great fabric for layering, allowing you to easily transition from one
season to the next.",1679387278
Jade Black Ditsy Printed Premium Cotton Shirt,"1,797",Frenchcrown," Story Make hot work days more relaxed and cozy with this ditsy printed chic shirt for women from
French Crown. Tailored using top notch breathable cotton material, this gorgeous mandarin collar
shirt features full sleeves and mother of pearl button fastening. You can also choose to go with
layering options.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WS017-M_1_360x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_1_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_2_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_3_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_4_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_5_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_1_b344adba-1269-4f57-b43d-1ba7a690643f_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_2_4afc33ad-bfbc-4106-8c00-bda7d2aa9016_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_4_8f2e56c4-b236-4d81-b0a8-d0d5eef2efbd_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_5_f23d0110-dff9-4cfe-95cb-85dade92a9be_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_6_4e14c291-ecc5-4b8d-82a9-40472b675820_800x.jpg?v=1679387709, https://frenchcrown.in/cdn/shop/products/WS017-M_6_800x.jpg?v=1679387709",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Make hot work days more relaxed and cozy with this ditsy printed chic shirt for women from French
Crown. Tailored using top notch breathable cotton material, this gorgeous mandarin collar shirt
features full sleeves and mother of pearl button fastening. You can also choose to go with layering
options.Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and
then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from
sustainable sources and therefore it is biodegradable. It can be blended with other fabrics.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile
Medium weight fabric. Made for all climates.",1679387709
Brandy Rose Pink Viscose Crop Top,"1,167",Frenchcrown," Story Make your evening more special by donning this stylish crop top from French Crown. It is made
of viscose material, which is known for its soft and flowing qualities, and features a sleeveless
design with a solid pink pattern. Wear it with denim shorts and sneakers and you are all set to take
on the world.",Women's,Women's Sale,"https://frenchcrown.in/cdn/shop/products/WTP022_1_360x.jpg?v=1679387342, https://frenchcrown.in/cdn/shop/products/WTP022_1_800x.jpg?v=1679387342, https://frenchcrown.in/cdn/shop/products/WTP022_2_800x.jpg?v=1679387341, https://frenchcrown.in/cdn/shop/products/WTP022_4_800x.jpg?v=1679387342, https://frenchcrown.in/cdn/shop/products/WTP022_5_800x.jpg?v=1679387342, https://frenchcrown.in/cdn/shop/products/WTP022_6_800x.jpg?v=1679387341, https://frenchcrown.in/cdn/shop/products/WTP022_7_800x.jpg?v=1679387342, https://frenchcrown.in/cdn/shop/products/WTP022_8_800x.jpg?v=1679387343, https://frenchcrown.in/cdn/shop/products/WTP022_9_800x.jpg?v=1679387343",Select Size,XS / 32|S / 34|M / 36|L / 38|XL / 40|XXL / 42,"Make your evening more special by donning this stylish crop top from French Crown. It is made of
viscose material, which is known for its soft and flowing qualities, and features a sleeveless
design with a solid pink pattern. Wear it with denim shorts and sneakers and you are all set to take
on the world.",1679387342
