title,price,brand,category,subcategory,imageurls,size,description,id,product_url
Alpine and Reno Brown Printed Premium Tencel Shirt,2995,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WS019_1.jpg?v=1700643615&width=1000, https://frenchcrown.in/cdn/shop/products/WS019-CC_2.jpg?v=1700643615&width=1000, https://frenchcrown.in/cdn/shop/products/WS019_2.jpg?v=1700629564&width=1000, https://frenchcrown.in/cdn/shop/products/WS019_4.jpg?v=1700629561&width=1000, https://frenchcrown.in/cdn/shop/products/WS019-CC_1.jpg?v=1700629561&width=1000, https://frenchcrown.in/cdn/shop/products/WS019_5.jpg?v=1700629561&width=1000, https://frenchcrown.in/cdn/shop/products/WS019-CC_4.jpg?v=1679387678&width=1000, https://frenchcrown.in/cdn/shop/products/WS019-CC_5.jpg?v=1679387678&width=1000, https://frenchcrown.in/cdn/shop/products/WS019-CC_6.jpg?v=1679387678&width=1000, https://frenchcrown.in/cdn/shop/products/WS019_6.jpg?v=1679387678&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","Make hot work days more relaxed and cozy with this printed chic shirt for women from French Crown. Tailored using natural fabric, this gorgeous regular collar shirt features full sleeves and mother of pearl button fastening. You can also choose to go with layering options. Fused collar and cuffs, collar stand and flat felled side seams provide structure and stability to all our shirts. Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from sustainable sources and therefore it is biodegradable. It can be blended with other fabrics. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile Medium weight fabric. Made for all climates. Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from sustainable sources and therefore it is biodegradable. It can be blended with other fabrics. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile Medium weight fabric. Made for all climates.",778442074,https://frenchcrown.in/products/alpine-and-reno-brown-printed-premium-tencel-shirt-a
Amber Brown Crop With Pleated Premium Cotton Top,1295,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WTP002_1.jpg?v=1700643633&width=1000, https://frenchcrown.in/cdn/shop/files/WTP002_2_b700d9dd-c9e6-453d-94a3-8b40ec33c3a6.jpg?v=1700643633&width=1000, https://frenchcrown.in/cdn/shop/products/WTP002_2.jpg?v=1691556024&width=1000, https://frenchcrown.in/cdn/shop/products/WTP002_4.jpg?v=1691556024&width=1000, https://frenchcrown.in/cdn/shop/products/WTP002_5.jpg?v=1691556024&width=1000, https://frenchcrown.in/cdn/shop/products/WTP002_6.jpg?v=1691556024&width=1000, https://frenchcrown.in/cdn/shop/products/WTP002_7.jpg?v=1691556024&width=1000, https://frenchcrown.in/cdn/shop/products/WTP002_8.jpg?v=1691556021&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","This Amber Brown Premium Cotton Crop Top is the perfect addition to your summer wardrobe. Made from high-quality cotton, this pleated crop top promises ultimate comfort and breathability. The rich amber brown colour adds a touch of sophistication, making it suitable for a range of occasions. Whether dressed up with a stylish jacket for a night out or paired with shorts for a casual daytime look, this crop top will keep you looking stylish and feeling confident. So why wait? Get your hands on this amazing Crop Top today! Our materials are a group of materials that can range from recycled or organic. Material Type : 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears. Medium weight fabric, ideal for all climates.",242248479,https://frenchcrown.in/products/amber-brown-crop-top-with-pleated-premium-cotton-a
Amber Brown Premium Cotton Crop Top,1295,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WTP001_1.jpg?v=1700643633&width=1000, https://frenchcrown.in/cdn/shop/files/WTP001_2_c80961be-5a0b-4503-8aeb-014548be1b95.jpg?v=1700643633&width=1000, https://frenchcrown.in/cdn/shop/products/WTP001_2.jpg?v=1691554489&width=1000, https://frenchcrown.in/cdn/shop/products/WTP001_4.jpg?v=1691554489&width=1000, https://frenchcrown.in/cdn/shop/products/WTP001_5.jpg?v=1691554489&width=1000, https://frenchcrown.in/cdn/shop/products/WTP001_6.jpg?v=1691554489&width=1000, https://frenchcrown.in/cdn/shop/products/WTP001_7.jpg?v=1691554487&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","This Amber Brown sleeveless Premium Cotton Crop Top is the perfect addition to your summer wardrobe. Made from high-quality cotton, this crop top promises ultimate comfort and breathability. The rich amber brown colour adds a touch of sophistication, making it suitable for a range of occasions. Whether dressed up with a stylish jacket for a night out or paired with shorts for a casual daytime look, this crop top will keep you looking stylish and feeling confident. So why wait? Get your hands on this amazing Crop Top today! Our materials are a group of materials that can range from recycled or organic. Material Type : 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears. Medium weight fabric, ideal for all climates.",977020923,https://frenchcrown.in/products/amber-brown-premium-cotton-crop-top-a
Amulet Green and White Printed Premium Cotton Crop Top,1995,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WTP064_1.jpg?v=1700643693&width=1000, https://frenchcrown.in/cdn/shop/files/WTP064_2_84295a8c-4ba7-4c3d-b681-341ddc653aae.jpg?v=1700643693&width=1000, https://frenchcrown.in/cdn/shop/products/WTP064_2.jpg?v=1691567965&width=1000, https://frenchcrown.in/cdn/shop/products/WTP064_4.jpg?v=1691567965&width=1000, https://frenchcrown.in/cdn/shop/products/WTP064_5.jpg?v=1691567965&width=1000, https://frenchcrown.in/cdn/shop/products/WTP064_6.jpg?v=1691567965&width=1000, https://frenchcrown.in/cdn/shop/products/WTP064_7.jpg?v=1691567964&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","Elevate your summer style with our Amulet Green and White Printed Premium Cotton Crop Top. This vibrant and trendy crop top features a captivating print in amulet green base, adding a playful and refreshing touch to your ensemble. Crafted from premium cotton, it offers comfort and breathability for those warm days. Stand out from the crowd with this chic and fashionable piece. Our materials are a group of materials that can range from recycled or organic. Material Type : 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears. Medium weight fabric, ideal for all climates.",506184916,https://frenchcrown.in/products/amulet-green-and-white-printed-premium-cotton-crop-top-c
Antique Beige Premium Cotton Dress,3895,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WD057_1.jpg?v=1700643708&width=1000, https://frenchcrown.in/cdn/shop/files/WD057_2_3b83a820-3d37-44eb-b927-dd878853c8da.jpg?v=1700643708&width=1000, https://frenchcrown.in/cdn/shop/products/WD057_2.jpg?v=1691563496&width=1000, https://frenchcrown.in/cdn/shop/products/WD057_4.jpg?v=1691563496&width=1000, https://frenchcrown.in/cdn/shop/files/WD057_5.jpg?v=1691563496&width=1000, https://frenchcrown.in/cdn/shop/files/WD057_6.jpg?v=1691563496&width=1000, https://frenchcrown.in/cdn/shop/products/WD057_7.jpg?v=1691563494&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","Step into vintage-inspired glamour with our Antique Beige Premium Cotton Dress. This trendy and unique piece features a blend of nostalgia and contemporary style. Crafted from premium cotton, it offers both comfort and sophistication. With its flattering silhouette and intricate details, this dress is the epitome of modern elegance. Make a statement and stand out from the crowd with this fashion-forward choice. Our materials are a group of materials that can range from recycled or organic. Material Type : 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears. Medium weight fabric, ideal for all climates.",268933011,https://frenchcrown.in/products/antique-beige-premium-cotton-dress-c
Antique Peach Pineapple Printed Premium Cotton Shirt,2595,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WS008_1.jpg?v=1700643715&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_2.jpg?v=1700643715&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_4.jpg?v=1690888244&width=1000, https://frenchcrown.in/cdn/shop/products/WS008-CC_4.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_5.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_6.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_7.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_8.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008-CC_1.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008-CC_2.jpg?v=1691655360&width=1000, https://frenchcrown.in/cdn/shop/products/WS008-CC_5.jpg?v=1690888244&width=1000, https://frenchcrown.in/cdn/shop/products/WS008-CC_6.jpg?v=1690888244&width=1000, https://frenchcrown.in/cdn/shop/products/WS008_9.jpg?v=1690888241&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","A women's printed shirt is a great way to add a touch of style to any outfit. This classic shirt from French Crown  is tailored in 100% pure cotton & comes with cute pineapple prints.Women's printed shirts are perfect for both casual and formal events, and can be dressed up or down depending on the occasion. They look great with jeans, shorts, skirts, and dress pants, and can be paired with a variety of accessories to complete the look. Cotton is a breathable, lightweight fabric that is comfortable to wear year-round. It is also a great fabric for layering, allowing you to easily transition from one season to the next. Fused collar and cuffs, collar stand and flat felled side seams provide structure and stability to all our shirts. 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears Premium mother-of-pearl buttons Medium weight fabric, ideal for all climates.",995574835,https://frenchcrown.in/products/antique-peach-pineapple-printed-premium-cotton-shirt-a
Asparagus Green Pleated Premium Cotton Crop Top,1295,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WTP016_1.jpg?v=1700643916&width=1000, https://frenchcrown.in/cdn/shop/files/WTP016_2_336cde2a-3913-4e99-91de-1ead687981d1.jpg?v=1700643916&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_2.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_4.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_5.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_6.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_7.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_8.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_9.jpg?v=1691557071&width=1000, https://frenchcrown.in/cdn/shop/products/WTP016_10.jpg?v=1691557069&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","This Asparagus Green pleated Premium Cotton Crop Top is the perfect addition to your summer wardrobe. Made from high-quality cotton, this crop top promises ultimate comfort and breathability. The rich green colour adds a touch of sophistication, making it suitable for a range of occasions. Whether dressed up with a stylish jacket for a night out or paired with shorts for a casual daytime look, this sleeveless crop top will keep you looking stylish and feeling confident. So why wait? Get your hands on this amazing Crop Top today! Our materials are a group of materials that can range from recycled or organic. Material Type : 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears. Medium weight fabric, ideal for all climates.",854491275,https://frenchcrown.in/products/asparagus-green-pleated-premium-cotton-crop-top-a
Asparagus Green Premium Cotton Crop Top,1295,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WTP015_1.jpg?v=1700643917&width=1000, https://frenchcrown.in/cdn/shop/files/WTP015_2_5e2995e7-314f-4732-b273-5593ed25fe3a.jpg?v=1700643917&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_2.jpg?v=1691556918&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_4.jpg?v=1691556918&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_5.jpg?v=1691556918&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_6.jpg?v=1691556918&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_7.jpg?v=1691556918&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_8.jpg?v=1691556918&width=1000, https://frenchcrown.in/cdn/shop/products/WTP015_9.jpg?v=1691556916&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","This Asparagus Green Premium Cotton sleeveless Crop Top is the perfect addition to your summer wardrobe. Made from high-quality cotton, this crop top promises ultimate comfort and breathability. The rich green colour adds a touch of sophistication, making it suitable for a range of occasions. Whether dressed up with a stylish jacket for a night out or paired with shorts for a casual daytime look, this sleeveless crop top will keep you looking stylish and feeling confident. So why wait? Get your hands on this amazing Crop Top today! Our materials are a group of materials that can range from recycled or organic. Material Type : 100 % Premium Cotton; Comfortable soft hand, good strength, Drapes well, Excellent color retention. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears. Medium weight fabric, ideal for all climates.",545412414,https://frenchcrown.in/products/asparagus-green-premium-cotton-crop-top-a
Asparagus Green Tiger Printed Premium Tencel Shirt,2595,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/products/WS047-M_1.jpg?v=1700643919&width=1000, https://frenchcrown.in/cdn/shop/products/W47-M-GR_2.jpg?v=1700643919&width=1000, https://frenchcrown.in/cdn/shop/products/WS047-M_2.jpg?v=1700629704&width=1000, https://frenchcrown.in/cdn/shop/products/WS047-M_4.jpg?v=1700629702&width=1000, https://frenchcrown.in/cdn/shop/products/W47-M-GR_1.jpg?v=1700629702&width=1000, https://frenchcrown.in/cdn/shop/products/WS047-M_5.jpg?v=1700629702&width=1000, https://frenchcrown.in/cdn/shop/products/W47-M-GR_4.jpg?v=1679385641&width=1000, https://frenchcrown.in/cdn/shop/products/W47-M-GR_5.jpg?v=1679385641&width=1000, https://frenchcrown.in/cdn/shop/products/W47-M-GR_6.jpg?v=1679385641&width=1000, https://frenchcrown.in/cdn/shop/products/WS047-M_6.jpg?v=1679385641&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","Uplift your low Monday blues by donning this elegant and sleek tiger stripes printed shirt from French Crown. This shirt is made using premium cotton fabric that will give you uninterrupted nine to five. Add a dash of style by pairing it up with colour-coordinating footwear and blue jeans. Throw on some gold studs to finish your outfit. Fused collar and cuffs, collar stand and flat felled side seams provide structure and stability to all our shirts. Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from sustainable sources and therefore it is biodegradable. It can be blended with other fabrics. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile Medium weight fabric. Made for all climates. Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from sustainable sources and therefore it is biodegradable. It can be blended with other fabrics. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile Medium weight fabric. Made for all climates.",495074715,https://frenchcrown.in/products/asparagus-green-tiger-printed-premium-tencel-shirt-a
Bianca Cream Quirky Printed Premium Cotton Jersey Sweatshirt,2195,French Crown,Womens,Womens Sale,"https://frenchcrown.in/cdn/shop/files/WTP-046_1.jpg?v=1700644335&width=1000, https://frenchcrown.in/cdn/shop/files/WTP-046_2_4bbfc6a4-8ae9-48c5-a1a4-d4c7bf05debc.jpg?v=1700644335&width=1000, https://frenchcrown.in/cdn/shop/files/WTP-046_2.jpg?v=1691561691&width=1000, https://frenchcrown.in/cdn/shop/files/WTP-046_4.jpg?v=1691561691&width=1000, https://frenchcrown.in/cdn/shop/files/WTP-046_5.jpg?v=1691561691&width=1000, https://frenchcrown.in/cdn/shop/files/WTP-046_6.jpg?v=1691561691&width=1000, https://frenchcrown.in/cdn/shop/files/WTP-046_7.jpg?v=1691561690&width=1000","XS / 32, S / 34, M / 36, L / 38, XL / 40, XXL / 42","Ladies, get ready to add a touch of effortless femininity to your wardrobe with this Bianca Cream Quirky Printed Premium Cotton Jersey Sweatshirt! Made from premium quality cotton jersey fabric, this sweatshirt is a perfect balance of comfort and style. The cream base color is beautifully complemented by the playful and quirky prints that grace the front and back of the sweatshirt, adding a whimsical touch to your look. 100 % Premium Cotton: Dense, Durable, Super-soft and Breathable. Responsibly Sourced Sustainable Fabrics and Dyes. Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it disappears WASH CARE: Machine wash cold, Tumble dry, Gentle cycle.",920913466,https://frenchcrown.in/products/bianca-cream-quirky-printed-premium-cotton-jersey-sweatshirt-b
