Product ID,Brand,Category,Solid By,Title,Price,Sizes,Description,Photo URLs,URL_Product
85777804,Groovee,T-Shirt Anime,Sold by: OUTLINED,OUTLINED  Sukuna Oversized Tee,"1,499",S|M|L|XL|XXL,"Boxy/Oversized fit t-shirts
100% Soft Combed Cotton
240 GSM FRENCH TERRY FABRIC
Side seamed
Single Jersey Fabric
Made in India","https://www.groovee.in/s/637b22156d77cd009523f663/65be31c38207f4d8c37ea92b/3924c4_b6f77adb4b7c441ba8042a3d1ebf5e89-mv2-1800x1800.png, https://www.groovee.in/s/637b22156d77cd009523f663/65be31c38207f4d8c37ea939/3924c4_a98ca869fdc14b87b7f273d44d129d28-mv2-1800x1800.png",https://www.groovee.in/product/outlined-sukuna-oversized-tee
84298395,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Naruto Seal Anime Tank Top,549,S|M|L|XL|XXL,"Description:-

Style:- Classic, Stylish, and Great regular fit guaranteed – every single time.

Unisex Fit: Perfect fit for both Men and Women.

Fabric:- This tank top is made of premium quality 100% Pure Cotton with advanced. Bio-washed and Super Fine Combing method. No shrinkage and cotton shagginess after wash.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness 

Design Brief:-  Best Anime Tank Tops Collection in India  ""Naruto Seal Anime Tank Tops"". seal down the power nine-tail beast Kurama with this awesome naruto Kurama seal tank top.
Wash Care:- Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be30ac9a92d978bb6b309f/3_828b1ad9-117e-4403-acd6-b0faccd000c6-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be30ac9a92d978bb6b30a0/1_c782c82d-7865-4a6e-ba44-9a43f7cb5986-1800x1800.jpg",https://www.groovee.in/product/fansarmy-naruto-seal-anime-tank-top
30581521,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Mikasa Ackerman Oversized Anime T-shirt,899,S|M|L|XL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Introducing the Captain Levi oversized t-shirt from Attack on Titan Season 4. This white t-shirt is made of premium 180 GSM bio-washed fabric, making it ultra-soft and comfortable to wear. The back features a stylish street-style print of Levi, showcasing his iconic character from the series. The front of the t-shirt features a captivating Levi eyes design in the middle chest, adding a touch of uniqueness to the t-shirt. The sleeves are designed with green color strips on both sides, giving it a trendy and stylish look. This t-shirt is a perfect addition to your wardrobe and an excellent way to showcase your love for Attack on Titan and Captain Levi. Get your hands on this must-have t-shirt and elevate your style game today! Wash Care:- Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be311f36839e7924b76a5c/zenitsutanktop-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be312036839e7924b76a61/31_0065583d-fd13-49e7-8c70-002dc43fd71f-1800x1800.jpg",https://www.groovee.in/product/fansarmy-mikasa-ackerman-oversized-anime-t-shirt
86070287,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Kanji X Goku T-shirt Combo,998,S|M|L|XL|XXL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Shop The Goku T-shirt Combo. The Best Dragon Ball Z Merchandise T-shirt Collection Available in India.   Wash Care:- Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be314c95bf8ec4daf5289b/gokut-shirt_1800x1800_055cbb65-51b5-4f9b-a829-c6a67206f702-480x480.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be314b95bf8ec4daf52890/gokut-shirt_1800x1800_aaf80585-2d4c-4f30-8aa6-a31bbb74ad03-480x480.jpg",https://www.groovee.in/product/fansarmy-kanji-x-goku-t-shirt-combo
65647723,Groovee,T-Shirt Anime,Sold by: OUTLINED,OUTLINED RUMBLING SWEATSHIRT,"1,599",S|M|L|XL|XXL,Unisex Regular Fit Sweatshirts 100% Combed Cotton 300 GSM Bio washed heavyweight fabric Fleece fabric Side-seamed Made in India,"https://www.groovee.in/s/637b22156d77cd009523f663/65be32780e01ffd864dd825f/3924c4_86331815c23d4950928bd932e855c315-mv2-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be32780e01ffd864dd8260/3924c4_cd624459124c46afb761cc83ca9537fe-mv2-1800x1800.png",https://www.groovee.in/product/outlined-rumbling-sweatshirt
24662598,Groovee,T-Shirt Anime,Sold by: OUTLINED,OUTLINED  The Heavenly Demon OVERSIZED Tee,"1,499",S|M|L|XL|XXL,"Boxy/Oversized fit t-shirts
100% Soft Combed Cotton
240 GSM FRENCH TERRY FABRIC
Side seamed
Single Jersey Fabric
Made in India","https://www.groovee.in/s/637b22156d77cd009523f663/65be31b6fabaaa78b47a9a7b/3924c4_01ea6bf355a84f87b00c5a0f0e48acd0-mv2-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be31b6fabaaa78b47a9a82/3924c4_64c337310cff42bcb8e8247e41949734-mv2-1800x1800.jpg",https://www.groovee.in/product/outlined-the-heavenly-demon-oversized-tee
11969255,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Tokyo Manji Oversized Hoodie,"2,199",S|M|L|XL,"Description



 Fabric
Richest Indian Cotton.Interior Fleece Fabric is quite gentle & soft on the skin.300 GSM.



Design
The Tokyo Manji Oversized Hoodie in white is the ultimate addition to your streetwear collection. Made of high-quality 350 GSM cotton fleece, this hoodie will keep you warm and comfortable all day long. The black printed sleeves and back print of the Tokyo Manji gang add a bold and edgy touch, while the purple chest print of the Tokyo Gang typo and symbol adds a pop of color. The hood of the hoodie features the iconic Tokyo Manji Print, making this hoodie a true statement piece. Perfect for layering over your favorite outfits, this hoodie is perfect for both men and women. Don't miss out on this must-have piece of streetwear. Order now and elevate your wardrobe


Product Details
Brushed interior for superior warmth and comfort.Bungee hood with adjustable drawstrings.Side pockets for essentials.Ribbed round-neck with comfortable ribbed sleeves.Ideal for moderate to heavy winter.




Origin
Crafted & Designed in India


Style Tips
Although Hoodies are versatile enough to pair with almost all kinds of apparel yet wear trek lowers below and complete the look with a messy hair-do.


Wash Care
Cold and gentle machine washDo not use bleach, fabric softenerDo not ironAir dry, or low tumble dry



Delivery & Return Policy
Get free shipping and quick delivery. Pay online and get Flat 7% Off on Prepaid Order. The return or exchange can be done within 10 days after delivery. Taking note of customers' care, we give contactless delivery throughout. For further information refer policy page","https://www.groovee.in/s/637b22156d77cd009523f663/65be310b8713e74ef7360fc5/3_d54c635b-7b1a-4113-8de3-16bb70ecfcc1-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be310b8713e74ef7360fc4/4_2dd662a4-1bc7-4632-b641-3ea9817d3d70-1800x1800.jpg",https://www.groovee.in/product/fansarmy-tokyo-manji-oversized-hoodie
91166256,Groovee,T-Shirt Anime,Sold by: OUTLINED,OUTLINED BATMANxROBIN Oversized Tshirt,"1,999",S|M|L|XL|XXL,Boxy/Oversized fit t-shirts 100% Soft Combed Cotton 240 GSM FRENCH TERRY FABRIC Side seamed Single Jersey Fabric Made in India,"https://www.groovee.in/s/637b22156d77cd009523f663/65be325e31c5e8c4e16d7835/3924c4_2a127cbe9c664ff5ba1199c3f667214b-mv2-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be325e31c5e8c4e16d7831/3924c4_17fb694e62da48ed9dc25b2ed7519b0d-mv2-1800x1800.jpg",https://www.groovee.in/product/outlined-batmanxrobin-oversized-tshirt
89530873,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Dio Brando Jojo Oversized Anime T-shirt,899,S|M|L|XL,"Description
Style
Regular Fit: Fits just right - not too tight, not too loose. 
Unisex Fit: Perfect fit for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Design Brief
Introducing the ultimate piece for anime fans and streetwear enthusiasts: the Dio Brando Jojo oversized t-shirt. Made from high-quality 180 GSM cotton bio washed fabric in a crisp white color, this t-shirt is as comfortable as it is stylish.
Featuring both sleeves adorned with the iconic Jojo symbol in a striking purple color, this shirt is sure to catch the eye of any anime fan. The front right chest showcases a bold ""Muda Muda"" typo and a chibi face design of the infamous Dio Brando, bringing his personality to life on your shirt.
But the real showstopper is the big Dio Brando print on the back of the shirt. With intricate detailing and bold, vivid purple coloring, this print will make a statement wherever you go. It's the perfect addition to any streetwear outfit, whether you're hitting up a convention or just running errands around town.
So if you're a true anime fan and streetwear aficionado, don't miss out on the Dio Brando Jojo oversized t-shirt. It's the perfect way to show off your love for this iconic series and its unforgettable characters
 Wash Care:- Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade","https://www.groovee.in/s/637b22156d77cd009523f663/65be31238713e74ef73612be/240-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be31238713e74ef73612c7/241-1800x1800.jpg",https://www.groovee.in/product/fansarmy-dio-brando-jojo-oversized-anime-t-shirt
96781669,Groovee,T-Shirt Anime,Sold by: FANSARMY,FANSARMY Ghost Of Uchiha Madara Oversize T-shirt,999,S|M|L|XL,"Description
Style
Over Size Fit: Fits loose. 
Unisex Fit: Perfectly style for both Men and Women.
Fabric
100% Cotton Single Jersey and bio-washed.
• Preshrunked • Super Combed Compact Yarn for soft feel • 60-degree Color Fastness Which Follows International Standards • Don’t Bleach & Wring • Dry in Shade
Style Brief
Dressing down has never been easier thanks to our oversized T-Shirts. We've got you covered with everything from off-work vibes to casual and sporty-cool looks. To complement out the slouchy look, pair your oversized T-Shirt with slim jeans or cycling shorts and lace-up sneakers.
Design Brief
Up your style and fandom game with ghost of uchiha - Madara oversize t-shirt. Shop now and add some coolness and power to your wardrobe. Fans Army is the only place in India where you can buy these awesome anime oversized T-shirts","https://www.groovee.in/s/637b22156d77cd009523f663/65be30b495bf8ec4daf5066c/fansarmymadaruchihaanimetshirtback-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be30b595bf8ec4daf506ac/fansarmymadaruchihaanimetshirtmain-1800x1800.jpg",https://www.groovee.in/product/fansarmy-ghost-of-uchiha-madara-oversize-t-shirt
