Product ID,Brand,Category,Sold By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
7608196349,Groovee,Jackets,Groovee,Fit: Baggy & Wide Leg|Fabric: 100% Cotton Denim,8TH: THE HOUSE OF TRANSFORMATION,2499.0,28|30|32|34|36|38|40,"Some pieces aren’t just worn—they’re felt. *8TH: The House of Transformation* is built for those who embrace change, power, and reinvention. Designed with bold textures and intricate details, this denim is more than fabric—it’s a statement of evolution.   
 Fabric & Feel : - 100% Cotton Denim – Heavyweight, structured, and built to last   - Softens over time, evolving with every wear—just like you   
   Design & Texture : - Screen & Puff Printing – A rich, textured effect that brings depth to the design   - Distinctive Wash & Finish – Crafted to make each piece unique   - Custom Hardware & Signature Detailing – Elevated elements for a bold look   
 Why 8TH? The 8th house in astrology represents transformation, power, and rebirth. This isn’t just denim—it’s a symbol of change, of stepping into your power and owning it.","https://groovee.in/cdn/shop/files/ad_1.jpg?v=1743740272, https://groovee.in/cdn/shop/files/story_ad_1.jpg?v=1743740272, https://groovee.in/cdn/shop/files/G-edit-1_3e906388-8c1e-4e63-b8a3-d5eaed14574b.jpg?v=1749894847, https://groovee.in/cdn/shop/files/G-edit-11_3a791542-42ce-47e0-963f-c874a5c692d5.jpg?v=1749894847, https://groovee.in/cdn/shop/files/G-edit-12_49574715-d95f-4de6-b81a-8925738e1b7b.jpg?v=1749894848, https://groovee.in/cdn/shop/files/G-edit-13_478dbf16-0a4b-49a3-a745-f69886962260.jpg?v=1749894847",https://groovee.in/collections/fresh-drop/products/8th-the-house-of-transformation?variant=50466649276738
0481576117,Groovee,Jackets,Groovee,Fit: loose fit|Fabric: 14 oz 100% Cotton Denim,All Eyes Denim,2499.0,28|30|32|34|36|38|40,"When no one’s watching, the truth comes out. This premium denim challenges you to face yourself, with the bold question "" Who are you when nobody’s watching "" running down one leg and a  striking all-over puff-print eyes design  on the other. Made with heavy weight denim and textured puff detailing, it’s streetwear built to stare back.","https://groovee.in/cdn/shop/files/ads_g2_ads_17.jpg?v=1757134070, https://groovee.in/cdn/shop/files/story_17.jpg?v=1757134070, https://groovee.in/cdn/shop/files/G2-Edit-29.jpg?v=1757134070, https://groovee.in/cdn/shop/files/G2-Edit-30.jpg?v=1757134070, https://groovee.in/cdn/shop/files/G2-Edit-31.jpg?v=1757134070, https://groovee.in/cdn/shop/files/G2-Edit-32.jpg?v=1757134070",https://groovee.in/collections/fresh-drop/products/all-eyes-denim?variant=51215591014722
7279066151,Groovee,Jackets,Groovee,Fit: Baggy fit with drop straight cut|Fabric: 100% Cotton Denim,Eagle Reign,2499.0,28|30|32|34|36|38|40,"You don’t need wings to fly—just the vision to rise above. Eagle Reign is a heavy statement in motion. A symbol of power, focus, and absolute dominance—puff-printed in full force across both legs. The oversized silhouette, rugged wash, and raw energy come together to say just one thing: you weren’t born to blend in. 
 Part of the OSORE Studios drop. Worn by few. Felt by all. 
 Baggy fit with drop straight cut 
 Signature  OSORE  Studios branding 
 Thick denim built.","https://groovee.in/cdn/shop/files/ad_27.jpg?v=1748805634, https://groovee.in/cdn/shop/files/story_ad_30.jpg?v=1748805634, https://groovee.in/cdn/shop/files/G-edit-222.jpg?v=1748805634, https://groovee.in/cdn/shop/files/G-edit-227.jpg?v=1748805634, https://groovee.in/cdn/shop/files/G-edit-223.jpg?v=1748805634, https://groovee.in/cdn/shop/files/G-edit-230.jpg?v=1748805634",https://groovee.in/collections/fresh-drop/products/eagle-reign?variant=50765835272514
8677583700,Groovee,Jackets,Groovee,Fit: Loose Fit|Fabric: TERRY COTTON,EVOLUTION COORD SET,2199.0,S / S|S / M|S / L|S / XL|M / S|M / M|M / L|M / XL|L / S|L / M|L / L|L / XL|XL / S|XL / M|XL / L|XL / XL,"A  Relaxed-Fit Coord  set featuring Street shorts and a Matching Hooded T-Shirt in crisp white. Designed for summer, the breathable fabric ensures all-day comfort, while bold screen and puff prints add texture and character. Perfect for lounging or casual outings, this set blends minimalism with statement details Fabric:  100% Cotton Terry, 280 GSM 
 Why this Fabric? Cotton terry offers a soft, absorbent, and breathable texture, making it ideal for all-day wear. It's 280 GSM weight perfectly balances durability and comfort, with a natural drape that adds an edgy look. Made from 100% cotton, it’s gentle on the skin and perfect for warm-weather styling. 
 Note: Now you can choose different sizes for the Hooded T-Shirt and Shorts of your Coord Set. 😊","https://groovee.in/cdn/shop/files/ads_74.jpg?v=1743344406, https://groovee.in/cdn/shop/files/st_68.jpg?v=1743344406, https://groovee.in/cdn/shop/files/white-co-ord-set-5.jpg?v=1743344406, https://groovee.in/cdn/shop/files/white-co-ord-set-6.jpg?v=1743344406, https://groovee.in/cdn/shop/files/white-co-ord-set-1.jpg?v=1743344406, https://groovee.in/cdn/shop/files/white-co-ord-set-2.jpg?v=1743344406",https://groovee.in/collections/fresh-drop/products/evolution-coord-set?variant=50437466652994
8865007192,Groovee,Jackets,Groovee,Fit: Oversized|Fabric: Banana crepe,Evolve: The Cosmic Shacket,1699.0,S|M|L|XL,"Meet the Cosmic Shacket: Your Connection to Cosmic Flow. 
 Feel the magic, power, joy (euphoria), and beautiful flow (synchronicity)  of life with the Cosmic Shacket. It’s a wearable reminder: focus on the  good, get more good back from the universe. Connect to the 'Universe Soul' energy. Wear it to embrace the magic, feel your power, and attract amazing things.","https://groovee.in/cdn/shop/files/ad_7.jpg?v=1744205403, https://groovee.in/cdn/shop/files/story_ad_12.jpg?v=1744205403, https://groovee.in/cdn/shop/files/edit--shirt-1a.jpg?v=1744205403, https://groovee.in/cdn/shop/files/edit--shirt-7.jpg?v=1744205403, https://groovee.in/cdn/shop/files/edit--shirt-3.jpg?v=1744205403, https://groovee.in/cdn/shop/files/edit--shirt-4.jpg?v=1744205403",https://groovee.in/collections/fresh-drop/products/evolve-the-cosmic-shacket?variant=50489780109634
0753651345,Groovee,Jackets,Groovee,Fit: loose|Fabric: 100%  cotton Denim,Fear No one Denim Track Pant,2499.0,28|30|32|34,"This pant has a relaxed, wide-leg fit  with an elastic waistband for comfort and flexibility . Bold red screen prints of expressive faces run along the leg, paired with the words Fear pushes you toward paths you’d never dare to follow. The slightly raw, imperfect print and washed finish give it a worn-in, street-ready look. Heavy, durable, and built to stand out.","https://groovee.in/cdn/shop/files/G2-Edit-5a_d4a811b6-ee5a-4fa8-b48d-87447e513204.jpg?v=1758252774, https://groovee.in/cdn/shop/files/G2-Edit-3_b07338c1-9247-49ac-8869-9a60a2713aaf.jpg?v=1758252774, https://groovee.in/cdn/shop/files/G2-Edit-4_9ce42cb2-7462-48d6-a433-4024a2839c14.jpg?v=1758252774, https://groovee.in/cdn/shop/files/G2-Edit-6_49a10906-d0f9-43e4-8542-a6f9abdbd948.jpg?v=1757395772, https://groovee.in/cdn/shop/files/G2-Edit-7_2c24ce8a-ddea-495c-b922-9f0daeb2b76c.jpg?v=1757395772, https://groovee.in/cdn/shop/files/G2-Edit-8_ffe66690-ca6c-4162-ba8a-4ac17220c1d4.jpg?v=1757395772",https://groovee.in/collections/fresh-drop/products/fear-no-one-denim-track-pant?variant=51266721710402
1245623160,Groovee,Jackets,Groovee,Fit: Oversized|Fabric: Terry Cotton 240 GSM,Gold Rush Jersey (Blue stripe),1199.0,S|M|L|XL,No description available,"https://groovee.in/cdn/shop/files/blu-cat-1-dp.jpg?v=1774275050, https://groovee.in/cdn/shop/files/blu-cat-2.jpg?v=1774275050, https://groovee.in/cdn/shop/files/blu-cat-2a.jpg?v=1774275051, https://groovee.in/cdn/shop/files/blu-cat-3-dp.jpg?v=1774275050, https://groovee.in/cdn/shop/files/blu-cat-4.jpg?v=1774275051, https://groovee.in/cdn/shop/files/blu-cat-4a.jpg?v=1774275050",https://groovee.in/collections/fresh-drop/products/gold-rush-jersey-blue-stripe?variant=52669446783298
9041000285,Groovee,Jackets,Groovee,"Fit: oversize fit|Fabric: Thick premium cotton, 240 GSM",Gold Rush Jersey (Red stripe),1199.0,S|M|L|XL,"Classic football jersey energy, rebuilt with Concept Groove’s signature style. Two colourways — one with a bold red stripe, the other with a deep blue stripe — cut through the black base, while golden Concept Groove branding makes the front pop. A small High Tribe emblem sits between chest and shoulder, hinting at its roots. Across the back, Top Dawg stretches wide above an oversized 07, bringing attitude and presence to every angle. Designed for those who play life like it’s always match day.","https://groovee.in/cdn/shop/files/DSC04920_01ad8463-3229-4e5d-9c79-463cf1363049.jpg?v=1759759050, https://groovee.in/cdn/shop/files/rn-image_picker_lib_temp_3ff8ca88-494c-427f-b16e-351fce371fba.jpg?v=1773073636, https://groovee.in/cdn/shop/files/DSC04929_1395004e-e8ff-4e5c-9502-f61727ca089f.jpg?v=1773073636, https://groovee.in/cdn/shop/files/DSC04935_f830c8d2-5121-4a30-8a05-38b8c47993c6.jpg?v=1773073636, https://groovee.in/cdn/shop/files/DSC04934_6c2f1c7f-99ee-413d-bf0b-20eb47f88ce2.jpg?v=1773073636, https://groovee.in/cdn/shop/files/DSC04931_65f4c589-fafa-4314-a9fe-f5f3ff659d9f.jpg?v=1773073636",https://groovee.in/collections/fresh-drop/products/gold-rush-jersey-red-and-blue-stripe?variant=51373122421058
3389017679,Groovee,Jackets,Groovee,Fabric: 100% cotton Denim,Lost Youth Jorts,2299.0,28|30|32|34|36,"A pocket with a flap sits on one leg,  printed with the words Lost Youth. The other side carries a large spider web  — symbolising the youth’s soul trapped in four walls built by their own society. The wash elements give the fabric a touch of rawness, making the print feel imperfect in the same way life is.  Crafted from sturdy cotton denim , these jorts combine meaning, function, and comfort, finished with screen printing designed to age naturally over time.","https://groovee.in/cdn/shop/files/ads_g2_ads_7.jpg?v=1757145478, https://groovee.in/cdn/shop/files/story_7.jpg?v=1757145478, https://groovee.in/cdn/shop/files/G2-Edit-19dp.jpg?v=1757145478, https://groovee.in/cdn/shop/files/G2-Edit-20.jpg?v=1757145478, https://groovee.in/cdn/shop/files/G2-Edit-20a.jpg?v=1757145478, https://groovee.in/cdn/shop/files/G2-Edit-21.jpg?v=1757145478",https://groovee.in/collections/fresh-drop/products/lost-youth-jorts?variant=51215663595842
3820815153,Groovee,Jackets,Groovee,Fit: OVERSIZED,MERAKI MODE ALL-WEATHER T-SHIRT,1799.0,S|M|L|XL,"Unmask. Break free. Be real. This oversized all-weather full-sleeve tee is a bold ode to self-expression. The front screams DITCH THE LAYERS with trippy visuals of fake faces tearing apart — revealing the real you. Down below, a textured patch narrates the soul of MERAKI — doing everything with soul and zero fucks about opinions. 
 Turn around, and the back tells a story — 3D-depth trees stand tall with the quote: “The secret of life is to waste time in ways that you like.” A reminder to live wild, free, and proud. 
 Cut from utlra-smooth, luxe all-weather fabric, it feels premium yet effortless — perfect for any season, any scene. 
 Style tip: Rock it with baggy cargos, sneakers, and a chain for that chill, offbeat streetwear edge. 
 Ditch the world, not your vibe.","https://groovee.in/cdn/shop/files/ads_13_8084e15e-e191-4162-994b-8aa5ec0f41bd.jpg?v=1761323530, https://groovee.in/cdn/shop/files/st_16.jpg?v=1761323530, https://groovee.in/cdn/shop/files/CG-JR-70-dp.jpg?v=1761323530, https://groovee.in/cdn/shop/files/CG-JR-80a.jpg?v=1761323530, https://groovee.in/cdn/shop/files/CG-JR-80-dp.jpg?v=1761323530, https://groovee.in/cdn/shop/files/CG-JR-81-dp.jpg?v=1761323530",https://groovee.in/collections/fresh-drop/products/meraki-mode-all-weather-t-shirt?variant=51373057704258
