Product ID,Brand,Category,Solid By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
27282932,Groovee,Oversized T-shirt Mens Women & Male,Sold by: FUGAZEE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: KNITTED COTTON FABRIC
",FUGAZEE Black Love Graphic Oversized Tshirt,"1,499",S|M|L|XL|XXL,"This FUGAZEE Black Love Graphic Oversized Tshirt is perfect for any stylish man. It is made from knitted cotton fabric and features a classic black color. The bold graphic design on the front adds a modern touch to the t-shirt, making it perfect for any casual look.","https://www.groovee.in/s/637b22156d77cd009523f663/65be2eff9a92d978bb6add99/1-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2efe9a92d978bb6add98/2-1800x1800.jpg",https://www.groovee.in/product/fugazee-black-love-graphic-oversized-tshirt
14752032,Groovee,Oversized T-shirt Mens Women & Male,Sold by: INSANITY,"Color: BLACK
Washcare: HAND WASHING IS SUGGESTIVE. FOR THE FIRST WASH, WE RECOMMEND WASHING IT SEPARATELY. AVOID BLEACH AND DON'T IRON DIRECTLY ON THE PRINT.
Fabric: 100% COTTON - 180 GSM
",Insanity Unisex Black Insane World Oversized T-Shirts,"1,499",Out of stock,"MODEL - S - 5'5
Fabric: 100% Cotton, 180 gsm, Bio-washed
Unisex
Unleash the madness in style with our Insane World oversized t-shirt! Made from premium quality material, this tee is designed to provide ultimate comfort while keeping you looking stylish at the same time.
The oversized fit and cool graphic design create a statement look that is sure to turn heads wherever you go. The breathable fabric ensures that you stay comfortable all day long. Get ready to make a bold statement with Insane World - the oversized t-shirt that is both comfortable and stylish!
Made In India
Wash Care: Wash the t-shirt inside-out by hand and avoid bleach or softeners. View the wash care label for further information.","https://www.groovee.in/s/637b22156d77cd009523f663/65be2ed5b85405c54b239704/sxcc-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2ed5b85405c54b239718/dfffd-1800x1800.jpg",https://www.groovee.in/product/insane-world-black-
09552099,Groovee,Oversized T-shirt Mens Women & Male,Sold by: AILLING ARCH,"Color: WHITE
Washcare: MACHINE WASH GENTLE
Fabric: 100% COTTON BIO WASHED , 210GSM
",AILLING ARCH-THE KING PLAYS  📾Unisex Oversized T-Shirts,"1,199",S|M|L|XL,"Fabric: 100% Cotton Bio washed , 210gsm
Color: White
Fit: Oversized
Pattern: Printed
Print Area: Chest & Back
Wash care: Machine wash Gentle","https://www.groovee.in/s/637b22156d77cd009523f663/65be2fe61cd316c54460ed5b/utgufhvcuy-1800x1800.png, https://www.groovee.in/s/637b22156d77cd009523f663/65be2fe61cd316c54460ed5c/f-nfg-b-f-hy-1800x1800.png",https://www.groovee.in/product/the-king-plays
10195018,Groovee,Oversized T-shirt Mens Women & Male,Sold by: MADZEE,"Color: BLACK
Washcare: REVERSE WASH ONLY
Fabric: COTTON TERRY, 240 GSM
",MADZEE Dawg Stay Outta My Territory Ovesized T shirt - 240 GSM 100% TERRY COTTON & PUFF PRINT,"2,599",S|M|L|XL|XXL,"240 GSM
100% COTTON TERRY FABRIC
PUFF PRINT - DAWG & MADZEE
HD SCREEN PRINT DOGS","https://www.groovee.in/s/637b22156d77cd009523f663/65e88fe8cbfb5996dd952ba9/groove-edit-23-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65e88fe820619b9773e9e665/groove-edit-24-1800x1800.jpg",https://www.groovee.in/product/madzee-dawg-stay-outta-my-territory-ovesized-t-shirt-240-gsm-100percent-terry-cotton-and-puff-print-1
22167854,Groovee,Oversized T-shirt Mens Women & Male,Sold by: GENZESTER,"Washcare: HAND WASH WITH CARE
Fabric: 100% COTTON
",Genzester Megumi Oversized T-shirt,"1,499",XS|S|M|L|XL|XXL,"240 GSM 
100% Cotton
 Super Combed
 Pre Shrunk
 Bio Washed 
Lycra Ribbed
 Neck Unisex Regular Fit","https://www.groovee.in/s/637b22156d77cd009523f663/65c3359b94376d0f80081547/genzester-28-f-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65c335931fc1bc395bbf41a1/genzester-28-b-1800x1800.jpg",https://www.groovee.in/product/genzester-megumi-oversized-t-shirt
13794500,Groovee,Oversized T-shirt Mens Women & Male,Sold by: FUGAZEE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: LIGHT WEIGHT WOLLEN FABRIC
",FUGAZEE Black Textured Knit Polo Tshirt,"1,499",S|M|L|XL|XXL,"This FUGAZEE Black Textured Knit Polo Tshirt is perfect for making a statement. This oversized t-shirt in classic black color is crafted from light weight wollen fabric, giving it a cool and comfortable feel. Make a fashion statement with this t-shirt.","https://www.groovee.in/s/637b22156d77cd009523f663/65be2eea64a2114ef058636b/1-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2eea64a2114ef0586366/3-1800x1800.jpg",https://www.groovee.in/product/fugazee-black-textured-knit-polo-tshirt
45121288,Groovee,Oversized T-shirt Mens Women & Male,Sold by: ALIENSCRIB,"Color: BLACK
Washcare: GENTLE WASH
Fabric: 100% FRENCH TERRY  COTTON
",Alienscrib Legacy t-shirt-100% French Terry Cotton,"2,399",XS|S|M|L,"This item is unisex
Body fit
High Neck rib
Aliens Crib branding puff print on the front
Made in India
Dry Cleaning
Material: 100% French Terry Cotton
GSM:240","https://www.groovee.in/s/637b22156d77cd009523f663/65f15910967a28e19fc1c7bd/50-1800x1800.png, https://www.groovee.in/s/637b22156d77cd009523f663/65f1592f3b8044aa78eb9b57/52-1800x1800.png",https://www.groovee.in/product/alienscrib-legacy-t-shirt-100percent-french-terry-cotton
05558334,Groovee,Oversized T-shirt Mens Women & Male,Sold by: AILLING ARCH,"Color: WHITE
Washcare: MACHINE WASH GENTLE
Fabric: 100% COTTON BIO WASHED , 210GSM
",AILLING ARCH-F^CK YOU 🖕 Unisex Oversized T-Shirts,"1,199",S|M|L|XL,"Fabric: 100% Cotton Bio washed , 210gsm
Color: White & Black
Fit: Oversized
Pattern: Printed
Print Area: Chest & Back
Wash care: Machine wash Gentle","https://www.groovee.in/s/637b22156d77cd009523f663/65be2fe68a14cf7925370cfa/back-view-mockup-of-a-man-wearing-an-oversized-t-shirt-m25216-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2fe78a14cf7925370d0e/oversized-t-shirt-mockup-featuring-a-man-with-a-90s-style-m25214-1--1800x1800.png",https://www.groovee.in/product/f-ck-you
53251676,Groovee,Oversized T-shirt Mens Women & Male,Sold by: GENZESTER,"Washcare: HAND WASH WITH CARE
Fabric: 100% COTTON
",Genzester Deadly  Oversized T-shirt,"1,499",XS|S|M|L|XL|XXL,"240 GSM 
100% Cotton
 Super Combed
 Pre Shrunk
 Bio Washed 
Lycra Ribbed
 Neck Unisex Regular Fit","https://www.groovee.in/s/637b22156d77cd009523f663/65c329eea883575a9fedb7d0/genzester-33-f-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65c329e91bdaf81021022596/genzester-33-b-1800x1800.jpg",https://www.groovee.in/product/genzester-deadly-oversized-t-shirt
05520501,Groovee,Oversized T-shirt Mens Women & Male,Sold by: MADZEE,"Color: BLACK & RED
Washcare: HAND WASH/MACHINE WASH
Fabric: 100% COTTON
","The Bull Oversized T shirt  (GREY,BLACK) - FRENCH TERRY COTTON 240 GSM & PUFF PRINT","1,999",XS|S|M|L|XL|XXL,"Unisex
240 GSM
Made in India
Soft, Breathable, and Oversized Fit","https://www.groovee.in/s/637b22156d77cd009523f663/65e87c2cf23a1d6537199c9a/groove-edit-7-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65e87c2b06c1c7c88c10fce7/groove-edit-6-1800x1800.jpg",https://www.groovee.in/product/the-bull-oversized-t-shirt-grey-black-french-terry-cotton-240-gsm-and-puff-print
