Product ID,Brand,Category,Solid By,Product Detail,Title,Price,Sizes,Description,Photo URLs,URL_Product
94186417,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f450e01ffd864dcdadf/img_0651-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f460e01ffd864dcdae1/img_0647-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-mb4v2ch
42853214,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: COTTON RAYON
Occasion: CASUAL WEAR
",Ennoble Black Casual Printed Shirt for Men,"2,499",S|M|L,"This Ennoble Black Casual Printed Shirt for Men is made of Cotton Rayon and is the perfect blend of style and comfort. The black color of this shirt is sure to make you look stylish and the casual print adds a unique touch. Whether you're headed to the office or out on the town, this shirt is sure to keep you looking your best.","https://www.groovee.in/s/637b22156d77cd009523f663/65be2f37b85405c54b23a333/img_1263-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f36b85405c54b23a323/img_1268-1800x1800.jpg",https://www.groovee.in/product/ennoble-black-casual-printed-shirt-for-men-1
32911535,Groovee,Shirts,Sold by: ENNOBLE,"Color: GREY
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e858713e74ef7356fbe/img_3533-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e858713e74ef7357004/img_3532-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-52
64918122,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLUE
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e4a215925d865108d0b/img_3605-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e4a215925d865108d0d/img_3602-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-92
88307280,Groovee,Shirts,Sold by: ENNOBLE,"Color: WHITE
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f4a0e01ffd864dcdbcc/img_0228-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f4a0e01ffd864dcdbcb/img_0224-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-1xru2ch
60723935,Groovee,Shirts,Sold by: ENNOBLE,"Color: GOLD
Washcare: MACHINE WASH
Fabric: COTTON RAYON
Occasion: CASUAL WEAR
",Ennoble Khaki Casual Printed Shirt for Men,"2,499",S|M|L,"This Ennoble Khaki Casual Printed Shirt for Men is a must-have for any wardrobe. Crafted from a cotton-rayon blend, it is lightweight and comfortable. It features a classic gold hue with a printed pattern, making it perfect for any casual occasion.","https://www.groovee.in/s/637b22156d77cd009523f663/65be2f3d36839e7924b705a3/img_1182-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f3c36839e7924b70540/img_1193-1800x1800.jpg",https://www.groovee.in/product/ennoble-khaki-casual-printed-shirt-for-men
29296683,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLACK
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e74fabaaa78b479e5da/img_4052-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e74fabaaa78b479e5d9/img_4047-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-62
42722260,Groovee,Shirts,Sold by: ENNOBLE,"Color: WHITE
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f4e9a92d978bb6aea76/img_0403-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f4e9a92d978bb6aea86/img_0398-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-r6lu2ch
18109101,Groovee,Shirts,Sold by: ENNOBLE,"Color: GREEN
Washcare: MACHINE WASH
Fabric: COTTON RAYON
Occasion: CASUAL WEAR
",Ennoble Green Casual Printed Shirt for Men,"2,499",S|M|L,This Ennoble Green Casual Printed Shirt for Men is made of a lightweight blend of cotton and rayon for all-day comfort. Its fresh green shade and vibrant printed pattern make it perfect for casual occasions.,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2f2d215925d86510b05b/img_1062-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2f2d215925d86510b058/img_1072-1800x1800.jpg",https://www.groovee.in/product/ennoble-green-casual-printed-shirt-for-men-3
63741638,Groovee,Shirts,Sold by: ENNOBLE,"Color: BLUE
Washcare: MACHINE WASH
Fabric: COTTON
Occasion: CASUAL WEAR
",ENNOBLE 100% COMBED ORGANIC COTTON HAND TIE AND DYE ROUND NECK HALF SLEEVE T-SHIRT,"2,699",S|M|L|XL,No description available,"https://www.groovee.in/s/637b22156d77cd009523f663/65be2e5fe48113d8e4ce404f/img_3878-1800x1800.jpg, https://www.groovee.in/s/637b22156d77cd009523f663/65be2e60e48113d8e4ce405d/img_3871-1800x1800.jpg",https://www.groovee.in/product/ennoble-100percent-combed-organic-cotton-hand-tie-and-dye-round-neck-half-sleeve-t-shirt-79
