ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
12637742,Atulya sandalwood soap - 300gm (pack of 4),Atulya,596,BODY CARE,BODY CARE,"1,104","This item: atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya mix fruit soap - 75 gm
Sale price: 90
Atulya lemon soap - 300gm (pack of 4)
Sale price: 358
","Atulya sandalwood soap is prevalent for treating various skin related issues including acne, sunburn, blemishes and premature ageing. infused with essential oil, this natural handmade soap deeply cleanses the skin, improves skin tone, reduces blemishes and removes suntan.

it helps improve skin elasticity and keep skin well-toned and firm. 
it helps enhance the complexion of the skin and improve skin elasticity.
it keeps skin healthy and glowing by removing suntan and sunburns.
it removes excess oil and moisturizes your skin to give rejuvenated youthful skin.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Sandalwood
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/Artboard1copy.jpg?v=1701857273&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_ee2c3b99-df5b-441d-8f3b-2aa0aef26dc5.jpg?v=1701857272&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_e76197ed-f025-4769-bd76-3e9c2876eae0.jpg?v=1701857271&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_7e6404a0-ab65-4813-b539-c46219ff3b22.jpg?v=1701857270&width=1080"
57288456,Atulya chandan haldi soap (pack of 4),Atulya,596,BODY CARE,BODY CARE,"1,312","This item: atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya rose water soap (pack of 4)
Sale price: 328
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
","Atulya chandan & haldi soap consists of two of the most powerful ingredients in ayurveda that helps improve the overall skin texture while making skin healthy and glowing. the combination nourishes and heals skin, making it free from any infection. 

this natural handmade soap protects and purifies your skin by making it healthy.
it helps reduce the visibility of blemishes, fine lines, and wrinkles.
this soap rejuvenates dull skin and helps improve skin tone.
it protects the skin from external damage and naturally brightens the skin.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Chandan
  & Haldi
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-01.jpg?v=1690615545&width=1080, https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-02.jpg?v=1690615545&width=1080, https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-03.jpg?v=1690615546&width=1080, https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-04.jpg?v=1690615546&width=1080"
54076350,Atulya rejuvenating rose water soap - handmade soap with natural essential oils,Atulya,149,BODY CARE,BODY CARE,425,"This item: atulya rejuvenating rose water soap - handmade soap with natural essential oils
Sale price: 111
Atulya detoxifying lemon soap - handmade soap with natural essential oils (125 gm)
Sale price: 111
Atulya nourishing chandan haldi soap - handmade soap with natural essential oils (125 gm)
Sale price: 111
Atulya mix fruit soap - 75 gm
Sale price: 90
","Atulya rose water soap is one of the natural skin toner and cleanser.the soothing fragrance acts as a cooling agent and helps moisturize the skin for a longer span.
why it's good to use :

helps in smoothing the skin effectively, providing natural refreshment
helps in deep cleansing of the dead skin to offer soft & glowing skin
helps reduce wrinkles and blemishes, and tighten pores
helps detoxify skin and keeps it hydrated and moisturized",,https://myatulya.com/cdn/shop/products/RoseSoapA_ContentNew-01.jpg?v=1639803010&width=1080
46262948,Atulya rose water soap (pack of 4),Atulya,596,BODY CARE,BODY CARE,"1,312","This item: atulya rose water soap (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
","Atulya rose water soap is a natural skin toner and cleanser that deeply hydrates your skin, making it soft and supple. it has a soothing fragrance that revitalizes your mind and acts as a cooling agent for calming skin irritation and inflammation. this natural handmade soap helps moisturize your skin, tighten pores, reduce blemishes, and fight early signs of aging.
 

this handmade soap with essential oils gently cleanses your skin, keeping it fresh all day long.
it gently removes dead skin to offer soft & glowing skin.
it helps reduce wrinkles, and blemishes, and tighten pores.
it detoxifies the skin and keeps it hydrated and moisturized for a long time.
free from harsh chemicals like paraben and mineral oil, this soap suits all skin types.","Valley
  Rose
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/Artboard1copy2.jpg?v=1701856839&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_a8c5c17d-ef84-4543-8058-2d8ae92c991e.jpg?v=1701856840&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_93360f85-1b9c-4928-b86d-759f976c3571.jpg?v=1701856841&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_a176336d-3d2d-4c7c-a2b4-5089c4cb1c8b.jpg?v=1701856839&width=1080"
76608327,Atulya lemon soap - 300gm (pack of 4),Atulya,596,BODY CARE,BODY CARE,"1,342","This item: atulya lemon soap - 300gm (pack of 4)
Sale price: 358
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
","Atulya lemon soap is enriched with the goodness of vitamin c which helps in revitalizing and detoxifying the skin, making it smooth and refreshing throughout the day. this soap helps improve the overall skin tone by reducing tanning and pigmentation. also, it maintains the ph balance of the skin. 

this natural handmade soap has citrus goodness and antioxidant properties that provide endless benefits to your skin.
it helps improve the overall skin tone by reducing tanning and pigmentation.
this soap with natural essential oils helps maintain the ph balance of the skin.
it deeply cleanses and detoxifies the skin by making it healthy.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Lemongrass
  extracts
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/Artboard1copy5.jpg?v=1701855922&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_167cb344-3dfc-49ef-b9d7-b3a811c9c707.jpg?v=1701855920&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_60665f13-49f6-495a-b3ab-7e1096e258ac.jpg?v=1701855921&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_71197ba2-cae0-42e8-b537-65e599b05c98.jpg?v=1701855921&width=1080"
53594805,Atulya neem & tulsi soap - 125gm,Atulya,249,BODY CARE,BODY CARE,612,"Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya mix fruit soap - 75 gm
Sale price: 90
Atulya micellar water coconut 100ml
Sale price: 194
","Atulya neem & tulsi soap has excellent medicinal properties that make it a great healer. rich in antibacterial and antioxidant properties, this soap helps treat acne and skin infections by making skin healthy. it mildly exfoliates the skin to remove dirt and pollutants. 

this natural handmade soap is rich in antibacterial and antioxidant properties. 
regular use of this non-drying soap helps treat acne and skin infections.
this soap acts as a natural skin toner as it helps reduce tanning.
it mildly exfoliates the skin to remove dirt and pollutants. 
free from harsh chemicals like paraben and sulphate, this soap suits all skin types.",,"https://myatulya.com/cdn/shop/files/Neem_TulsiHandmadeSoapA_Content-AT-01.jpg?v=1690616266&width=1080, https://myatulya.com/cdn/shop/files/Neem_TulsiHandmadeSoapA_Content-AT-02.jpg?v=1690616267&width=1080, https://myatulya.com/cdn/shop/files/Neem_TulsiHandmadeSoapA_Content-AT-03.jpg?v=1690616267&width=1080, https://myatulya.com/cdn/shop/files/Neem_TulsiHandmadeSoapA_Content-AT-04.jpg?v=1690616268&width=1080"
97293189,Atulya mix fruit soap - 75 gm,Atulya,149,BODY CARE,BODY CARE,836,"This item: atulya mix fruit soap - 75 gm
Sale price: 90
Atulya orange & lemongrass soap - 75gm
Sale price: 90
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
","Atulya mix fruit soap has strong therapeutic and cleansing properties that makes skin healthy, clean and glowing. this natural handmade soap with essential oils rejuvenate your skin, removes dead skin cells, control excess oil production, and makes skin naturally glowing. 

it helps remove excess oil, dirt, dead skin cells, and treats skin infection.
this soap deeply cleanses and detoxifies the skin.
it has anti-ageing and antioxidant properties which improves the health of the skin making it soft and smooth.
it helps reduce the visibility of dark spots, hyperpigmentation, signs of ageing like fine lines and wrinkles.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Mix
  Fruits
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/22.jpg?v=1701858168&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_faca00ca-d552-4448-a3b6-09e1b0fec11c.jpg?v=1701858166&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_1ee2e15c-0be2-4fda-ae28-6545f20d6429.jpg?v=1701858166&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_612b77a7-794a-4873-b0b5-5063295c962f.jpg?v=1701858167&width=1080"
32653748,Atulya sandalwood soap (value pack) 500gm,Atulya,596,BODY CARE,BODY CARE,"1,118","This item: atulya sandalwood soap (value pack) 500gm
Sale price: 447
Atulya orange & lemongrass soap (value pack)
Sale price: 387
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
Atulya honey lip balm for hydrating lips - 5gm
Sale price: 142
","Atulya sandalwood soap is prevalent for treating various skin related issues including acne, sunburn, blemishes and premature ageing.                                          
why it’s good to use:

helps improve skin elasticity and keep skin well-toned and firm
helps enhance the complexion of skin and gets rid of dark circles
keep skin healthy and glowing. remove suntan and reduce sunburns
removes excess oil and moisturize your skin to give rejuvenated youthful skin",,"https://myatulya.com/cdn/shop/products/SandalwoodSoappackof4.jpg?v=1645011132&width=1080, https://myatulya.com/cdn/shop/products/SandalwoodSoapA_ContentNew-02_58db45f4-c48d-4954-937d-7ff93723f373.jpg?v=1645011170&width=1080, https://myatulya.com/cdn/shop/products/SandalwoodSoapA_ContentNew-03_e8061da6-7e72-42c5-8ea7-22f020a9c2e7.jpg?v=1645011191&width=1080, https://myatulya.com/cdn/shop/products/SandalwoodSoapA_ContentNew-04_58338e53-65bb-4ea3-b5a1-7baa8675806a.jpg?v=1645011219&width=1080"
86640634,Atulya aloe vera soap - 300 gm (pack of 4),Atulya,596,BODY CARE,BODY CARE,"1,342","This item: atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya rose water soap (pack of 4)
Sale price: 328
Atulya lemon soap - 300gm (pack of 4)
Sale price: 358
","Atulya aloe vera soap has excellent skin hydrating properties which help calm skin irritation and inflammation. the antibacterial properties of aloe vera relieve itchiness, soothe sunburn and nourish dry skin. also, it improves the skin’s elasticity, controls acne, and reduces the visibility of fine lines & wrinkles.

this aloe vera soap has anti-inflammatory properties that calm skin irritation & inflammation.
it helps improve skin elasticity and fights early signs of ageing like fine lines and wrinkles.
it helps lighten the scars and blemishes while controlling the occurrence of acne and breakouts.
this soap helps maintain the ph balance of the skin.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Aloe
  Vera
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-01.jpg?v=1690624916&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-02.jpg?v=1690624916&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-03.jpg?v=1690624915&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-04.jpg?v=1690624915&width=1080"
41011351,Atulya orange & lemongrass soap - 75gm,Atulya,149,BODY CARE,BODY CARE,836,"This item: atulya orange & lemongrass soap - 75gm
Sale price: 90
Atulya mix fruit soap - 75 gm
Sale price: 90
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
","Atulya orange & lemongrass soap has a restorative formulation to help detoxify your skin while also raising your mood. orange is high in vitamin c, so it'll keep your skin soft and supple. its anti-bacterial characteristics aid in the treatment of skin ailments. lemongrass has high vitamin a and c that helps to maintain your skin. it also has astringent properties, which help minimize pores and controls excess oil.

this natural handmade soap gently cleanses and detoxifies the skin, making it healthy and glowing.
it has a soothing fragrance that helps uplift your mood.
with astringent properties, this handmade soap controls the excess production of oil.
it helps minimize open pores, makes skin soft, and retains moisture for a long time.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Orange
  peel / Lemon grass
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/33.jpg?v=1701856223&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_ab77cbb8-e469-4184-9c7a-e53242181d08.jpg?v=1701856224&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_f8316a38-1585-460b-8228-556431d1cfc7.jpg?v=1701856221&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_dfb2d0e4-143a-424d-8143-9e7dae7a119f.jpg?v=1701856222&width=1080"
