ID,Title,Brand,Price,Category,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
48731418,Atulya aloe vera foaming face wash with built-in silicone brush - 150ml,Atulya,399,HOT DEALS,916,"This item: atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya cucumber foaming face wash with built-in silicone brush - 150ml
Sale price: 259
","Atulya aloe vera foaming face wash gives the skin the gift of gentle and wholesome cleansing. the face wash helps to soothe sore skin and maintain the skin's moisture barrier. it helps cleanse, tone, hydrate, and soothe the skin. it comes with a built-in silicone brush that gently cleanses and exfoliates the skin. 

made using aloe vera extract, this foaming face wash helps to hydrate and nourish your skin.
it revitalizes dry skin and enhances suppleness and radiance.
it helps to enhance the look and texture of skin by making it soft and healthy.
this foaming face wash comes with a built-in silicone brush that deeply cleanses your skin.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Ale Vera
  / Reetha
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy83.jpg?v=1701860211&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_81d58e8a-b636-4429-86ec-2c32cc2536d8.jpg?v=1704519275&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_732d13d3-9cee-49df-96f8-7f42adc52096.jpg?v=1704519275&width=1080"
29224114,Atulya charcoal soap (value pack),Atulya,596,HOT DEALS,"1,189","This item: atulya charcoal soap (value pack)
Sale price: 387
Atulya keratin & wheat protein shampoo combo - 300ml each (pack of 2)
Sale price: 549
Atulya pomegranate lip balm - 5gm
Sale price: 142
Atulya rejuvenating rose water soap - handmade soap with natural essential oils
Sale price: 111
",,,"https://myatulya.com/cdn/shop/products/CharcoalsoapSetof4_1.png?v=1653299656&width=1080, https://myatulya.com/cdn/shop/products/ActivatedBambooCharcolSoapNewA_Content-AT-02_548ede11-ec80-4fe5-bb61-23ebd5a10be7.jpg?v=1653303756&width=1080, https://myatulya.com/cdn/shop/products/ActivatedBambooCharcolSoapNewA_Content-AT-03_8f1bab7f-1430-4984-8770-dd60c31d70c6.jpg?v=1653303768&width=1080, https://myatulya.com/cdn/shop/products/ActivatedBambooCharcolSoapNewA_Content-AT-04_2130927d-c422-4f97-b814-15f44a7ee839.jpg?v=1653303797&width=1080"
13800734,Atulya aloe vera soap - 300 gm (pack of 4),Atulya,596,HOT DEALS,"1,342","This item: atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya rose water soap (pack of 4)
Sale price: 328
Atulya lemon soap - 300gm (pack of 4)
Sale price: 358
","Atulya aloe vera soap has excellent skin hydrating properties which help calm skin irritation and inflammation. the antibacterial properties of aloe vera relieve itchiness, soothe sunburn and nourish dry skin. also, it improves the skin’s elasticity, controls acne, and reduces the visibility of fine lines & wrinkles.

this aloe vera soap has anti-inflammatory properties that calm skin irritation & inflammation.
it helps improve skin elasticity and fights early signs of ageing like fine lines and wrinkles.
it helps lighten the scars and blemishes while controlling the occurrence of acne and breakouts.
this soap helps maintain the ph balance of the skin.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Aloe
  Vera
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-01.jpg?v=1690624916&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-02.jpg?v=1690624916&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-03.jpg?v=1690624915&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraPackof4Soap300gA_Content-AT-04.jpg?v=1690624915&width=1080"
83211394,Atulya aloe vera face toner - 100ml,Atulya,399,HOT DEALS,936,"This item: atulya aloe vera face toner - 100ml
Sale price: 259
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya aloe vera gel 200gm
Sale price: 239
","Atulya aloe vera face toner is rich in essential vitamins that soothe, revitalize, and deeply hydrate the skin. it improves skin texture and retains moisture in the skin. infused with natural goodness, this face toner helps to reduce acne, tighten open pores, and calm skin inflammation to provide a blemish-free face. 

this face toner deeply hydrates your skin, making it fresh all day long.
it helps restore the ph balance of the skin and controls excess oil production.
it helps calm irritated skin by reducing redness and inflammation.
this hydrating face toner controls the occurrence of acne and cleanses and purifies the skin. 
it is free from harsh chemicals like paraben, mineral oil, and silicone which makes it suitable for all skin types.","Aloe
  Vera / Cucumber
1- Clean your face with a cleanser and pat dry
2- close your eyes ad lightly spritz it across your face
3- let it absorb and follow it up with a moiturizer","https://myatulya.com/cdn/shop/files/AloeVeraFaceTonerA_Content-AT-01.jpg?v=1690786799&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraFaceTonerA_Content-AT-02.jpg?v=1690786798&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraFaceTonerA_Content-AT-03.jpg?v=1690786799&width=1080, https://myatulya.com/cdn/shop/files/AloeVeraFaceTonerA_Content-AT-04.jpg?v=1690786798&width=1080"
53948314,Atulya vedic ubtan foaming face wash with an inbuilt brush 150ml,Atulya,399,HOT DEALS,"1,086","This item: atulya vedic ubtan foaming face wash with an inbuilt brush 150ml
Sale price: 219
Atulya madagascar vanilla hair shampo - 300ml
Sale price: 324
Atulya madagascar vanilla hair conditioner - 300ml
Sale price: 324
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
","Bring life to your dull and tanned skin with vedic ubtan foaming face wash. power packed with potent ingredients like turmeric and saffron, this cleanser rejuvenates your skin, making it feel fresh and bright. it unclogs open pores, removes blackheads, fights free radicals, reduces premature signs of ageing & sun tan, regulates sebum production, adds radiance, and brightens skin. free from all harmful chemicals, silicones, paraben, sulphate & synthetic colors, this atulya vedic ubtan foaming face wash is suitable for all skin types.","Green
  Tea / Aloe Vera / Turmeric
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-01.jpg?v=1690609840&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-02.jpg?v=1690609840&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-03.jpg?v=1690609839&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-05.jpg?v=1690609841&width=1080"
23821586,Atulya vedic ubtan face serum 30ml,Atulya,499,HOT DEALS,"1,145","This item: atulya vedic ubtan face serum 30ml
Sale price: 274
Atulya vitamin c facial mist toner - 150ml
Sale price: 219
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya vitamin c face mask - 200gm
Sale price: 324
","Vedic ubtan face serum pampers your skin with traditional actives and helps regenerate your tanned, uneven complexion. these actives help to reduce tan, repair skin damage, tone the skin, eliminate fine wrinkles, and smoothen and enhance skin texture. 
why it's good to use :

natural actives like saffron, turmeric, and rose water help to remove tan and dullness from the skin, restoring its natural radiance. 
sweet almond oil and sandalwood oil are excellent for repairing skin damage, restoring the lipid barrier, softening the skin, and increasing suppleness.","Turmeric
  / Aloe Vera
1- Start with a clean face using a gentle cleanser to remove impurities.
2- Dispense a small amount (pea-sized) of face serum onto your fingertips.
3- Pat the serum into your skin using your fingertips, avoiding the eye area.
4- Follow with your regular moisturizer and, in the morning, apply sunscreen to protect your skin.","https://myatulya.com/cdn/shop/files/Artboard1copy70.jpg?v=1701860523&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_80a5d80c-55e2-4029-aa86-a48fe7cb9ddf.jpg?v=1701860524&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_0a89cdd3-d3dd-43c3-ab08-d38f31dd2b26.jpg?v=1701860523&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_c1932d27-cb9c-4519-8f96-221d82964a3a.jpg?v=1701860522&width=1080"
43509579,Atulya chandan haldi soap (pack of 4),Atulya,596,HOT DEALS,"1,312","This item: atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya rose water soap (pack of 4)
Sale price: 328
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
","Atulya chandan & haldi soap consists of two of the most powerful ingredients in ayurveda that helps improve the overall skin texture while making skin healthy and glowing. the combination nourishes and heals skin, making it free from any infection. 

this natural handmade soap protects and purifies your skin by making it healthy.
it helps reduce the visibility of blemishes, fine lines, and wrinkles.
this soap rejuvenates dull skin and helps improve skin tone.
it protects the skin from external damage and naturally brightens the skin.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Chandan
  & Haldi
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-01.jpg?v=1690615545&width=1080, https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-02.jpg?v=1690615545&width=1080, https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-03.jpg?v=1690615546&width=1080, https://myatulya.com/cdn/shop/files/ChandanHaldiPackof4Soap300gA_ContentNew-AT-04.jpg?v=1690615546&width=1080"
06715240,Atulya activated bamboo charcoal soap (pack of 4),Atulya,596,HOT DEALS,"1,074","This item: atulya activated bamboo charcoal soap (pack of 4)
Sale price: 328
Atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya orange & lemongrass soap - 75gm
Sale price: 90
Atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
","Atulya activated bamboo charcoal soap is rich in antioxidants that help to protect the skin from pollutants, dirt, and toxins. it deeply cleanses the skin and exfoliates dead skin cells. this natural handmade soap hydrates your skin, gives it a natural glow, and makes it soft.

this natural handmade soap helps restore the lost moisture of the skin.
it naturally exfoliates dead cells and helps in improving skin elasticity.
it helps in repairing skin cells to prevent premature aging.
this soap with activated bamboo charcoal helps improve the overall skin texture.
regular use of this soap makes your skin naturally glowing.","Bamboo
  Charcoal
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolPackof4Soap300gA_Content-AT-01.jpg?v=1690627517&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolPackof4Soap300gA_Content-AT-02.jpg?v=1690627517&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolPackof4Soap300gA_Content-AT-03.jpg?v=1690627517&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolPackof4Soap300gA_Content-AT-04.jpg?v=1690627518&width=1080"
84488990,Atulya activated organic bamboo charcoal face mask - 200g,Atulya,499,HOT DEALS,"1,111","This item: atulya activated organic bamboo charcoal face mask - 200g
Sale price: 324
Atulya rose water facial mist toner - 150ml
Sale price: 219
Atulya vitamin c face serum 30ml
Sale price: 349
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
","Activated organic bamboo charcoal face mask detoxifies and rejuvenates your skin by promoting the skin-repairing process. this face mask helps remove blackheads, reduces tanning, and maintains the ph balance of the skin.

it helps to remove dead skin cells, moisturize the skin, and then create a barrier to protect it against dirt and infection.
this face mask helps to repair the damaged skin, and rebuild the skin cells to clear dark spots.
regular use of this face mask helps reproduce new healthy skin cells that create a perfect balance that will keep your skin radiant.
the antioxidant properties in this face mask help protect the skin against harmful free radicals and help speed up the process of rejuvenation.
it detoxifies the skin by removing blackheads and reducing tanning.","Bamboo
  charcoal
1- Apply to your face & neck using fingertips
2- For 5-7 minutes
3- Let it dry
4- Rinse with warm water","https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceMaskNewA_Content-AT-01.jpg?v=1690630812&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceMaskNewA_Content-AT-02.jpg?v=1690630813&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceMaskNewA_Content-AT-03.jpg?v=1690630812&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceMaskNewA_Content-AT-05.jpg?v=1690630812&width=1080"
26541943,Atulya amla & bhringraj conditioner - 300ml,Atulya,499,HOT DEALS,"1,366","This item: atulya amla & bhringraj conditioner - 300ml
Sale price: 324
Atulya amla & bhringraj shampoo - 300ml
Sale price: 324
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
","Atulya amla & bhringraj conditioner is high in iron, carotene, and antioxidants that improve hair texture, reverse free radical damage, and reduce hair breakage. it makes hair soft, smooth, and shiny. regular use of this hair conditioner helps rescue hair problems like dandruff and hair fall.

this hair conditioner gently nourishes the scalp and hair. 

it helps stimulate hair growth and prevents dandruff.

it deeply nourishes your hair, making them soft, manageable, and smooth.

this hair conditioner is suitable for colored or chemical-treated hair.

free from harsh chemicals like paraben, sulphate, and silicone, this conditioner suits all hair types.","Amla /
  Bhringraj
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Artboard1copy52.jpg?v=1701857580&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_95e687e4-9c31-4b3a-8500-beeaecce24e4.jpg?v=1701857580&width=1080, https://myatulya.com/cdn/shop/files/1_1.jpg?v=1701857580&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_b9fe9bcf-7a82-464e-951f-b0088874097c.jpg?v=1701857580&width=1080"
