ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
81213814,Atulya organic hibiscus powder - 100gm,Atulya,249,HAIR CARE,ORGANIC POWDER,628,"This item: atulya organic hibiscus powder - 100gm
Sale price: 142
Atulya amla organic powder - 100 % pure & natural
Sale price: 162
Atulya shikakai organic powder - 100 % pure & natural
Sale price: 162
Atulya reetha organic powder - 100 % pure & natural
Sale price: 162
","There are numerous applications for hibiscus powder: alone, combined with other ayurvedic herbs, in conditioner, in coconut milk or yoghurt, as a final rinse, or as a scalp scrub. hibiscus powder helps improve overall hair health by taming frizzy hair and making them manageable.

free from harsh chemicals and preservatives, this hair powder suits all hair types.","Hibiscus
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/Artboard1copy160.jpg?v=1701859211&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_b9738951-a9dd-4bb8-8189-195d55e3b59f.jpg?v=1701859215&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_6d950507-60b0-4103-8756-074c9f540c0a.jpg?v=1701859212&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_eb57d6d1-be7e-4a71-84dc-693266fa2bb3.jpg?v=1701859214&width=1080"
76554003,Atulya indigo organic powder-100% pure & natural,Atulya,249,HAIR CARE,ORGANIC POWDER,608,"This item: atulya indigo organic powder-100% pure & natural
Sale price: 142
Atulya organic henna powder - 100gm
Sale price: 162
Atulya herbal heena organic powder-100% pure & natural
Sale price: 162
Atulya organic hibiscus powder - 100gm
Sale price: 142
","Indigo powder is made from leaves of the indigo plant, also known as indigofera tinctoria. it makes hair shiny & strong, stimulates new hair growth, & color your grey hair.
why it’s good to use

enhance natural hair color and rejuvenate hair to bring natural shine.
helps to fight off scalp conditions like dandruff and dryness.
makes hair look healthy and shiny.
nourishes hair follicles and hair shaft.
provide good conditioning to hair and makes hair soft.","Indigo
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/IndigoOrganicPowderA_ContentNew-01.jpg?v=1690796988&width=1080, https://myatulya.com/cdn/shop/files/IndigoOrganicPowderA_ContentNew-02.jpg?v=1690796988&width=1080, https://myatulya.com/cdn/shop/files/IndigoOrganicPowderA_ContentNew-03.jpg?v=1690796988&width=1080, https://myatulya.com/cdn/shop/files/IndigoOrganicPowderA_ContentNew-04.jpg?v=1690796988&width=1080"
52631445,"Atulya 100% pure & natural organic powder hibiscus, reetha, amla, shikakai powder (pack of 4)",Atulya,996,HAIR CARE,ORGANIC POWDER,"1,510","This item: atulya 100% pure & natural organic powder hibiscus, reetha, amla, shikakai powder (pack of 4)
Sale price: 599
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya aloe vera soap - 300 gm (pack of 4)
Sale price: 328
Atulya orange peel foaming face wash with silicone brush - 150ml
Sale price: 259
","Hibiscus flowers are considered highly sattvik and sacred in ayurvedic traditions. they are utilised for their ability to open the heart and inspire love and dedication in spiritual activities.
reetha is also known as indian soap nut is a 100% natural substitute for hair nourishment. many herbal practitioners use it to formulate hair conditioners, shampoos and hair treatment products. 
amla (phyllanthus emblica) is a rich source of vitamin c. it strengthens hair follicles and scalp, conditions hair naturally, and stimulate hair growth.
shikakai is an ayurvedic herb rich in vitamins c, a, d, e & k and other anti-oxidants which are essentials for growth and good health of hair naturally.","Hibiscus
  / Reetha / Amla/ Shikakai
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar",https://myatulya.com/cdn/shop/products/c-at-007_01_jpg.jpg?v=1633439716&width=1080
02250394,Atulya reetha organic powder - 100 % pure & natural,Atulya,249,HAIR CARE,ORGANIC POWDER,628,"This item: atulya reetha organic powder - 100 % pure & natural
Sale price: 162
Atulya shikakai organic powder - 100 % pure & natural
Sale price: 162
Atulya organic hibiscus powder - 100gm
Sale price: 142
Atulya amla organic powder - 100 % pure & natural
Sale price: 162
","Reetha, also known as indian soap nut is a 100% natural substitute for hair nourishment. many herbal practitioners use it to formulate hair conditioners, shampoos and hair treatment products.
why it's good to use :

it’s rich in saponin, and provides healthy lustrous hair if used regularly.
helps repair split ends effectively, and removes excess oil from scalp.
combats dandruff and itchy scalp. smoothness frizzy and dull hair.helps resolve skin problems like acne or eczema. helps in evening skin tone.","Reetha
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/ReethaOrganicPowderA_ContentNew-01.jpg?v=1690800755&width=1080, https://myatulya.com/cdn/shop/files/ReethaOrganicPowderA_ContentNew-02.jpg?v=1690800755&width=1080, https://myatulya.com/cdn/shop/files/ReethaOrganicPowderA_ContentNew-03.jpg?v=1690800755&width=1080, https://myatulya.com/cdn/shop/files/ReethaOrganicPowderA_ContentNew-04.jpg?v=1690800755&width=1080"
48036644,Atulya shikakai organic powder - 100 % pure & natural,Atulya,249,HAIR CARE,ORGANIC POWDER,628,"This item: atulya shikakai organic powder - 100 % pure & natural
Sale price: 162
Atulya organic hibiscus powder - 100gm
Sale price: 142
Atulya reetha organic powder - 100 % pure & natural
Sale price: 162
Atulya amla organic powder - 100 % pure & natural
Sale price: 162
","Shikakai is an ayurvedic herb rich in vitamins c, a, d, e & k and other anti-oxidants which are essentials for growth and good health of hair naturally.
why it's good to use :

helps in delaying grey hair, reducing dandruff, and nourishing itchy scalp.
adds moisture, shine and softness to give stronger and thicker hair.
helps rejuvenate dry skin by healing dark spots and acne.
helps in keeping skin smooth and glowing by removing excess oil.","Shikakai
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/ShikakaiOrganicPowderA_ContentNew-01.jpg?v=1690800865&width=1080, https://myatulya.com/cdn/shop/files/ShikakaiOrganicPowderA_ContentNew-02.jpg?v=1690800864&width=1080, https://myatulya.com/cdn/shop/files/ShikakaiOrganicPowderA_ContentNew-03.jpg?v=1690800865&width=1080, https://myatulya.com/cdn/shop/files/ShikakaiOrganicPowderA_ContentNew-04.jpg?v=1690800864&width=1080"
69303374,"Atulya 100% pure & natural organic powder amla, reetha, shikakai powder (pack of 3)",Atulya,747,HAIR CARE,ORGANIC POWDER,"1,079","This item: atulya 100% pure & natural organic powder amla, reetha, shikakai powder (pack of 3)
Sale price: 399
Atulya organic hibiscus powder - 100gm
Sale price: 142
Atulya rose gel 200gm
Sale price: 299
Atulya aloe vera gel 200gm
Sale price: 239
","Amla (phyllanthus emblica) is a rich source of vitamin c. it strengthens hair follicles and scalp, conditions hair naturally, and stimulate hair growth.
reetha, also known as indian soap nut is a 100% natural substitute for hair nourishment. many herbal practitioners use it to formulate hair conditioners, shampoos and hair treatment products. 
shikakai is an ayurvedic herb rich in vitamins c, a, d, e & k and other anti-oxidants which are essentials for growth and good health of hair naturally.","Amla/
  Reetha / Shikakai
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar",https://myatulya.com/cdn/shop/products/c-at-008_01_jpg.jpg?v=1633439154&width=1080
86724549,Atulya herbal heena organic powder-100% pure & natural,Atulya,249,HAIR CARE,ORGANIC POWDER,815,"This item: atulya herbal heena organic powder-100% pure & natural
Sale price: 162
Atulya indigo organic powder-100% pure & natural
Sale price: 142
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya organic henna powder - 100gm
Sale price: 162
","Herbal henna helps to moisturize and condition hair, beautify hair color, provide deep cleansing, and stimulate the scalp to boost hair growth.
 why it's good to use: 

as a conditioner, it strengthens the hair and reduces dandruff.
improves hair growth, reduces hair fall, and provides cooling to the scalp.
boosts your hair health, protects it from hair related issues like dandruff, itchy skin. etc.
hair roots become stronger and hair texture improves with regular usage.","Herbal
  Heena
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/HerbalHennaOrganicPowderA_ContentNew-01.jpg?v=1690801774&width=1080, https://myatulya.com/cdn/shop/files/HerbalHennaOrganicPowderA_ContentNew-02.jpg?v=1690801773&width=1080, https://myatulya.com/cdn/shop/files/HerbalHennaOrganicPowderA_ContentNew-03.jpg?v=1690801775&width=1080, https://myatulya.com/cdn/shop/files/HerbalHennaOrganicPowderA_ContentNew-04.jpg?v=1690801773&width=1080"
82807883,Atulya amla organic powder - 100 % pure & natural,Atulya,249,HAIR CARE,ORGANIC POWDER,628,"This item: atulya amla organic powder - 100 % pure & natural
Sale price: 162
Atulya organic hibiscus powder - 100gm
Sale price: 142
Atulya shikakai organic powder - 100 % pure & natural
Sale price: 162
Atulya reetha organic powder - 100 % pure & natural
Sale price: 162
","Amla (phyllanthus emblica) is a rich source of vitamin c. it strengthens hair follicles and scalp, conditions hair naturally, and stimulate hair growth.  
why it’s good to use:

helps control hair fall and dandruff. makes hair thick and strong, adds volume & bounce
helps in reducing acne and scars to give smooth, radiant and youthful skin
exfoliating and cleansing properties help reduce fine lines and wrinkles, and enhance skin tone","Amla
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/AmlaOrganicPowderA_ContentNew-01.jpg?v=1690893087&width=1080, https://myatulya.com/cdn/shop/files/AmlaOrganicPowderA_ContentNew-02.jpg?v=1690893085&width=1080, https://myatulya.com/cdn/shop/files/AmlaOrganicPowderA_ContentNew-03.jpg?v=1690893086&width=1080, https://myatulya.com/cdn/shop/files/AmlaOrganicPowderA_ContentNew-04.jpg?v=1690893085&width=1080"
37534824,"Atulya 100% pure & natural organic powder reetha, shikakai powder (pack of 2)",Atulya,498,HAIR CARE,ORGANIC POWDER,765,"This item: atulya 100% pure & natural organic powder reetha, shikakai powder (pack of 2)
Sale price: 319
Atulya reetha organic powder - 100 % pure & natural
Sale price: 162
Atulya organic hibiscus powder - 100gm
Sale price: 142
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
","Reetha is also known as indian soap nut is a 100% natural substitute for hair nourishment. many herbal practitioners use it to formulate hair conditioners, shampoos and hair treatment products. 
shikakai is an ayurvedic herb rich in vitamins c, a, d, e & k and other anti-oxidants which are essentials for growth and good health of hair naturally.","Reetha /
  Shikakai
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar",https://myatulya.com/cdn/shop/products/c-at-011_01_jpg.jpg?v=1633441188&width=1080
72526154,Atulya organic henna powder - 100gm,Atulya,249,HAIR CARE,ORGANIC POWDER,"1,052","This item: atulya organic henna powder - 100gm
Sale price: 162
Atulya indigo organic powder-100% pure & natural
Sale price: 142
Atulya lavender essential oil - 15ml
Sale price: 374
Atulya rose essential oil - 15ml
Sale price: 374
","Natural henna is suitable for hair. it is perfect for grey hair coverage. it is a strong and rich coloration with added luster to hair and completely free from allergens.
 why it's good to use:  

nourishes hair, reduces dandruff, rejuvenates hair, and brings a natural shine to hair.
balances ph and oil production. control scalp itchiness and dryness.
enhances hair growth and reduces hair loss. strengthens and smoothness hair shaft.
retain moisture and offers smooth and silky hair.","Natural
  Heena
1- Mix 2tbsp each of Organic Powder, water and coconut oil to prepare a consistent paste
2- Apply the paste to hair
3- Leave till it dries
4- Rinse it off with normal Water
5- Refrigerate the unused paste in the glass jar","https://myatulya.com/cdn/shop/files/NaturalHennaOrganicPowderA_ContentNew-01_c7340208-13e5-4946-a206-1530f7dd1376.jpg?v=1690866522&width=1080, https://myatulya.com/cdn/shop/files/NaturalHennaOrganicPowderA_ContentNew-02.jpg?v=1690866522&width=1080, https://myatulya.com/cdn/shop/files/NaturalHennaOrganicPowderA_ContentNew-03.jpg?v=1690866521&width=1080, https://myatulya.com/cdn/shop/files/NaturalHennaOrganicPowderA_ContentNew-04.jpg?v=1690866522&width=1080"
