ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
94450928,Atulya rice water face wash - 100ml,Atulya,299,SKIN CARE,SKIN CARE,"1,221","This item: atulya rice water face wash - 100ml
Sale price: 164
Atulya aloe vera gel 200gm
Sale price: 239
Atulya papaya foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya rose quartz roller
Sale price: 599
","Atulya rice water face wash is a rich face cleanser that naturally exfoliates and brightens the skin. with 100% natural components, this face wash removes dirt and debris from the skin. it has non-drying composition and a quick-to-rinse formula that leaves skin feeling fresh, nourished, and moisturized without over-drying it.

this face wash brightens the skin, leaving it fresh and hydrated.
it has a quick-rinsing composition that keeps skin nourished and fresh without drying it.
it softens, moisturizes, soothes, nourishes, and smoothens the skin.
it helps fight early signs of ageing like fine lines and wrinkles.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Rice
  Water / Aloe Vera
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/RiceWaterFoamingFaceWash100mlA_Content-AT-01.jpg?v=1690611728&width=1080, https://myatulya.com/cdn/shop/files/RiceWaterFoamingFaceWash100mlA_Content-AT-02.jpg?v=1690611729&width=1080, https://myatulya.com/cdn/shop/files/RiceWaterFoamingFaceWash100mlA_Content-AT-03.jpg?v=1690611729&width=1080, https://myatulya.com/cdn/shop/files/RiceWaterFoamingFaceWash100mlA_Content-AT-04.jpg?v=1690611729&width=1080"
66512468,Atulya activated organic bamboo charcoal foaming face wash - 150gm,Atulya,399,SKIN CARE,SKIN CARE,799,"This item: atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
","Atulya activated organic bamboo charcoal foaming face wash gently exfoliates your skin and pulls out dirt, pollutants, and bacteria. also, it controls the excess production of oil that helps you to achieve a flawless complexion and fight acne. this foaming face wash with a built-in silicone brush deeply cleanses your skin, leaving it fresh and hydrated. 

this foaming face wash helps to minimize skin damage that is caused due to excessive exposure to pollution and sunlight. 
it gently removes dirt, toxins, impurities, and blackheads from the skin.

regular use of this face wash kills acne-causing bacteria that clog pores.

it controls the excess production of oil without drying or irritating the skin.

free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Bamboo
  Charcoal
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Activated-Bamboo-Charcol-Face-Wash-A_-Content-New-1080-by-1080.jpg?v=1690960283&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWashA_ContentNew-02.jpg?v=1690960283&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWashA_ContentNew-03.jpg?v=1690960283&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWashA_ContentNew-04.jpg?v=1690960283&width=1080"
93267938,Atulya vedic ubtan face serum 30ml,Atulya,499,SKIN CARE,SKIN CARE,"1,145","This item: atulya vedic ubtan face serum 30ml
Sale price: 274
Atulya vitamin c facial mist toner - 150ml
Sale price: 219
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya vitamin c face mask - 200gm
Sale price: 324
","Vedic ubtan face serum pampers your skin with traditional actives and helps regenerate your tanned, uneven complexion. these actives help to reduce tan, repair skin damage, tone the skin, eliminate fine wrinkles, and smoothen and enhance skin texture. 
why it's good to use :

natural actives like saffron, turmeric, and rose water help to remove tan and dullness from the skin, restoring its natural radiance. 
sweet almond oil and sandalwood oil are excellent for repairing skin damage, restoring the lipid barrier, softening the skin, and increasing suppleness.","Turmeric
  / Aloe Vera
1- Start with a clean face using a gentle cleanser to remove impurities.
2- Dispense a small amount (pea-sized) of face serum onto your fingertips.
3- Pat the serum into your skin using your fingertips, avoiding the eye area.
4- Follow with your regular moisturizer and, in the morning, apply sunscreen to protect your skin.","https://myatulya.com/cdn/shop/files/Artboard1copy70.jpg?v=1701860523&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_80a5d80c-55e2-4029-aa86-a48fe7cb9ddf.jpg?v=1701860524&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_0a89cdd3-d3dd-43c3-ab08-d38f31dd2b26.jpg?v=1701860523&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_c1932d27-cb9c-4519-8f96-221d82964a3a.jpg?v=1701860522&width=1080"
62070401,Atulya vitamin c face serum 30ml,Atulya,499,SKIN CARE,SKIN CARE,"1,006","This item: atulya vitamin c face serum 30ml
Sale price: 349
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya rose water facial mist toner - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
","Atulya vitamin c face serum is designed to hydrate, nourish, and protect dull, weary, and aging skin. it promotes the production of collagen and elastin in the skin, as well as brightening the complexion. the serum helps to nourish the skin by delivering natural actives to it.","Aloe
  Vera / Grape Fruit / Wheat Germ Oil
1- Start with a clean face using a gentle cleanser to remove impurities.
2- Dispense a small amount (pea-sized) of face serum onto your fingertips.
3- Pat the serum into your skin using your fingertips, avoiding the eye area.
4- Follow with your regular moisturizer and, in the morning, apply sunscreen to protect your skin.","https://myatulya.com/cdn/shop/files/Artboard1copy71_3193696c-83f8-4f2f-8a66-e10865115076.jpg?v=1701860443&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_9d1056de-3fc9-428d-b07c-ca14912836c7.jpg?v=1701860445&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_5e70e8cf-e3a3-4d13-a042-ba369828a948.jpg?v=1701860444&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_b0369b2c-51d3-421a-afba-4ef165ab3f1a.jpg?v=1701860442&width=1080"
44354054,Atulya vedic ubtan foaming face wash with an inbuilt brush 150ml,Atulya,399,SKIN CARE,SKIN CARE,"1,086","This item: atulya vedic ubtan foaming face wash with an inbuilt brush 150ml
Sale price: 219
Atulya madagascar vanilla hair shampo - 300ml
Sale price: 324
Atulya madagascar vanilla hair conditioner - 300ml
Sale price: 324
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
","Bring life to your dull and tanned skin with vedic ubtan foaming face wash. power packed with potent ingredients like turmeric and saffron, this cleanser rejuvenates your skin, making it feel fresh and bright. it unclogs open pores, removes blackheads, fights free radicals, reduces premature signs of ageing & sun tan, regulates sebum production, adds radiance, and brightens skin. free from all harmful chemicals, silicones, paraben, sulphate & synthetic colors, this atulya vedic ubtan foaming face wash is suitable for all skin types.","Green
  Tea / Aloe Vera / Turmeric
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-01.jpg?v=1690609840&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-02.jpg?v=1690609840&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-03.jpg?v=1690609839&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-05.jpg?v=1690609841&width=1080"
76962449,Atulya sandalwood soap - 300gm (pack of 4),Atulya,596,SKIN CARE,SKIN CARE,"1,104","This item: atulya sandalwood soap - 300gm (pack of 4)
Sale price: 328
Atulya chandan haldi soap (pack of 4)
Sale price: 328
Atulya mix fruit soap - 75 gm
Sale price: 90
Atulya lemon soap - 300gm (pack of 4)
Sale price: 358
","Atulya sandalwood soap is prevalent for treating various skin related issues including acne, sunburn, blemishes and premature ageing. infused with essential oil, this natural handmade soap deeply cleanses the skin, improves skin tone, reduces blemishes and removes suntan.

it helps improve skin elasticity and keep skin well-toned and firm. 
it helps enhance the complexion of the skin and improve skin elasticity.
it keeps skin healthy and glowing by removing suntan and sunburns.
it removes excess oil and moisturizes your skin to give rejuvenated youthful skin.
free from harsh chemicals, this handmade natural soap is suitable for all skin types.","Sandalwood
1- Rinse your face or Body with water
2- Rub the soap to produce lather
3- Rinse with water","https://myatulya.com/cdn/shop/files/Artboard1copy.jpg?v=1701857273&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_ee2c3b99-df5b-441d-8f3b-2aa0aef26dc5.jpg?v=1701857272&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_e76197ed-f025-4769-bd76-3e9c2876eae0.jpg?v=1701857271&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_7e6404a0-ab65-4813-b539-c46219ff3b22.jpg?v=1701857270&width=1080"
57121840,Atulya aloe vera foaming face wash with built-in silicone brush - 150ml,Atulya,399,SKIN CARE,SKIN CARE,916,"This item: atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya cucumber foaming face wash with built-in silicone brush - 150ml
Sale price: 259
","Atulya aloe vera foaming face wash gives the skin the gift of gentle and wholesome cleansing. the face wash helps to soothe sore skin and maintain the skin's moisture barrier. it helps cleanse, tone, hydrate, and soothe the skin. it comes with a built-in silicone brush that gently cleanses and exfoliates the skin. 

made using aloe vera extract, this foaming face wash helps to hydrate and nourish your skin.
it revitalizes dry skin and enhances suppleness and radiance.
it helps to enhance the look and texture of skin by making it soft and healthy.
this foaming face wash comes with a built-in silicone brush that deeply cleanses your skin.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Ale Vera
  / Reetha
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy83.jpg?v=1701860211&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_81d58e8a-b636-4429-86ec-2c32cc2536d8.jpg?v=1704519275&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_732d13d3-9cee-49df-96f8-7f42adc52096.jpg?v=1704519275&width=1080"
16054543,Atulya vitamin c foaming face wash with silicone brush - 150ml,Atulya,399,SKIN CARE,SKIN CARE,"1,006","This item: atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya vitamin c face serum 30ml
Sale price: 349
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
","Atulya vitamin c face wash deeply cleanses your skin and gives it a healthy glow. vitamin c calms the stressed skin and reduces the stress on the skin caused due to pollution, uv radiation, or smoking. also, it increases collagen formation in the skin, making it shiny and glowing. 

it has vitamin c that protects the skin from free radical damage, evens skin tone, and reduces pigmentation and dark spots.
this face wash helps reduce the visibility of blemishes, scars, and dark spots.
it helps treat pimples by controlling the excess production of oil.
this face wash hydrates your skin and controls premature aging.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Lemon /
  Grap Fruit
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/AT-80.jpg?v=1690546686&width=1080, https://myatulya.com/cdn/shop/files/Vitamin-CFaceWashNewA_Content-AT-02.jpg?v=1690546686&width=1080, https://myatulya.com/cdn/shop/files/Vitamin-CFaceWashNewA_Content-AT-03.jpg?v=1690546686&width=1080, https://myatulya.com/cdn/shop/files/Vitamin-CFaceWashNewA_Content-AT-05.jpg?v=1690546687&width=1080"
13634814,Atulya rose lip balm for hydrating lips - 5gm,Atulya,249,SKIN CARE,SKIN CARE,722,"This item: atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya wine grape lip balm - 5gm
Sale price: 142
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
","""atulya natural rose lip balm is an easy-to-apply balm that melts into thelips and leaves them delicately scented, soft, and supple. it has a non-sticky yet ultra-hydrating formula. it naturally hydrates the lips, making them luscious and healthy. you can apply this lip balm before applying lipstick to avoid chapped lips. "" 

it keeps your lips fresh and hydrated all day long. 

it adds a natural shine to your lips.

it nourishes the lips and retains moisture for a long time.

it moisturizes dry and chapped lips, making them soft and supple.

free from harsh chemicals, this lip balm suits all skin types.","Rose /
  Shea Butter
1- Take some lip balm from the box
2- Apply on your lips in a circular motion","https://myatulya.com/cdn/shop/files/Artboard1copy119.jpg?v=1701856535&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_5f86d16c-f371-44d2-b28d-43c6edea9e90.jpg?v=1701856533&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_18c7f016-1ab8-4a01-8767-82c958fe3220.jpg?v=1701856533&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_ff95d8cc-8013-4fdc-9021-14e8d27bdf44.jpg?v=1701856533&width=1080"
58686334,Atulya vedic ubtan face mask - 200gm,Atulya,499,SKIN CARE,SKIN CARE,"1,325","This item: atulya vedic ubtan face mask - 200gm
Sale price: 324
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya activated bamboo charcoal soap (pack of 4)
Sale price: 328
Atulya rose valley face mask - 200gm
Sale price: 324
","Atulya vedic ubtan face mask has a blend of natural ingredients that exfoliates and soothes the skin. it helps reduce tanning and gives your skin a radiant appearance. also, it has saffron that helps reduce hyperpigmentation and dark spots, while turmeric's antioxidant properties protect skin cells from free radical damage while keeping them healthy.

it is an all-natural cleanser that helps promote clear and glowing skin.
with potent ayurvedic preparation, this face mask gently exfoliates the skin and helps remove dead skin cells.
it helps to prevent the appearance of fine wrinkles and age spots.
this face mask moisturizes your skin, boosts collagen production, and makes skin soft.
free from harsh chemicals like paraben, sulphate, and silicone, this face mask suits all skin types.","Turmeric
  oil / Saffron
1- Apply to your face & neck using fingertips
2- For 5-7 minutes
3- Let it dry
4- Rinse with warm water","https://myatulya.com/cdn/shop/files/VedicUbtanFaceMaskA_Content-AT-01.jpg?v=1690779902&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceMaskA_Content-AT-02.jpg?v=1690779902&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceMaskA_Content-AT-03.jpg?v=1690779903&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceMaskA_Content-AT-04.jpg?v=1690779902&width=1080"
