title,price,description,category,image_urls,size_title,size,color_title,color_value,id
Zip-Pocket Shorts - Women,699," Product Description Manufacture, Care and Fit Product Description Stylish and comfortable to wear
Nobero's Milana shorts are a versatile addition to your casual wear. Made with 100% combed cotton,
240gsm and french terry that goes through rigorous tests to meet high-quality standards, it can be
worn all year round. Fabrics used are procured from locals to support small businesses & our notion
""VOCAL FOR LOCAL"". Exclusively designed and manufactured by Nobero in Tirupur, India. Get 100%
money-back if you do not like our product. No questions asked. Shop with confidence! Fabric Material
100% combed cotton: We use the softest, most breathable and finest quality combed cotton. 240gsm:
With a high GSM number, the fabric will be denser. 240 GSM is thick, weighs more and will make the
apparel durable for better use. French terry: It is a knitted terry cloth fabric that is soft and
smooth on one side (generally, outer) and has loops and yarns on the other side. It is a
wrinkle-free, lightweight, absorbent, moisture-wicking fabric that is extremely comfortable to be
worn in any season Style & Fit Milana Shorts may look and feel like they're ready to lounge in, but
don't let their soft side fool you. These classic-meets-modern must-haves are engineered to keep up
with even the toughest athletes.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/olive-green_8e448bd9-e051-42cc-8e44-d8d5e7da6070.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/grey-melange_56edfa44-983d-4d32-a9de-649e9276eeb8.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/dark-oak_7654e502-833f-4227-b981-52709dc93044.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/gravity-grey_c6d58d53-a191-49e8-be80-36b636932610.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/navy-blue_6d7e522d-cf28-4e20-b5e9-cbec1bdc881a.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/charcoal-melange.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oxide-orange_55e1104b-41d6-402e-8b96-cf07fe393f51.jpg?v=1686150199, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/maroon_147310ea-38fd-4251-9318-63879d30b5c5.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/off-white.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/powder-blue_99c1bb22-bdc2-456b-bd44-90628cda4e1b.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/black_9b135fa0-e8d1-423b-9d90-2a83c961750f.jpg?v=1686150096, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oat-milk_2e9b2142-5b28-4431-9af7-e2cd74254eb4.jpg?v=1686150237, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/mauve.jpg?v=1686150237",Select Size,S|M|L|XL|XXL|XXXL,Select Color,Black|Maroon|Navy Blue|Grey Melange|Oat milk|Off White Melange|Olive Green|Powder Blue|Mauve|Dark Oak|Charcoal Melange|Gravity Grey|Oxide Orange,1686150237
Zip-Pocket Shorts - Women,699," Product Description Manufacture, Care and Fit Product Description Stylish and comfortable to wear
Nobero's Milana shorts are a versatile addition to your casual wear. Made with 100% combed cotton,
240gsm and french terry that goes through rigorous tests to meet high-quality standards, it can be
worn all year round. Fabrics used are procured from locals to support small businesses & our notion
""VOCAL FOR LOCAL"". Exclusively designed and manufactured by Nobero in Tirupur, India. Get 100%
money-back if you do not like our product. No questions asked. Shop with confidence! Fabric Material
100% combed cotton: We use the softest, most breathable and finest quality combed cotton. 240gsm:
With a high GSM number, the fabric will be denser. 240 GSM is thick, weighs more and will make the
apparel durable for better use. French terry: It is a knitted terry cloth fabric that is soft and
smooth on one side (generally, outer) and has loops and yarns on the other side. It is a
wrinkle-free, lightweight, absorbent, moisture-wicking fabric that is extremely comfortable to be
worn in any season Style & Fit Milana Shorts may look and feel like they're ready to lounge in, but
don't let their soft side fool you. These classic-meets-modern must-haves are engineered to keep up
with even the toughest athletes.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/olive-green_01d0870f-baf7-47a1-80d6-a68103271da5.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/navy-blue_afe86663-ca19-442f-a97a-fdf5678e5076.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oat-milk_36499b86-4831-4eb5-b4c4-7178a3c14740.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/powder-blue_b2669881-3142-4713-ac01-0b6950876311.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/mauve_6e281a2b-3143-40cb-be2c-f0083c35bf5b.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/off-white_aed1372b-dbe4-47b1-9dd5-b2d8b12fb35a.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/maroon_4e2ddc27-aaf8-417e-87f9-1be512042c10.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/grey-melange_ec9de39f-f762-4295-9f8b-1368a54b67e9.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/black_0ab2b18e-bf89-485a-a62e-d32d79dbfb3b.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/gravity-grey_ae1eca65-a433-4083-aa2f-783a01549c0e.jpg?v=1686152128, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/dark-oak_c55f9460-e2d3-43bb-8ade-66581c14cc18.jpg?v=1686152170, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/charcoal-melange_54516a34-eee6-407f-bcb6-aa3d0f272e88.jpg?v=1686152128, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oxide-orange_e427d8cd-0493-48fb-be9c-bf0993553873.jpg?v=1686152129",Select Size,S|M|L|XL|XXL|XXXL,Select Color,Dark Oak|Mauve|Powder Blue|Off White Melange|Black|Maroon|Navy Blue|Grey Melange|Oat milk|Olive Green|Charcoal Melange|Gravity Grey|Oxide Orange,1686152170
Emerald Rib-Knit Shorts,699," Product Description Manufacture, Care and Fit A pair of relaxed fit shorts featuring high rise and
adjustable waist with drawcord. With the flattering fit and side slit detail, let the Emerald Shorts
be a charming addition to your wardrobe.Fabric : Soft, Stretchy Ribbed Knit. Cotton rich | 180
GSM.Care : Machine wash according to instructions on care label.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/Artboard2_a1c0d11e-50c7-4eb8-8462-679b19bac9bd.jpg?v=1681722599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-0985_5098b71d-90f6-4c0c-be4a-0d61e8301bf7.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/36-1038_9e73d8ce-a15b-4003-8a8a-dc25ba4daeae.jpg?v=1681722599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-1074_4b0936bf-f405-4b6c-b0a0-5b54e2890c4a.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-3473_2c1953f2-accd-406e-895f-ce4057a8d0f4.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/36-3463_df7ed5bd-0b93-4cda-a1d5-072914d7fe48.jpg?v=1681722599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-0992_ecdca991-2f20-471f-b8e0-0bbb57a6b070.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/35-1023_1fccc8eb-bb20-4de8-a009-923d986dd812.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/36-1027_7914906d-cbd9-4db4-82d3-512b9e8492f7.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-0993_d31701fc-b93d-44ab-9528-27752c980c30.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-0986_f88796b7-ca30-4b28-b939-f1928739d044.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-1064_d16fa883-e35b-4012-933f-61d29de8ac4d.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/35-1011_28672619-3c07-4ee8-a91b-c2123782369a.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-1067_bcbe6975-e45e-42ef-87a3-9d2e1555b70c.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-3456_909e4111-ffd1-4ad5-b205-2de0263dac7a.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/36-3464_f149ba86-7933-4a68-9577-558cf62e0436.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/36-1031_5b8d467b-3f86-481f-883b-f728c3d84547.jpg?v=1681722599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-0911_2bd05539-6014-4b23-8a7f-59018ce0f081.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-3426_8b01bdd7-28df-4821-a535-62e9553d5a57.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-3474_17bb246b-183f-4789-ad7d-ecb19d648c98.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-0916_58bfa739-4169-48e6-a16b-199a586a0cb1.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-3455_dfe88c10-0dee-4407-8b1d-f15a145b3306.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/36-1028_64b82bd8-6703-4018-94c1-ac85d8dc4156.jpg?v=1681722599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/35-3461_48191b86-0e66-4102-9a23-263e188a8759.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/33-0996_2aed23c4-442a-422e-8a42-42b771d23f41.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-0909_b1f35273-231c-4956-b1a6-4d4b35b44a6a.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-3427_d3a739dc-b732-453c-9dd9-394b8164ad03.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-0912_54d7449f-a07a-4f1f-8976-af573b85051f.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/35-1008_5fff6385-d027-439d-9f00-86dffbe17e7d.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-1063_9b1a0a65-7e8d-4079-a4d1-30ae40d1636c.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/35-3462_15e2fac4-a811-4270-8a55-c3bd15b1c424.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/28-0913_418c8606-0df5-4a98-84dd-e71727dea0a0.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/35-1010_bd6a90d5-613f-4e95-8b79-8991da5e5496.jpg?v=1681362401, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/39-1062_0693cc8f-1f30-4273-bc35-cff2d952f9c1.jpg?v=1681362401",Select Size,XS|S|M|L|XL|XXL,Select Color,Lilac|Rust|Off White|Powder Blue|Black,1681722599
Agatha Women Shorts,699," Product Description Manufacture, Care and Fit These women’s shorts are expertly crafted from
high-quality cotton fabric, ensuring a soft and breathable feel that lasts all day long. Versatile
enough for running errands, hitting the gym, or lounging at home, elevate your wardrobe with our
cotton shorts. Pair them with trendy t-shirts or ribbed tops for a fashionable ensemble. - Fabric:
60% Cotton 40% Polyester- Fit Type: Regular Fit - Pattern: Colourblock Panel with Side Slit - Care
Instructions: Wash dark colours separately. Machine wash, gentle cycle. Do not bleach. Tumble dry
low. Iron on lowest setting. Do not scrub or iron on print directly.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/5_b9af0be1-f720-423f-bba5-2a619bb43c67.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/6_f3baa127-be7b-49a9-9db2-460ae127cd86.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/6_fb5d52e3-b279-4b7c-b0ab-018c14c74cef.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/2_8f1d093c-0a32-4898-a580-a840370c2ee9.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/4_76d722a6-257c-46f4-bd58-6bdc7a3ab524.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/1_29321a0e-e38e-429e-a3a5-d37b2aefb82f.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/3_3f7c072f-2b7a-41c1-9cee-a0a4c92c8a13.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/5_212ae1ce-1712-4548-b0a0-2c2041237d2b.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/3_23d7dbf1-4c25-438f-95de-6f4e19dc3674.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/2_89ff616d-ae6a-40a4-93fe-5da5f7558d28.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/4_dc3e4537-d1f0-4435-8592-31ee4f21a86f.jpg?v=1684390655, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/1_30d928dc-d50a-4150-a314-2b88672635d3.jpg?v=1684390655",Select Size,XS|S|M|L|XL|XXL,Select Color,Cannoli|White,1684390655
Abigali Shorts,699," Product Description Manufacture, Care and Fit These women’s shorts are expertly crafted from
high-quality cotton fabric, ensuring a soft and breathable feel that lasts all day long. Versatile
enough for running errands, hitting the gym, or lounging at home, elevate your wardrobe with our
cotton shorts. Pair them with trendy t-shirts or ribbed tops for a fashionable ensemble. - Fabric:
60% Cotton 40% Polyester- Fit Type: Regular Fit - Pattern: Contrast stitch detail - Care
Instructions: Wash dark colours separately. Machine wash, gentle cycle. Do not bleach. Tumble dry
low. Iron on lowest setting. Do not scrub or iron on print directly.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/6_7237ba4d-028a-4f7e-a667-71e595f80aef.jpg?v=1683960108, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/2_2116b0a5-9a44-4f7e-a3c2-7c315c30e67e.jpg?v=1683960108, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/5_f8877db5-989e-44d9-a4eb-daad6a992a0f.jpg?v=1683960108, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/1_b3b936ae-d2d9-461f-a202-4c3937bf5c17.jpg?v=1683960108, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/3_8be01a75-19e7-423a-8b88-ab25a1faaf44.jpg?v=1683960108, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/4_8d179676-d279-4091-b0a2-fbd3114c16ac.jpg?v=1683960108",Select Size,M|L|XL|XXL|XXXL|S,Select Color,Black,1683960108
Brianna Women Shorts,699," Product Description Manufacture, Care and Fit These women’s shorts are expertly crafted from
high-quality cotton fabric, ensuring a soft and breathable feel that lasts all day long. Versatile
enough for running errands, hitting the gym, or lounging at home, elevate your wardrobe with our
cotton shorts. Pair them with trendy t-shirts or ribbed tops for a fashionable ensemble. - Fabric:
60% Cotton 40% Polyester- Fit Type: Regular Fit - Pattern: - Contrast Texture - Care Instructions:
Wash dark colours separately. Machine wash, gentle cycle. Do not bleach. Tumble dry low. Iron on
lowest setting. Do not scrub or iron on print directly.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/4_32afe7d9-02a6-4ec4-862c-ef2e083f4ca4.jpg?v=1684405348, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/2_95feb8a1-1cdb-4c02-9b11-90bcaef7c878.jpg?v=1684405347, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/5_df62a653-1759-4a09-8510-2629fbedd9f5.jpg?v=1684405353, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/1_ee2250dd-577d-4212-84be-89c4c16f7454.jpg?v=1684405353, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/3_b97a722a-4ad7-4fd6-b85a-c05002f280bd.jpg?v=1684405348",Select Size,XS|S|M|L|XL|XXL,Select Color,Cannoli,1684405348
Shero Shorts,699," Product Description Manufacture, Care and Fit Product Description Feel sporty with Nobero's stylish
Shero Shorts. Made with 100% combed cotton, 240gsm and french terry that goes through rigorous tests
to meet high-quality standards, it can be worn all year round. Fabrics used are procured from locals
to support small businesses & our notion ""VOCAL FOR LOCAL"". Exclusively designed and manufactured by
Nobero in Tirupur, India. Get 100% money-back if you do not like our product. No questions asked.
Shop with confidence! Fabric Material 100% combed cotton: We use the softest, most breathable and
finest quality combed cotton. 240gsm: With a high GSM number, the fabric will be denser. 240 GSM is
thick, weighs more and will make the apparel durable for better use. French terry: It is a knitted
terry cloth fabric that is soft and smooth on one side (generally, outer) and has loops and yarns on
the other side. It is a wrinkle-free, lightweight, absorbent, moisture-wicking fabric that is
extremely comfortable to be worn in any season Style & Fit Take on a sporty look with our classic
meets trendy shorts featuring a bold red& white detailing on the side. These versatile shorts will
be apt for your outdoor adventures & even your intense workouts.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomenShortsSheroBlack1.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/77_bafeefd9-9b9a-4914-81d1-9f4f8da34a30.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/92.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/98.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/96.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/73.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/95_00be316e-be50-4dc3-9fbb-366695e58600.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/74.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/97_2144d5fa-6cd2-4258-a570-785a7a57f514.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/69.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/93.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/76_b0c8bb92-905a-4e80-9960-046a3b6b64c7.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/72_e1e6b80d-d6d9-4210-af05-006d3b0149a9.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/70_a8a29da3-c18f-477b-bdd9-04fd48723984.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/94_8b946edc-5ea9-4b8d-83a2-61354aeb2a10.jpg?v=1681811822, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/71.jpg?v=1681811822",Select Size,S|M|L|XL|XXL|XXXL,Select Color,Black|Grey Melange,1681811822
Tregga Shorts,699," Product Description Manufacture, Care and Fit Product Description Flatter your curves with Nobero's
stylish Trega Shorts. Made with 100% combed cotton, 240gsm and french terry that goes through
rigorous tests to meet high-quality standards, it can be worn all year round. Fabrics used are
procured from locals to support small businesses & our notion ""VOCAL FOR LOCAL"". Exclusively
designed and manufactured by Nobero in Tirupur, India. Get 100% money-back if you do not like our
product. No questions asked. Shop with confidence! Fabric Material 100% combed cotton: We use the
softest, most breathable and finest quality combed cotton. 240gsm: With a high GSM number, the
fabric will be denser. 240 GSM is thick, weighs more and will make the apparel durable for better
use. French terry: It is a knitted terry cloth fabric that is soft and smooth on one side
(generally, outer) and has loops and yarns on the other side. It is a wrinkle-free, lightweight,
absorbent, moisture-wicking fabric that is extremely comfortable to be worn in any season Style &
Fit Trending dolphin cut shorts that you will be serving looks in is not only stylish but
comfortable as well. Team these shorts with a trendy t-shirt and smart sneakers to look stylish.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/64_ada022f0-f51f-421d-a463-636280f7e75b.jpg?v=1665568255, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/62_a0614bb8-0286-4fc7-a177-7e58ffee64fd.jpg?v=1665568255, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/68_b0da9500-7c1c-40f2-85dc-5d06aad3d5d3.jpg?v=1665568249, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/67_b9aec08f-82e2-40ee-a1fa-4e1ffc867bba.jpg?v=1665568249, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/63.jpg?v=1665568255, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/66.jpg?v=1665568255, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/65_4939787c-08bd-44f7-b8a2-c208f6a8f917.jpg?v=1665568255",Select Size,M|L|XL|XXL|XXXL|S,Select Color,Grey Melange,1665568255
Zip-Pocket Shorts - Women,699," Product Description Manufacture, Care and Fit Product Description Stylish and comfortable to wear
Nobero's Milana shorts are a versatile addition to your casual wear. Made with 100% combed cotton,
240gsm and french terry that goes through rigorous tests to meet high-quality standards, it can be
worn all year round. Fabrics used are procured from locals to support small businesses & our notion
""VOCAL FOR LOCAL"". Exclusively designed and manufactured by Nobero in Tirupur, India. Get 100%
money-back if you do not like our product. No questions asked. Shop with confidence! Fabric Material
100% combed cotton: We use the softest, most breathable and finest quality combed cotton. 240gsm:
With a high GSM number, the fabric will be denser. 240 GSM is thick, weighs more and will make the
apparel durable for better use. French terry: It is a knitted terry cloth fabric that is soft and
smooth on one side (generally, outer) and has loops and yarns on the other side. It is a
wrinkle-free, lightweight, absorbent, moisture-wicking fabric that is extremely comfortable to be
worn in any season Style & Fit Milana Shorts may look and feel like they're ready to lounge in, but
don't let their soft side fool you. These classic-meets-modern must-haves are engineered to keep up
with even the toughest athletes.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/gravity-grey_ea1d81c3-dbbf-4235-8b61-d8249046c348.jpg?v=1686151997, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/black_aefee886-2320-48ef-9bf8-3f16cff601e3.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/maroon_43067433-909e-4dd6-9bda-7b9513e99a44.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oat-milk_051e2824-faaa-4aa8-8a24-f546f9358b47.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/grey-melange_5d8b2c35-21b5-485c-ada7-a9fcff585823.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/powder-blue_3e1d7f28-e93f-4a2f-9a31-7d458098d8c3.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/off-white_b7a147dd-835d-441e-a995-f27079edea2c.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/dark-oak_12b86dcc-0c9d-4d71-b927-922e78b7f855.jpg?v=1686151996, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/charcoal-melange_207883fd-5361-491c-97da-bccb03f1132f.jpg?v=1686151996, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/mauve_9203ffe0-33d7-4e40-a9c7-212018e0e310.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/olive-green_1ffed55b-d605-4135-9b06-641980c06c0e.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/navy-blue_a5b53099-f05e-457e-9c18-a0006b2c01b9.jpg?v=1686152048, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oxide-orange_be1a77bd-4c2d-48ba-9601-790683e7641e.jpg?v=1686151997",Select Size,S|M|L|XL|XXL|XXXL,Select Color,Mauve|Powder Blue|Off White Melange|Black|Maroon|Navy Blue|Grey Melange|Oat milk|Olive Green|Dark Oak|Charcoal Melange|Gravity Grey|Oxide Orange,1686151997
Zip-Pocket Shorts - Women,699," Product Description Manufacture, Care and Fit Product Description Stylish and comfortable to wear
Nobero's Milana shorts are a versatile addition to your casual wear. Made with 100% combed cotton,
240gsm and french terry that goes through rigorous tests to meet high-quality standards, it can be
worn all year round. Fabrics used are procured from locals to support small businesses & our notion
""VOCAL FOR LOCAL"". Exclusively designed and manufactured by Nobero in Tirupur, India. Get 100%
money-back if you do not like our product. No questions asked. Shop with confidence! Fabric Material
100% combed cotton: We use the softest, most breathable and finest quality combed cotton. 240gsm:
With a high GSM number, the fabric will be denser. 240 GSM is thick, weighs more and will make the
apparel durable for better use. French terry: It is a knitted terry cloth fabric that is soft and
smooth on one side (generally, outer) and has loops and yarns on the other side. It is a
wrinkle-free, lightweight, absorbent, moisture-wicking fabric that is extremely comfortable to be
worn in any season Style & Fit Milana Shorts may look and feel like they're ready to lounge in, but
don't let their soft side fool you. These classic-meets-modern must-haves are engineered to keep up
with even the toughest athletes.",Comfort Shorts,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/grey-melange_a123c510-0729-449c-a01e-2adf88db8c06.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/powder-blue_4010a68c-a363-4ff5-acb0-83d996e2cab9.jpg?v=1686151733, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/dark-oak_cbf57d0e-67e0-48ba-9b32-f383f6c5bee9.jpg?v=1686151734, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/black_b87c05b6-8585-49cf-b29e-7ab49570cd51.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/off-white_16a31dde-2b40-462e-9e89-5d0fd1a50b3c.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/charcoal-melange_174ed15f-9a4f-4d3a-938a-51c85af58970.jpg?v=1686151734, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oxide-orange_380ba64a-d6da-4266-ae64-45179f836ac6.jpg?v=1686151735, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/navy-blue_9909eb8f-08a8-4d66-8c19-4fc4db3e69bc.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/maroon_0d4bc77b-c83f-41e5-ab33-c02701d708fb.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/gravity-grey_0abe57b2-e3d3-44b7-a1c7-08930bf5574e.jpg?v=1686151735, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/olive-green_6b1d28f2-f0b9-4a58-a74a-6d1e45ba5844.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/oat-milk_0bfd8c72-a480-43ab-847f-399755cab12a.jpg?v=1686151835, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/mauve_2411a02f-6c3f-4757-a650-14eaa7835b97.jpg?v=1686151733",Select Size,S|M|L|XL|XXL|XXXL,Select Color,Off White Melange|Black|Maroon|Navy Blue|Grey Melange|Oat milk|Olive Green|Powder Blue|Mauve|Dark Oak|Charcoal Melange|Gravity Grey|Oxide Orange,1686151835
