title,price,description,category,image_urls,size_title,size,color_title,color_value,id
Authentic (Women Tee),499," Product Description Manufacture, Care and Fit Material: 200 GSM, 100% Combed Cotton (Bio-Washed and
Pre-Shrunk)Neck: Crew NeckSleeves: Short SleevesFeatures:• Bio-Washed• Pre-shrunk• Light weight•
Breathable Fabric• Comfort fit• Durable and FlexibleOrigin: Crafted & Designed in IndiaWash Care:
Machine wash. Wash in cold water, use mild detergent Dry in shade Inside Out Do not iron directly or
scrub on print Do not bleach, do not tumble dry. Dry on flat surface as hanging may cause
measurement variationsPlease Note: Colours may slightly vary depending on your screen resolution.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WomenTeesMockups6.jpg?v=1686314667, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/be-fearlessly-authentic_c3395da4-6a5a-4142-8c3d-6295bffe7675.jpg?v=1686314667",Select Size,XS|S|M|L|XL|XXL,Select Color,Wine Red,1686314667
Imperfectly Perfect,499," Product Description Manufacture, Care and Fit Premium Prints. Top Quality & Fine Fabrics. Free
shipping. 15 Day Refund. 100% Customer Satisfaction Guaranteed. Available only for a limited time.
Click the Green Button to Buy. Trusted by 5,00,000 buyers. Shop with Confidence! :)
100%Cotton;190-200gsm; S/J; Bio wash",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WomenTeesMockups11.jpg?v=1686315008, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/imperfectly-perfect_78a56530-e8da-4870-8ce4-a4b2082fc785.jpg?v=1686315008",Select Size,XS|S|M|L|XL|XXL,Select Color,Marine,1686315008
Blessed,499," Product Description Manufacture, Care and Fit Premium Prints. Top Quality & Fine Fabrics. Free
shipping. 15 Day Refund.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WomenTeesMockups10.jpg?v=1686314957, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/blessed-white.jpg?v=1686314957",Select Size,XS|S|M|L|XL|XXL,Select Color,White,1686314957
Classic Tees,499," Product Description Manufacture, Care and Fit Material: 100% Combed Cotton (Bio-Washed and
Pre-Shrunk)Neck: Crew NeckSleeves: Short SleevesFeatures:• Bio-Washed• Pre-shrunk• Light weight•
Breathable Fabric• Comfort fit• Durable and FlexibleOrigin: Crafted & Designed in IndiaWash Care:
Machine wash. Wash in cold water, use mild detergent Dry in shade Inside Out Do not iron directly or
scrub on print Do not bleach, do not tumble dry. Dry on flat surface as hanging may cause
measurement variationsPlease Note: Colours may slightly vary depending on your screen resolution.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/blush_b4e99e9d-a274-4f31-b417-84bdb546ed23.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/royal-blue_d3cc5092-ae5e-4002-b895-f90ebe3bb8f6.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/powder-blue_0926fd0b-9e22-4a09-9eff-53957557012c.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/magenta_12f48c5a-b833-431e-869f-407c65e4b28f.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/grey-melange_16082afb-fef4-4100-9954-4a47b758b5cd.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/cannoli_38aecc6f-2a7a-49ca-baf5-246bc85a8e1e.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/olive-green_f1490e49-b54b-4f95-9503-e864a4994753.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/aloe-green_d184a4a2-18c1-4990-b321-76c8e7d03ae7.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/sand_8c99dcf6-1d2b-49dc-8e0c-2fec76db891a.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/white_a1612e94-df8e-425d-ab34-d79144bd1f97.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/vanilla_d5d4b1c6-1b9c-4e21-b908-6191a07863f3.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/plain_1_f17bb4cc-8bfd-448c-aedf-395626042006.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/black_b4d074ee-cd01-4259-ab7e-9585baa86314.jpg?v=1682080931, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/marine_a1c19510-6075-41f1-b2e9-3b9d140ed99f.jpg?v=1682080931",Select Size,XS|S|M|L|XL|XXL,Select Color,Honeycomb|Olive Green|Royal Blue|Grey Melange|White|Black|Cannoli|Blush|Powder Blue|Aloe Green|Marine|Sand|Vanilla|Magenta,1682080931
Internet is Broken,499," Product Description Manufacture, Care and Fit Premium Prints. Top Quality & Fine Fabrics. Free
shipping. 15 Day Refund. 100% Customer Satisfaction Guaranteed. Available only for a limited time.
Click the Green Button to Buy. Trusted by 5,00,000 buyers. Shop with Confidence! :)
100%Cotton;190-200gsm; S/J; Bio wash",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/internet-is-broken_58585f79-e8e8-4862-a6d2-9866b88df2b6.jpg?v=1686314830, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WomenTeesMockups4.jpg?v=1686314830",Select Size,XS|S|M|L|XL|XXL,Select Color,Olive Green,1686314830
Never Say No,499," Product Description Manufacture, Care and Fit Premium Prints. Top Quality & Fine Fabrics. Free
shipping. 15 Day Refund. 100% Customer Satisfaction Guaranteed. Available only for a limited time.
Click the Green Button to Buy. Trusted by 5,00,000 buyers. Shop with Confidence! :)
100%Cotton;190-200gsm; S/J; Bio wash",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/never-say-no-to-adventure_fa64b0e8-b766-4cfe-a052-de05cea75486.jpg?v=1684586754, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WT_0002_NeverSayNo.jpg?v=1684586754",Select Size,XS|S|M|L|XL|XXL,Select Color,Powder Blue,1684586754
Minimize,499," Product Description Manufacture, Care and Fit Material: 100% Combed Cotton (Bio-Washed and
Pre-Shrunk)Neck: Crew NeckSleeves: Short SleevesFeatures:• Bio-Washed• Pre-shrunk• Light weight•
Breathable Fabric• Comfort fit• Durable and FlexibleOrigin: Crafted & Designed in IndiaWash Care:
Machine wash. Wash in cold water, use mild detergent Dry in shade Inside Out Do not iron directly or
scrub on print Do not bleach, do not tumble dry. Dry on flat surface as hanging may cause
measurement variationsPlease Note: Colours may slightly vary depending on your screen resolution.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WT_0000_MinimizeHoneycomb.jpg?v=1684586708, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/honeycomb-minimize_1.jpg?v=1684586708, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/WT_0001_MinimizeBlack.jpg?v=1684586708, https://cdn.shopify.com/s/files/1/0337/9413/0052/files/black.png?v=1684586708",Select Size,XS|S|M|L|XL|XXL,Select Color,Honeycomb|Black,1684586708
Classic Tees,499," Product Description Manufacture, Care and Fit Material: 100% Combed Cotton (Bio-Washed and
Pre-Shrunk)Neck: Crew NeckSleeves: Short SleevesFeatures:• Bio-Washed• Pre-shrunk• Light weight•
Breathable Fabric• Comfort fit• Durable and FlexibleOrigin: Crafted & Designed in IndiaWash Care:
Machine wash. Wash in cold water, use mild detergent Dry in shade Inside Out Do not iron directly or
scrub on print Do not bleach, do not tumble dry. Dry on flat surface as hanging may cause
measurement variationsPlease Note: Colours may slightly vary depending on your screen resolution.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0001_RoyalBlue.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0050_08-1366.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0046_13-1477.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0010_26-1724.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0013_25-1716.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0018_24-1688.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0011_26-1720.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0027_23-1665.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/all-colors_3d566605-ff54-4f65-a0b2-3f32a033adad.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0011_Cannoli.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0034_17-1561.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0024_23-1684.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0002_OliveGreen.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0042_14-0667.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0003_AloeGreen.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0016_24-1698.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0010_GreyMelange.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0015_25-1705.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0047_13-1475.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0030_20-1621.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0008_Marine.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0009_Sand.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0005_Magenta.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0020_24-0860.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0039_16-5625.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0023_24-0848.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0035_17-1557.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0019_24-1685.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0031_20-1616.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0051_08-1362.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0045_13-1478.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0001_31-0949.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0009_Sand_766ad56d-e1d1-46f8-835d-fde71e985f20.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0006_30-1789.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0007_30-1786.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0037_16-5633.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0000_Black.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0012_Blush.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0006_PowderBlue.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0036_16-5649.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0004_30-1803.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0043_14-0661.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0040_14-0672.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0032_17-1576.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0007_Vanilla.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0003_31-0945.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0012_25-1718.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0022_24-0851.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0008_26-1733.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/FrontImages_0004_White.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0028_20-1634.jpg?v=1678449280, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0000_31-0967.jpg?v=1678863599, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0048_08-1390.jpg?v=1678345020, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/WomensTeeWebImages_0025_23-1679.jpg?v=1678863599",Select Size,XS|S|M|L|XL|XXL,Select Color,Black|White|Cannoli|Blush|Powder Blue|Aloe Green|Marine|Olive Green|Grey Melange|Royal Blue|Sand|Vanilla|Magenta,1678863599
Wabi Sabi,499," Product Description Manufacture, Care and Fit Material: 200 GSM, 100% Combed Cotton (Bio-Washed and
Pre-Shrunk)Neck: Crew NeckSleeves: Short SleevesFeatures:• Bio-Washed• Pre-shrunk• Light weight•
Breathable Fabric• Comfort fit• Durable and FlexibleOrigin: Crafted & Designed in IndiaWash Care:
Machine wash. Wash in cold water, use mild detergent Dry in shade Inside Out Do not iron directly or
scrub on print Do not bleach, do not tumble dry. Dry on flat surface as hanging may cause
measurement variationsPlease Note: Colours may slightly vary depending on your screen resolution.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/wabi-sabi_1.jpg?v=1682054296, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/wabi-sabi_c20a2568-3e1e-4617-a4ad-a8ed4d6ed54e.jpg?v=1682054296",Select Size,XS|S|M|L|XL|XXL,Select Color,Marine,1682054296
Kind Human,499," Product Description Manufacture, Care and Fit Material: 100% Combed Cotton (Bio-Washed and
Pre-Shrunk)Neck: Crew NeckSleeves: Short SleevesFeatures:• Bio-Washed• Pre-shrunk• Light weight•
Breathable Fabric• Comfort fit• Durable and FlexibleOrigin: Crafted & Designed in IndiaWash Care:
Machine wash. Wash in cold water, use mild detergent Dry in shade Inside Out Do not iron directly or
scrub on print Do not bleach, do not tumble dry. Dry on flat surface as hanging may cause
measurement variationsPlease Note: Colours may slightly vary depending on your screen resolution.",Women's Summer Tees,"https://cdn.shopify.com/s/files/1/0337/9413/0052/products/kind-human.jpg?v=1678877595, https://cdn.shopify.com/s/files/1/0337/9413/0052/products/kind-human-ghost.jpg?v=1678877595",Select Size,XS|S|M|L|XL|XXL,Select Color,Cannoli,1678877595
