title,cost,description,img_src,photo_desc_str,category
Electrobomba Sumergible Achique IDEAL DUAL 400K,"81,17"," Electrobomba Sumergible Achique IDEAL DUAL 400K Información de las Electrobomba Sumergible Achique
IDEAL DUAL 400K Las bombas sumergibles para achique DUAL es una de las recientes incorporaciones de
este fabricante consecuencia de la marcada innovación y mejora constante. La bomba sumergible para
achique DUAL está fabricada de plástico a base de tecnopolímeros compuesto de alta resistencia, una
turbina de tipo Noryl y con el eje y la tornillería de acero inoxidable. Se trata por tanto de una
resistente bomba de agua para uso doméstico que disfruta de una larga vida útil y gran versatilidad
de uso.Aplicaciones de la Electrobomba Sumergible Achique IDEAL DUAL 400KLas bombas sumergibles para
achique DUAL están preparadas para funcionar en aguas limpias y sucias, a elección del usuario.
Cuando se abren las patas de la bomba se permite un paso de sólidos de 30mm y se puede utilizar para
aguas sucias. Si se cierran las patas de la base se permite un paso de sólidos de solo 5mm siendo su
utilización para aguas limpias. La electrobomba sumergible de achique IDEAL DUAL es muy demandada
para el vaciado de piscinas, locales inundados, pozos, depósitos o similar.Características del
Cuerpo de la Electrobomba Sumergible Achique IDEAL DUAL 400KEl cuerpo de la bomba sumergible para
achique IDEAL DUAL 400 cuenta con turbina Noryl, eje y tornillería de acero inoxidable e interruptor
automático de flotador ajustable en altura.Otras de las características de las bombas sumergibles
para achique IDEAL DUAL es:- Paso de sólidos máximos: 5-30mm (patas cerradas o abiertas).- Máximo
caudal: 8.000 litros/hora.- Máxima presión: 0,5 bares.- Nivel más bajo de arranque la bomba: 135mm.-
Nivel más bajo de succión de agua: 5mm.- Temperatura máxima del líquido: 35ºC.- Diámetro conector de
tubería adaptable: 1’’G1-1/4’’G1-1/4.- Enchufe E+F europeo VDE.- Longitud del cable de alimentación:
10m.Características del Motor de la Electrobomba Sumergible Achique IDEAL DUALEl motor de la Bomba
Sumergible para Achique DUAL se caracteriza por contar con un sello DUAL 400 doble retén estructural
de caucho, protección IPX8 y motor con bobinado de aluminio, además de:- Potencia: 0,5Hp – 400W.-
Motor 2900 r.p.m. refrigerado por agua.- Tensión: 230V +- 10% - 50Hz monofásico.Prestaciones y
características de las Electrobomba Sumergible Achique IDEAL DUALComprar Electrobomba Sumergible
Achique IDEAL DUALComprar Electrobomba Sumergible Achique IDEAL DUAL al mejor precio es fácil,
rápido y seguro a través de AutoSolar, contáctenos para que le asesoremos si la Bomba Sumergible
para Achique DUAL es la recomendable según sus necesidades y particularidades.",https://cdn.autosolar.es/images/bombas-achique/electrobomba-sumergible-achique-ideal-dual-400k_thumb_main.jpg,,Bombas_agua
Control Bombeo 230V Variador Fuji 5.5kWp IP54 200M,"2.517,43"," Control Bombeo 230V+Variador Fuji 5.5kWp IP54 200M Ver Ficha Técnica Controlador de Bombeo Solar
Easy Sun Pump El Control Bombeo 230V+Variador Fuji 5.5kWp IP54 200M es la evolución del sistema de
control y potencia para bombeo solar que cuenta con más de 15 años de experiencia en el mercado.
Para esta nueva evolución, se ha colaborado con la sucursal en España de Fuji Electric Europe GmbH
para la electrónica de potencia y el control del sistema, lo que ha permitido dar un paso más en la
fiabilidad y eficiencia de funcionamiento tradicionales de los controles de bombeo ESP. El rango de
trabajo del Control Bombeo 230V Variador Fuji 5.5kWp IP54 200M oscila entre 335 y 400V. Además,
cuenta con tres entradas para paneles solares de hasta 10A. El esquema general del Control Bombeo
230V+Variador Fuji 5.5kWp IP54 200M se representa en la figura siguiente: El Variador de frecuencia
es el componente que gestiona la potencia recibida de los generadores disponibles y genera la
corriente trifásica para alimentar a la bomba. Entrada al Variador: El Variador de frecuencia puede
funcionar recibiendo energía eléctrica directamente desde diferentes generadores: 1. Desde un
generador FV en corriente continua (DC). 2. Desde una entrada auxiliar de corriente alterna (AC)
grupo electrógeno o la Red eléctrica. 3. Con las dos anteriores simultáneamente. Algunos modelos de
pequeña potencia disponen de entrada auxiliar AC para monofásica, el resto de modelos disponen de
entrada auxiliar AC para corriente trifásica. Cualquier modelo con entrada auxiliar AC trifásica
puede funcionar con Monofásica a la mitad de su potencia nominal. )Salida a la Bomba La salida del
variador a la bomba es siempre corriente alterna (AC) trifásica a 230V o 400V según modelos, no se
dispone de variadores de salida monofásica. El Control Bombeo 230V+Variador Fuji 5.5kWp IP54 200M
permiten tres diferentes modos de funcionamiento según la configuración de los generadores que lo
alimentan, Aislado, Asistido e Interconectado. 2. TIPOS DE INSTALACIÓN del Control Bombeo
230V+Variador Fuji 5.5kWp IP54 200M El Control Bombeo 230V+Variador Fuji 5.5kWp IP54 200M es capaz
de funcionar con las diferentes configuraciones de alimentación del variador, Aislado FV, Asistido e
Híbrido, adaptando de forma automática su configuración a cada modo. 2.1. Modo Aislado FV El sistema
solar comienza su funcionamiento con la salida del Sol y mantiene su funcionamiento a lo largo del
día dependiendo de la radiación solar disponible en cada momento. Es un sistema muy rentable cuando
se dispone de una balsa para acumular agua. No es necesario que la producción de agua bombeada
coincida en el tiempo con las necesidades de riego. Se dispone exclusivamente de un generador FV, el
caudal que proporciona es variable según la radiación solar hasta alcanzar la potencia nominal de la
bomba. Instalación aislada y autónoma, funciona exclusivamente a partir de la energía producida por
el generador solar. 2.2. Modo Asistido por Grupo Electrógeno o Red Se dispone de un generador solar
y una segunda fuente de energía auxiliar AC, grupo electrógeno o Red. Un caso típico es una
explotación que no tiene suficiente agua empleando el tiempo de tarifa valle disponible, la
instalación solar funciona durante el día y en horario nocturno se bombea con la Red. El conmutador
puede estar motorizado y permite seleccionar la alimentación del Variador a los módulos FV o al
generador auxiliar AC. 2.3. Modo Interconectado con Grupo electrógeno o Red Se suele denominar
“Funcionamiento Híbrido” cuando el Variador de frecuencia está conectado al generador solar y a la
entrada auxiliar AC simultáneamente (Grupo electrógeno o la Red eléctrica de distribución). En este
modo, la bomba funciona con el generador solar cuando dispone de suficiente energía, cuando baja la
radiación solar y no hay potencia para mantener un correcto régimen de funcionamiento de la bomba,
arranca el grupo electrógeno. A lo largo del día, el sistema funciona solo con el generador solar
durante algún tiempo con el generador solar, con el grupo y el generador solar durante otro periodo
y solo con el Grupo electrógeno o Red si es necesario prolongar las horas de funcionamiento. Es el
sistema más flexible de funcionamiento y completamente automatizable, ya que Control Bombeo
230V+Variador Fuji 5.5kWp IP54 200M permite todos los modos de funcionamiento. Este modo permite
proporcionar la seguridad de suministro requerido para el riego, asegurando el volumen de agua
necesario en cualquier situación. 3. FUNCIONES del Control Bombeo 230V+Variador Fuji 5.5kWp IP54
200M En esta nueva versión el programa de control está incluido en el variador, y se han ampliado
las más funciones específicas para bombeo solar, reduciendo el número de componentes necesarios. Las
principales funciones incorporadas son las siguientes: 1. Seguimiento del Punto de Máxima Potencia
(PMP) del generador solar FV. Aprovecha en todo momento la máxima potencia disponible en el
generador solar. 2. Gestión del ‘paso de nubes’. El sistema responde frente a cambios de radiación
bruscos evitando paradas y arranques de la bomba, inadmisibles en sistemas de elevada potencia. 3.
Control de Presión. Permite limitar la presión del sistema de bombeo a un valor máximo mediante un
sensor externo. 4. Entrada AC Auxiliar. El montaje en cuadro permite la entrada AC auxiliar de un
grupo o la red para funcionar en paralelo con los paneles solares sin necesidad de conmutadores
adicionales. 5. Función de detección de pozo seco. Con esta función se evita el funcionamiento en
vacío de la bomba sin necesidad de sensores. 6. Detección de niveles. Dispone de entradas para
sondas de nivel configurables para detener el funcionamiento una vez alcanzado el nivel establecido.
7. Configurable para motores asíncronos y síncronos de imanes permanentes. Por su mayor eficiencia,
los motores de imanes permanentes son una eficiente opción para bombeo solar. 8. Función “Despertar”
y “Dormir”. Incluye la programación necesaria para su funcionamiento exclusivo con un generador
solar, evitando arranques y paradas innecesarias al amanecer y a la puesta del Sol. Los sistemas
incluyen de fábrica una parametrización de valores por defecto que permiten simplificar y reducir el
tiempo necesario para su configuración. Se suministra con la documentación necesaria para la puesta
en marcha del sistema y configuración de todas sus funciones. El Control Bombeo 230V+Variador Fuji
5.5kWp IP54 200M incluye equipos montados y cableados para simplificar el trabajo de instalación y
puesta en marcha del sistema, todos ellos en versiones IP20 e IP54. Para potencias o tensiones
superiores se dispone de soluciones personalizadas en función de las necesidades del proyecto.
Sistema de Bombeo Solar Directo Fuji Ver Ficha Técnica Controlador de Bombeo Solar Easy Sun Pump",https://cdn.autosolar.es/images/controladores-bombeo/control-bombeo-230v-variador-fuji-55kwp-ip54-200m_thumb_main.jpg,,Bombas_agua
Latiguillo Malla 50cm 16Bar 1 Pulgada,"18,44"," Latiguillo Malla 50cm 16Bar 1 PulgadaLos latiguillos de malla son usados para unir la bomba de agua
o grupo de presión con el calderín, las bombas de agua más usadas para el uso de mallas son las
bombas horizontales. Los hay de diversos grosores y longitudes para así poder adaptarse a las
diversas longitudes que hay entre el calderín y la bomba de agua.Los latiguillos de malla para
bombas de agua llevan roscas de diferentes pulgadas para poder roscarse a las diferentes bocas de
las bombas y calderines. Generalmente las bomba horizontales monofásicas suelen ser de menos
potencia que las trifásicas, es por ello que debemos adaptar el latiguillo de malla a la boca de la
bomba que vayamos a conectar",https://cdn.autosolar.es/images/accesorios-bombas-agua/latiguillo-malla-50cm-16bar-1-pulgada_thumb_main.jpg,,Bombas_agua
Bomba Sumergible 0.75CV Monofásica IDEAL SJI8,"605,05",,https://cdn.autosolar.es/images/bombas-agua-sumergibles/bomba-sumergible-075cv-monofasica-ideal-sji8_thumb_main.jpg,"https://cdn.autosolar.es/images/bombas-agua-sumergibles/motor-bomba-sumergible-cormotor-08cv-230m-4_thumb_main.jpg
https://cdn.autosolar.es/images/bombas-agua-sumergibles/cuerpo-hidraulico-ideal-sji-8-075cv-4_thumb_main.jpg",Bombas_agua
Presostato IDEAL PM 5G 0-5BAR Monofásicas,"30,69"," Presostato IDEAL PM 5G 0-5BAR MonofásicasContacto eléctrico que se cierra cuando baja la presión y
se abre cuando esta sube.",https://cdn.autosolar.es/images/accesorios-bombas-agua/presostato-ideal-pm-5g-0-5bar-monofasicas_thumb_main.jpg,,Bombas_agua
Bomba Achique Drenaje ESPA 110W Vigila 100MA 230V,"287,38"," Bomba Achique Drenaje ESPA 110W Vigila 100MA 230VFicha Técnica Bomba Achique Drenaje ESPA 110W
Vigila 100MA 230VVer la Ficha Técnica de Bomba Achique Drenaje ESPA 110W Vigila 100MA
230VInformación Bomba Achique Drenaje ESPA 110W Vigila 100MA 230VLa Bomba Achique Drenaje ESPA 110W
Vigila 100MA 230V es una bomba portátil sumergible diseñado para la evacuación del agua.Uso y
aplicaciones de Bomba Achique Drenaje ESPA 110W Vigila 100MA 230VLa Bomba Achique Drenaje ESPA 110W
Vigila 100MA 230V está diseñado para la evacuación de la infiltración de los embalses y estanques de
agua y desagüe limpios.Materiales de la Bomba Achique Drenaje ESPA 110W Vigila 100MA 230VLa parte
del impulsor de la bomba y rejilla de aspiración están hechos de tecnopolímero .El eje de la bomba
está hecha de acero inoxidable.Tiene el doble juego de juntas y sellos NBR .Bomba Achique Drenaje
ESPA 110W Vigila 100MA 230V EngineEl motor de la Bomba Achique Drenaje ESPA 110W Vigila 100MA 230V
es un motor asíncrono ,de dos polos. Su protección es IP68 y aislamiento clase FLimitaciones de
utilización de la Bomba Achique Drenaje ESPA 110W Vigila 100MA 230VEl pasaje máximo de sólidos que
apoya Bomba Achique Drenaje ESPA 110W Vigila 100MA 230V es 5 mm .Equipo Bomba Achique Drenaje ESPA
110W Vigila 100MA 230VLa bomba se suministra con 10 metros de cable y enchufe. El modelo Vigila 100
MA lleva incorporado 2IDLINK660 interruptor de nivel.Ficha Técnica Bomba Achique Drenaje ESPA 110W
Vigila 100MA 230VVer la Ficha Técnica de Bomba Achique Drenaje ESPA 110W Vigila 100MA 230V",https://cdn.autosolar.es/images/bombas-achique/bomba-achique-drenaje-espa-110w-vigila-100ma-230v_thumb_main.jpg,,Bombas_agua
Cuerpo Bomba Sumergible ESPA 1.5CV 4' ES4 01 38,"715,41"," Cuerpo Bomba Sumergible ESPA 1.5CV 4 pulgadas ES4 01 38 El Cuerpo de la Bomba Sumergible ESPA 1.5CV
4 pulgadas ES4 01 38 tiene una impulsores flotantes lo que la convierte en una bomba de agua ideal
para pozos o para un sondeo. Aplicaciones de uso de la Cuerpo Bomba Sumergible ESPA 1.5CV 4 pulgadas
ES4 01 38: El Cuerpo Bomba Sumergible ESPA 1.5CV 4 pulgadas ES4 01 38 es perfecta para su uso en
bombeo de aguas limpias, suministro doméstico, agrícola, industrial, riego por aspersión, goteo y
equipos de presión. El tipo de bombas de agua Acuaria de Espa, tienen los modelos en las dos
variantes de corriente, tanto monofásicas como trifásicas Materiales de la Cuerpo Bomba Sumergible
ESPA 1.5CV 4 pulgadas ES4 01 38: Componentes fabricados en acero inoxidable: envolvente exterior,
cuerpo de impulsión, rejilla de aspiración, soporte y eje de la bomba.Difusores fabricados en
tecnopolímero.Impulsores flotantes fabricados en policarbonato. Equipamientos de la Cuerpo Bomba
Sumergible ESPA 1.5CV 4 pulgadas ES4 01 38: Las bombas modelo ES4 de Espa incorporan válvula de
retención. Motor de la Cuerpo Bomba Sumergible ESPA 1.5CV 4 pulgadas ES4 01 38: El motor de la
Cuerpo Bomba Sumergible ESPA 1.5CV 4 pulgadas ES4 01 38 es un motor asíncrono , de dos polos de 4
pulgadas de diámetro. Su protección es IP68 y el aislamiento es de clase F. El motor está
refrigerado por agua glicolada (compatible con el uso alimentario y ofrece un servicio continuo.
Tenga en cuenta que en ese artículo, el motor no está incluido, tiene que adquirirlo por separado.
Límites de utilización de la Cuerpo Bomba Sumergible ESPA 1.5CV 4 pulgadas ES4 01 38 Su temperatura
máxima de uso es de 40º C.La cantidad máxima de arena en suspensión es de 100 g/m3.",https://cdn.autosolar.es/images/bombas-agua-sumergibles/cuerpo-bomba-sumergible-espa-15cv-4-es4-01-38_thumb_main.jpg,,Bombas_agua
"Bomba Sumergible IDEAL 1,5kW Monofásica 230V SKI16","620,66",,https://cdn.autosolar.es/images/bombas-agua-sumergibles/bomba-sumergible-ideal-15kw-monofasica-230v-ski16_thumb_main.jpg,"https://cdn.autosolar.es/images/bombas-agua-sumergibles/motor-bomba-sumergible-cormotor-2cv-230m-4_thumb_main.jpg
https://cdn.autosolar.es/images/bombas-agua-sumergibles/cuerpo-hidraulico-ideal-ski-16-2cv-4_thumb_main.jpg",Bombas_agua
Electrobomba Sumergible Achique IDEAL SAV 400K,"79,28"," Bomba Sumergible para Achique SAV 400KInformación de las Bombas Sumergible para Achique SAV 400KLas
bombas sumergibles para achique SAV 400K es una de las recientes incorporaciones de este fabricante
consecuencia de la marcada innovación y mejora constante. La bomba sumergible para achique SAV 400K
está fabricada de plástico a base de tecnopolímeros compuesto de alta resistencia y una turbina de
tipo Noryl. Se trata por tanto de una resistente bomba de agua para uso doméstico que disfruta de
una larga vida útil y gran versatilidad de uso.Aplicaciones de la Bomba Sumergible para Achique SAV
400KLas bombas sumergibles para achique SAV 400K están preparadas para funcionar a nivel doméstico,
en aquellas aguas sin productos que perjudiquen los materiales de la bomba. Su uso más habitual es
para el vaciado de locales inundados, piscinas, pozos, depósitos, etc.Características del Cuerpo de
la Bomba Sumergible para Achique SAV 400KEl cuerpo de la bomba sumergible para achique SAV 400K
cuenta con eje y tornillería de acero inoxidable, interruptor automático de flotador ajustable en
altura y asa plegable ocupando el menor espacio.Otras de las características de las bombas
sumergibles para achique SAV 400K es:- Paso de sólidos máximos: 30mm.- Máximo caudal: 8.000
litros/hora.- Máxima presión: 0,5 bares.- Nivel más bajo de arranque la bomba: 135mm.- Nivel más
bajo de succión de agua: 35mm.- Temperatura máxima del líquido: 35ºC.- Diámetro conector de tubería
adaptable: 1’’G1-1/4’’G1-1/4.- Enchufe E+F europeo VDE.- Longitud del cable de alimentación:
10m.Características del Motor de la Bomba Sumergible para Achique SAV 400KEl motor de la Bomba
Sumergible para Achique SAV 400K se caracteriza por contar con un tipo de sello doble retén
estructural de caucho, protección IPX8 y motor con bobinado de aluminio, además de:- Potencia:
0,50Hp – 400W.- Motor 2900 r.p.m. refrigerado por agua.- Tensión: 230V +- 10% - 50Hz
monofásico.Prestaciones y características de las Bombas Sumergible para Achique SAV 400KComprar
Bomba Sumergible para Achique SAV 400KComprar Bomba Sumergible para Achique SAV 400K al mejor precio
es fácil, rápido y seguro a través de AutoSolar, contáctenos para que le asesoremos si la Bomba
Sumergible para Achique SAV 400K es la recomendable según sus necesidades y particularidades.",https://cdn.autosolar.es/images/bombas-achique/electrobomba-sumergible-achique-ideal-sav-400k_thumb_main.jpg,,Bombas_agua
Control Bombeo 400V Variador Fuji 11kWp IP20 50Mt,"1.749,58"," Control Bombeo 400V+Variador Fuji 11kWp IP20 50Mt Ver Ficha Técnica Controlador de Bombeo Solar
Easy Sun Pump El Control Bombeo 400V+Variador Fuji 11kWp IP20 50Mt es la evolución del sistema de
control y potencia para bombeo solar que cuenta con más de 15 años de experiencia en el mercado.
Para esta nueva evolución, se ha colaborado con la sucursal en España de Fuji Electric Europe GmbH
para la electrónica de potencia y el control del sistema, lo que ha permitido dar un paso más en la
fiabilidad y eficiencia de funcionamiento tradicionales de los controles de bombeo ESP. El rango de
trabajo del Control Bombeo 400V Variador Fuji 11kWp IP20 50M oscila entre 335 y 400V. Además, cuenta
con cinco entradas para paneles solares de hasta 10A. El esquema general del Control Bombeo
400V+Variador Fuji 11kWp IP20 50Mt se representa en la figura siguiente: El Variador de frecuencia
es el componente que gestiona la potencia recibida de los generadores disponibles y genera la
corriente trifásica para alimentar a la bomba. Entrada al Variador: El Variador de frecuencia puede
funcionar recibiendo energía eléctrica directamente desde diferentes generadores: 1. Desde un
generador FV en corriente continua (DC). 2. Desde una entrada auxiliar de corriente alterna (AC)
grupo electrógeno o la Red eléctrica. 3. Con las dos anteriores simultáneamente. Algunos modelos de
pequeña potencia disponen de entrada auxiliar AC para monofásica, el resto de modelos disponen de
entrada auxiliar AC para corriente trifásica. Cualquier modelo con entrada auxiliar AC trifásica
puede funcionar con Monofásica a la mitad de su potencia nominal. )Salida a la Bomba La salida del
variador a la bomba es siempre corriente alterna (AC) trifásica a 230V o 400V según modelos, no se
dispone de variadores de salida monofásica. El Control Bombeo 400V+Variador Fuji 11kWp IP20 50Mt
permiten tres diferentes modos de funcionamiento según la configuración de los generadores que lo
alimentan, Aislado, Asistido e Interconectado. 2. TIPOS DE INSTALACIÓN del Control Bombeo
400V+Variador Fuji 11kWp IP20 50MtEl Control Bombeo 400V+Variador Fuji 11kWp IP20 50Mt es capaz de
funcionar con las diferentes configuraciones de alimentación del variador, Aislado FV, Asistido e
Híbrido, adaptando de forma automática su configuración a cada modo. 2.1. Modo Aislado FV El sistema
solar comienza su funcionamiento con la salida del Sol y mantiene su funcionamiento a lo largo del
día dependiendo de la radiación solar disponible en cada momento. Es un sistema muy rentable cuando
se dispone de una balsa para acumular agua. No es necesario que la producción de agua bombeada
coincida en el tiempo con las necesidades de riego. Se dispone exclusivamente de un generador FV, el
caudal que proporciona es variable según la radiación solar hasta alcanzar la potencia nominal de la
bomba. Instalación aislada y autónoma, funciona exclusivamente a partir de la energía producida por
el generador solar. 2.2. Modo Asistido por Grupo Electrógeno o Red Se dispone de un generador solar
y una segunda fuente de energía auxiliar AC, grupo electrógeno o Red. Un caso típico es una
explotación que no tiene suficiente agua empleando el tiempo de tarifa valle disponible, la
instalación solar funciona durante el día y en horario nocturno se bombea con la Red. El conmutador
puede estar motorizado y permite seleccionar la alimentación del Variador a los módulos FV o al
generador auxiliar AC. 2.3. Modo Interconectado con Grupo electrógeno o Red Se suele denominar
“Funcionamiento Híbrido” cuando el Variador de frecuencia está conectado al generador solar y a la
entrada auxiliar AC simultáneamente (Grupo electrógeno o la Red eléctrica de distribución). En este
modo, la bomba funciona con el generador solar cuando dispone de suficiente energía, cuando baja la
radiación solar y no hay potencia para mantener un correcto régimen de funcionamiento de la bomba,
arranca el grupo electrógeno. A lo largo del día, el sistema funciona solo con el generador solar
durante algún tiempo con el generador solar, con el grupo y el generador solar durante otro periodo
y solo con el Grupo electrógeno o Red si es necesario prolongar las horas de funcionamiento. Es el
sistema más flexible de funcionamiento y completamente automatizable, ya que Control Bombeo
400V+Variador Fuji 11kWp IP20 50Mt permite todos los modos de funcionamiento. Este modo permite
proporcionar la seguridad de suministro requerido para el riego, asegurando el volumen de agua
necesario en cualquier situación. 3. FUNCIONES del Control Bombeo 400V+Variador Fuji 11kWp IP20 50Mt
En esta nueva versión el programa de control está incluido en el variador, y se han ampliado las más
funciones específicas para bombeo solar, reduciendo el número de componentes necesarios. Las
principales funciones incorporadas son las siguientes: 1. Seguimiento del Punto de Máxima Potencia
(PMP) del generador solar FV. Aprovecha en todo momento la máxima potencia disponible en el
generador solar. 2. Gestión del ‘paso de nubes’. El sistema responde frente a cambios de radiación
bruscos evitando paradas y arranques de la bomba, inadmisibles en sistemas de elevada potencia. 3.
Control de Presión. Permite limitar la presión del sistema de bombeo a un valor máximo mediante un
sensor externo. 4. Entrada AC Auxiliar. El montaje en cuadro permite la entrada AC auxiliar de un
grupo o la red para funcionar en paralelo con los paneles solares sin necesidad de conmutadores
adicionales. 5. Función de detección de pozo seco. Con esta función se evita el funcionamiento en
vacío de la bomba sin necesidad de sensores. 6. Detección de niveles. Dispone de entradas para
sondas de nivel configurables para detener el funcionamiento una vez alcanzado el nivel establecido.
7. Configurable para motores asíncronos y síncronos de imanes permanentes. Por su mayor eficiencia,
los motores de imanes permanentes son una eficiente opción para bombeo solar. 8. Función “Despertar”
y “Dormir”. Incluye la programación necesaria para su funcionamiento exclusivo con un generador
solar, evitando arranques y paradas innecesarias al amanecer y a la puesta del Sol. Los sistemas
incluyen de fábrica una parametrización de valores por defecto que permiten simplificar y reducir el
tiempo necesario para su configuración. Se suministra con la documentación necesaria para la puesta
en marcha del sistema y configuración de todas sus funciones. El Control Bombeo 400V+Variador Fuji
11kWp IP20 50Mt incluye equipos montados y cableados para simplificar el trabajo de instalación y
puesta en marcha del sistema, todos ellos en versiones IP20 e IP54. Para potencias o tensiones
superiores se dispone de soluciones personalizadas en función de las necesidades del proyecto.
Sistema de Bombeo Solar Directo Fuji Ver Ficha Técnica Controlador de Bombeo Solar Easy Sun Pump",https://cdn.autosolar.es/images/controladores-bombeo/control-bombeo-400v-variador-fuji-11kwp-ip20-50mt_thumb_main.jpg,,Bombas_agua
