title,cost,description,img_src,photo_desc_str,category
Estructura Cubierta Metálica 2 paneles 03V,"83,74"," Estructura Cubierta Metálica 2 paneles Ficha técnica de la Estructura Cubierta Metálica 2 paneles
Ficha Técnica Estructura Coplanar para Cubierta Metálica Descripción de la Estructura Cubierta
Metálica 2 paneles La Estructura Cubierta Metálica 2 paneles está diseñada para una estructura de
paneles solares fotovoltaicos. La Estructura Cubierta Metálica 2 paneles está diseñada para estar
instalada en posición horizontal, con la misma inclinación que la cubierta existente. También es
posible la instalación en vertical, formando una columna en vertical, pero sujetando los paneles por
su lado mas estrecho. La Estructura Cubierta Metálica 2 paneles está diseñada para poder soportar
cargas de nieve de hasta 200N/m2, y una carga de viento de 29 m/s. Para que la Estructura Cubierta
Metálica 2 paneles pueda soportar dichas cargas, es necesario que previamente se compruebe la
fijación de la chapa a la sobre Estructura, y se compruebe que la misma es capaz de aguantar dichas
cargas. Las instalaciones solares de calidad, en las que se quiera realizar una obra que perdure en
los años, nos es fundamental contar con productos de alta calidad como las estructuras que
disponemos , contando a nuestras espaldas con un fabricante que realiza trabajos a medida para una
perfección en el ensamblado de la estructura en su lugar de instalación. Este tipo de comprobaciones
se hace especialmente interesante cuando la chapa es de sandwich, debido a su escasa capacidad de
soporte por norma general. El grosor mínimo recomendado de la chapa trapezoidal es, por norma
general de 0,6mm. Los materiales de la Estructura Cubierta Metálica 2 paneles están fabricados
íntegramente en aluminio de alta calidad, mientras que la tornillería y accesorios están creados en
acero inoxidable. La aleación EN AW 6005A T6, es una aleación de aluminio de alta resistencia, por
este motivo así como por su capacidad para ser anodizada, se utiliza para realizar perfiles
estructurales. Todas las estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja
sobre las estructuras de aluminio crudo son una mayor resistencia a la corrosión. Ficha técnica de
la Estructura Cubierta Metálica 2 paneles Ficha Técnica Estructura Coplanar para Cubierta Metálica
Vídeos explicativos de la Estructura Cubierta Metálica 2 paneles Mantenimiento Estructura Paneles
Solares Montaje Estructura Cubierta Metálica 2 paneles",https://cdn.autosolar.es/images/estructuras/estructura-cubierta-metalica-2-paneles-03v_thumb_main.jpg,,Estructura Paneles
Estructura Inclinada 30º 3 Paneles 72C 11V,"275,59"," Estructura Inclinada 30º 3 Paneles 72C 11V Ficha técnica de la Estructura Inclinada 30º 3 Paneles
72C 11V Ficha técnica de la Estructura Inclinada 30º 3 Paneles 72C 11V Descripción técnica de la
Estructura Inclinada 30º 3 Paneles 72C 11V La Estructura Inclinada 30º 3 Paneles 72C 11V está
diseñada para soportar paneles solares alineados en vertical sobre una superficie plana que no tenga
la inclinación o la orientación adecuada. Este modelo de estructura sirve para cualquier tipo de
panel solar que tenga un ancho máximo de 2279 x 1150 mm. Sus patas son triángulos cerrados
premontados para garantizar una robustez superior. La superficie de apoyo es muy larga para que se
pueda anclar fácilmente si se instala sobre una cubierta de chapa metálica a las correas que
soportan el techo. La Estructura Inclinada 30º 3 Paneles 72C 11V está diseñada para estar instalada
en la orientación que nos interese y siempre disponiendo los paneles de forma vertical. La fila de
paneles tendrá una inclinación estándar de 30º respecto a la superficie sobre la que se ancle la
estructura. Opcionalmente se puede solicitar de 15º, por si se instala en una superficie ligeramente
inclinada, pero no lo suficiente. Recibirá su estructura junto con un plano de montaje detallado
para que pueda instalar la estructura fácilmente y sin complicaciones. La tornillería de anclaje a
la superficie donde se va a instalar no está incluido. En función de la superficie donde se ponga
(hormigón, cubierta metálica, etc) precisará un tipo de tornillería u otra que deberá adquirir por
su cuenta. Tenga presente que la superficie donde se instale sea capaz de soportar, además del peso,
las tensiones provocadas por el viento. Es su responsabilidad asegurarse de que se instala en un
lugar seguro y sólido. La ventaja de la Estructura Inclinada 30º 3 Paneles 72C 11V es la rapidez con
que se puede instalar la estructura, ya que los triángulos van premontados, y no se necesitan
herramientas especiales mas allá de una llave inglesa o de tubo y lo que se necesite para anclar la
estructura a la superficie donde se instale. Los materiales están fabricados íntegramente en
aluminio de alta calidad, mientras que la tornillería y accesorios son de acero inoxidable. La
aleación EN AW 6005A T6, es una aleación de aluminio de alta resistencia, por este motivo así como
por su capacidad para ser anodizada, se utiliza para realizar perfiles estructurales. Todas las
estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja sobre las estructuras de
aluminio crudo son la mayor resistencia a la corrosión. El embalaje es unitario para estructuras de
hasta 6 unidades, por lo que si por ejemplo aquiere una estructura para 8 paneles, recibirá 2
estructuras de 4 paneles además de un kit de unión para poderlas juntar en una única fila. Ficha
técnica de la Estructura Inclinada 30º 3 Paneles 72C 11V Ficha técnica de la Estructura Inclinada
30º 3 Paneles 72C 11V",https://cdn.autosolar.es/images/estructuras/estructura-inclinada-30o-3-paneles-72c-11v_thumb_main.jpg,,Estructura Paneles
Estructura Inclinada 30º 5 Paneles 60C 10V,"432,13"," Estructura Inclinada 30º 5 Paneles 60C 10V Ficha técnica de la Estructura Inclinada 30º 5 Paneles
60C 10V Ficha técnica de la Estructura Inclinada 30º 5 Paneles 60C 10V Descripción técnica de la
Estructura Inclinada 30º 5 Paneles 60C 10V La Estructura Inclinada 30º 5 Paneles 60C 10V está
diseñada para soportar paneles solares alineados en vertical sobre una superficie plana que no tenga
la inclinación o la orientación adecuada. Este modelo de estructura sirve para cualquier tipo de
panel solar que tenga un ancho máximo de 1800 x 1150 mm. Sus patas son triángulos cerrados
premontados para garantizar una robustez superior. La superficie de apoyo es muy larga para que se
pueda anclar fácilmente si se instala sobre una cubierta de chapa metálica a las correas que
soportan el techo. La Estructura Inclinada 30º 5 Paneles 60C 10V está diseñada para estar instalada
en la orientación que nos interese y siempre disponiendo los paneles de forma vertical. La fila de
paneles tendrá una inclinación estándar de 30º respecto a la superficie sobre la que se ancle la
estructura. Opcionalmente se puede solicitar de 15º, por si se instala en una superficie ligeramente
inclinada, pero no lo suficiente. Recibirá su estructura junto con un plano de montaje detallado
para que pueda instalar la estructura fácilmente y sin complicaciones. La tornillería de anclaje a
la superficie donde se va a instalar no está incluido. En función de la superficie donde se ponga
(hormigón, cubierta metálica, etc) precisará un tipo de tornillería u otra que deberá adquirir por
su cuenta. Tenga presente que la superficie donde se instale sea capaz de soportar, además del peso,
las tensiones provocadas por el viento. Es su responsabilidad asegurarse de que se instala en un
lugar seguro y sólido. La ventaja de la Estructura Inclinada 30º 5 Paneles 60C 10V es la rapidez con
que se puede instalar la estructura, ya que los triángulos van premontados, y no se necesitan
herramientas especiales mas allá de una llave inglesa o de tubo y lo que se necesite para anclar la
estructura a la superficie donde se instale. Los materiales están fabricados íntegramente en
aluminio de alta calidad, mientras que la tornillería y accesorios son de acero inoxidable. La
aleación EN AW 6005A T6, es una aleación de aluminio de alta resistencia, por este motivo así como
por su capacidad para ser anodizada, se utiliza para realizar perfiles estructurales. Todas las
estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja sobre las estructuras de
aluminio crudo son la mayor resistencia a la corrosión. El embalaje es unitario para estructuras de
hasta 6 unidades, por lo que si por ejemplo aquiere una estructura para 8 paneles, recibirá 2
estructuras de 4 paneles además de un kit de unión para poderlas juntar en una única fila. Ficha
técnica de la Estructura Inclinada 30º 5 Paneles 60C 10V Ficha técnica de la Estructura Inclinada
30º 5 Paneles 60C 10V",https://cdn.autosolar.es/images/estructuras/estructura-inclinada-30o-5-paneles-60c-10v_thumb_main.jpg,,Estructura Paneles
Estructura 4 Paneles 72c 30º Inclinada Falcat,"291,13"," Estructura 4 Paneles 72c 30º Inclinada Falcat Ficha técnica y manual de la Estructura 4 Paneles 72c
30º Inclinada Falcat Ver la Ficha técnica de la Estructura 4 Paneles 72c 30º Inclinada Falcat Ver el
manual de la Estructura 4 Paneles 72c 30º Inclinada Falcat Descripción Estructura 4 Paneles 72c 30º
Inclinada Falcat La estructura está diseñada para soportar paneles solares sobre una superficie
plana que no tenga la inclinación u orientación adecuada. Este modelo sirve para cualquier tipo de
panel que tenga un ancho máximo de 1,10 metro y una longitud máxima de 2,15 m. En este caso la
estructura está pensada para paneles de 72 células o que no superen los 2,15 m como máximo de
altura. Las patas son triángulos cerrados premontados para garantizar la robustez superior. La
superficie de apoyo es muy larga para que se pueda anclar fácilmente si se instala sobre una
cubierta de chapa metálica a las correas que soportan el techo. Esta estructura inclinada de Falcat
está diseñada para instalarse en la orientación que más interese, siempre disponiendo de los paneles
de forma vertical. La fila de paneles tendrá una inclinación estándar de 30º respecto a la
superficie sobre la que se ancle la estructura. Materiales de la Estructura 4 Paneles 72c 30º
Inclinada Falcat Los materiales con los que se ha fabricado esta estructura son el aluminio
anodizado 6005 T5 y el acero inoxidable 304. La tornillería de anclaje donde se va a instalar no
está incluida. En función de la superficie en la que se disponga (hormigón, cubierta metálica, etc.)
se necesitará un tipo de tornillería u otra que deberá comprar por su cuenta. Hay que tener en
cuenta que además del peso, la superficie donde se realice la instalación tendrá que soportar
también las tensiones provocadas por el viento. Es tu responsabilidad asegurarse de que se instala
en un lugar seguro y sólido. La ventaja de la estructura es la rapidez con que se puede instalar la
estructura, ya que los triángulos van premontados y no necesitan de herramientas especiales
(únicamente una llave inglesa o de tubo y lo que necesite para anclar la estructura a la superficie
donde se instale). El aluminio anodizado 6005 T5 se trata de una aleación de aluminio de alta
resistencia, así como por su capacidad para ser anodizada, se utiliza para realizar perfiles
estructurales. Todas las estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja
sobre las estructuras de aluminio crudo es la mayor resistencia a la corrosión. El embalaje de la
estructura es unitario para estructuras de hasta 6 unidades, por lo que si compras una estructura
para más de 6 paneles recibirás 2 estructuras además de un kit de unión para juntarlas en una única
fila. Junto con la estructura recibirá también un plano de montaje detallado para que pueda
instalarla fácilmente. Ficha técnica y manual de la Estructura 4 Paneles 72c 30º Inclinada Falcat
Ver la Ficha técnica de la Estructura 4 Paneles 72c 30º Inclinada Falcat Ver el manual de la
Estructura 4 Paneles 72c 30º Inclinada Falcat",https://cdn.autosolar.es/images/estructuras/estructura-4-paneles-72c-30o-inclinada-falcat_thumb_main.jpg,,Estructura Paneles
Estructura Cubierta Metálica 3 Paneles Horizontal 03H,"249,02"," Estructura Horizontal Cubierta Inclinada 3 Paneles KH915 Ficha técnica de la Estructura Cubierta
Metálica 3 Paneles Horizontal Ficha Técnica Estructura Coplanar para Cubierta Metálica La Estructura
Horizontal Cubierta Inclinada 3 Paneles KH915 está diseñada para ser utilizada con paneles solares
que se tengan que instalar orientados de modo horizontal por las características del tejado. La
Estructura Horizontal Cubierta Inclinada 3 Paneles KH915 está diseñada para estar instalada sobre
una superficie que ya tenga la inclinación pertinente, puesto que los paneles quedarán paralelos a
la superficie en la que se instale, exactamente con la misma caída. También es posible la
instalación en vertical, formando una columna en vertical, aunque para ello recomendamos utilizar la
estructura correspondiente para instalación en vertical. Características de la Estructura Horizontal
Cubierta Inclinada 3 Paneles KH915 La Estructura Horizontal Cubierta Inclinada 3 Paneles KH915 está
diseñada para poder soportar cargas de nieve de hasta 200N/m2, y una carga de viento de 29 m/s. Para
que La Estructura Horizontal Cubierta Inclinada 3 Paneles KH915 pueda soportar dichas cargas, es
necesario que previamente se compruebe la fijación de la chapa a la sobre Estructura, y se compruebe
que la misma es capaz de aguantar dichas cargas, así como la rigidez requerida de las vigas que
soportan el techo. Las instalaciones solares necesitan una fiabilidad contra los elementos a toda
prueba, por ello es fundamental contar con productos de alta calidad como las estructuras de que
disponemos, estando con las espaldas cubiertas por un fabricante que realiza trabajos a medida con
una perfección en el ensamblado de la estructura asegurado para facilitar la tarea en su lugar de
instalación. Los materiales de La Estructura Horizontal Cubierta Inclinada 3 Paneles KH915 están
fabricados íntegramente en aluminio de alta calidad, mientras que la tornillería y accesorios están
creados en acero inoxidable. La aleación EN AW 6005A T6, es una aleación de aluminio de alta
resistencia, por este motivo se utiliza para realizar perfiles estructurales. Todas las estructuras
presentes ofrecen una buena resistencia a la corrosión. Vídeos explicativos de la Estructura
Horizontal Cubierta Inclinada 3 Paneles KH915 Mantenimiento Estructura Paneles Solares",https://cdn.autosolar.es/images/estructuras/estructura-cubierta-metalica-3-paneles-horizontal-03h_thumb_main.jpg,,Estructura Paneles
Estructura Cubierta Tejas 3 Paneles Solares con salvatejas 02V,"152,36"," Estructura Cubierta Tejas 3 Paneles Solares con salvatejas 02V Ficha técnica de la Estructura
Cubierta Tejas 3 Paneles Solares con salvatejas 02V Ficha Técnica Estructura para Cubierta de Tejas
Descripción de la Estructura Cubierta Tejas 3 Paneles Solares con salvatejas 02V Esta Estructura
Cubierta Tejas 3 Paneles Solares con salvatejas 02V está diseñada para soportar paneles solares
situados en posición vertical sobre una cubierta de tejas que tenga la adecuada inclinación y
orientación. Este modelo de estructura sirve para cualquier tipo de panel solar que tenga unas
medidas máximas de 2279 x 1150mm. La Estructura Cubierta Tejas 3 Paneles Solares con salvatejas 02V
está diseñada para estar instalada con la misma inclinación que la cubierta existente, distribuyendo
los paneles de forma vertical. La fila de paneles se puede instalar de forma paralela o
perpendicular a la caída del tejado o respecto a la cumbrera. Se incluyen los salvatejas para poder
fijarlos a la parte inferior de la cubierta, tal y como se aprecia en las imágenes. Recibirá su
Estructura Cubierta Tejas 3 Paneles Solares con salvatejas 02V junto con un plano de montaje
detallado para que pueda instalar la estructura fácilmente y sin complicaciones. La Estructura
Cubierta Tejas 3 Paneles Solares con salvatejas 02V está diseñada para ser utilizada con módulos
fotovoltaicos que se sitúen sobre una superficie con tejas, válida también para teja mixta. La base
del tejado puede ser una losa de hormigón o bien una vigueta de madera. Para el hormigón se
recomienda utilizar taco químico y para la madera se recomienda pretaladrar con una broca del número
9. Sus presores admiten distintos tipos de espesor de perfil, para paneles de entre 30 y 45mm. Los
materiales de la Estructura Cubierta Tejas 3 Paneles Solares con salvatejas 02V están fabricados
íntegramente en aluminio de alta calidad, mientras que la tornillería y accesorios son de acero
inoxidable. La aleación EN AW 6005A T6, es una aleación de aluminio de alta resistencia, por este
motivo así como por su capacidad para ser anodizada, se utiliza para realizar perfiles
estructurales. Todas las estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja
sobre las estructuras de aluminio crudo son la mayor resistencia a la corrosión. Vídeos explicativos
de la Estructura Cubierta Tejas 3 Paneles Solares 02V Mantenimiento Estructura Paneles Solares
Montaje Estructura Cubierta Inclinada",https://cdn.autosolar.es/images/estructuras/estructura-cubierta-tejas-3-paneles-solares-con-salvatejas-02v_thumb_main.jpg,,Estructura Paneles
Estructura Suelo 2 Paneles 14V 25-30º,"318,04"," Estructura Suelo 2 Paneles FV915 25-30º Ficha técnica de la Estructura Suelo 2 Paneles FV915 25-30º
Ver la Ficha Técnica de la Estructura Suelo 2 Paneles FV915 25-30º Descripción técnica de la
Estructura Suelo 2 Paneles FV915 25-30º La Estructura Suelo 2 Paneles FV915 25-30º está diseñada
para soportar paneles solares alineados en vertical sobre una superficie plana que no tenga la
inclinación o la orientación adecuada. Este modelo de estructura sirve para cualquier tipo de panel
solar que tenga un ancho máximo de 1 metro y una longitud máxima de 2 metros. Es el indicado para
cualquier tipo de panel que no supere estas medidas. Sus patas llevan una perfilería de una mayor
sección para asegurar una superior resistencia. La superficie de apoyo son 2 puntos en los que la
pata trasera y el perfil inclinado tocan el suelo. Es importante tener en cuenta que este tipo de
estructura está pensado para ser anclado a hormigón o una cimentación similar. La Estructura Suelo 2
Paneles FV915 25-30º está diseñada para estar instalada en la orientación que nos interese y siempre
disponiendo los paneles de forma vertical. La fila de paneles podrá tener una inclinación variable
entre los 25 y los 30º aunque también se puede elegir una fabricación a medida. Esta inclinación es
siempre respecto a la superficie sobre la que se ancle la estructura. Recibirá su Estructura Suelo 2
Paneles FV915 25-30º junto con un plano de montaje detallado para que pueda instalar la estructura
fácilmente y sin complicaciones. La Estructura Suelo 2 Paneles FV915 25-30º está diseñada para ser
utilizada con todo tipo de módulos solares, siempre que no superen los 2 x 1 metros. Sus presores
admiten distintos tipos de espesor de perfil, de entre 33 y 50mm. La tornillería de anclaje de la
Estructura Suelo 2 Paneles FV915 25-30º a la superficie donde se va a instalar no está incluida. En
función de la superficie donde se ponga, precisará un tipo de tornillería u otra que deberá adquirir
por su cuenta. Tenga presente que la superficie donde se instale sea capaz de soportar, además del
peso, las tensiones provocadas por el viento. Es su responsabilidad asegurarse de que se instala en
un lugar seguro y sólido. La ventaja de la Estructura Suelo 2 Paneles FV915 25-30º es solidez de su
perfilería, muy indicada para lugares donde hay viento abundante. Su montaje es muy sencillo con el
manual que se incluye y no necesitará herramientas especiales mas allá de una llave inglesa o de
tubo y lo que se necesite para anclar la estructura a la superficie donde se instale. Los materiales
de la Estructura Suelo 2 Paneles FV915 25-30º están fabricados íntegramente en aluminio de alta
calidad, mientras que la tornillería y accesorios son de acero inoxidable. La aleación EN AW 6005A
T6, es una aleación de aluminio de alta resistencia, por este motivo así como por su capacidad para
ser anodizada, se utiliza para realizar perfiles estructurales. Todas las estructuras presentes
pueden ofertarse en aluminio anodizado, cuya ventaja sobre las estructuras de aluminio crudo son la
mayor resistencia a la corrosión. El embalaje de la Estructura Suelo 2 Paneles FV915 25-30º es
unitario para estructuras de hasta 4 unidades, por lo que si por ejemplo aquiere una estructura para
6 paneles, recibirá 2 estructuras de 3 paneles además de un kit de unión para poderlas juntar en una
única fila. Ficha técnica de la Estructura Suelo 2 Paneles FV915 25-30º Ver la Ficha Técnica de la
Estructura Suelo 2 Paneles FV915 25-30º",https://cdn.autosolar.es/images/estructuras/estructura-suelo-2-paneles-14v-25-30o_thumb_main.jpg,,Estructura Paneles
Estructura Cubierta Tejas 6 Paneles Solares con salvatejas 02V,"300,75"," Estructura Cubierta Tejas 6 Paneles Solares con salvatejas 02V Ficha técnica de la Estructura
Cubierta Tejas 6 Paneles Solares con salvatejas 02V Ficha Técnica Estructura para Cubierta de Tejas
Descripción de la Estructura Cubierta Tejas 6 Paneles Solares con salvatejas 02V Esta Estructura
Cubierta Tejas 6 Paneles Solares con salvatejas 02V está diseñada para soportar paneles solares
situados en posición vertical sobre una cubierta de tejas que tenga la adecuada inclinación y
orientación. Este modelo de estructura sirve para cualquier tipo de panel solar que tenga unas
medidas máximas de 2279 x 1150mm. La Estructura Cubierta Tejas 6 Paneles Solares con salvatejas 02V
está diseñada para estar instalada con la misma inclinación que la cubierta existente, distribuyendo
los paneles de forma vertical. La fila de paneles se puede instalar de forma paralela o
perpendicular a la caída del tejado o respecto a la cumbrera. Se incluyen los salvatejas para poder
fijarlos a la parte inferior de la cubierta, tal y como se aprecia en las imágenes. Recibirá su
Estructura Cubierta Tejas 6 Paneles Solares con salvatejas 02V junto con un plano de montaje
detallado para que pueda instalar la estructura fácilmente y sin complicaciones. La Estructura
Cubierta Tejas 6 Paneles Solares con salvatejas 02V está diseñada para ser utilizada con módulos
fotovoltaicos que se sitúen sobre una superficie con tejas, válida también para teja mixta. La base
del tejado puede ser una losa de hormigón o bien una vigueta de madera. Para el hormigón se
recomienda utilizar taco químico y para la madera se recomienda pretaladrar con una broca del número
9. Sus presores admiten distintos tipos de espesor de perfil, para paneles de entre 30 y 45mm. Los
materiales de la Estructura Cubierta Tejas 6 Paneles Solares con salvatejas 02V están fabricados
íntegramente en aluminio de alta calidad, mientras que la tornillería y accesorios son de acero
inoxidable. La aleación EN AW 6005A T6, es una aleación de aluminio de alta resistencia, por este
motivo así como por su capacidad para ser anodizada, se utiliza para realizar perfiles
estructurales. Todas las estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja
sobre las estructuras de aluminio crudo son la mayor resistencia a la corrosión. Vídeos explicativos
de la Estructura Cubierta Tejas 6 Paneles Solares 02V Mantenimiento Estructura Paneles Solares
Montaje Estructura Cubierta Inclinada",https://cdn.autosolar.es/images/estructuras/estructura-cubierta-tejas-6-paneles-solares-con-salvatejas-02v_thumb_main.jpg,,Estructura Paneles
Estructura Cubierta Tejas 3 Paneles Solares con varilla 01V,"145,81"," Estructura Cubierta Tejas 3 Paneles Solares con varilla 01V Ficha técnica de la Estructura Cubierta
Tejas 3 Paneles Solares con varilla 01V Ficha Técnica Estructura para Cubierta de Tejas Descripción
de la Estructura Cubierta Tejas 3 Paneles Solares con varilla 01V Esta Estructura Cubierta Tejas 3
Paneles Solares con varilla está diseñada para soportar paneles solares situados en posición
vertical sobre una cubierta de tejas que tenga la adecuada inclinación y orientación. Este modelo de
estructura sirve para cualquier tipo de panel solar que tenga unas medidas máximas de 2279 x 1150mm.
La Estructura Cubierta Tejas 3 Paneles Solares con varilla está diseñada para estar instalada con la
misma inclinación que la cubierta existente, distribuyendo los paneles de forma vertical. La fila de
paneles se puede instalar de forma paralela o perpendicular a la caída del tejado o respecto a la
cumbrera. Recibirá su Estructura Cubierta Tejas 3 Paneles Solares con varilla junto con un plano de
montaje detallado para que pueda instalar la estructura fácilmente y sin complicaciones. La
Estructura Cubierta Tejas 3 Paneles Solares con varilla está diseñada para ser utilizada con módulos
fotovoltaicos que se sitúen sobre una superficie con tejas. La base del tejado puede ser una losa de
hormigón o bien una vigueta de madera. Para el hormigón se recomienda utilizar taco químico y para
la madera se recomienda pretaladrar con una broca del número 9. Sus presores admiten distintos tipos
de espesor de perfil, para paneles de entre 30 y 45mm. El anclaje de la Estructura Cubierta Tejas 3
Paneles Solares con varilla es el indicado para techos de hormigón y también para techos con correas
de madera. Se incluye junta de estanqueidad para cuando se perfore la teja y la varilla se
introduzca hasta llegar al anclaje del tejado. Se recomienda hacerlo sobre la cumbrera de la teja
para que, junto con la protección que ofrece el panel solar situado sobre la superficie perforada,
no haya ningún tipo de filtración. La gran ventaja de la Estructura Cubierta Tejas 3 Paneles Solares
con varilla es su sencillez de instalación ya que no es necesario desmontar nada de la cubierta ya
existente. Los materiales de la Estructura Cubierta Tejas 3 Paneles Solares con varilla están
fabricados íntegramente en aluminio de alta calidad, mientras que la tornillería y accesorios son de
acero inoxidable. La aleación EN AW 6005A T6, es una aleación de aluminio de alta resistencia, por
este motivo así como por su capacidad para ser anodizada, se utiliza para realizar perfiles
estructurales. Todas las estructuras presentes pueden ofertarse en aluminio anodizado, cuya ventaja
sobre las estructuras de aluminio crudo son la mayor resistencia a la corrosión. Vídeos explicativos
de la Estructura Cubierta Tejas 3 Paneles Solares con varilla Mantenimiento Estructura Paneles
Solares Montaje Estructura Cubierta Inclinada",https://cdn.autosolar.es/images/estructuras/estructura-cubierta-tejas-3-paneles-solares-con-varilla-01v_thumb_main.jpg,,Estructura Paneles
Estructura Suelo 3 Paneles 14V 25-30º,"382,95"," Estructura Suelo 3 Paneles FV915 25-30º Ficha técnica de la Estructura Suelo 3 Paneles FV915 25-30º
Ver la Ficha Técnica de la Estructura Suelo 3 Paneles FV915 25-30º Descripción técnica de la
Estructura Suelo 3 Paneles FV915 25-30º La Estructura Suelo 3 Paneles FV915 25-30º está diseñada
para soportar paneles solares alineados en vertical sobre una superficie plana que no tenga la
inclinación o la orientación adecuada. Este modelo de estructura sirve para cualquier tipo de panel
solar que tenga un ancho máximo de 1 metro y una longitud máxima de 2 metros. Es el indicado para
cualquier tipo de panel que no supere estas medidas. Sus patas llevan una perfilería de una mayor
sección para asegurar una superior resistencia. La superficie de apoyo son 2 puntos en los que la
pata trasera y el perfil inclinado tocan el suelo. Es importante tener en cuenta que este tipo de
estructura está pensado para ser anclado a hormigón o una cimentación similar. La Estructura Suelo 3
Paneles FV915 25-30º está diseñada para estar instalada en la orientación que nos interese y siempre
disponiendo los paneles de forma vertical. La fila de paneles podrá tener una inclinación variable
entre los 25 y los 30º aunque también se puede elegir una fabricación a medida. Esta inclinación es
siempre respecto a la superficie sobre la que se ancle la estructura. Recibirá su Estructura Suelo 3
Paneles FV915 25-30º junto con un plano de montaje detallado para que pueda instalar la estructura
fácilmente y sin complicaciones. La Estructura Suelo 3 Paneles FV915 25-30º está diseñada para ser
utilizada con todo tipo de módulos solares, siempre que no superen los 2 x 1 metros. Sus presores
admiten distintos tipos de espesor de perfil, de entre 33 y 50mm. La tornillería de anclaje de la
Estructura Suelo 3 Paneles FV915 25-30º a la superficie donde se va a instalar no está incluida. En
función de la superficie donde se ponga, precisará un tipo de tornillería u otra que deberá adquirir
por su cuenta. Tenga presente que la superficie donde se instale sea capaz de soportar, además del
peso, las tensiones provocadas por el viento. Es su responsabilidad asegurarse de que se instala en
un lugar seguro y sólido. La ventaja de la Estructura Suelo 3 Paneles FV915 25-30º es solidez de su
perfilería, muy indicada para lugares donde hay viento abundante. Su montaje es muy sencillo con el
manual que se incluye y no necesitará herramientas especiales mas allá de una llave inglesa o de
tubo y lo que se necesite para anclar la estructura a la superficie donde se instale. Los materiales
de la Estructura Suelo 3 Paneles FV915 25-30º están fabricados íntegramente en aluminio de alta
calidad, mientras que la tornillería y accesorios son de acero inoxidable. La aleación EN AW 6005A
T6, es una aleación de aluminio de alta resistencia, por este motivo así como por su capacidad para
ser anodizada, se utiliza para realizar perfiles estructurales. Todas las estructuras presentes
pueden ofertarse en aluminio anodizado, cuya ventaja sobre las estructuras de aluminio crudo son la
mayor resistencia a la corrosión. El embalaje de la Estructura Suelo 3 Paneles FV915 25-30º es
unitario para estructuras de hasta 4 unidades, por lo que si por ejemplo aquiere una estructura para
6 paneles, recibirá 2 estructuras de 3 paneles además de un kit de unión para poderlas juntar en una
única fila. Ficha técnica de la Estructura Suelo 3 Paneles FV915 25-30º Ver la Ficha Técnica de la
Estructura Suelo 3 Paneles FV915 25-30º",https://cdn.autosolar.es/images/estructuras/estructura-suelo-3-paneles-14v-25-30o_thumb_main.jpg,,Estructura Paneles
