title,cost,description,img_src,photo_desc_str,category
Growatt Shine GPRS - F,"54,99"," Growatt Shine GPRS - F Ficha técnica del Growatt Shine GPRS - F Ficha técnica del Growatt Shine
GPRS - F Descripción del Growatt Shine GPRS - F El Growatt Shine GPRS - F es un dispositivo de
monitorización plug-and-play que sirve para monitorizar el estado del sistema solar fotovoltaico. El
Growatt Shine GPRS - F se instala en el inversor solar Growatt para cargar y recibir datos del
servidor. Su conexión al inversor es fácil y sencilla, ya que cuenta con un conector de tipo USB.
Características técnicas del Growatt Shine GPRS - F - Sin cables, fácil instalación - Largo alcance
de 50 metros, amplia cobertura. - Almacenamiento interno de un mes. - Monitoreo y mantenimiento en
línea. Aspectos técnicos del Growatt Shine GPRS - F - Dimensiones: 135x79x29 mm- Peso: 70g- Ganacia
de antena: 3dbi- Velocidad de puerto: 9600bps- Corriente de operación: 1A- Servidor: ShineServer
Ficha técnica del Growatt Shine GPRS - F Ficha técnica del Growatt Shine GPRS - F",https://cdn.autosolar.es/images/accesorios-inversores/growatt-shine-gprs-f_thumb_main.jpg,,Inversores
SMA Energy Meter,"427,32"," SMA Energy Meter Ficha técnica SMA Energy Meter Ver Ficha Técnica SMA Energy Meter Características
SMA Energy Meter El SMA Energy Meter o también conocido como contador de energía SMA Energy Meter
permite la medición eléctrica de forma precisa para cada conductor de fase y en forma de calores
saldados, es decir, como contador de inyección a red o medidor del consumo de corriente. Como punto
adicional, el SMA Energy Meter cuenta con interfaz de Speedwire. El SMA Energy Meter tiene una
sencilla instalación y visualización de los valores de medición actuales en el Sunny Portal por lo
que se convierte en un dispositivo manejable y sencillo, además el SMA Energy Meter cuenta con un
formato compacto, utiliza cables ethernet estándar para la comunicación con Speedwire, la
combinación con los dipositivos SMA con el SMA Energy Meter es rápida y simple con los componentes
SMA Smart Home, y además el SMA Energy Meter cuenta con regitro trifásico y bidireccional de los
valores de medición para gestionar la energía de forma óptima. En definitiva, el SMA Energy Meter
permite el registro universal de los valores de medición para un gestión inteligente de la energía.
Datos técnicos SMA Energy Meter El SMA Energy Meter cuenta con un bus de campo Speedwire, 10 /
100Mbit/s con una tensión nominal de 230V / 240V y una frecuencia de 50 Hz, 60 Hz. Las dimensiones
del SMA Energy Meter son: 88 x 70 x 65 mm, y el peso del SMA Energy Meter es de 0,3Kg. Garantía SMA
Energy Meter La garantía del SMA Energy Meter es de dos años siempre que el uso y manipulación del
SMA Energy Meter haya sido correcto y siguiendo con las recomendaciones del fabricante. Comprar SMA
Energy Meter Comprar SMA Energy Meter barato es rápido, seguro y cómodo con AutoSolar, pues todos
nuestros productos cuentan con garantía del fabricante. Si lo desea también le ofrecemos la
posibilidad de realizarle la instalación y puesta a punto del SMA Energy Meter o de cualquiera de
los productos de nuestra página web, y además si nos contacta, de forma gratuita y sin compromiso
nuestro departamento técnico le asesorará sobre los productos que mejor se adaptan a sus necesidades
y le aclarará sus dudas. Ficha técnica SMA Energy Meter Ver Ficha Técnica SMA Energy Meter",https://cdn.autosolar.es/images/accesorios-inversores/sma-energy-meter_thumb_main.jpg,,Inversores
Monitorización Growatt ShineLan- X (cable),"6,59"," Es el dispositivo que permite conectar vía cable ethernet un inversor solar Growatt de la gama
MIN-X y dotar a este dispositivo de conexión a internet directamente. Conectaremos un cable ethernet
como mínimo de categoría 5 directamente en la parte inferior de este stick y por el otro extremo el
cable irá conectado al router o switch que le pueda proporcionar acceso cableado a internet.",https://cdn.autosolar.es/images/accesorios-inversores/monitorizacion-growatt-shinelan-x-cable_thumb_main.jpg,,Inversores
Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M,"1.915,73"," Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M Ficha técnica del Inversor Híbrido Ingeteam
Ingecon Sun Storage 3TL M Ficha Técnica Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M Manual
Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M Características del Inversor Híbrido Ingeteam
Ingecon Sun Storage 3TL M El Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M es un inversor de
conexión a red con salida monofásica que ofrece la posibilidad de trabajar con baterías para poder
maximizar su utilidad. Su mejor característica es que permite trabajar con plenas funcionalidades
tanto conectado a red como en modo aislado. Conectado a red puede verter excedentes de producción o
bien configurarle un vertido 0. También se le pueden instalar baterías para disponer de un sistema
de autoconsumo conectado a red, o bien desconectarse de la red y trabajar en modo aislado con la
producción solar y la energía de las baterías. Si trabaja en modo aislado, permite la conexión de un
generador como apoyo para compensar momentos de baja producción. El Inversor Híbrido Ingeteam
Ingecon Sun Storage 3TL M dispone de una avanzada gestión de las baterías. Mejora a la anterior
versión de la gama Sun Storage con una corriente máxima de 66A desde y hacia la batería, pudiendo
además trabajar entre los 40 y los 450V de tensión en las mismas. Su gran versatilidad con baterías
nos permite trabajar con plomo-acido y también con litio, siendo compatible con muchas marcas del
mercado como LG, BYD y Pylontech. Para las baterías de litio utiliza comunicaciones mediante el
protocolo CAN Bus 2.0. El Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M gestiona las baterías
con avanzados controles de carga y descarga que garantiza la máxima vida útil de las mismas ya que
su funcionamiento híbrido en modo aislado no hace pasar toda la corriente producida por los paneles
solares a través de ellas. En el modo conectado a red para autoconsumo, se guarda la energía
sobrante de paneles que no se consume para poder hacer uso de ella posteriormente en momentos de
baja producción o por la noche. Si se llega a descargar por debajo del umbral prefijado, el inversor
deja de extraer energía de la batería y pasa a consumir de la red eléctrica hasta que el sol sea
capaz de asumir las cargas de nuevo. En el Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M se
conectan todas las baterías en serie, gracias a su elevado rango de trabajo. Para el modelo de
3000W, debido a su corriente máxima de carga y descarga de 66A, se recomienda trabajar con un mínimo
de 48V, mientras que para el modelo de 6kW se recomienda trabajar con un voltaje en baterías de un
mínimo de 100V. No obstante el sistema será más eficiente a mayores voltajes de batería. Este
sistema permite, si usamos baterías de plomo o de litio de tipo modular, ampliar las baterías una a
una, siempre dentro de los límites de tensión que fija el inversor. Éste sistema es perfecto ya que
no obliga a realizar mantenimientos de baterías en los cuales se tengan que cambiar todas las
baterías de una sola vez, sino que más bien se debe mantener poco a poco cambiando las baterías que
están en mal estado fruto de su uso. El Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M,
trabajando en modo aislado, es compatible con cualquier generador auxiliar, ya sea de gasolina o
diesel, incorpora un cargador de baterías que permite cargarlas a través del generador cuando éstas
estén completamente descargadas y también un contacto libre de potencial que puede emplearse para
mandar la señal de arranque automático a un generador que disponga de dicha interfaz. El Inversor
Híbrido Ingeteam Ingecon Sun Storage 3TL M incorpora una entrada de paneles solares para cada uno de
sus 2 MPPT. Con un rango de trabajo de entre 125 y 480V, admite una potencia máxima en campo
fotovoltaico de 11,5kWp y una tensión máxima en circuito abierto de 550V. La garantía del Inversor
Híbrido Ingeteam Ingecon Sun Storage 3TL M es de 5 años, ofreciendo una máxima calidad para esta
marca española. Los inversores Ingeteam cumplen estrictos controles de calidad de fabricación en sus
instalaciones Las protecciones del Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M son las
siguientes: - Sobretensiones AC.- Fallos de aislamiento.- Cortocircuitos y sobrecargas en la
salida.- Seccionador DC para el campo fotovoltaico.- Protección anti-isla con desconexión
automática. El Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M es capaz de funcionar en los
siguientes modos: Modo panel directo: En esta modalidad, estando conectados a la red eléctrica,
directamente el inversor produce energía cuando tenemos recursos solares directos, es decir, el
inversor convierte a 230V monofásico siempre y cuando haya sol en ese mismo momento para hacerlo.
Puede configurarse como vertido 0 o bien verter en la red los excedentes de producción solar que no
se utilicen. Modo autoconsumo: Es el resultado de añadir una batería al modo anterior, se trata de
consumir la energía directamente de los paneles mientras tengamos sol en ese momento, en el caso de
que los paneles produzcan más energía de la que estamos consumiendo, ésta se utiliza para cargar las
baterías. De ellas se extraerá la energía para ser utilizada durante las horas de noche o de baja
producción. Se puede elegir si cargar o no la batería de la red o únicamente hacerlo con la energía
solar para maximizar el ahorro. Modo Back Up: Cuando en el modo autoconsumo tenemos una red que cae
con frecuencia, podemos configurar el Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M para que
mantenga cargadas las baterías constantemente. Si la red cae, el rápido tiempo de transferencia de
la alimentación apenas es apreciable para la mayoría de los consumos conectados. Se mantiene la
salida de potencia generando el inversor la red AC para cubrir las cargas críticas. Modo aislado: En
un lugar donde no hay red eléctrica, podemos disponer del avanzado funcionamiento que puede ofrecer
este inversor. El Ingeteam actúa como gestor de la red AC combinando la energía de las baterías y de
la producción solar. Además permite el uso de un generador auxiliar para recargar las baterías que
puede ser controlado mediante la señal que le puede proporcionar el inversor. Ficha técnica del
Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M Ficha Técnica Inversor Híbrido Ingeteam Ingecon
Sun Storage 3TL M Manual Inversor Híbrido Ingeteam Ingecon Sun Storage 3TL M",https://cdn.autosolar.es/images/inversores-conexion-red/inversor-hibrido-ingeteam-ingecon-sun-storage-3tl-m_thumb_main.jpg,,Inversores
Inversor Victron Multiplus 12V 500VA 20+16A,"566,38"," Inversor Victron Multiplus 12V 500VA 20+16A Ficha técnica del Inversor Victron Multiplus 12V 500VA
20+16A Ver la Ficha Técnica de los inversores cargadores Victron Multiplus Compactos Ver la Ficha
Técnica de los inversores cargadores Victron Multiplus Compactos Características del Inversor
Victron Multiplus 12V 500VA 20+16A El Inversor cargador de Onda Senoidal Victron Phoenix 12V / 220V
500VA 20+16A de carga con función MultiPlus, en definitiva, aúna un potente inversor de onda
perfectamente senoidal pura además de tener un cargador de baterías que se adapta en función de los
requisitos instantáneos de la instalación solar. La estabilidad de su onda eléctrica nos permite
alimentar los consumos más delicados sin ningún problema. ¿Qué función tiene el Inversor Victron
Multiplus 12V 500VA 20+16A? Un Inversor Victron Multiplus 12V 500VA 20+16A tiene dos partes bien
diferenciadas, por una parte tenemos el inversor, que realiza las funciones típicas de un inversor
convencional mediante un fiable transformador toroidal y por otra parte, el cargador. Éste es el
encargado de poderle realizar una carga a la batería desde una fuente de alimentación alterna de
230V. Mediante el relé programable, se puede activar un generador remoto que se encargue de aportar
energía cuando la batería está demasiado baja. Cuando la entrada de red está disponible, se hace un
bypass del consumo de hasta 16A. Aspectos técnicos del Inversor Victron Multiplus 12V 500VA 20+16A
Entre las características más destacables de los inversores compactos Multiplus de Victron podemos
destacar: - Relé programable como relé de alarma para funciones como batería baja, ondulación de
entrada alta, temperatura, etc. - Conector Remoto de 3 polos. - Gran potencia de arranque para hacer
frente a picos de hasta 900W de energía. - Eficiencia del 90%. - Las posibilidades de funcionamiento
en paralelo o en trifásica solo están disponibles para modelos de superior potencia, así como las
funciones PowerControl y PowerAssist. - Cargador variable de cuatro etapas con amplio rango de
tensión de entrada. El Inversor Victron Multiplus 12V 500VA 20+16A proporciona un sistema de carga
variable de baterías configurable mediante el software de Victron por el puerto VE.Bus. Usos
habituales del Inversor Victron Multiplus 12V 500VA 20+16A - Utilización como SAI de emergencia. El
Inversor Victron puede estar continuamente alimentando las cargas desde una fuente inestable de
energía de 230V, pasando a alimentación a batería en caso de caída de la red. Una vez reestablecida
se encargaría de volver a dejar la batería llena lista para su uso de nuevo. - Uso en embarcaciones,
caravanas y vehículos de recreo. Puede suministrar 500VA de consumo a partir de un banco de 12V y
realizar la carga de esas baterías cuando esté disponible una fuente de energía de 230Vac. - Gracias
a su contenido tamaño y peso, se puede utilizar en espacios pequeños. Incorpora un control continuo
de la temperatura interna para adaptar la potencia máxima de salida en función de las condiciones
ambientales. Otros aspectos relevantes del Inversor Victron Multiplus 12V 500VA 20+16A Tal y como
podemos ver en la tabla superior, las protecciones de las que dispone el inversor Multiplus compacto
de Victron son de todo tipo para cubrir cualquier escenario. Protecciones integradas para
Cortocircuito en la salida de energía, sobrecarga de potencia, voltaje de batería demasiado alto o
demasiado bajo, temperatura excesiva, ondulación de entrada anómala, etc. El Inversor Victron
Multiplus 12V 500VA 20+16A además se puede configurar a 60Hz y 240Vac para ajustarse a las
características de cualquier red eléctrica. Ficha técnica del Inversor Victron Multiplus 12V 500VA
20+16A Ver la Ficha Técnica de los inversores cargadores Victron Multiplus Compactos Ver la Ficha
Técnica de los inversores cargadores Victron Multiplus Compactos",https://cdn.autosolar.es/images/inversores-aislada/inversor-victron-multiplus-12v-500va-2016a_thumb_main.jpg,,Inversores
Inversor Victron Quattro 5000VA 24V 120+100A,"4.110,88"," El Inversor Victron Quattro 5000VA 24V 120+100A Ficha técnica del Inversor Victron Quattro 5000VA
24V 120+100A Ver Ficha Técnica del Inversor Victron Quattro Ver Manual del Inversor Victron Quattro
Características Inversor Victron Quattro 5000VA 24V 120+100A Posee dos entradas CA con conmutador de
transferencia integrado. El Quattro puede conectarse a dos fuentes de alimentación CA
independientes, por ejemplo a la red del pantalán o a un generador, o a dos generadores. Se
conectará automáticamente a la fuente de alimentación activa. Dos salidas CA La salida principal
dispone de la función ""no-break"" (sin interrupción). El Quattro se encarga del suministro a las
cargas conectadas en caso de apagón o de desconexión de la red eléctrica/generador. Esto ocurre tan
rápido(menos de 20 milisegundos) que los ordenadores y demás equipos electrónicos continúan
funcionando sin interrupción. La segunda salida sólo está activa cuando a una de las entradas del
Quattro le llega alimentación CA. A esta salida se pueden conectar aparatos que no deberían
descargar la batería, como un calentador de agua, por ejemplo: Potencia prácticamente ilimitada
gracias al funcionamiento en paralelo hasta 10 unidades Quattro pueden funcionar en paralelo. Diez
unidades 48/5000/70, por ejemplo, darán una potencia de salida de 45kW / 50kVA y una capacidad de
carga de 700 amperios. El Inversor Victron Quattro 5000VA 24V 120+100A tiene capacidad de
funcionamiento trifásico, es decir, se pueden configurar tres unidades para salida trifásica. Pero
eso no es todo: hasta 10 grupos de tres unidades pueden conectarse en paralelo para proporcionar una
potencia del inversor de 135kW / 150kVA y más de 2.000A de capacidad de carga. El Inversor Victron
Quattro 5000VA 24V 120+100A tiene opciones de fase dividida. Se pueden superponer dos unidades para
obtener 120-0-120V, y se pueden conectar en paralelo hasta 6 unidades adicionales por fase para
suministrar una potencia de hasta 30kW/36kVA en fase dividida. También se puede obtener una fuente
CA de fase dividida conectando nuestro autotransformador a un inversor ""europeo"" programado para
suministrar 240V/60Hz. PowerControl – En casos de potencia limitada del generador, del pantalán o de
la red El Quattro es un cargador de baterías muy potente. Por lo tanto, usará mucha corriente del
generador o de lared del pantalán. Se puede establecer un límite de corriente para cada una de las
entradas CA. Entonces, el Quattro tendrá en cuenta las demás cargas CA y utilizará la corriente
sobrante para la carga de baterías, evitando así sobrecargar el generador o la red del pantalán.
PowerAssist – Refuerzo de la potencia del generador o de la red del pantalán. Esta función lleva el
principio de PowerControl a otra dimensión, permitiendo que el Quattro complemente la capacidad de
la fuente alternativa. Cuando se requiera un pico de potencia durante un corto espacio de
tiempo,como pasa a menudo, Quattro compensará inmediatamente la posible falta de potencia de la
corriente del pantalán o del generador con potencia de la batería. Cuando se reduce la carga, la
potencia sobrante se utiliza para recargar la batería. Energía solar: Potencia CA disponible incluso
durante un apagón, El Quattro puede utilizarse en sistemas FV, conectados a la red eléctrica o no, y
en otros sistemas eléctricos alternativos. La configuración del sistema no puede ser más sencilla.
Una vez instalado, el Quattro está listo para funcionar. Si ha de cambiarse la configuración, se
puede hacer en cuestión de minutos mediante un nuevo procedimiento de configuración del conmutador
DIP. Con los conmutadores DIP se puede incluso programar el funcionamiento en paralelo y en
trifásico: ¡sin necesidad de ordenador! Además, también se puede utilizar un VE.Net en vez de los
conmutadores DIP.Y hay sofisticados programas disponibles (VE.Bus Quick Configure y VE.Bus System
Configurator) para configurar varias nuevas y avanzadas características. Ficha técnica del Inversor
Victron Quattro 5000VA 24V 120+100A Ver Ficha Técnica del Inversor Victron Quattro Ver Manual del
Inversor Victron Quattro",https://cdn.autosolar.es/images/inversores-aislada/inversor-victron-quattro-5000va-24v-120100a_thumb_main.jpg,,Inversores
Inversor Conexión a Red Fronius ECO Light 25kW,"3.786,56"," Inversor de Conexión a Red Fronius ECO Light 25kW Ficha técnica Inversor de Conexión a Red Fronius
ECO Light 25kW Descargar Ficha Técnica del Inversor de Conexión a Red Fronius ECO Light 25kW Ver
Manual del Inversor de Conexión a Red FRONIUS Eco Aplicaciones Inversor de Conexión a Red Fronius
ECO Light 25kW La gama de inversores de conexión a red Fronius ECO Light es una pequeña familia
formada por 2 modelos. Preparados para alimentar redes trifásicas, están disponibles en potencias de
25 y 27kW y se caracterizan por tener unas prestaciones de primer nivel a un coste realmente bajo
dadas las características y funciones de los mismos. Los inversores de conexión a red como este
Fronius ECO Light 25kW ofrecen una solución perfecta para poder conectar en nuestra red trifásica un
sistema solar que nos aporte la energía del sol y nos permita reducir el consumo eléctrico. Indicado
para grandes consumos, la potencia de este Fronius ECO Light 25kW la extrae de un campo solar que le
podremos conectar directamente para convertir la corriente continua que generan los paneles solares
fotovoltaicos en corriente alterna trifásica directamente para alimentar el consumo que tengamos en
ese momento en nuestra instalación. Este sistema nos permite ahorrar de un modo fiable y económico
en nuestra facturación, y especialmente indicado para grandes consumos ya sea para nuestra vivienda
o negocio. El inversor de conexión a red Fronius ECO Light 25kW es una excelente opción para la
ampliación de una instalación con un inversor de conexión a red Fronius ECO 25kW. Este inversor
Fronius ECO Light 25kW a diferencia del inversor Fronius ECO 25kW no incluye la tarjeta de
comunicaciones Datamanager ya que se trata de una versión light. Es decir, este inversor no se puede
comunicar externamente, y no incorpora puerto ethernet y conectividad WiFi, por lo que no se puede
conectar con el Smart Meter. Instalación Inversor de Conexión a Red Fronius ECO 25kW La familia ECO
Light de inversores Fronius dispone de certificación IP66, por lo que podremos instalar el inversor
tanto en interior como en exterior. Toda la gama de Fronius dispone de un método de instalación muy
sencilla llamado SnapInverter. Este sistema nos ayudará con las conexiones y para colgar el inversor
con gran facilidad. Separado en 2 piezas, primero se proyecta sobre la pared en la que se va a
ubicar el anclaje posterior que es muy ligero en el que además va incorporada la bornera de conexión
del cableado. Sobre él podemos realizar las conexiones de los paneles, de la corriente alterna y
también hay espacio por si queremos disponer los fusibles y térmicos en su interior, ya que como
recordamos toda la gama ECO lleva certificación IP66. Una vez situado y conectado todo al marco
posterior, colgamos la etapa de potencia. Sobre ésta lo que deberemos hacer es pasar el cableado de
comunicaciones, tanto si conectamos varios inversores para que se comuniquen entre ellos, como si
utilizamos las conexiones del Datamanager. Cabe recordar que es importante tener la corriente
desconectada y el seccionador de corriente continua inferior en su posición de corte de energía,
para que los paneles no aporten energía mientras lo estamos instalando y configurando. Prestaciones
Inversor Fronius ECO 25kW - Los inversores Fronius permiten ampliar su potencia de salida instalando
más de una unidad sobre la misma instalación. Así con un funcionamiento en paralelo podrán ofrecer
más potencia transformando la energía solar en electricidad apta para el consumo. - La gama de
inversores Fronius ECO tienen conversión sin transformador, lo que les otorga un peso muy ligero al
mismo tiempo que se cumplen con todas las normativas respecto al aislamiento CC-CA requerido en este
tipo de instalaciones. - Su algoritmo de seguimiento GMPP facilita un aprovechamiento máximo del
punto óptimo de funcionamiento de los paneles en términos de voltaje y corriente. Ello también nos
ofrece un amplio rango de las series entre 580 y 850V. Obtendremos el máximo rendimiento posible de
nuestro campo solar incluso con sombras parciales o en condiciones de nubosidad. - Compatibilidad
con inversores de aislada de marcas reconocidas del mercado como Victron y Schneider. Para crear
instalaciones híbridas y con un elevado consumo diurno se pueden combinar inversores de conexión a
red como los Fronius junto con inversores de baterías para que trabajen sobre una misma instalación,
ya sea conectada a red o aislada. - Mejora en la energía reactiva y en la efectiva. En estos modelos
de gran potencia supone un ahorro para las instalaciones grandes ya que la compañía de electricidad
penaliza con elevados costes en la facturación. - Además grandes ventajas como: configuración
sencilla con la pantalla LCD integrada y botones táctiles. Mantenimiento inexistente. Funcionamiento
silencioso con ventilación forzada regulada. Amplio margen para trabajar en entornos adversos de
humedad y temperatura. Funcionamiento Inversor de Conexión a Red Fronius ECO 25kW Las instalaciones
con Fronius ECO 25kW funcionan directamente con la energía que producen los paneles solares. Por la
noche el inversor entra en Stand by, con un consumo mínimo (menor de 1W) y por el día, va inyectando
toda la energía que es capaz de captar mediante los paneles solares para consumo trifásico en tiempo
real. Esto es un sistema clásico de conexión a red sin baterías. El mantenimiento es nulo y la vida
útil de los materiales es muy elevada, puesto que no hay acumuladores que se desgasten para tenerlos
que reemplazar. Este sistema se puede ampliar o complementar con inversores de aislada que trabajan
con baterías, y es también una excelente opción como ampliación con instalaciones cuyo Fronius no
sea ‘light’. La energía en el sistema fluiría según los siguientes supuestos: - Producción solar
insuficiente o de noche: la energía que se necesita, el inversor de aislada la sacaría desde la
batería o de la red eléctrica externa (también generadores) según configuración del sistema. -
Producción solar por encima de la demanda: todo los consumos se alimentan directamente de la
corriente que generan los paneles a través del Fronius ECO 25kW. En este caso si las baterías no
están cargadas por completo, el inversor de aislada cargará las baterías con el excedente de
producción solar que el Fronius aporte y no se esté utilizando en los consumos. También se puede
programar que la carga se haga a partir de red eléctrica externa en función de nuestras
preferencias. Características técnicas Inversor Fronius ECO Light 25kW Los inversores Fronius ECO
Light son la gama superior en potencia que Fronius ofrece ahora para soluciones de autoconsumo. Las
características técnicas más destacables del modelo de 25kW Light las podrá encontrar en su ficha
técnica adjunta. No obstante aquí detallamos las más relevantes como son: SALIDA - Potencia nominal:
25000W. - Máxima corriente de salida CA: 36.1A. - Acoplamiento a la red: Trifásica 380V / 220V ó
Trifásica 400V / 230V (+20% / -30%) - Frecuencia de trabajo: 50Hz / 60Hz (45 - 65Hz) ENTRADA -
Corriente de entrada máxima CC: 44.2A. - Tensión mínima de entrada CC: 580V. - Tensión mínima de
arranque CC: 650V. - Tensión máxima de entrada CC: 1000V. - Rango de tensión regulador MPP: 580 -
850V. - Número de entradas CC: 6. - Número de seguidores MPP: 1. Si tiene alguna duda contáctenos
sin compromiso.",https://cdn.autosolar.es/images/inversores-conexion-red/inversor-conexion-a-red-fronius-eco-light-25kw_thumb_main.jpg,,Inversores
Convertidor 24V-48V 8.5A Victron Orion-Tr Aislado,"465,55"," Convertidor 24V-48V 8.5A Victron Orion-Tr Aislado Ficha técnica del Convertidor 24V-48V 8.5A
Victron Orion-Tr Aislado El Convertidor 24V-48V 8.5A Victron Orion-Tr dispone de aislamiento
galvánico es ideal para dar suministro a un componente electrónico que trabaje a 48V (ajustable
entre 40 y 60V) estabilizando su voltaje de funcionamiento a partir de una fuente que esté entre los
16 y los 35V. Además como su propio nombre indica, dispone de un aislamiento galvánico de 200V entre
entrada, salida y carcasa. Las características más relevantes que podemos comentar del Convertidor
24V-48V VICTRON 8.5A 400W con aislamiento galvánico son: - Subtensión de desconexión 14V, reinicio
de subtensión 15V. - Rango de ajuste de la tensión de salida entre 40 y 60V, con tolerancia de ±
0,2V. - Corriente de salida nominal, 8.5A. Máxima durante 10s de 15A. - Corriente máxima de
cortocircuito 25A. - Eficiencia 89%. - Conexión con bornes de tornillo. Sección máxima de cableado
16mm2. - Posibilidad de interruptor remoto. - Posibilidad de utilización como cargador de baterías.
- A prueba de cortocircuitos y con protección IP43 (Instalación con los bornes hacia abajo. -
Posibilidad de conexión en paralelo para incrementar la corriente de salida. Ver Ficha Técnica del
Convertidor 24V-48V VICTRON 8.5A 400W A.Galv",https://cdn.autosolar.es/images/convertidores-corriente/convertidor-24v-48v-85a-victron-orion-tr-aislado_thumb_main.jpg,,Inversores
Kit Solar Vivienda Aislada 5600W 48V 14000Whdia,"7.743,56"," Amortización del kit en años Amortización calculada comparando el coste del kit solar con un
consumo de un generador de gasolina cuyo coste por kWh es de 0,50 €/kWh",https://cdn.autosolar.es/images/kits-solares-aislada/kit-solar-vivienda-aislada-5600w-48v-14000whdia_thumb_main.jpg,"https://cdn.autosolar.es/images/accesorios-electricos/cable-unifilar-50-mm2-powerflex-rv-k-negro_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-estructuras/kit-union-universal-falcat-hasta-45mm_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/cable-unifilar-50-mm2-powerflex-rz-1k-verde_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/cable-de-interconexion-de-baterias_thumb_main.jpg
https://cdn.autosolar.es/images/estructuras/estructura-4-paneles-30-45mm-coplanar-falcat_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/inversor-cargador-voltronic-vm-iv-5600w-48v-litio-premontado-con-protecciones_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/terminal-de-ojo-cable-50mm-ojo-8mm_thumb_main.jpg
https://cdn.autosolar.es/images/generadores/generador-inverter-sc8000iy-tensite_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/rollo-cable-unifilar-6mm2-h1z2z2-k-20m-rojo_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/rollo-cable-unifilar-6mm2-h1z2z2-k-20m-negro_thumb_main.jpg
https://cdn.autosolar.es/images/baterias-estacionarias/bateria-6v-600ah-tensite-opzs_thumb_main.jpg
https://cdn.autosolar.es/images/accesorios-electricos/conectores-weidmuller-pvstick_thumb_main.jpg
https://cdn.autosolar.es/images/paneles-solares/panel-solar-500w-deep-blue-30-ja-solar_thumb_main.jpg",Inversores
Inversor regulador Victron Sun 24V 250VA,"217,68"," Inversor regulador Victron Sun 24V 250VA Ficha Técnica y Manual Inversor regulador Victron Sun 24V
250VA Ficha técnica Inversor regulador Victron Sun 24V 250VA Manual Inversor regulador Victron Sun
24V 250VA Descripción Inversor regulador Victron Sun 24V 250VA El inversor Sun Inverter 24V 250Ah es
un dispositivo que combina un inversor de onda sinusoidal y un cargador solar PWM, se instala
fácilmente y cuenta con un mínimo de cableado. Este inversor permite encender equipos domésticos,
alimentados con 230 VAC - por medio de baterías de automóvil o de uso «recreativo» de 24 V. Los
parámetros del inversor y del cargador solar se pueden consultar por Bluetooth a través de la
aplicación VictronConnect. Además de esto, el inversor tiene un puerto VE.Direct que permite
conectar un dispositivo GX o un GlobalLink 520 para controlar el sistema. Gracias a su topología,
los inversores están a prueba de cortocircuitos y protegidos contra el sobrecalentamiento, ya sea
debido a una sobrecarga o a una temperatura ambiente elevada. También destaca por tener una alta
potencia de arranque necesaria para arrancar cargas como convertidores para lámparas LED, halógenas
o herramientas eléctricas. Asimismos, incluye un puerto de comunicación VE.Direct que puede usarse
para conectarse a un dispositivo GX, GlobalLink 520, para monitorización mediante el portal VRM o
para conectarse a un ordenador para monitorización o configuración con la aplicación VictronConnect
Aspectos Técnicos Inversor regulador Victron Sun 24V 250VA - Potencia Pico: 400W- Frecuencia: 230
VCA- Rango de tensión de entrada CC: 9,2 - 17V- Eficiencia máxima: 87%- Consumo en vacío: 4,2W-
Grado de protección: IP21- Peso: 2,4 kg- Dimensiones: 86 x 165 x 260 mm Parámetros configurables con
la aplicación VictronConnect Niveles de disparo de la alarma y restablecimiento por tensión baja de
la batería Corte por tensión baja de la batería y niveles de reinicio Desconexión dinámica: nivel de
desconexión dependiente de la carga Tensión de salida 210 – 245 V y frecuencia 50 Hz o 60 Hz On/off
del modo ECO y nivel de detección del modo ECO Corriente de carga de la batería, algoritmo y
tensiones Compensación de temperatura de la carga de la batería o nivel de corte por baja
temperatura Ficha Técnica Inversor regulador Victron Sun 24V 250VA Ficha técnica Inversor regulador
Victron Sun 24V 250VA Manual Inversor regulador Victron Sun 24V 250VA",https://cdn.autosolar.es/images/inversores-aislada/inversor-regulador-victron-sun-24v-250va_thumb_main.jpg,,Inversores
