Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Nagpuri Narangi - Orange Organic Fragrance Spray,Parfume,Eau de Parfum,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! This tantalizing citrusy scent of fresh oranges infuses the ambience with its vibrant energy and vitality. Its fragrance works like a charm to uplift and rejuvenate the mind.","Content
12 ml. highly scented spray
Description
FRAGRANCE:  Nagpuri Narangi / Orange. This tantalizing citrusy scent of fresh oranges infuses the
ambience with its vibrant energy and vitality. Its fragrance works like a charm to uplift and
rejuvenate the mind.
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12or_.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12or_.jpg,1692340837385
Madurai Jasmine Organic Fragrance Spray,Parfume,Eau de Parfum,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! Nothing beats the beautiful scent of jasmine blossoms and fresh mogra. Its soft, delicate floral note infuses the ambience with a lovely lingering fresh fragrance.","Content
12 ml highly scented spray.
Description
FRAGRANCE: Madurai Jasmine / Chameli / Motia / Mogra. Nothing beats the beautiful scent of jasmine
blossoms and fresh mogra. Its soft, delicate floral note infuses the ambience with a lovely
lingering fresh fragrance.
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12ja_.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12ja_.jpg,1692340841708
Patchouli Vanilla Organic Fragrance Spray,Parfume,Eau de Parfum,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! The rich blend of creamy vanilla and calming patchouli will make you feel relaxed and revitalized. Pamper yourself with this luxurious scent after a hard day at work.","Content
12 ml highly scented spray
Description
FRAGRANCE: Patchouli Vanilla. The beautiful blend of patchouli and vanilla is sweet, earthy and
absolutely magical! You are definitely going to be charmed by the mystical appeal of this fragrance.
Ingredients
Organic essential oils & . Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-pav.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-pav.jpg,1692340847398
Dehn Al Oudh - Agarwood Organic Fragrance Spray,Parfume,Eau de Parfum,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! Its luxurious, rich and heavenly aroma makes this our signature scent. The warm and inviting woody scent of this oudh fragrance is definitely a class apart.","Content
12 ml highly scented spray
Description
FRAGRANCE: Dehn Al Oudh / Oud / Agarwood / Aloeswood. Its luxurious, rich and heavenly aroma makes
this our signature scent. The warm and inviting woody scent of this oudh fragrance is definitely a
class apart.
Ingredients
Organic essential oils &  Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-oo_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-oo_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-oo_1.jpg",1692340853210
Desi Gulab - Rose Organic Fragrance Spray,Parfume,Eau de Parfum,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! Velvety to touch, and heavenly to smell – the desi gulab is an all time favourite. The subtle fragrance of rose is wonderfully fresh. One whiff of this romantic floral note and we are sure you’ll fall in love with it.","Content
12 ml room spray
Description
FRAGRANCE: Desi Gulab / Rose. Exquisite organic rose fragrance accentuates the ambience with a
subtle and lingering scent. One whiff of this romantic floral note and we are sure you’ll fall in
love with it.
Story
.
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs)
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-gu.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-gu.jpg,1692340860624
Mysore Chandan - Sandalwood Organic Fragrance Spray,Parfume,Eau de Parfum,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! The captivating scent of sandalwood soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.","Content
12 ml highly scented spray with Gold spray
Description
FRAGRANCE: Mysore Chandan / Sandalwood / Sandal / Santal. The captivating scent of sandalwood
soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of
calm and tranquil
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-cn.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-cn.jpg,1692340866477
Wild Rose & Peony Flower Eau de Parfum,Parfume,Eau de Parfum,275.00,,"Content
12 ml.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-wipn.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-wipn.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-wipn1.jpg",1692340873126
Sea Salt & Fresh Bergamot Eau de Parfum,Parfume,Eau de Parfum,275.00,,"Content
12 ml.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-sebe.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-sebe.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-sebe2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-sebe1.jpg",1692340880849
Smoky Oud & Balsam Amber  Eau de Parfum,Parfume,Eau de Parfum,275.00,,"Content
12 ml.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-ooba.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-ooba.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-ooba2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-ooba1.jpg",1692340887293
White Musk & Ananas Rum Eau de Parfum,Parfume,Eau de Parfum,275.00,,"Content
12 ml.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-muan.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-muan.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/p/v/pvedp12-muan1.jpg",1692340893647
