Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Honeysuckle Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lpin25_2-hs1_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lpin25_2-hs1_1.jpg,1692304137822
White Sage Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ws_2.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ws_2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ws3_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ws1_1.jpg",1692304142202
Vanilla Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-va_2.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-va_2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-va_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-va1_1.jpg",1692304149977
Sandalwood Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-sw_2.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-sw_2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-sw1_2.jpg",1692304157285
Rose Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ro_2.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ro_2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ro3_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-ro1_1.jpg",1692304163368
Patchouli Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-pa_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-pa_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-pa_3_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-pa1_2.jpg",1692304173601
Arabian Oudh Organic Masala Incense Sticks  (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Description
96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-oo_4.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-oo_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-oo3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-oo_1_3.jpg",1692304182591
Nag Champa Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Description
96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-na_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-na_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-na3_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-na1_1.jpg",1692304190849
Lavender Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-lv_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-lv_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-lv4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-lv1_2.jpg",1692304199458
Frankincense Organic Masala Incense Sticks (Set of 2),Home Fragrance,Agarbatti Sticks,250.00,,"Content
Combo Pack of 2 | 27-31 Incense Sticks | 30 grams | Burn Time: 40-45 minutes / stick
Description
96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense
Ingredients
Bamboo Stick, Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss
Powder, Wood Powder, Organic Camphor & Essential Oils
Olfactory Note
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense sticks have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-fr_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-fr_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-fr3_2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/inor15_2-fr1_2.jpg",1692304207855
