Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Ayurveda Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,"Ayurveda. This perfume combines the goodness of ancient vedic formulations. An amalgamation of herbs, spices, chandan wood and rose petal, the holy scent will remind you of peaceful chants in a temple. The scent can be worn by both men and women and is a unisex perfume.","Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ay_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ay_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ay3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ay1_1.jpg",1692341430441
HoneySuckle Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,"Honeysuckle. This is a feminine scent that has a touch of peach, pear and honeysuckle flower. Flittering from flower to flower, lapping up the sweet nectar of honeysuckle blossoms as the sun slowly rises up the sky, the bees seem most content. These lovely honeysuckle flowers smell as beautiful as they look. One of the most loved fresh floral fragrances, this scent is pure pleasure for the senses.","Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-hs_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-hs_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-hs3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-hs1_1.jpg",1692341437364
Indian Summer Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,"Indian Summer. This unisex perfume contains pure oils of oudh, white tea and other natural ingredients. The scent will bring back old memories of playful childhood and summer holidays in India.","Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-is_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-is_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-is3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-is1_1.jpg",1692341447522
Jasmine Orient Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,Jasmine / Mogra / Motia / Chameli. This white floral scent is fresh and long lasting and is best suited for women.,"Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ja_3.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ja_3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ja_2_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ja_1_1.jpg",1692341454961
Love Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,Love. This fruity floral fragrance is a feminine note that induces the feeling romance and love making.,"Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-lov_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-lov_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-lov3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-lov1_1.jpg",1692341460639
Lily of the Valley Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,"Lily of the Valley. This is a beautiful feminine floral perfume. Floating on the soft breeze of the English countryside, the delicate scent of dainty little lily blossoms just wonderfully uplifts the natural beauty of their surroundings. One of nature’s most beloved fragrance, it’s hard not to fall in love with this dreamy note.","Weight
0.068000
Content
0 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ly_1_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ly_1_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ly3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-ly1.jpg",1692341467708
Neroli Bergamot Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,"Neroli Bergamot / Citrus / Orange / Mandarin. This spicy citrus fresh fragrance is a unique blend of neroli, bergamot, orange and basil oil. It is best suited for men.","Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-nebe.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-nebe.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-nebe3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-nebe1.jpg",1692341476870
Patchouli Noir Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,"Patchouli. The scent of patchouli is earthy, mossy, green, woody and absolutely magical! You are definitely going to be charmed by the mystical appeal of this fragrance. The fragrance is unisex and can be worn both by men and women.","Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-pa_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-pa_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-pa_3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-pa_1.jpg",1692341484240
Relax Ittar Perfume Oil Roll-On,Parfume,Perfume Oil Ittar,395.00,Relax. This fresh musky scent has top notes of citrus bergamot and lemon. It is a unisex fragrance and definitely one of our best sellers.,"Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-rel__1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-rel__1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-rel_3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-rel_1_1.jpg",1692341491624
Royal Oud Ittar Roll-On,Parfume,Perfume Oil Ittar,395.00,"Royal Oud / Agarwood / Ood / Oudh / Aloeswood / Jinkoh. A unique blend of Assam oud and frankincense resin, this perfume has warm sweetness combined with strong woody notes. It is a unisex perfume that is liked by both men and women.","Weight
0.068000
Content
10 ml. of perfume oil in an easy-to-carry glass bottle. The bottle is sealed with a dipstick plug
that can be used for application. The box also has an additional roll-on applicator. The oil will
last upto 5-6 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
A unique blend of ittar oil extracted from flowers, herbs and spices. Pure & organic ingredients
that are handmade with love. Non alcoholic, halal, non-toxic and 100% cruelty free. What you'll
absolutely love is their remarkable unique quality of maturing over time, which enhances their
potency and scent.
How to Use
Apply the perfume oil on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
The beautiful packaging makes the ittar a perfect gifting option for your family, friends and loved
ones. The compact bottle, fitted with the convenient 'roll-on' application, is the perfect travel
companion for those on-the-go.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-oo_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-oo_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-oo_3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lv11cc-oo_1.jpg",1692341501241
