Title,Category,Price,Description,Description_all,Main Image URL,Other Image URLs,ID
Mysore Chandan - Sandalwood Organic Vaporizer Oil,Home Fragrance | Room Diffuser,695.00,"Our Ayurveda reed-diffusers are the perfect little addition to any space. You will love how they spruce up the decor and leave your house smelling absolutely divine. Made with natural essential oils, the soft lingering fragrance that they gently diffuse into the ambience will be welcoming for you or anyone else who visits your abode.Delicately scented reed sticks gently diffusing perfume is the perfect finishing touch your space needs.","Content
500 ml.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orvo500-cn.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orvo500-cn.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orvo500-cn_1.jpg",1691820387796
Mysore Chandan - Sandalwood Organic Ambience Diffuser with Reeds,Home Fragrance | Room Diffuser,795.00,The captivating scent of sandalwood soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil. The reed diffuser is prepared with essential oils and organic sugarcane alcohol.,"Weight
0.274000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days.
Description
For all spaces beautiful and fragrant. Made with love! From the gorgeous dark tinted colour of the
glass to the sleek and unique shape of the bottle, our organic reed-diffusers are the perfect little
addition to any space. You will love how they spruce up the décor and leave your house smelling
absolutely divine. Made with natural essential oils, the lovely soft and lingering fragrance that
they gently diffuse into the ambience will be welcoming, refreshing and rejuvenating for you or
anyone else who visits your abode.
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
How to Use
Remove the lid and insert reed sticks in the glass decanter. Flip the reeds sticks 2-3 times in the
decanter initially to saturate them with the fragrant oil. Periodically reverse the ends of the
reeds in the decanter for better diffusion of fragrance. Enjoy the heavenly fragrance that it gently
diffuses.
Olfactory Note
Enhances the ambience of the place and perfect for home decor
",Ссылка на фото товара не найдена.,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-cn_5_1.jpg,1691820465955
Desi Gulab - Rose Organic Ambience Diffuser with Reeds,Home Fragrance | Room Diffuser,795.00,"Velvety to touch, and heavenly to smell – the desi gulab is an all time favourite. The subtle fragrance of rose is wonderfully fresh. One whiff of this romantic floral note and we are sure you’ll fall in love with it. The reed diffuser is prepared with essential oils and organic sugarcane alcohol.","Weight
0.274000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days.
Description
For all spaces beautiful and fragrant. Made with love! From the gorgeous dark tinted colour of the
glass to the sleek and unique shape of the bottle, our organic reed-diffusers are the perfect little
addition to any space. You will love how they spruce up the décor and leave your house smelling
absolutely divine. Made with natural essential oils, the lovely soft and lingering fragrance that
they gently diffuse into the ambience will be welcoming, refreshing and rejuvenating for you or
anyone else who visits your abode.
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
How to Use
Remove the lid and insert reed sticks in the glass decanter. Flip the reeds sticks 2-3 times in the
decanter initially to saturate them with the fragrant oil. Periodically reverse the ends of the
reeds in the decanter for better diffusion of fragrance. Enjoy the heavenly fragrance that it gently
diffuses.
Olfactory Note
Enhances the ambience of the place and perfect for home decor.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-gu_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-gu_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-gu_5.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-gu1_1.jpg",1691820477541
Madurai Jasmine Organic Ambience Diffuser with Reeds,Home Fragrance | Room Diffuser,795.00,"Nothing beats the beautiful scent of jasmine blossoms and fresh mogra. Its soft, delicate floral note infuses the ambience with a lovely lingering fresh fragrance. The reed diffuser is prepared with essential oils and organic sugarcane alcohol.","Weight
0.274000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days.
Description
For all spaces beautiful and fragrant. Made with love! From the gorgeous dark tinted colour of the
glass to the sleek and unique shape of the bottle, our organic reed-diffusers are the perfect little
addition to any space. You will love how they spruce up the décor and leave your house smelling
absolutely divine. Made with natural essential oils, the lovely soft and lingering fragrance that
they gently diffuse into the ambience will be welcoming, refreshing and rejuvenating for you or
anyone else who visits your abode.
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
How to Use
Remove the lid and insert reed sticks in the glass decanter. Flip the reeds sticks 2-3 times in the
decanter initially to saturate them with the fragrant oil. Periodically reverse the ends of the
reeds in the decanter for better diffusion of fragrance. Enjoy the heavenly fragrance that it gently
diffuses.
Olfactory Note
Enhances the ambience of the place and perfect for home decor.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-ja_7.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-ja_7.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-ja_5.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-ja1.jpg",1691820499040
Dehn Al Oudh - Agarwood Organic Ambience Diffuser with Reeds,Home Fragrance | Room Diffuser,795.00,"Its luxurious, rich and heavenly aroma makes this our signature scent. The warm and inviting woody scent of this oudh fragrance is definitely a class apart. The reed diffuser is prepared with essential oils and organic sugarcane alcohol.","Weight
0.274000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days.
Description
For all spaces beautiful and fragrant. Made with love! From the gorgeous dark tinted colour of the
glass to the sleek and unique shape of the bottle, our organic reed-diffusers are the perfect little
addition to any space. You will love how they spruce up the décor and leave your house smelling
absolutely divine. Made with natural essential oils, the lovely soft and lingering fragrance that
they gently diffuse into the ambience will be welcoming, refreshing and rejuvenating for you or
anyone else who visits your abode.
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
How to Use
Remove the lid and insert reed sticks in the glass decanter. Flip the reeds sticks 2-3 times in the
decanter initially to saturate them with the fragrant oil. Periodically reverse the ends of the
reeds in the decanter for better diffusion of fragrance. Enjoy the heavenly fragrance that it gently
diffuses.
Olfactory Note
Enhances the ambience of the place and perfect for home decor.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-oo.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-oo.jpg,1691820520121
Nagpuri Narangi - Orange Organic Ambience Diffuser with Reeds,Home Fragrance | Room Diffuser,795.00,This tantalizing citrusy scent of fresh oranges infuses the ambience with its vibrant energy and vitality. Its fragrance works like a charm to uplift and rejuvenate the mind.,"Weight
0.274000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days.
Description
For all spaces beautiful and fragrant. Made with love! From the gorgeous dark tinted colour of the
glass to the sleek and unique shape of the bottle, our organic reed-diffusers are the perfect little
addition to any space. You will love how they spruce up the décor and leave your house smelling
absolutely divine. Made with natural essential oils, the lovely soft and lingering fragrance that
they gently diffuse into the ambience will be welcoming, refreshing and rejuvenating for you or
anyone else who visits your abode.
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
How to Use
Remove the lid and insert reed sticks in the glass decanter. Flip the reeds sticks 2-3 times in the
decanter initially to saturate them with the fragrant oil. Periodically reverse the ends of the
reeds in the decanter for better diffusion of fragrance. Enjoy the heavenly fragrance that it gently
diffuses.
Olfactory Note
Enhances the ambience of the place and perfect for home decor.
",Ссылка на фото товара не найдена.,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-or_4_1.jpg,1691820527868
Patchouli Vanilla Organic Ambience Diffuser with Reeds,Home Fragrance | Room Diffuser,795.00,The rich blend of creamy vanilla and calming patchouli will make you feel relaxed and revitalized. Pamper yourself with this luxurious scent after a hard day at work.,"Weight
0.274000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days.
Description
For all spaces beautiful and fragrant. Made with love! From the gorgeous dark tinted colour of the
glass to the sleek and unique shape of the bottle, our organic reed-diffusers are the perfect little
addition to any space. You will love how they spruce up the décor and leave your house smelling
absolutely divine. Made with natural essential oils, the lovely soft and lingering fragrance that
they gently diffuse into the ambience will be welcoming, refreshing and rejuvenating for you or
anyone else who visits your abode.
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
How to Use
Remove the lid and insert reed sticks in the glass decanter. Flip the reeds sticks 2-3 times in the
decanter initially to saturate them with the fragrant oil. Periodically reverse the ends of the
reeds in the decanter for better diffusion of fragrance. Enjoy the heavenly fragrance that it gently
diffuses.
Olfactory Note
Enhances the ambience of the place and perfect for home decor.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-pav_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-pav_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-pav5.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrd100-pav1_1.jpg",1691820534230
Honeysuckle Ambience Reed Diffuser Set,Home Fragrance | Room Diffuser,725.00,"Flittering from flower to flower, lapping up the sweet nectar of honeysuckle blossoms as the sun slowly rises up the sky, the bees seem most content. These lovely honeysuckle flowers smell as beautiful as they look. One of the most loved fresh floral fragrances, this scent is pure pleasure for the senses.","Weight
0.280000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days & 6 reed sticks.
Description
Beautiful to look at, heavenly to smell! Sometimes the smallest of things make a world of a
difference. Delicately scented reed sticks gently diffusing perfume is the perfect finishing touch
your space needs. Its dainty little decanter lends an air of elegance and beauty to the interiors
while its exquisite fragrance accentuates the ambience with a subtle, lingering scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
No need for an aromatherapy vaporizer or burner! With only one bottle of fragrance oil, you can
enjoy this beautiful and cheerful scent anywhere in your home; your bedroom, living room, bathroom,
and office. Adjust the intensity of the scent by increasing or decreasing the number of aroma sticks
& flipping them over.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-hs_1_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-hs_1_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-iv4_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-hs1_1.jpg",1691820548925
Sea Breeze Ambience Reed Diffuser Set,Home Fragrance | Room Diffuser,725.00,"Sea Breeze. Soft, gentle, yet full of vigor and life, the sea breeze makes you feel so alive! One whiff of this perky fragrance is all you need to brighten-up your day, as this fresh, vivacious note infuses energy into the body, mind and soul. This scent will take you to a bright beautiful day by the sea.","Weight
0.280000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days & 6 reed sticks.
Description
Beautiful to look at, heavenly to smell! Sometimes the smallest of things make a world of a
difference. Delicately scented reed sticks gently diffusing perfume is the perfect finishing touch
your space needs. Its dainty little decanter lends an air of elegance and beauty to the interiors
while its exquisite fragrance accentuates the ambience with a subtle, lingering scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
No need for an aromatherapy vaporizer or burner! With only one bottle of fragrance oil, you can
enjoy this beautiful and cheerful scent anywhere in your home; your bedroom, living room, bathroom,
and office. Adjust the intensity of the scent by increasing or decreasing the number of aroma sticks
& flipping them over.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-se_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-se_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-se4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-se1.jpg",1691820565943
Neroli Bergamot Ambience Reed Diffuser Set,Home Fragrance | Room Diffuser,725.00,Neroli Bergamot. Few fragrances are fresher than the invigorating scent of the bright and vibrant orange blossoms of neroli. That's probably why this fragrance is an all-time favourite! It's cheerful scent instantly perks up the mind with its zesty citrus note.,"Weight
0.280000
Content
100 ml. highly scented reed diffuser oil that lasts for approx. 45-60 days & 6 reed sticks.
Description
Beautiful to look at, heavenly to smell! Sometimes the smallest of things make a world of a
difference. Delicately scented reed sticks gently diffusing perfume is the perfect finishing touch
your space needs. Its dainty little decanter lends an air of elegance and beauty to the interiors
while its exquisite fragrance accentuates the ambience with a subtle, lingering scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
No need for an aromatherapy vaporizer or burner! With only one bottle of fragrance oil, you can
enjoy this beautiful and cheerful scent anywhere in your home; your bedroom, living room, bathroom,
and office. Adjust the intensity of the scent by increasing or decreasing the number of aroma sticks
& flipping them over.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-nebe.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-nebe.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-nebe4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprd100-nebe1.jpg",1691820582585
