Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Wood Sage & Sea Salt Festive Luxe Scented Candle,Home Fragrance,Scented Candle,950.00,"200 g. Wood Sage & Sea Salt Festive Luxe Scented Candle in Hand Beaten Infinity Metal Jar with 3 Wicks, Packed in Hard Bound Gift Box","Content
200g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/f/x/fxcahb200-wdse1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/f/x/fxcahb200-wdse1.jpg,1692338793669
English Pear & Freesia Festive Luxe Scented Candle,Home Fragrance,Scented Candle,950.00,"200 g. English Pear & Freesia Festive Luxe Scented Candle in Hand Beaten Infinity Metal Jar with 3 Wicks, Packed in Hard Bound Gift Box",,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/f/x/fxcahb200-epfr2.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/f/x/fxcahb200-epfr2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/f/x/fxcahb200-epfr1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/f/x/fxcahb200-epfr.jpg",1692338798073
Moroccan Orange Blossom Scented Candle,Home Fragrance,Scented Candle,"1,225.00","160 g. Moroccan Orange Blossom Scented Candle in Knob Glass Jar, Packed in Hard Bound Gift Box",,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ob.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ob.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ob2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ob1.jpg",1692338804726
Moroccan Mahogany Teakwood Scented Candle,Home Fragrance,Scented Candle,"1,225.00","160 g. Moroccan Mahogany Teakwood Scented Candle in Knob Glass Jar, Packed in Hard Bound Gift Box","Content
160g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-mte.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-mte.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-mte1.jpg",1692338811627
Moroccan Cinnamon Spice Vanilla Scented Candle,Home Fragrance,Scented Candle,"1,225.00","160 g. Moroccan Cinnamon Spice Vanilla Scented Candle in Knob Glass Jar, Packed in Hard Bound Gift Box",,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-cisv.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-cisv.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-cisv2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-cisv1.jpg",1692338817375
Moroccan Aphrodesia Scented Candle,Home Fragrance,Scented Candle,"1,225.00","160 g. Moroccan Aphrodesia Scented Candle in Knob Glass Jar, Packed in Hard Bound Gift Box",,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ap2.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ap2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/m/o/mocahb160-ap1.jpg",1692338826729
Lavender Lemongrass & Aqua Oud 2 Wick Candle,Home Fragrance,Scented Candle,"1,275.00",200 g. Lavender Lemongrass & Aqua Oud Coconut Butter & Soy Wax 2 Wick Candle in Copper Plated Metal Jar (Set of 2),,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvcam200-2_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvcam200-2_1.jpg,1692338834937
Tuberose Jasmine  Scented Candle in Copper Plated Metal Jar with 2 Wicks,Home Fragrance,Scented Candle,775.00,"Illuminate your path to inner harmony with this luxurious coconut butter and soy wax scented candle. Infused with the goodness of Ayurvedic essential oils, the candle is hand-poured in a gorgeous glass jar. Notes of fresh Indian jasmine flowers combine fabulously with white blossoms of tuberose to form this uplifting and stress relieving fragrance.","Content
200 g.
Description
FRAGRANCE: Tuberose Jasmine (Uplifting and Anti-Stress)
Story
WHO IS A VATA? Enthusiastic, light and creative with an athletic built. They sometimes get restless
or suffer from sleeping disorders.
Ingredients
Finest essential oil along with luxurious coconut butter and soy wax.
How to Use
SAFE TO USE: Pure Cotton wick adds to their eco-friendly composition. Produces less soot & smoke.
Olfactory Note
We believe the simple act of lighting a candle should bring pleasure and a sense of well-being. As
you enjoy the delicate scent of our slow-burning Ayurvedic candle, we encourage you to find inner
peace and tranquility, so your true light has a chance to shine.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orcam200stuja.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orcam200stuja.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvcam200-tuja1_1.jpg",1692338839141
Sage Mint  Scented Candle in Copper Plated Metal Jar with 2 Wicks,Home Fragrance,Scented Candle,775.00,"Illuminate your path to inner harmony with this luxurious coconut butter and soy wax scented candle. Infused with the goodness of Ayurvedic essential oils, the candle is hand-poured in a gorgeous glass jar. This earthy blend of holy sage cleanses the surroundings, while the cooling properties of mint leaves keep you charged and invigorated all day.","Content
200 g.
Description
FRAGRANCE: Sage Mint (Cleansing and Recharging)
Story
WHO IS A KAPHA? Calm, loving and understanding with an impressive built, and well defined features.
They may exhibit tendencies to over-eat, avoid exercise and sleep excessively.
Ingredients
Finest essential oil along with luxurious coconut butter and soy wax.
How to Use
SAFE TO USE: Pure Cotton wick adds to their eco-friendly composition. Produces less soot & smoke.
Olfactory Note
We believe the simple act of lighting a candle should bring pleasure and a sense of well-being. As
you enjoy the delicate scent of our slow-burning Ayurvedic candle, we encourage you to find inner
peace and tranquility, so your true light has a chance to shine.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orcam200-sgmt.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orcam200-sgmt.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orcam200sgmt1.jpg",1692338848565
Lavender Lemongrass  Scented Candle in Copper Plated Metal Jar,Home Fragrance,Scented Candle,775.00,"Illuminate your path to inner harmony with this luxurious coconut butter and soy wax scented candle. Infused with the goodness of Ayurvedic essential oils, the candle is hand-poured in a gorgeous glass jar. The wonderful balance between the calming power of lavender and the refreshing essence of citrusy lemongrass makes it the ideal essential oil blend for Tridosha.","Content
200 g.
Description
FRAGRANCE: Lavender Lemongrass (Calming and Refreshing)
Story
WHO IS A TRIDOSHA? Inherently at ease, harmonious individuals, exuberating a natural balance.
Usually of medium built, they have an ideal physique. They may fear the unknown and find it
difficult to manage extremely stressful situations.
Ingredients
Finest essential oil along with luxurious coconut butter and soy wax.
How to Use
SAFE TO USE: Pure Cotton wick adds to their eco-friendly composition. Produces less soot & smoke.
Olfactory Note
We believe the simple act of lighting a candle should bring pleasure and a sense of well-being. As
you enjoy the delicate scent of our slow-burning Ayurvedic candle, we encourage you to find inner
peace and tranquility, so your true light has a chance to shine.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvcag200lvlg.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvcag200lvlg.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvcag200lvlg1.jpg",1692338858281
